,data,hora,mare
1,101,838,0.3
5,102,926,0.3
9,103,1013,0.3
117,131,921,0.3
121,201,1008,0.3
125,202,1051,0.3
179,216,954,0.3
183,217,1023,0.3
187,218,1056,0.3
229,301,913,0.3
233,302,954,0.3
237,303,1032,0.2
291,317,928,0.3
295,318,1000,0.2
299,319,1032,0.1
341,330,858,0.3
345,331,934,0.3
349,401,1006,0.3
353,402,1039,0.3
399,414,823,0.3
403,415,858,0.2
407,416,934,0.1
411,417,1009,0.1
415,418,1051,0.1
457,429,909,0.3
461,430,943,0.3
465,501,1011,0.3
515,514,826,0.2
519,515,908,0.1
523,516,951,0.1
527,517,1036,0.1
627,612,802,0.2
631,613,851,0.2
635,614,938,0.1
639,615,1028,0.1
743,712,839,0.2
747,713,930,0.2
751,714,1021,0.1
805,728,956,0.3
809,729,1026,0.3
813,730,1058,0.3
855,810,832,0.2
859,811,923,0.1
863,812,1009,0.1
867,813,1054,0.1
917,826,934,0.3
921,827,1002,0.2
925,828,1030,0.2
967,908,823,0.2
971,909,909,0.1
975,910,953,0.1
979,911,1030,0.1
1025,923,834,0.3
1029,924,902,0.2
1033,925,932,0.1
1037,926,1000,0.1
1041,927,1032,0.1
1079,1007,808,0.2
1083,1008,853,0.2
1087,1009,930,0.1
1091,1010,1004,0.2
1095,1011,1039,0.2
1141,1023,826,0.2
1145,1024,900,0.1
1149,1025,932,0.1
1153,1026,1006,0.1
1157,1027,1045,0.2
1195,1106,830,0.3
1199,1107,906,0.2
1203,1108,941,0.3
1207,1109,1011,0.3
1257,1122,828,0.2
1261,1123,906,0.1
1265,1124,947,0.2
1269,1125,1028,0.2
1369,1221,804,0.3
1373,1222,851,0.2
1377,1223,936,0.2
1381,1224,1021,0.2
