estado,cidade,ano,url
Alagoas,PORTO DE MACEIÓ,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/26-porto_de_maceio.pdf
Amapá,BARRA NORTE - ARCO LAMOSO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/1-barra_norte_arco_lamoso.pdf
Amapá,PORTO DE SANTANA - CIA DOCAS DE SANTANA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/3-porto_de_santana_-_cia_docas_de_santana.pdf
Amapá,IGARAPÉ GRANDE DO CURUÁ,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/2-igarape_grande_do_curua_0.pdf
Bahia,PORTO DE ARATU - BASE NAVAL,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/30-porto_de_aratu.pdf
Bahia,PORTO DE SALVADOR,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/31-porto_de_salvador.pdf
Bahia,PORTO DE MADRE DE DEUS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/29-porto_madre_de_deus.pdf
Bahia,PORTO DE ILHÉUS - MALHADO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/32-porto_de_ilheus.pdf
Ceará,TERMINAL PORTUÁRIO DO PECÉM,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/16-terminal_portuario_de_pecem.pdf
Ceará,PORTO DE MUCURIPE - FORTALEZA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/17-porto_do_mucuripe.pdf
Espírito Santo,PORTO DE TUBARÃO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/35-porto_de_tubarao.pdf
Espírito Santo,TERMINAL DA PONTA DO UBU,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/36-terminal_da_ponta_do_ubu.pdf
Espírito Santo,ILHA DA TRINDADE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/37-ilha_da_trindade.pdf
Espírito Santo,PORTO DE VITÓRIA - CAIS CODESA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/34-porto_de_vitoria.pdf
Espírito Santo,TERMINAL DE BARRA DO RIACHO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/33-terminal_barra_do_riacho.pdf
Maranhão,SÃO LUÍS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/10-sao_luis.pdf
Maranhão,TERMINAL DA PONTA DA MADEIRA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/11-terminal_da_ponta_da_madeira.pdf
Maranhão,TERMINAL DA ALUMAR,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/13-terminal_do_alumar.pdf
Maranhão,PORTO DE TUTÓIA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/14-porto_de_tutoia.pdf
Maranhão,PORTO DE ITAQUI,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/12-porto_de_itaqui.pdf
Pará,ILHA DOS GUARÁS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/5-ilha_dos_guaras.pdf
Pará,PORTO DE VILA DO CONDE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/8-porto_de_vila_do_conde.pdf
Pará,PORTO DE BELÉM,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/7-porto_de_belem.pdf
Pará,ILHA DO MOSQUEIRO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/6-ilha_do_mosqueiro.pdf
Pará,FUNDEADOURO DE SALINÓPOLIS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/4-fundeadouro_de_salinopolis.pdf
Pará,ATRACADOURO DE BREVES,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/9-atracadouro_de_breves.pdf
Paraíba,PORTO DE CABEDELO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/23-porto_de_cabedelo.pdf
Paraná,PORTO DE PARANAGUÁ - CAIS OESTE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/49-porto_de_paranagua_cais_oeste.pdf
Paraná,BARRA DE PARANAGUÁ - CANAL DA GALHETA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/48-barra_do_paranagua_canal_da_galheta.pdf
Paraná,BARRA DE PARANAGUÁ - CANAL SUESTE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/47-barra_do_paranagua_cais_sueste.pdf
Paraná,TERMINAL PORTUÁRIO DA PONTA DO FÉLIX,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/50-terminal_portuario_da_ponta_do_felix.pdf
Pernambuco,PORTO DE SUAPE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/25-porto_de_suape.pdf
Pernambuco,ILHA DE FERNANDO DE NORONHA - BAÍA DE SANTO ANTÔNIO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/21-fernando_de_noronha.pdf
Pernambuco,PORTO DO RECIFE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/24-porto_de_recife.pdf
Piauí,PORTO DE LUÍS CORREIA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/15-porto_de_luis_correa.pdf
Rio de Janeiro,TERMINAL DA ILHA GUAÍBA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/43-terminal_da_ilha_guaiba.pdf
Rio de Janeiro,PORTO DO FORNO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/40-porto_do_forno.pdf
Rio de Janeiro,PORTO DO RIO DE JANEIRO - ILHA FISCAL,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/41-porto_do_rio_de_janeiro.pdf
Rio de Janeiro,TERMINAL MARÍTIMO DE IMBETIBA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/39-terminal_de_imbetiba.pdf
Rio de Janeiro,PORTO DE ANGRA DOS REIS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/44-porto_de_angra_dos_reis.pdf
Rio de Janeiro,PORTO DE ITAGUAÍ,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/42-porto_de_itaguai.pdf
Rio de Janeiro,PORTO DO AÇU,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/38-porto_de_acu.pdf
Rio Grande do Norte,PORTO DE AREIA BRANCA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/18-porto_de_areia_branca.pdf
Rio Grande do Norte,PORTO DE MACAU,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/20-porto_de_macau.pdf
Rio Grande do Norte,PORTO DE NATAL - CAPITANIA DOS PORTOS DO RN,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/22-porto_de_natal.pdf
Rio Grande do Norte,PORTO DE GUAMARÉ,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/19-porto_de_guamare.pdf
Rio Grande do Sul,PORTO DO RIO GRANDE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/55-porto_do_rio_grande.pdf
Santa Catarina,PORTO DE IMBITUBA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/54-porto_de_imbituba.pdf
Santa Catarina,PORTO DE FLORIANÓPOLIS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/53-porto_de_florianopolis.pdf
Santa Catarina,PORTO DE ITAJAÍ,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/52-porto_de_itajai.pdf
Santa Catarina,PORTO DE SÃO FRANCISCO DO SUL-DELEGACIA DA CPSFS,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/51-porto_de_sao_francisco_do_sul.pdf
São Paulo,PORTO DE SANTOS - CPSP,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/46-porto_de_santos.pdf
São Paulo,PORTO DE SÃO SEBASTIÃO,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/45-porto_de_sao_sebastiao.pdf
Sergipe,TERMINAL MARÍTIMO INÁCIO BARBOSA,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/27-t_m_inacio_barbosa.pdf
Sergipe,CAPITANIA DOS PORTOS DE SERGIPE,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/28-capitania_dos_portos_de_sergipe.pdf
,FUNDEADOURO DA ESTAÇÃO ANTÁRTICA COMANDANTE FERRAZ,2022,https://www.marinha.mil.br/chm/sites/www.marinha.mil.br.chm/files/dados_de_mare/56-eacf_0.pdf
