data,hora,mare
2022-01-01,0000,1.6
2022-01-01,0417,2.0
2022-01-01,1151,0.1
2022-01-01,1921,2.2
2022-01-02,0021,1.6
2022-01-02,0508,2.1
2022-01-02,1238,0.1
2022-01-02,2002,2.2
2022-01-03,0058,1.5
2022-01-03,0600,2.2
2022-01-03,1323,0.1
2022-01-03,2036,2.1
2022-01-04,0132,1.4
2022-01-04,0649,2.3
2022-01-04,1406,0.1
2022-01-04,2108,2.1
2022-01-05,0206,1.3
2022-01-05,0738,2.3
2022-01-05,1449,0.1
2022-01-05,2138,2.0
2022-01-06,0247,1.2
2022-01-06,0824,2.3
2022-01-06,1526,0.3
2022-01-06,2206,2.0
2022-01-07,0328,1.1
2022-01-07,0913,2.2
2022-01-07,1604,0.5
2022-01-07,2234,1.9
2022-01-08,0415,1.0
2022-01-08,1004,2.0
2022-01-08,1641,0.7
2022-01-08,2302,1.9
2022-01-09,0508,1.0
2022-01-09,1104,1.8
2022-01-09,1717,1.0
2022-01-09,2332,1.8
2022-01-10,0611,1.0
2022-01-10,1221,1.6
2022-01-10,1756,1.2
2022-01-11,0004,1.8
2022-01-11,0730,0.9
2022-01-11,1438,1.5
2022-01-11,1853,1.4
2022-01-12,0047,1.8
2022-01-12,0854,0.8
2022-01-12,1717,1.6
2022-01-12,2041,1.6
2022-01-13,0145,1.8
2022-01-13,1006,0.7
2022-01-13,1824,1.8
2022-01-13,2238,1.6
2022-01-14,0254,1.8
2022-01-14,1102,0.5
2022-01-14,1902,1.9
2022-01-14,2345,1.6
2022-01-15,0402,1.8
2022-01-15,1149,0.4
2022-01-15,1934,2.0
2022-01-16,0028,1.6
2022-01-16,0456,1.9
2022-01-16,1228,0.3
2022-01-16,2002,2.1
2022-01-17,0102,1.5
2022-01-17,0545,2.0
2022-01-17,1304,0.2
2022-01-17,2026,2.1
2022-01-18,0130,1.5
2022-01-18,0626,2.0
2022-01-18,1339,0.2
2022-01-18,2051,2.1
2022-01-19,0158,1.4
2022-01-19,0706,2.1
2022-01-19,1411,0.2
2022-01-19,2109,2.1
2022-01-20,0224,1.3
2022-01-20,0745,2.1
2022-01-20,1445,0.3
2022-01-20,2130,2.0
2022-01-21,0254,1.2
2022-01-21,0823,2.1
2022-01-21,1515,0.4
2022-01-21,2151,2.0
2022-01-22,0323,1.1
2022-01-22,0904,2.1
2022-01-22,1549,0.6
2022-01-22,2209,1.9
2022-01-23,0358,1.0
2022-01-23,0951,2.0
2022-01-23,1619,0.8
2022-01-23,2230,1.9
2022-01-24,0439,0.9
2022-01-24,1043,1.9
2022-01-24,1653,1.0
2022-01-24,2253,1.9
2022-01-25,0528,0.8
2022-01-25,1153,1.8
2022-01-25,1728,1.2
2022-01-25,2315,1.9
2022-01-26,0636,0.8
2022-01-26,1345,1.6
2022-01-26,1809,1.5
2022-01-26,2351,1.9
2022-01-27,0800,0.7
2022-01-27,1706,1.7
2022-01-27,1951,1.7
2022-01-28,0041,1.9
2022-01-28,0934,0.5
2022-01-28,1828,1.9
2022-01-28,2221,1.8
2022-01-29,0209,1.9
2022-01-29,1051,0.3
2022-01-29,1902,2.0
2022-01-29,2336,1.7
2022-01-30,0353,2.0
2022-01-30,1151,0.2
2022-01-30,1932,2.1
2022-01-31,0017,1.6
2022-01-31,0508,2.1
2022-01-31,1239,0.1
2022-01-31,1958,2.1
2022-02-01,0054,1.4
2022-02-01,0609,2.2
2022-02-01,1323,0.0
2022-02-01,2021,2.1
2022-02-02,0128,1.3
2022-02-02,0702,2.3
2022-02-02,1402,0.1
2022-02-02,2045,2.1
2022-02-03,0202,1.1
2022-02-03,0751,2.3
2022-02-03,1439,0.2
2022-02-03,2106,2.0
2022-02-04,0239,0.9
2022-02-04,0834,2.3
2022-02-04,1509,0.4
2022-02-04,2126,2.0
2022-02-05,0313,0.8
2022-02-05,0915,2.2
2022-02-05,1541,0.6
2022-02-05,2149,2.0
2022-02-06,0354,0.7
2022-02-06,0958,2.0
2022-02-06,1606,0.8
2022-02-06,2208,2.0
2022-02-07,0432,0.7
2022-02-07,1043,1.9
2022-02-07,1630,1.0
2022-02-07,2228,2.0
2022-02-08,0517,0.7
2022-02-08,1138,1.7
2022-02-08,1649,1.2
2022-02-08,2249,2.0
2022-02-09,0611,0.8
2022-02-09,1304,1.5
2022-02-09,1645,1.4
2022-02-09,2306,1.9
2022-02-10,0730,0.8
2022-02-10,2323,1.8
2022-02-11,0917,0.8
2022-02-11,1941,1.8
2022-02-12,1043,0.6
2022-02-12,1921,1.9
2022-02-13,0032,1.7
2022-02-13,0313,1.7
2022-02-13,1139,0.5
2022-02-13,1934,2.0
2022-02-14,0047,1.6
2022-02-14,0454,1.8
2022-02-14,1221,0.4
2022-02-14,1951,2.1
2022-02-15,0102,1.4
2022-02-15,0553,1.9
2022-02-15,1258,0.3
2022-02-15,2006,2.1
2022-02-16,0121,1.3
2022-02-16,0638,2.0
2022-02-16,1332,0.3
2022-02-16,2021,2.1
2022-02-17,0145,1.2
2022-02-17,0715,2.2
2022-02-17,1402,0.3
2022-02-17,2038,2.0
2022-02-18,0206,1.0
2022-02-18,0754,2.2
2022-02-18,1432,0.4
2022-02-18,2053,2.0
2022-02-19,0232,0.9
2022-02-19,0830,2.3
2022-02-19,1500,0.5
2022-02-19,2106,2.0
2022-02-20,0300,0.7
2022-02-20,0909,2.2
2022-02-20,1528,0.7
2022-02-20,2121,2.0
2022-02-21,0332,0.6
2022-02-21,0953,2.1
2022-02-21,1554,0.9
2022-02-21,2139,2.0
2022-02-22,0408,0.5
2022-02-22,1038,2.0
2022-02-22,1615,1.1
2022-02-22,2158,2.0
2022-02-23,0454,0.5
2022-02-23,1138,1.8
2022-02-23,1636,1.3
2022-02-23,2219,2.0
2022-02-24,0553,0.6
2022-02-24,1315,1.6
2022-02-24,1628,1.5
2022-02-24,2247,2.0
2022-02-25,0717,0.6
2022-02-25,2319,1.9
2022-02-26,0913,0.6
2022-02-26,1911,1.9
2022-02-26,2224,1.8
2022-02-27,0117,1.8
2022-02-27,1049,0.5
2022-02-27,1902,1.9
2022-02-27,2339,1.6
2022-02-28,0406,1.9
2022-02-28,1151,0.3
2022-02-28,1915,2.0
2022-03-01,0011,1.4
2022-03-01,0530,2.1
2022-03-01,1238,0.3
2022-03-01,1932,2.0
2022-03-02,0047,1.2
2022-03-02,0626,2.2
2022-03-02,1315,0.3
2022-03-02,1951,2.0
2022-03-03,0117,1.0
2022-03-03,0713,2.3
2022-03-03,1351,0.3
2022-03-03,2006,2.1
2022-03-04,0151,0.8
2022-03-04,0756,2.3
2022-03-04,1419,0.5
2022-03-04,2024,2.1
2022-03-05,0219,0.6
2022-03-05,0834,2.3
2022-03-05,1447,0.6
2022-03-05,2043,2.1
2022-03-06,0253,0.5
2022-03-06,0908,2.2
2022-03-06,1509,0.8
2022-03-06,2100,2.1
2022-03-07,0324,0.5
2022-03-07,0945,2.1
2022-03-07,1532,1.0
2022-03-07,2117,2.1
2022-03-08,0358,0.5
2022-03-08,1021,1.9
2022-03-08,1549,1.1
2022-03-08,2136,2.1
2022-03-09,0432,0.6
2022-03-09,1104,1.7
2022-03-09,1600,1.3
2022-03-09,2153,2.0
2022-03-10,0513,0.7
2022-03-10,1206,1.6
2022-03-10,1545,1.4
2022-03-10,2202,2.0
2022-03-11,0611,0.8
2022-03-11,2200,1.9
2022-03-12,0806,0.8
2022-03-12,1951,1.8
2022-03-13,1013,0.8
2022-03-13,1902,1.9
2022-03-14,0115,1.6
2022-03-14,0302,1.6
2022-03-14,1121,0.6
2022-03-14,1906,2.0
2022-03-15,0032,1.4
2022-03-15,0506,1.7
2022-03-15,1204,0.5
2022-03-15,1913,2.0
2022-03-16,0039,1.3
2022-03-16,0558,1.9
2022-03-16,1243,0.4
2022-03-16,1926,2.0
2022-03-17,0056,1.1
