data,hora,mare
0101,0221,2.1
0101,0836,0.3
0101,1438,2.1
0101,2058,0.1
0102,0311,2.1
0102,0923,0.2
0102,1526,2.2
0102,2149,0.1
0103,0402,2.2
0103,1009,0.2
0103,1615,2.2
0103,2238,0.0
0104,0453,2.1
0104,1058,0.3
0104,1702,2.2
0104,2326,0.1
0105,0539,2.1
0105,1145,0.3
0105,1751,2.1
0106,0013,0.2
0106,0626,1.9
0106,1230,0.4
0106,1836,2.0
0107,0102,0.3
0107,0711,1.8
0107,1315,0.5
0107,1923,1.9
0108,0153,0.5
0108,0802,1.7
0108,1406,0.6
0108,2015,1.8
0109,0247,0.6
0109,0856,1.6
0109,1504,0.7
0109,2113,1.7
0110,0349,0.7
0110,0958,1.5
0110,1613,0.8
0110,2223,1.6
0111,0458,0.7
0111,1106,1.5
0111,1726,0.7
0111,2334,1.6
0112,0602,0.7
0112,1209,1.6
0112,1830,0.7
0113,0038,1.6
0113,0658,0.7
0113,1302,1.7
0113,1921,0.6
0114,0126,1.7
0114,0745,0.6
0114,1349,1.8
0114,2006,0.5
0115,0209,1.8
0115,0823,0.5
0115,1426,1.8
0115,2045,0.4
0116,0251,1.9
0116,0858,0.5
0116,1502,1.9
0116,2119,0.3
0117,0324,1.9
0117,0932,0.4
0117,1538,2.0
0117,2156,0.3
0118,0400,2.0
0118,1004,0.4
0118,1609,2.0
0118,2228,0.3
0119,0436,2.0
0119,1038,0.4
0119,1645,2.0
0119,2302,0.2
0120,0509,2.0
0120,1109,0.4
0120,1719,2.0
0120,2339,0.3
0121,0549,1.9
0121,1147,0.4
0121,1758,2.0
0122,0017,0.3
0122,0626,1.9
0122,1223,0.5
0122,1839,1.9
0123,0058,0.4
0123,0708,1.8
0123,1306,0.5
0123,1924,1.9
0124,0147,0.5
0124,0758,1.7
0124,1356,0.6
0124,2019,1.8
0125,0245,0.6
0125,0856,1.6
0125,1500,0.7
0125,2128,1.7
0126,0358,0.7
0126,1006,1.6
0126,1621,0.7
0126,2253,1.7
0127,0519,0.7
