data,hora,mare
0101,0121,0.0
0101,0802,3.1
0101,1347,0.2
0101,2023,3.2
0102,0206,0.1
0102,0858,3.1
0102,1436,0.2
0102,2109,3.3
0103,0258,0.1
0103,0951,3.1
0103,1513,0.1
0103,2202,3.4
0104,0353,0.2
0104,1038,3.1
0104,1602,0.1
0104,2258,3.4
0105,0441,0.1
0105,1119,3.1
0105,1658,0.1
0105,2351,3.3
0106,0524,0.1
0106,1209,3.1
0106,1754,0.2
0107,0041,3.2
0107,0615,0.0
0107,1304,3.1
0107,1851,0.2
0108,0130,3.1
0108,0709,0.1
0108,1400,3.0
0108,1947,0.3
0109,0219,2.9
0109,0806,0.2
0109,1458,2.9
0109,2043,0.4
0110,0315,2.8
0110,0904,0.4
0110,1554,2.8
0110,2145,0.5
0111,0421,2.6
0111,1006,0.6
0111,1658,2.7
0111,2251,0.5
0112,0545,2.6
0112,1113,0.7
0112,1808,2.7
0112,2356,0.5
0113,0653,2.7
0113,1219,0.7
0113,1902,2.8
0114,0054,0.4
0114,0743,2.7
0114,1309,0.6
0114,1954,2.9
0115,0143,0.3
0115,0813,2.8
0115,1354,0.5
0115,2034,3.0
0116,0217,0.2
0116,0858,2.9
0116,1434,0.5
0116,2104,3.0
0117,0256,0.2
0117,0932,2.9
0117,1504,0.4
0117,2149,3.1
0118,0328,0.2
0118,1002,2.9
0118,1541,0.4
0118,2211,3.1
0119,0400,0.2
0119,1047,2.9
0119,1604,0.4
0119,2254,3.1
0120,0438,0.2
0120,1109,2.9
0120,1647,0.3
0120,2323,3.1
0121,0502,0.1
0121,1154,2.9
0121,1717,0.3
0122,0002,3.1
0122,0549,0.1
0122,1232,2.9
0122,1758,0.2
0123,0053,3.1
0123,0626,0.1
0123,1308,3.0
0123,1851,0.2
0124,0141,3.0
0124,0708,0.2
0124,1400,3.0
0124,1943,0.3
0125,0230,2.9
0125,0802,0.3
0125,1458,2.9
0125,2038,0.4
0126,0332,2.8
0126,0902,0.5
0126,1600,2.9
0126,2143,0.4
0127,0447,2.7
0127,1013,0.6
0127,1706,2.8
0127,2309,0.4
0128,0558,2.8
0128,1139,0.6
0128,1815,2.9
0129,0013,0.3
0129,0700,2.9
0129,1245,0.5
0129,1915,3.0
0130,0106,0.1
0130,0758,3.0
0130,1336,0.4
0130,2008,3.1
0131,0200,0.0
0131,0851,3.0
0131,1413,0.3
0131,2102,3.2
0201,0253,0.1
0201,0936,3.0
0201,1502,0.1
0201,2156,3.3
0202,0336,0.1
0202,1011,3.1
0202,1556,0.1
0202,2245,3.3
0203,0411,0.1
0203,1102,3.1
0203,1645,0.1
0203,2323,3.3
0204,0502,0.1
0204,1154,3.1
0204,1724,0.1
0205,0006,3.2
0205,0556,0.0
0205,1243,3.1
0205,1808,0.1
0206,0100,3.1
0206,0643,0.1
0206,1321,3.0
0206,1900,0.2
0207,0151,3.0
0207,0724,0.3
0207,1408,2.9
0207,1956,0.4
0208,0239,2.7
0208,0811,0.5
0208,1500,2.8
0208,2053,0.5
0209,0332,2.5
0209,0904,0.7
0209,1556,2.6
0209,2154,0.6
0210,0449,2.4
0210,1013,0.9
0210,1721,2.5
0210,2317,0.6
0211,0615,2.4
0211,1143,0.9
0211,1839,2.6
0212,0026,0.5
0212,0706,2.6
0212,1249,0.8
0212,1924,2.7
0213,0113,0.4
0213,0758,2.7
0213,1336,0.6
0213,2004,2.8
0214,0156,0.3
0214,0834,2.8
0214,1406,0.5
0214,2051,2.9
0215,0230,0.3
0215,0904,2.9
0215,1447,0.4
0215,2115,3.0
0216,0300,0.2
0216,0947,2.9
0216,1508,0.4
0216,2156,3.1
0217,0336,0.2
0217,1008,2.9
0217,1549,0.3
0217,2221,3.1
0218,0400,0.1
0218,1053,2.9
0218,1611,0.2
0218,2300,3.2
0219,0443,0.0
0219,1117,3.0
0219,1654,0.1
0219,2345,3.2
0220,0511,0.0
0220,1200,3.1
0220,1739,0.0
0221,0019,3.1
0221,0556,0.0
0221,1251,3.1
0221,1817,0.1
0222,0106,3.0
0222,0647,0.2
0222,1338,3.0
0222,1904,0.1
0223,0202,2.9
0223,0738,0.4
0223,1424,2.9
0223,2002,0.3
0224,0304,2.7
0224,0828,0.6
0224,1532,2.7
0224,2109,0.4
0225,0426,2.6
0225,0943,0.8
0225,1654,2.7
0225,2253,0.5
0226,0553,2.6
0226,1134,0.8
0226,1806,2.7
0227,0002,0.3
0227,0656,2.8
0227,1234,0.6
0227,1908,2.9
0228,0100,0.2
0228,0753,2.9
0228,1317,0.4
0228,2002,3.1
0301,0153,0.1
0301,0838,3.0
0301,1404,0.3
0301,2058,3.2
0302,0232,0.1
0302,0911,3.0
0302,1456,0.1
0302,2145,3.2
0303,0308,0.0
0303,1000,3.1
0303,1538,0.1
0303,2215,3.2
0304,0358,0.0
0304,1049,3.1
0304,1609,0.0
0304,2300,3.2
0305,0443,0.0
0305,1121,3.1
0305,1658,0.0
0305,2349,3.2
0306,0517,0.1
0306,1202,3.1
0306,1745,0.1
0307,0024,3.0
0307,0600,0.2
0307,1253,3.0
0307,1824,0.2
0308,0106,2.9
0308,0647,0.4
0308,1330,2.9
0308,1906,0.3
0309,0158,2.7
0309,0724,0.6
0309,1409,2.7
