data,hora,mare
2022-01-01,0543,0.4
2022-01-01,1049,4.6
2022-01-01,1751,0.5
2022-01-01,2258,4.9
2022-01-02,0639,0.4
2022-01-02,1132,4.6
2022-01-02,1849,0.4
2022-01-02,2351,5.0
2022-01-03,0730,0.3
2022-01-03,1215,4.7
2022-01-03,1945,0.4
2022-01-04,0038,5.0
2022-01-04,0811,0.3
2022-01-04,1308,4.7
2022-01-04,2036,0.4
2022-01-05,0121,4.9
2022-01-05,0900,0.3
2022-01-05,1402,4.6
2022-01-05,2119,0.5
2022-01-06,0211,4.9
2022-01-06,0954,0.3
2022-01-06,1456,4.6
2022-01-06,2204,0.5
2022-01-07,0306,4.7
2022-01-07,1043,0.4
2022-01-07,1547,4.5
2022-01-07,2256,0.6
2022-01-08,0402,4.6
2022-01-08,1126,0.5
2022-01-08,1634,4.5
2022-01-08,2347,0.8
2022-01-09,0500,4.4
2022-01-09,1211,0.7
2022-01-09,1726,4.4
2022-01-10,0039,0.9
2022-01-10,0604,4.2
2022-01-10,1300,0.8
2022-01-10,1828,4.3
2022-01-11,0138,0.9
2022-01-11,0719,4.1
2022-01-11,1356,0.9
2022-01-11,1939,4.2
2022-01-12,0241,0.9
2022-01-12,0830,4.1
2022-01-12,1456,1.0
2022-01-12,2049,4.3
2022-01-13,0347,0.9
2022-01-13,0924,4.1
2022-01-13,1602,1.0
2022-01-13,2143,4.3
2022-01-14,0453,0.8
2022-01-14,1011,4.2
2022-01-14,1706,1.0
2022-01-14,2223,4.4
2022-01-15,0549,0.7
2022-01-15,1100,4.3
2022-01-15,1751,0.9
2022-01-15,2304,4.5
2022-01-16,0632,0.6
2022-01-16,1136,4.3
2022-01-16,1838,0.8
2022-01-16,2347,4.5
2022-01-17,0700,0.6
2022-01-17,1206,4.4
2022-01-17,1906,0.8
2022-01-18,0011,4.6
2022-01-18,0743,0.6
2022-01-18,1247,4.4
2022-01-18,1945,0.7
2022-01-19,0054,4.7
2022-01-19,0809,0.5
2022-01-19,1311,4.5
2022-01-19,2021,0.7
2022-01-20,0119,4.7
2022-01-20,0851,0.5
2022-01-20,1354,4.5
2022-01-20,2054,0.6
2022-01-21,0200,4.8
2022-01-21,0928,0.5
2022-01-21,1423,4.5
2022-01-21,2139,0.6
2022-01-22,0243,4.7
2022-01-22,1000,0.5
2022-01-22,1502,4.6
2022-01-22,2217,0.6
2022-01-23,0315,4.7
2022-01-23,1047,0.5
2022-01-23,1551,4.6
2022-01-23,2258,0.7
2022-01-24,0404,4.6
2022-01-24,1130,0.6
2022-01-24,1630,4.6
2022-01-24,2351,0.7
2022-01-25,0502,4.4
2022-01-25,1209,0.7
2022-01-25,1723,4.5
2022-01-26,0045,0.8
2022-01-26,0609,4.2
2022-01-26,1304,0.8
2022-01-26,1832,4.4
2022-01-27,0145,0.8
2022-01-27,0734,4.2
2022-01-27,1411,0.9
2022-01-27,1951,4.4
2022-01-28,0311,0.8
2022-01-28,0845,4.2
2022-01-28,1532,0.9
2022-01-28,2058,4.5
2022-01-29,0434,0.7
2022-01-29,0943,4.3
2022-01-29,1649,0.8
2022-01-29,2156,4.6
2022-01-30,0538,0.5
2022-01-30,1034,4.4
2022-01-30,1751,0.6
2022-01-30,2251,4.7
2022-01-31,0626,0.4
2022-01-31,1117,4.5
2022-01-31,1847,0.5
2022-01-31,2337,4.8
2022-02-01,0709,0.4
2022-02-01,1206,4.6
2022-02-01,1936,0.4
2022-02-02,0017,4.9
2022-02-02,0758,0.3
2022-02-02,1258,4.7
2022-02-02,2011,0.4
2022-02-03,0106,4.9
2022-02-03,0849,0.3
2022-02-03,1341,4.7
2022-02-03,2058,0.4
2022-02-04,0158,4.9
2022-02-04,0928,0.4
2022-02-04,1419,4.7
2022-02-04,2145,0.4
2022-02-05,0243,4.8
2022-02-05,1004,0.4
2022-02-05,1506,4.6
2022-02-05,2223,0.5
2022-02-06,0326,4.6
2022-02-06,1047,0.5
2022-02-06,1556,4.6
2022-02-06,2304,0.7
2022-02-07,0415,4.4
2022-02-07,1126,0.7
2022-02-07,1643,4.4
2022-02-07,2351,0.8
2022-02-08,0513,4.2
2022-02-08,1211,0.9
2022-02-08,1736,4.2
2022-02-09,0045,1.0
2022-02-09,0623,3.9
2022-02-09,1308,1.1
2022-02-09,1839,4.1
2022-02-10,0153,1.1
2022-02-10,0743,3.8
2022-02-10,1411,1.3
2022-02-10,1956,4.0
2022-02-11,0306,1.1
2022-02-11,0854,3.9
2022-02-11,1524,1.3
2022-02-11,2102,4.0
2022-02-12,0423,1.0
2022-02-12,0951,4.0
2022-02-12,1638,1.2
2022-02-12,2158,4.1
2022-02-13,0521,0.8
2022-02-13,1030,4.1
2022-02-13,1736,1.1
2022-02-13,2241,4.2
2022-02-14,0602,0.7
2022-02-14,1106,4.2
2022-02-14,1811,0.9
2022-02-14,2311,4.4
2022-02-15,0645,0.6
2022-02-15,1145,4.3
2022-02-15,1851,0.7
2022-02-15,2353,4.6
2022-02-16,0711,0.6
2022-02-16,1209,4.5
2022-02-16,1924,0.6
2022-02-17,0017,4.7
2022-02-17,0753,0.5
2022-02-17,1251,4.5
2022-02-17,1956,0.5
2022-02-18,0058,4.8
2022-02-18,0826,0.4
2022-02-18,1313,4.6
2022-02-18,2041,0.4
2022-02-19,0136,4.8
2022-02-19,0858,0.4
2022-02-19,1358,4.7
2022-02-19,2113,0.5
2022-02-20,0206,4.9
2022-02-20,0943,0.4
2022-02-20,1434,4.7
2022-02-20,2154,0.5
2022-02-21,0258,4.8
2022-02-21,1015,0.5
2022-02-21,1509,4.8
2022-02-21,2239,0.6
2022-02-22,0343,4.7
2022-02-22,1054,0.6
2022-02-22,1600,4.7
2022-02-22,2319,0.7
2022-02-23,0434,4.4
2022-02-23,1143,0.8
2022-02-23,1656,4.5
2022-02-24,0008,0.8
2022-02-24,0547,4.2
2022-02-24,1236,1.0
2022-02-24,1808,4.3
2022-02-25,0119,0.9
2022-02-25,0709,4.1
2022-02-25,1347,1.2
2022-02-25,1930,4.2
2022-02-26,0304,0.9
2022-02-26,0821,4.1
2022-02-26,1538,1.1
2022-02-26,2043,4.2
2022-02-27,0423,0.8
2022-02-27,0924,4.2
2022-02-27,1649,0.9
2022-02-27,2145,4.3
2022-02-28,0521,0.6
2022-02-28,1021,4.3
2022-02-28,1747,0.7
2022-02-28,2238,4.5
2022-03-01,0609,0.5
2022-03-01,1109,4.5
2022-03-01,1836,0.5
2022-03-01,2319,4.6
2022-03-02,0658,0.4
2022-03-02,1158,4.6
2022-03-02,1911,0.4
2022-03-03,0006,4.8
2022-03-03,0747,0.4
2022-03-03,1234,4.6
2022-03-03,1956,0.3
2022-03-04,0054,4.8
2022-03-04,0819,0.4
2022-03-04,1309,4.7
2022-03-04,2039,0.4
2022-03-05,0134,4.8
2022-03-05,0856,0.4
2022-03-05,1358,4.7
2022-03-05,2111,0.4
2022-03-06,0211,4.8
2022-03-06,0936,0.5
2022-03-06,1436,4.6
2022-03-06,2151,0.5
2022-03-07,0300,4.6
2022-03-07,1008,0.6
2022-03-07,1511,4.6
2022-03-07,2228,0.6
2022-03-08,0347,4.4
2022-03-08,1045,0.8
2022-03-08,1600,4.4
2022-03-08,2309,0.8
2022-03-09,0436,4.1
2022-03-09,1126,1.0
2022-03-09,1651,4.2
2022-03-10,0000,1.0
2022-03-10,0538,3.9
2022-03-10,1221,1.3
2022-03-10,1753,3.9
2022-03-11,0108,1.2
2022-03-11,0651,3.7
2022-03-11,1334,1.5
2022-03-11,1904,3.8
2022-03-12,0224,1.2
2022-03-12,0802,3.7
2022-03-12,1453,1.5
2022-03-12,2019,3.7
2022-03-13,0339,1.2
2022-03-13,0906,3.8
2022-03-13,1602,1.4
2022-03-13,2119,3.9
2022-03-14,0445,1.0
2022-03-14,1000,4.0
2022-03-14,1700,1.2
2022-03-14,2206,4.1
2022-03-15,0534,0.9
2022-03-15,1038,4.2
2022-03-15,1747,0.9
2022-03-15,2251,4.3
2022-03-16,0606,0.7
2022-03-16,1106,4.3
2022-03-16,1821,0.7
2022-03-16,2315,4.5
2022-03-17,0649,0.6
2022-03-17,1143,4.5
2022-03-17,1856,0.5
2022-03-17,2358,4.7
2022-03-18,0721,0.5
2022-03-18,1208,4.6
2022-03-18,1939,0.4
2022-03-19,0026,4.8
2022-03-19,0756,0.4
2022-03-19,1254,4.7
2022-03-19,2011,0.4
2022-03-20,0104,4.9
2022-03-20,0841,0.4
2022-03-20,1321,4.8
2022-03-20,2054,0.4
2022-03-21,0153,4.9
2022-03-21,0911,0.5
2022-03-21,1402,4.8
2022-03-21,2138,0.5
2022-03-22,0230,4.8
2022-03-22,0953,0.6
2022-03-22,1453,4.8
2022-03-22,2213,0.6
2022-03-23,0315,4.6
2022-03-23,1036,0.7
2022-03-23,1538,4.6
2022-03-23,2256,0.7
2022-03-24,0419,4.4
2022-03-24,1119,0.9
2022-03-24,1636,4.4
2022-03-24,2354,0.8
2022-03-25,0541,4.2
2022-03-25,1221,1.1
2022-03-25,1756,4.2
2022-03-26,0130,1.0
2022-03-26,0658,4.1
2022-03-26,1358,1.2
2022-03-26,1911,4.1
2022-03-27,0258,0.9
2022-03-27,0808,4.1
2022-03-27,1532,1.1
2022-03-27,2024,4.1
2022-03-28,0406,0.8
2022-03-28,0917,4.2
2022-03-28,1639,0.8
2022-03-28,2134,4.2
2022-03-29,0506,0.6
2022-03-29,1011,4.3
2022-03-29,1734,0.6
2022-03-29,2226,4.4
2022-03-30,0558,0.5
2022-03-30,1100,4.4
2022-03-30,1815,0.5
2022-03-30,2309,4.6
2022-03-31,0647,0.5
2022-03-31,1136,4.5
2022-03-31,1858,0.4
2022-03-31,2357,4.7
2022-04-01,0719,0.5
2022-04-01,1209,4.6
2022-04-01,1941,0.4
2022-04-02,0034,4.7
2022-04-02,0754,0.5
2022-04-02,1254,4.7
2022-04-02,2009,0.4
2022-04-03,0109,4.7
2022-04-03,0832,0.5
2022-04-03,1326,4.7
2022-04-03,2047,0.4
2022-04-04,0156,4.7
2022-04-04,0900,0.6
2022-04-04,1404,4.6
2022-04-04,2124,0.5
2022-04-05,0236,4.5
2022-04-05,0938,0.7
2022-04-05,1449,4.5
2022-04-05,2158,0.7
2022-04-06,0315,4.3
2022-04-06,1013,0.9
2022-04-06,1526,4.3
2022-04-06,2238,0.8
2022-04-07,0404,4.1
2022-04-07,1051,1.1
2022-04-07,1611,4.1
2022-04-07,2326,1.0
2022-04-08,0500,3.9
2022-04-08,1136,1.3
2022-04-08,1708,3.9
2022-04-09,0030,1.2
2022-04-09,0602,3.8
2022-04-09,1243,1.5
2022-04-09,1815,3.7
2022-04-10,0141,1.3
2022-04-10,0709,3.7
2022-04-10,1400,1.5
2022-04-10,1932,3.7
2022-04-11,0251,1.2
2022-04-11,0817,3.8
2022-04-11,1511,1.4
2022-04-11,2043,3.8
2022-04-12,0354,1.1
2022-04-12,0913,4.0
2022-04-12,1615,1.2
2022-04-12,2134,4.0
2022-04-13,0449,0.9
2022-04-13,1000,4.2
2022-04-13,1702,0.9
2022-04-13,2211,4.3
2022-04-14,0534,0.7
2022-04-14,1032,4.3
2022-04-14,1749,0.6
2022-04-14,2254,4.5
2022-04-15,0608,0.6
2022-04-15,1104,4.5
2022-04-15,1832,0.5
2022-04-15,2321,4.7
2022-04-16,0653,0.5
2022-04-16,1147,4.7
2022-04-16,1906,0.4
2022-04-17,0002,4.8
2022-04-17,0736,0.4
2022-04-17,1213,4.8
2022-04-17,1953,0.3
2022-04-18,0049,4.8
2022-04-18,0808,0.5
2022-04-18,1300,4.9
2022-04-18,2039,0.4
2022-04-19,0123,4.8
2022-04-19,0853,0.5
2022-04-19,1347,4.8
2022-04-19,2117,0.4
2022-04-20,0209,4.7
2022-04-20,0939,0.6
2022-04-20,1428,4.7
2022-04-20,2200,0.5
2022-04-21,0308,4.5
2022-04-21,1023,0.8
2022-04-21,1521,4.6
2022-04-21,2254,0.7
2022-04-22,0417,4.4
2022-04-22,1117,1.0
2022-04-22,1634,4.4
2022-04-23,0002,0.8
2022-04-23,0532,4.3
2022-04-23,1236,1.1
2022-04-23,1751,4.2
2022-04-24,0130,0.9
2022-04-24,0641,4.2
2022-04-24,1358,1.1
2022-04-24,1902,4.1
2022-04-25,0245,0.8
2022-04-25,0751,4.2
2022-04-25,1508,0.9
2022-04-25,2017,4.1
2022-04-26,0351,0.7
2022-04-26,0902,4.3
2022-04-26,1615,0.7
2022-04-26,2126,4.3
2022-04-27,0451,0.6
2022-04-27,0956,4.4
2022-04-27,1709,0.6
2022-04-27,2215,4.4
2022-04-28,0541,0.6
2022-04-28,1039,4.5
2022-04-28,1758,0.4
2022-04-28,2300,4.6
2022-04-29,0619,0.6
2022-04-29,1111,4.6
2022-04-29,1845,0.4
2022-04-29,2341,4.6
2022-04-30,0654,0.6
2022-04-30,1156,4.6
2022-04-30,1917,0.4
2022-05-01,0013,4.6
2022-05-01,0736,0.6
2022-05-01,1230,4.6
2022-05-01,1951,0.4
2022-05-02,0058,4.6
2022-05-02,0800,0.6
2022-05-02,1304,4.6
2022-05-02,2030,0.5
2022-05-03,0138,4.5
2022-05-03,0838,0.7
2022-05-03,1349,4.5
2022-05-03,2102,0.6
2022-05-04,0211,4.4
2022-05-04,0917,0.8
2022-05-04,1421,4.4
2022-05-04,2141,0.7
2022-05-05,0258,4.3
2022-05-05,0949,0.9
2022-05-05,1500,4.3
2022-05-05,2224,0.8
2022-05-06,0345,4.2
2022-05-06,1032,1.1
2022-05-06,1547,4.2
2022-05-06,2304,0.9
2022-05-07,0432,4.1
2022-05-07,1119,1.2
2022-05-07,1638,4.0
2022-05-07,2353,1.0
2022-05-08,0524,4.0
2022-05-08,1213,1.3
2022-05-08,1738,3.9
2022-05-09,0053,1.1
2022-05-09,0623,3.9
2022-05-09,1313,1.3
2022-05-09,1845,3.8
2022-05-10,0156,1.1
2022-05-10,0724,4.0
2022-05-10,1417,1.2
2022-05-10,1954,3.9
2022-05-11,0256,1.1
2022-05-11,0823,4.1
2022-05-11,1523,1.1
2022-05-11,2054,4.1
2022-05-12,0354,0.9
2022-05-12,0911,4.2
2022-05-12,1621,0.8
2022-05-12,2141,4.3
2022-05-13,0447,0.8
2022-05-13,0956,4.4
2022-05-13,1711,0.6
2022-05-13,2215,4.5
2022-05-14,0538,0.6
2022-05-14,1034,4.6
2022-05-14,1756,0.5
2022-05-14,2300,4.6
2022-05-15,0621,0.5
2022-05-15,1108,4.7
2022-05-15,1847,0.4
2022-05-15,2345,4.7
2022-05-16,0700,0.5
2022-05-16,1158,4.8
2022-05-16,1936,0.4
2022-05-17,0021,4.7
2022-05-17,0751,0.5
2022-05-17,1243,4.8
2022-05-17,2017,0.4
2022-05-18,0108,4.7
2022-05-18,0841,0.5
2022-05-18,1323,4.8
2022-05-18,2102,0.4
2022-05-19,0204,4.6
2022-05-19,0930,0.6
2022-05-19,1415,4.7
2022-05-19,2158,0.5
2022-05-20,0306,4.5
2022-05-20,1019,0.7
2022-05-20,1517,4.6
2022-05-20,2256,0.5
2022-05-21,0409,4.5
2022-05-21,1119,0.8
2022-05-21,1624,4.4
2022-05-22,0000,0.6
2022-05-22,0511,4.4
2022-05-22,1228,0.9
2022-05-22,1732,4.3
2022-05-23,0104,0.7
2022-05-23,0615,4.4
2022-05-23,1339,0.9
2022-05-23,1843,4.2
2022-05-24,0208,0.7
2022-05-24,0726,4.3
2022-05-24,1447,0.8
2022-05-24,2004,4.2
2022-05-25,0311,0.7
2022-05-25,0836,4.3
2022-05-25,1551,0.7
2022-05-25,2106,4.3
2022-05-26,0413,0.7
2022-05-26,0928,4.4
2022-05-26,1651,0.6
2022-05-26,2200,4.4
2022-05-27,0506,0.7
2022-05-27,1011,4.5
2022-05-27,1743,0.5
2022-05-27,2245,4.5
2022-05-28,0553,0.7
2022-05-28,1058,4.6
2022-05-28,1823,0.5
2022-05-28,2319,4.5
2022-05-29,0638,0.7
2022-05-29,1136,4.6
2022-05-29,1858,0.5
2022-05-30,0002,4.5
2022-05-30,0708,0.7
2022-05-30,1208,4.6
2022-05-30,1941,0.5
2022-05-31,0043,4.4
2022-05-31,0745,0.7
2022-05-31,1254,4.6
2022-05-31,2011,0.6
2022-06-01,0113,4.4
2022-06-01,0824,0.8
2022-06-01,1323,4.5
2022-06-01,2051,0.6
2022-06-02,0200,4.3
2022-06-02,0854,0.9
2022-06-02,1402,4.4
2022-06-02,2130,0.6
2022-06-03,0239,4.3
2022-06-03,0938,0.9
2022-06-03,1443,4.3
2022-06-03,2200,0.7
2022-06-04,0315,4.3
2022-06-04,1015,1.0
2022-06-04,1519,4.3
2022-06-04,2247,0.7
2022-06-05,0402,4.2
2022-06-05,1053,1.0
2022-06-05,1606,4.2
2022-06-05,2330,0.8
2022-06-06,0447,4.2
2022-06-06,1145,1.1
2022-06-06,1700,4.1
2022-06-07,0011,0.9
2022-06-07,0536,4.2
2022-06-07,1238,1.1
2022-06-07,1758,4.0
2022-06-08,0102,0.9
2022-06-08,0632,4.2
2022-06-08,1330,1.0
2022-06-08,1904,4.0
2022-06-09,0200,1.0
2022-06-09,0730,4.2
2022-06-09,1428,0.9
2022-06-09,2008,4.1
2022-06-10,0300,0.9
2022-06-10,0826,4.3
2022-06-10,1532,0.8
2022-06-10,2104,4.2
2022-06-11,0358,0.8
2022-06-11,0913,4.4
2022-06-11,1638,0.6
2022-06-11,2156,4.4
2022-06-12,0454,0.7
2022-06-12,1002,4.6
2022-06-12,1736,0.5
2022-06-12,2241,4.5
2022-06-13,0549,0.6
2022-06-13,1054,4.7
2022-06-13,1828,0.4
2022-06-13,2319,4.6
2022-06-14,0645,0.6
2022-06-14,1139,4.8
2022-06-14,1915,0.4
2022-06-15,0008,4.6
2022-06-15,0739,0.5
2022-06-15,1221,4.8
2022-06-15,2002,0.4
2022-06-16,0102,4.6
2022-06-16,0828,0.6
2022-06-16,1309,4.8
2022-06-16,2058,0.3
2022-06-17,0200,4.6
2022-06-17,0915,0.6
2022-06-17,1406,4.7
2022-06-17,2154,0.4
2022-06-18,0258,4.6
2022-06-18,1006,0.6
2022-06-18,1506,4.6
2022-06-18,2251,0.4
2022-06-19,0354,4.5
2022-06-19,1102,0.6
2022-06-19,1606,4.5
2022-06-19,2345,0.5
2022-06-20,0451,4.5
2022-06-20,1202,0.7
2022-06-20,1709,4.4
2022-06-21,0039,0.6
2022-06-21,0547,4.4
2022-06-21,1302,0.7
2022-06-21,1819,4.3
2022-06-22,0134,0.7
2022-06-22,0647,4.4
2022-06-22,1404,0.8
2022-06-22,1936,4.2
2022-06-23,0228,0.9
2022-06-23,0756,4.3
2022-06-23,1509,0.7
2022-06-23,2043,4.2
2022-06-24,0330,0.9
2022-06-24,0858,4.4
2022-06-24,1619,0.7
2022-06-24,2138,4.3
2022-06-25,0436,0.9
2022-06-25,0951,4.4
2022-06-25,1715,0.6
2022-06-25,2219,4.3
2022-06-26,0534,0.9
2022-06-26,1034,4.5
2022-06-26,1800,0.5
2022-06-26,2304,4.4
2022-06-27,0613,0.9
2022-06-27,1109,4.5
2022-06-27,1849,0.5
2022-06-27,2349,4.4
2022-06-28,0653,0.8
2022-06-28,1156,4.5
2022-06-28,1921,0.6
2022-06-29,0017,4.3
2022-06-29,0734,0.9
2022-06-29,1226,4.4
2022-06-29,1956,0.6
2022-06-30,0100,4.3
2022-06-30,0800,0.8
2022-06-30,1302,4.5
2022-06-30,2036,0.6
2022-07-01,0136,4.3
2022-07-01,0843,0.8
2022-07-01,1343,4.4
2022-07-01,2102,0.6
2022-07-02,0208,4.3
2022-07-02,0915,0.9
2022-07-02,1411,4.4
2022-07-02,2147,0.6
2022-07-03,0253,4.3
2022-07-03,0953,0.8
2022-07-03,1458,4.4
2022-07-03,2217,0.6
2022-07-04,0323,4.3
2022-07-04,1036,0.9
2022-07-04,1536,4.3
2022-07-04,2256,0.7
2022-07-05,0406,4.4
2022-07-05,1109,0.9
2022-07-05,1615,4.3
2022-07-05,2343,0.7
2022-07-06,0451,4.3
2022-07-06,1158,0.9
2022-07-06,1709,4.2
2022-07-07,0023,0.9
2022-07-07,0538,4.3
2022-07-07,1253,0.9
2022-07-07,1815,4.1
2022-07-08,0109,0.9
2022-07-08,0638,4.3
2022-07-08,1347,0.9
2022-07-08,1930,4.0
2022-07-09,0209,1.0
2022-07-09,0745,4.3
2022-07-09,1449,0.8
2022-07-09,2036,4.1
2022-07-10,0317,1.0
2022-07-10,0847,4.4
2022-07-10,1608,0.7
2022-07-10,2130,4.2
2022-07-11,0430,0.9
2022-07-11,0943,4.5
2022-07-11,1713,0.6
2022-07-11,2219,4.4
2022-07-12,0536,0.8
2022-07-12,1032,4.6
2022-07-12,1806,0.5
2022-07-12,2308,4.5
2022-07-13,0634,0.7
2022-07-13,1117,4.7
2022-07-13,1900,0.4
2022-07-14,0002,4.5
2022-07-14,0723,0.6
2022-07-14,1208,4.7
2022-07-14,1956,0.4
2022-07-15,0056,4.5
2022-07-15,0809,0.5
2022-07-15,1302,4.8
2022-07-15,2051,0.3
2022-07-16,0143,4.5
2022-07-16,0900,0.5
2022-07-16,1358,4.7
2022-07-16,2139,0.4
2022-07-17,0230,4.6
2022-07-17,0954,0.5
2022-07-17,1453,4.6
2022-07-17,2221,0.4
2022-07-18,0319,4.6
2022-07-18,1047,0.5
2022-07-18,1543,4.5
2022-07-18,2306,0.5
2022-07-19,0413,4.5
2022-07-19,1136,0.6
2022-07-19,1638,4.4
2022-07-19,2356,0.6
2022-07-20,0509,4.4
2022-07-20,1226,0.8
2022-07-20,1739,4.2
2022-07-21,0047,0.8
2022-07-21,0611,4.3
2022-07-21,1321,0.8
2022-07-21,1856,4.0
2022-07-22,0139,1.0
2022-07-22,0719,4.2
2022-07-22,1424,0.9
2022-07-22,2008,4.0
2022-07-23,0238,1.2
2022-07-23,0823,4.2
2022-07-23,1538,0.9
2022-07-23,2106,4.1
2022-07-24,0345,1.2
