data,hora,mare
0101,0147,3.1
0101,0953,0.3
0101,1430,3.0
0101,2200,0.4
0102,0236,3.2
0102,1049,0.3
0102,1519,3.0
0102,2254,0.3
0103,0323,3.3
0103,1141,0.3
0103,1609,3.1
0103,2345,0.3
0104,0413,3.3
0104,1232,0.3
0104,1700,3.1
0105,0038,0.3
0105,0508,3.3
0105,1319,0.3
0105,1754,3.1
0106,0128,0.3
0106,0604,3.2
0106,1406,0.3
0106,1847,3.1
0107,0219,0.4
0107,0702,3.2
0107,1456,0.3
0107,1939,3.0
0108,0313,0.4
0108,0800,3.0
0108,1543,0.4
0108,2032,2.9
0109,0406,0.5
0109,0858,2.9
0109,1628,0.5
0109,2128,2.8
0110,0502,0.6
0110,1000,2.7
0110,1715,0.7
0110,2226,2.7
0111,0604,0.7
0111,1104,2.6
0111,1809,0.8
0111,2328,2.7
0112,0711,0.7
0112,1209,2.6
0112,1917,0.8
0113,0026,2.7
0113,0823,0.6
0113,1309,2.6
0113,2026,0.8
0114,0119,2.8
0114,0919,0.5
0114,1402,2.7
0114,2119,0.7
0115,0206,2.9
0115,1004,0.4
0115,1449,2.8
0115,2202,0.6
0116,0249,3.0
0116,1047,0.4
0116,1524,2.9
0116,2243,0.5
0117,0323,3.0
0117,1119,0.4
0117,1602,2.9
0117,2315,0.5
0118,0358,3.1
0118,1151,0.4
0118,1634,2.9
0118,2351,0.4
0119,0430,3.1
0119,1221,0.4
0119,1706,3.0
0120,0024,0.4
0120,0504,3.1
0120,1254,0.4
0120,1739,3.0
0121,0102,0.4
0121,0543,3.1
0121,1334,0.4
0121,1809,3.0
0122,0145,0.5
0122,0619,3.1
0122,1409,0.4
0122,1851,3.0
0123,0228,0.5
0123,0704,3.1
0123,1454,0.4
0123,1930,3.0
0124,0315,0.5
0124,0756,3.0
0124,1543,0.5
0124,2019,3.0
0125,0409,0.6
0125,0854,2.9
0125,1634,0.6
0125,2113,2.9
0126,0509,0.6
0126,0958,2.8
0126,1734,0.6
0126,2217,2.9
0127,0617,0.5
0127,1109,2.7
0127,1838,0.6
0127,2326,2.9
0128,0730,0.5
0128,1223,2.7
0128,1947,0.6
0129,0032,3.0
0129,0841,0.4
0129,1328,2.8
0129,2053,0.5
0130,0132,3.1
0130,0945,0.3
0130,1423,2.9
0130,2153,0.4
0131,0223,3.2
0131,1041,0.2
0131,1513,3.0
0131,2247,0.3
0201,0313,3.3
0201,1132,0.2
0201,1600,3.1
0201,2336,0.2
0202,0404,3.3
0202,1213,0.2
0202,1645,3.2
0203,0021,0.2
0203,0456,3.3
0203,1258,0.2
0203,1726,3.2
0204,0106,0.2
0204,0545,3.3
0204,1341,0.2
0204,1811,3.2
0205,0154,0.3
0205,0632,3.2
0205,1419,0.3
0205,1900,3.1
0206,0241,0.3
0206,0719,3.1
0206,1458,0.4
0206,1945,3.0
0207,0324,0.4
0207,0809,2.9
0207,1541,0.5
0207,2030,2.9
0208,0409,0.6
0208,0904,2.7
0208,1623,0.7
0208,2121,2.7
0209,0502,0.7
0209,1006,2.6
0209,1711,0.8
0209,2223,2.6
0210,0606,0.8
0210,1119,2.5
0210,1817,0.9
0210,2336,2.6
0211,0730,0.8
0211,1234,2.5
0211,1939,0.9
0212,0041,2.7
0212,0845,0.6
0212,1332,2.6
0212,2051,0.8
0213,0136,2.8
0213,0939,0.5
0213,1419,2.8
0213,2141,0.6
0214,0219,2.9
0214,1019,0.4
0214,1500,2.9
0214,2219,0.5
0215,0300,3.0
0215,1056,0.3
0215,1538,3.0
0215,2254,0.4
0216,0336,3.1
0216,1126,0.3
0216,1608,3.0
0216,2328,0.4
0217,0406,3.1
0217,1156,0.3
0217,1639,3.0
0218,0000,0.3
