data,hora,mare
2022-01-01,0251,2.6
2022-01-01,0856,0.3
2022-01-01,1502,2.7
2022-01-01,2115,0.1
2022-01-02,0338,2.7
2022-01-02,0939,0.2
2022-01-02,1549,2.8
2022-01-02,2200,0.1
2022-01-03,0423,2.7
2022-01-03,1019,0.3
2022-01-03,1634,2.8
2022-01-03,2245,0.1
2022-01-04,0509,2.7
2022-01-04,1100,0.3
2022-01-04,1717,2.7
2022-01-04,2324,0.2
2022-01-05,0556,2.6
2022-01-05,1141,0.5
2022-01-05,1804,2.6
2022-01-06,0008,0.3
2022-01-06,0643,2.4
2022-01-06,1221,0.6
2022-01-06,1853,2.4
2022-01-07,0053,0.5
2022-01-07,0730,2.2
2022-01-07,1304,0.8
2022-01-07,1941,2.3
2022-01-08,0136,0.7
2022-01-08,0821,2.0
2022-01-08,1356,0.9
2022-01-08,2036,2.1
2022-01-09,0228,0.9
2022-01-09,0923,1.9
2022-01-09,1504,1.1
2022-01-09,2136,2.0
2022-01-10,0341,1.0
2022-01-10,1039,1.8
2022-01-10,1639,1.1
2022-01-10,2249,1.9
2022-01-11,0526,1.1
2022-01-11,1153,1.8
2022-01-11,1800,1.0
2022-01-12,0002,1.9
2022-01-12,0639,1.0
2022-01-12,1251,1.9
2022-01-12,1858,0.9
2022-01-13,0104,2.0
2022-01-13,0724,0.9
2022-01-13,1334,2.0
2022-01-13,1943,0.8
2022-01-14,0154,2.1
2022-01-14,0804,0.8
2022-01-14,1409,2.2
2022-01-14,2021,0.6
2022-01-15,0236,2.2
2022-01-15,0841,0.7
2022-01-15,1449,2.3
2022-01-15,2100,0.5
2022-01-16,0311,2.3
2022-01-16,0911,0.6
2022-01-16,1523,2.4
2022-01-16,2136,0.4
2022-01-17,0351,2.4
2022-01-17,0947,0.5
2022-01-17,1600,2.5
2022-01-17,2208,0.3
2022-01-18,0424,2.5
2022-01-18,1015,0.5
2022-01-18,1636,2.5
2022-01-18,2243,0.3
2022-01-19,0500,2.5
2022-01-19,1051,0.5
2022-01-19,1709,2.5
2022-01-19,2315,0.3
2022-01-20,0538,2.5
2022-01-20,1119,0.5
2022-01-20,1747,2.5
2022-01-20,2353,0.3
2022-01-21,0609,2.4
2022-01-21,1154,0.6
2022-01-21,1821,2.4
2022-01-22,0026,0.4
2022-01-22,0649,2.3
2022-01-22,1232,0.6
2022-01-22,1902,2.3
2022-01-23,0106,0.5
2022-01-23,0730,2.2
2022-01-23,1311,0.7
2022-01-23,1949,2.2
2022-01-24,0154,0.7
2022-01-24,0821,2.1
2022-01-24,1406,0.9
2022-01-24,2047,2.1
2022-01-25,0254,0.8
2022-01-25,0926,2.0
2022-01-25,1521,0.9
2022-01-25,2202,2.0
2022-01-26,0426,0.9
2022-01-26,1049,2.0
2022-01-26,1709,0.9
2022-01-26,2330,2.1
2022-01-27,0606,0.9
2022-01-27,1206,2.1
2022-01-27,1836,0.8
2022-01-28,0051,2.2
2022-01-28,0713,0.7
2022-01-28,1309,2.3
2022-01-28,1938,0.6
2022-01-29,0154,2.4
2022-01-29,0806,0.5
2022-01-29,1404,2.5
2022-01-29,2026,0.3
2022-01-30,0247,2.5
2022-01-30,0853,0.4
2022-01-30,1454,2.6
2022-01-30,2111,0.2
2022-01-31,0332,2.7
2022-01-31,0930,0.3
2022-01-31,1539,2.8
2022-01-31,2154,0.1
2022-02-01,0413,2.7
2022-02-01,1008,0.2
2022-02-01,1621,2.8
2022-02-01,2232,0.0
2022-02-02,0456,2.7
2022-02-02,1045,0.2
2022-02-02,1702,2.8
2022-02-02,2308,0.1
2022-02-03,0536,2.7
2022-02-03,1119,0.3
2022-02-03,1745,2.7
2022-02-03,2345,0.2
2022-02-04,0611,2.5
2022-02-04,1156,0.4
2022-02-04,1821,2.6
2022-02-05,0017,0.4
2022-02-05,0651,2.3
2022-02-05,1230,0.6
2022-02-05,1900,2.4
2022-02-06,0054,0.6
2022-02-06,0724,2.1
2022-02-06,1306,0.8
2022-02-06,1939,2.2
2022-02-07,0126,0.8
2022-02-07,0802,1.9
2022-02-07,1351,1.0
2022-02-07,2021,2.0
2022-02-08,0206,1.0
2022-02-08,0858,1.8
2022-02-08,1451,1.1
2022-02-08,2124,1.8
2022-02-09,0311,1.2
2022-02-09,1034,1.7
2022-02-09,1702,1.2
2022-02-09,2306,1.7
2022-02-10,0613,1.2
2022-02-10,1213,1.7
2022-02-10,1843,1.1
2022-02-11,0051,1.8
2022-02-11,0719,1.1
2022-02-11,1315,1.9
2022-02-11,1936,0.9
2022-02-12,0149,2.0
2022-02-12,0800,0.9
2022-02-12,1400,2.1
2022-02-12,2013,0.7
2022-02-13,0226,2.1
2022-02-13,0834,0.8
2022-02-13,1438,2.3
2022-02-13,2053,0.5
2022-02-14,0302,2.3
2022-02-14,0902,0.6
2022-02-14,1509,2.4
2022-02-14,2121,0.3
2022-02-15,0336,2.5
2022-02-15,0932,0.5
2022-02-15,1547,2.6
2022-02-15,2154,0.2
2022-02-16,0406,2.6
2022-02-16,1000,0.4
2022-02-16,1617,2.7
2022-02-16,2224,0.1
2022-02-17,0441,2.7
2022-02-17,1032,0.3
2022-02-17,1653,2.7
2022-02-17,2258,0.1
2022-02-18,0511,2.7
2022-02-18,1102,0.3
2022-02-18,1724,2.7
2022-02-18,2328,0.1
2022-02-19,0547,2.6
2022-02-19,1136,0.3
2022-02-19,1758,2.6
2022-02-20,0002,0.2
2022-02-20,0617,2.5
2022-02-20,1208,0.4
2022-02-20,1836,2.5
2022-02-21,0039,0.4
2022-02-21,0656,2.3
2022-02-21,1249,0.6
2022-02-21,1917,2.3
2022-02-22,0119,0.6
2022-02-22,0743,2.2
