data,hora,mare
0101,0211,2.1
0101,0819,0.3
0101,1411,2.1
0101,2047,0.1
0102,0304,2.1
0102,0909,0.3
0102,1502,2.1
0102,2134,0.0
0103,0354,2.2
0103,1000,0.3
0103,1553,2.1
0103,2217,0.0
0104,0439,2.1
0104,1045,0.3
0104,1639,2.1
0104,2302,0.1
0105,0521,2.0
0105,1124,0.3
0105,1724,2.0
0105,2349,0.3
0106,0604,1.8
0106,1206,0.4
0106,1809,2.0
0107,0034,0.4
0107,0656,1.7
0107,1253,0.5
0107,1900,1.9
0108,0123,0.5
0108,0756,1.5
0108,1347,0.6
0108,1958,1.7
0109,0221,0.7
0109,0902,1.5
0109,1454,0.7
0109,2104,1.6
0110,0328,0.7
0110,1006,1.5
0110,1602,0.7
0110,2213,1.6
0111,0434,0.8
0111,1102,1.5
0111,1706,0.7
0111,2317,1.6
0112,0536,0.8
0112,1158,1.6
0112,1804,0.6
0113,0017,1.6
0113,0632,0.7
0113,1249,1.6
0113,1900,0.6
0114,0109,1.7
0114,0721,0.7
0114,1338,1.7
0114,1953,0.5
0115,0200,1.7
0115,0806,0.6
0115,1419,1.8
0115,2038,0.5
0116,0243,1.8
0116,0849,0.5
0116,1500,1.9
0116,2115,0.4
0117,0319,1.8
0117,0923,0.4
0117,1539,1.9
0117,2154,0.3
0118,0358,1.9
0118,0958,0.4
0118,1608,2.0
0118,2224,0.2
0119,0434,1.9
0119,1034,0.4
0119,1645,2.0
0119,2258,0.2
0120,0504,1.9
0120,1104,0.4
0120,1713,2.0
0120,2328,0.2
0121,0539,1.9
0121,1141,0.4
0121,1753,2.0
0122,0002,0.3
0122,0609,1.8
0122,1211,0.5
0122,1826,1.9
0123,0043,0.4
0123,0654,1.7
0123,1254,0.5
0123,1909,1.8
0124,0128,0.5
0124,0743,1.6
0124,1343,0.6
0124,2006,1.7
0125,0228,0.5
0125,0847,1.6
0125,1453,0.7
0125,2117,1.7
0126,0341,0.6
0126,0956,1.6
0126,1611,0.6
0126,2239,1.7
0127,0456,0.6
0127,1100,1.7
0127,1732,0.5
0127,2356,1.7
0128,0608,0.6
0128,1202,1.8
0128,1843,0.4
0129,0106,1.9
0129,0715,0.5
0129,1302,1.9
0129,1945,0.2
0130,0206,2.0
0130,0813,0.4
0130,1400,2.0
0130,2039,0.1
0131,0256,2.1
0131,0902,0.3
0131,1454,2.1
0131,2126,0.1
0201,0341,2.1
0201,0949,0.2
0201,1545,2.1
0201,2209,0.1
0202,0421,2.1
0202,1026,0.2
0202,1626,2.2
0202,2253,0.1
0203,0502,2.0
0203,1104,0.2
0203,1706,2.2
0203,2328,0.2
0204,0541,1.9
0204,1141,0.3
0204,1747,2.1
0205,0002,0.3
0205,0617,1.8
0205,1217,0.4
0205,1823,1.9
0206,0034,0.5
0206,0658,1.6
0206,1300,0.5
0206,1906,1.7
0207,0106,0.6
0207,0741,1.5
0207,1351,0.7
0207,2002,1.6
0208,0147,0.8
0208,0847,1.4
0208,1458,0.7
0208,2123,1.5
0209,0309,0.9
0209,1008,1.4
0209,1617,0.8
0209,2249,1.4
0210,0454,0.9
0210,1123,1.4
0210,1736,0.8
0210,2358,1.5
0211,0606,0.8
0211,1228,1.5
0211,1845,0.7
0212,0056,1.6
0212,0704,0.7
0212,1321,1.6
0212,1941,0.6
0213,0149,1.6
0213,0753,0.6
0213,1406,1.8
0213,2023,0.5
0214,0230,1.8
0214,0832,0.5
0214,1447,1.9
0214,2100,0.3
0215,0306,1.9
0215,0906,0.4
0215,1517,2.0
0215,2136,0.2
0216,0345,2.0
0216,0945,0.3
0216,1554,2.1
0216,2204,0.1
0217,0411,2.0
0217,1015,0.2
0217,1623,2.1
0217,2239,0.1
0218,0447,2.1
0218,1051,0.2
0218,1658,2.2
0218,2308,0.1
0219,0513,2.0
0219,1117,0.2
0219,1730,2.1
0219,2343,0.2
0220,0551,2.0
0220,1153,0.3
0220,1804,2.0
0221,0015,0.3
0221,0623,1.8
0221,1224,0.4
0221,1847,1.9
0222,0058,0.4
0222,0706,1.7
0222,1309,0.5
0222,1939,1.7
0223,0151,0.6
0223,0804,1.7
0223,1415,0.6
0223,2056,1.6
0224,0302,0.7
0224,0915,1.6
0224,1547,0.6
0224,2224,1.6
0225,0438,0.8
0225,1034,1.6
0225,1713,0.6
0225,2353,1.7
0226,0602,0.7
0226,1147,1.7
0226,1834,0.4
0227,0100,1.8
0227,0711,0.5
0227,1254,1.8
0227,1939,0.3
0228,0154,2.0
0228,0804,0.4
0228,1353,2.0
0228,2032,0.2
0301,0239,2.0
0301,0849,0.2
0301,1443,2.1
0301,2117,0.1
0302,0321,2.1
0302,0926,0.2
0302,1524,2.2
0302,2158,0.1
0303,0400,2.0
0303,1004,0.1
0303,1604,2.2
0303,2230,0.1
0304,0438,2.0
0304,1041,0.2
0304,1643,2.2
0304,2300,0.2
0305,0508,1.9
0305,1113,0.3
0305,1715,2.1
0305,2324,0.3
0306,0541,1.9
0306,1149,0.3
0306,1753,1.9
0306,2353,0.4
0307,0606,1.8
0307,1219,0.4
0307,1824,1.8
0308,0017,0.6
0308,0632,1.6
0308,1254,0.6
0308,1904,1.6
0309,0053,0.7
0309,0702,1.5
0309,1336,0.7
0309,1958,1.4
0310,0138,0.9
0310,0811,1.3
0310,1504,0.9
0310,2156,1.3
0311,0351,1.0
0311,1054,1.3
0311,1704,0.9
0311,2332,1.4
0312,0541,0.9
0312,1206,1.4
0312,1826,0.8
0313,0041,1.5
0313,0643,0.8
0313,1300,1.6
0313,1917,0.6
0314,0128,1.6
0314,0728,0.6
0314,1343,1.7
0314,2000,0.4
0315,0208,1.8
0315,0808,0.5
0315,1417,1.9
0315,2034,0.3
0316,0245,1.9
0316,0847,0.3
0316,1454,2.0
0316,2106,0.2
0317,0313,2.0
0317,0917,0.2
0317,1526,2.1
0317,2141,0.1
0318,0349,2.1
0318,0953,0.1
0318,1600,2.2
0318,2211,0.0
0319,0417,2.1
0319,1023,0.1
0319,1636,2.3
0319,2249,0.0
0320,0453,2.1
0320,1056,0.1
0320,1708,2.2
0320,2317,0.1
0321,0523,2.0
0321,1130,0.2
0321,1749,2.1
0321,2354,0.2
0322,0600,1.9
0322,1206,0.3
0322,1828,1.9
0323,0034,0.4
0323,0641,1.8
0323,1253,0.4
0323,1924,1.7
0324,0124,0.7
0324,0736,1.7
0324,1354,0.6
0324,2051,1.6
0325,0251,0.8
0325,0854,1.5
0325,1526,0.6
0325,2223,1.6
0326,0432,0.8
0326,1017,1.5
0326,1706,0.6
0326,2345,1.7
0327,0556,0.7
0327,1139,1.7
0327,1830,0.5
0328,0045,1.8
0328,0654,0.5
0328,1243,1.8
0328,1934,0.4
0329,0134,1.9
0329,0741,0.4
0329,1336,2.0
0329,2019,0.3
0330,0219,1.9
0330,0823,0.3
0330,1421,2.1
0330,2058,0.2
0331,0300,2.0
0331,0902,0.2
0331,1502,2.2
0331,2130,0.2
0401,0336,2.0
0401,0941,0.2
0401,1541,2.2
0401,2200,0.2
0402,0406,2.0
0402,1013,0.2
0402,1615,2.1
0402,2226,0.2
0403,0439,2.0
0403,1051,0.2
0403,1653,2.0
0403,2254,0.3
0404,0504,1.9
0404,1117,0.3
0404,1723,1.9
0404,2319,0.5
0405,0532,1.8
0405,1151,0.4
0405,1758,1.8
0405,2351,0.6
0406,0558,1.7
0406,1217,0.6
0406,1828,1.6
0407,0021,0.7
0407,0630,1.5
0407,1256,0.7
0407,1906,1.5
0408,0104,0.8
0408,0717,1.4
0408,1400,0.9
0408,2028,1.3
0409,0226,0.9
0409,0951,1.3
0409,1632,0.9
0409,2302,1.3
0410,0458,0.9
0410,1124,1.4
0410,1753,0.7
0411,0009,1.5
0411,0606,0.8
0411,1217,1.6
0411,1843,0.6
0412,0058,1.6
0412,0656,0.6
0412,1302,1.7
0412,1921,0.4
0413,0136,1.8
0413,0738,0.5
0413,1345,1.9
0413,1958,0.3
0414,0208,1.9
0414,0811,0.3
0414,1421,2.0
0414,2036,0.1
0415,0243,2.0
0415,0849,0.2
0415,1458,2.2
0415,2109,0.0
0416,0315,2.1
0416,0923,0.1
0416,1536,2.3
0416,2149,0.0
0417,0353,2.2
0417,1000,0.1
0417,1611,2.3
0417,2221,0.0
0418,0426,2.2
0418,1039,0.1
0418,1653,2.2
0418,2258,0.1
0419,0500,2.1
0419,1113,0.1
0419,1734,2.0
0419,2338,0.3
0420,0539,2.0
0420,1156,0.2
0420,1821,1.9
0421,0019,0.5
0421,0621,1.8
0421,1243,0.4
0421,1923,1.7
0422,0119,0.7
0422,0719,1.6
0422,1345,0.5
0422,2049,1.6
0423,0251,0.8
0423,0849,1.5
0423,1519,0.7
0423,2211,1.6
0424,0419,0.8
0424,1011,1.6
0424,1702,0.6
0424,2323,1.6
0425,0528,0.6
0425,1123,1.7
0425,1821,0.5
0426,0021,1.7
0426,0623,0.5
0426,1219,1.9
0426,1913,0.4
0427,0109,1.8
0427,0711,0.4
0427,1308,2.0
0427,1953,0.3
0428,0153,1.9
0428,0756,0.3
0428,1354,2.0
0428,2026,0.3
0429,0230,1.9
0429,0838,0.3
0429,1438,2.1
0429,2058,0.3
0430,0304,2.0
0430,0915,0.2
0430,1515,2.0
0430,2128,0.3
0501,0339,2.0
0501,0953,0.2
0501,1556,2.0
0501,2200,0.4
0502,0408,1.9
0502,1023,0.3
0502,1630,1.9
0502,2228,0.4
0503,0441,1.9
0503,1056,0.3
0503,1702,1.9
0503,2300,0.5
0504,0508,1.8
0504,1124,0.4
0504,1736,1.8
0504,2332,0.6
0505,0545,1.7
0505,1200,0.6
0505,1806,1.6
0506,0004,0.6
0506,0617,1.6
0506,1241,0.7
0506,1851,1.5
0507,0051,0.8
0507,0704,1.5
0507,1339,0.8
0507,1956,1.4
0508,0156,0.9
0508,0821,1.4
0508,1521,0.8
0508,2206,1.4
0509,0356,0.9
0509,1011,1.5
0509,1651,0.7
0509,2319,1.5
0510,0515,0.8
0510,1121,1.6
0510,1749,0.6
0511,0006,1.6
0511,0608,0.6
0511,1211,1.7
0511,1834,0.4
0512,0047,1.8
0512,0653,0.5
0512,1258,1.9
0512,1917,0.3
0513,0124,1.9
0513,0734,0.3
0513,1343,2.0
0513,2000,0.2
0514,0204,2.0
0514,0815,0.2
0514,1426,2.2
0514,2041,0.1
0515,0245,2.1
0515,0858,0.1
0515,1509,2.2
0515,2121,0.1
0516,0323,2.2
0516,0941,0.1
0516,1556,2.2
0516,2200,0.1
0517,0402,2.2
0517,1021,0.0
0517,1641,2.1
0517,2245,0.2
0518,0443,2.1
0518,1102,0.1
0518,1726,2.0
0518,2326,0.4
0519,0524,2.0
0519,1149,0.2
0519,1817,1.9
0520,0015,0.5
0520,0611,1.8
0520,1238,0.4
0520,1915,1.7
0521,0117,0.7
0521,0717,1.7
0521,1343,0.6
0521,2032,1.6
0522,0236,0.7
0522,0839,1.6
0522,1511,0.7
0522,2151,1.6
0523,0351,0.7
0523,0956,1.7
0523,1641,0.6
0523,2258,1.6
0524,0454,0.6
0524,1058,1.8
0524,1747,0.6
0524,2353,1.7
0525,0551,0.6
0525,1153,1.8
0525,1834,0.5
0526,0038,1.7
0526,0641,0.5
0526,1241,1.9
0526,1913,0.4
0527,0119,1.8
0527,0728,0.4
0527,1326,1.9
0527,1951,0.4
0528,0200,1.9
0528,0811,0.3
0528,1411,1.9
0528,2026,0.5
0529,0238,1.9
0529,0854,0.3
0529,1458,1.9
