data,hora,mare
0101,0245,2.7
0101,0843,0.3
0101,1456,2.8
0101,2104,0.1
0102,0339,2.8
0102,0932,0.3
0102,1549,2.8
0102,2154,0.1
0103,0428,2.8
0103,1017,0.3
0103,1638,2.9
0103,2239,0.0
0104,0513,2.8
0104,1102,0.3
0104,1723,2.9
0104,2321,0.1
0105,0602,2.7
0105,1145,0.4
0105,1808,2.8
0106,0004,0.2
0106,0649,2.6
0106,1224,0.5
0106,1858,2.7
0107,0049,0.4
0107,0738,2.4
0107,1309,0.7
0107,1949,2.5
0108,0134,0.6
0108,0834,2.2
0108,1404,0.8
0108,2051,2.3
0109,0238,0.8
0109,0934,2.1
0109,1515,1.0
0109,2154,2.2
0110,0353,1.0
0110,1028,2.0
0110,1624,1.0
0110,2254,2.1
0111,0456,1.0
0111,1121,2.1
0111,1724,1.0
0111,2351,2.1
0112,0554,1.0
0112,1215,2.1
0112,1821,0.9
0113,0047,2.2
0113,0645,0.9
0113,1313,2.2
0113,1915,0.7
0114,0143,2.3
0114,0736,0.8
0114,1404,2.3
0114,2004,0.6
0115,0236,2.4
0115,0823,0.7
0115,1449,2.4
0115,2047,0.5
0116,0317,2.5
0116,0906,0.6
0116,1532,2.5
0116,2126,0.4
0117,0358,2.6
0117,0947,0.5
0117,1608,2.6
0117,2204,0.3
0118,0436,2.6
0118,1019,0.5
0118,1647,2.7
0118,2241,0.3
0119,0508,2.6
0119,1054,0.5
0119,1719,2.7
0119,2311,0.3
0120,0543,2.6
0120,1121,0.5
0120,1753,2.7
0120,2343,0.3
0121,0611,2.5
0121,1151,0.5
0121,1823,2.6
0122,0011,0.4
0122,0639,2.4
0122,1215,0.6
0122,1853,2.5
0123,0045,0.5
0123,0715,2.3
0123,1251,0.7
0123,1930,2.4
0124,0121,0.6
0124,0806,2.2
0124,1326,0.8
0124,2038,2.3
0125,0223,0.8
0125,0928,2.1
0125,1434,0.9
0125,2209,2.2
0126,0423,0.9
0126,1041,2.2
0126,1654,0.9
0126,2319,2.2
0127,0538,0.9
0127,1145,2.2
0127,1804,0.8
0128,0028,2.3
0128,0641,0.7
0128,1247,2.4
0128,1908,0.6
0129,0138,2.5
0129,0743,0.6
0129,1349,2.5
0129,2008,0.4
0130,0241,2.6
0130,0838,0.5
0130,1449,2.7
0130,2100,0.2
0131,0332,2.8
0131,0924,0.4
0131,1541,2.8
0131,2149,0.1
0201,0415,2.8
0201,1008,0.3
0201,1624,2.9
0201,2228,0.0
0202,0500,2.8
0202,1051,0.2
0202,1708,3.0
0202,2308,0.1
0203,0541,2.8
0203,1126,0.3
0203,1753,2.9
0203,2349,0.2
0204,0619,2.7
0204,1204,0.3
0204,1832,2.8
0205,0023,0.3
0205,0658,2.5
0205,1241,0.5
0205,1911,2.6
0206,0100,0.5
0206,0739,2.3
0206,1317,0.7
0206,2000,2.4
0207,0141,0.8
0207,0828,2.1
0207,1406,0.9
0207,2058,2.2
0208,0238,1.0
0208,0928,2.0
0208,1521,1.0
0208,2200,2.0
0209,0358,1.1
0209,1032,1.9
0209,1639,1.1
0209,2304,2.0
0210,0504,1.1
0210,1132,2.0
0210,1745,1.0
0211,0009,2.0
0211,0609,1.1
0211,1236,2.1
0211,1845,0.9
0212,0119,2.1
0212,0713,0.9
0212,1338,2.2
0212,1939,0.7
0213,0215,2.3
0213,0806,0.8
0213,1428,2.4
0213,2026,0.5
0214,0258,2.5
0214,0849,0.6
0214,1509,2.5
0214,2106,0.4
0215,0338,2.6
0215,0926,0.5
0215,1551,2.7
0215,2145,0.3
0216,0409,2.7
0216,1000,0.4
0216,1624,2.8
0216,2217,0.2
0217,0447,2.7
0217,1032,0.3
0217,1658,2.8
0217,2253,0.1
0218,0515,2.7
0218,1100,0.3
0218,1730,2.8
0218,2321,0.1
0219,0547,2.7
0219,1128,0.3
0219,1800,2.8
0219,2353,0.2
0220,0615,2.6
0220,1158,0.4
0220,1832,2.7
0221,0021,0.3
0221,0647,2.5
0221,1226,0.5
0221,1908,2.5
0222,0058,0.5
0222,0723,2.3
0222,1304,0.6
0222,2002,2.3
0223,0138,0.8
0223,0826,2.2
0223,1356,0.8
0223,2147,2.1
0224,0324,1.0
0224,1008,2.1
0224,1624,1.0
0224,2306,2.1
0225,0521,1.0
0225,1124,2.1
0225,1758,0.8
0226,0023,2.2
0226,0639,0.9
0226,1236,2.3
0226,1908,0.6
0227,0136,2.4
0227,0741,0.7
0227,1343,2.5
0227,2006,0.4
0228,0234,2.6
0228,0832,0.5
0228,1439,2.7
0228,2054,0.2
0301,0319,2.7
0301,0913,0.3
0301,1526,2.9
0301,2136,0.1
0302,0400,2.8
0302,0954,0.2
0302,1608,3.0
0302,2211,0.0
0303,0439,2.9
0303,1030,0.2
0303,1651,3.0
0303,2251,0.1
0304,0513,2.8
0304,1104,0.2
0304,1726,3.0
0304,2323,0.2
0305,0551,2.7
0305,1141,0.2
0305,1802,2.8
0305,2358,0.3
0306,0621,2.6
0306,1209,0.4
0306,1841,2.6
0307,0026,0.5
0307,0654,2.4
0307,1245,0.5
0307,1915,2.4
0308,0100,0.7
0308,0726,2.2
0308,1317,0.8
0308,2002,2.2
0309,0134,0.9
0309,0819,2.0
0309,1409,1.0
0309,2113,2.0
0310,0245,1.2
0310,0945,1.9
0310,1553,1.1
0310,2230,1.9
0311,0434,1.2
0311,1056,1.9
0311,1706,1.1
0311,2339,1.9
0312,0547,1.2
0312,1202,2.0
0312,1811,0.9
0313,0045,2.1
0313,0649,1.0
0313,1306,2.2
0313,1909,0.7
0314,0143,2.3
0314,0738,0.8
0314,1358,2.4
0314,1958,0.5
0315,0228,2.4
0315,0821,0.6
0315,1441,2.6
0315,2039,0.3
0316,0304,2.6
0316,0858,0.4
0316,1519,2.7
0316,2115,0.2
0317,0343,2.7
0317,0932,0.3
0317,1556,2.9
0317,2153,0.1
0318,0415,2.8
0318,1004,0.2
0318,1632,2.9
0318,2224,0.0
0319,0451,2.8
0319,1038,0.2
0319,1704,2.9
0319,2300,0.1
0320,0521,2.8
0320,1106,0.2
0320,1741,2.9
0320,2330,0.2
0321,0554,2.7
0321,1141,0.2
0321,1813,2.7
0322,0002,0.3
0322,0624,2.6
0322,1209,0.4
0322,1853,2.5
0323,0038,0.6
0323,0704,2.4
0323,1251,0.6
0323,1945,2.3
0324,0115,0.8
0324,0804,2.2
0324,1336,0.8
0324,2141,2.1
0325,0228,1.1
0325,0954,2.0
0325,1615,1.0
0325,2302,2.1
0326,0517,1.1
0326,1113,2.1
0326,1756,0.9
0327,0017,2.2
0327,0638,1.0
0327,1226,2.3
0327,1906,0.6
0328,0124,2.4
0328,0736,0.7
0328,1330,2.5
0328,1958,0.4
0329,0217,2.6
0329,0819,0.5
0329,1423,2.7
0329,2039,0.3
0330,0300,2.7
0330,0856,0.3
0330,1506,2.9
0330,2113,0.2
0331,0338,2.8
0331,0934,0.2
0331,1549,3.0
0331,2153,0.1
0401,0409,2.8
0401,1006,0.2
0401,1624,3.0
0401,2223,0.2
0402,0449,2.8
0402,1041,0.2
0402,1702,2.9
0402,2258,0.2
0403,0517,2.7
0403,1111,0.2
0403,1739,2.8
0403,2328,0.4
0404,0553,2.6
0404,1147,0.3
0404,1809,2.6
0404,2358,0.5
0405,0619,2.5
0405,1213,0.5
0405,1845,2.4
0406,0026,0.7
0406,0651,2.3
0406,1245,0.7
0406,1923,2.2
0407,0056,0.9
0407,0724,2.1
0407,1321,0.9
0407,2032,2.0
0408,0130,1.1
0408,0851,1.9
0408,1458,1.1
0408,2156,1.9
0409,0358,1.3
0409,1017,1.9
0409,1641,1.1
0409,2302,1.9
0410,0509,1.2
0410,1123,2.0
0410,1745,0.9
0411,0002,2.1
0411,0609,1.0
0411,1221,2.2
0411,1834,0.7
0412,0058,2.2
0412,0702,0.8
0412,1313,2.4
0412,1919,0.5
0413,0143,2.4
0413,0743,0.6
0413,1400,2.6
0413,2002,0.3
0414,0224,2.6
0414,0821,0.4
0414,1443,2.8
0414,2043,0.2
0415,0304,2.7
0415,0900,0.3
0415,1524,2.9
0415,2121,0.1
0416,0345,2.8
0416,0938,0.2
0416,1602,2.9
0416,2200,0.0
0417,0419,2.9
0417,1011,0.1
0417,1645,2.9
0417,2238,0.1
0418,0458,2.8
0418,1051,0.1
0418,1723,2.9
0418,2311,0.2
0419,0534,2.8
0419,1124,0.2
0419,1804,2.7
0419,2351,0.4
0420,0611,2.6
0420,1202,0.3
0420,1851,2.5
0421,0024,0.6
0421,0656,2.4
0421,1245,0.5
0421,1956,2.2
0422,0109,0.9
0422,0806,2.2
0422,1336,0.8
0422,2139,2.1
0423,0309,1.2
