data,hora,mare
2022-01-01,0243,2.3
2022-01-01,0847,0.3
2022-01-01,1454,2.4
2022-01-01,2109,0.2
2022-01-02,0338,2.4
2022-01-02,0936,0.3
2022-01-02,1547,2.5
2022-01-02,2200,0.1
2022-01-03,0426,2.4
2022-01-03,1023,0.3
2022-01-03,1634,2.5
2022-01-03,2249,0.1
2022-01-04,0513,2.4
2022-01-04,1106,0.3
2022-01-04,1721,2.5
2022-01-04,2336,0.1
2022-01-05,0600,2.3
2022-01-05,1151,0.4
2022-01-05,1806,2.4
2022-01-06,0017,0.2
2022-01-06,0643,2.2
2022-01-06,1232,0.5
2022-01-06,1851,2.3
2022-01-07,0100,0.4
2022-01-07,0724,2.1
2022-01-07,1313,0.6
2022-01-07,1936,2.2
2022-01-08,0145,0.5
2022-01-08,0809,1.9
2022-01-08,1402,0.8
2022-01-08,2023,2.0
2022-01-09,0236,0.7
2022-01-09,0904,1.8
2022-01-09,1500,0.9
2022-01-09,2119,1.9
2022-01-10,0341,0.8
2022-01-10,1009,1.7
2022-01-10,1617,0.9
2022-01-10,2226,1.8
2022-01-11,0502,0.9
2022-01-11,1123,1.7
2022-01-11,1736,0.9
2022-01-11,2343,1.8
2022-01-12,0615,0.9
2022-01-12,1226,1.8
2022-01-12,1841,0.8
2022-01-13,0051,1.9
2022-01-13,0709,0.8
2022-01-13,1319,1.9
2022-01-13,1932,0.7
2022-01-14,0145,1.9
2022-01-14,0754,0.7
2022-01-14,1402,2.0
2022-01-14,2013,0.5
2022-01-15,0230,2.0
2022-01-15,0830,0.6
2022-01-15,1441,2.1
2022-01-15,2053,0.4
2022-01-16,0308,2.1
2022-01-16,0904,0.6
2022-01-16,1515,2.2
2022-01-16,2126,0.4
2022-01-17,0345,2.2
2022-01-17,0938,0.5
2022-01-17,1551,2.3
2022-01-17,2200,0.3
2022-01-18,0417,2.2
2022-01-18,1008,0.5
2022-01-18,1623,2.3
2022-01-18,2236,0.2
2022-01-19,0453,2.3
2022-01-19,1043,0.4
2022-01-19,1658,2.3
2022-01-19,2308,0.2
2022-01-20,0524,2.3
2022-01-20,1115,0.4
2022-01-20,1734,2.3
2022-01-20,2345,0.3
2022-01-21,0600,2.2
2022-01-21,1151,0.5
2022-01-21,1809,2.3
2022-01-22,0021,0.3
2022-01-22,0639,2.1
2022-01-22,1226,0.5
2022-01-22,1851,2.2
2022-01-23,0100,0.4
2022-01-23,0721,2.0
2022-01-23,1308,0.6
2022-01-23,1934,2.1
2022-01-24,0147,0.5
2022-01-24,0808,1.9
2022-01-24,1400,0.7
2022-01-24,2028,2.0
2022-01-25,0243,0.7
2022-01-25,0908,1.9
2022-01-25,1504,0.8
2022-01-25,2136,1.9
2022-01-26,0356,0.8
2022-01-26,1021,1.8
2022-01-26,1628,0.8
2022-01-26,2258,1.9
2022-01-27,0524,0.8
2022-01-27,1139,1.9
2022-01-27,1758,0.7
2022-01-28,0024,2.0
2022-01-28,0645,0.7
2022-01-28,1251,2.0
2022-01-28,1911,0.5
2022-01-29,0141,2.1
2022-01-29,0749,0.6
2022-01-29,1354,2.2
2022-01-29,2013,0.3
2022-01-30,0241,2.3
2022-01-30,0841,0.4
2022-01-30,1449,2.3
2022-01-30,2106,0.2
2022-01-31,0332,2.4
2022-01-31,0928,0.3
2022-01-31,1538,2.5
2022-01-31,2154,0.0
2022-02-01,0415,2.5
2022-02-01,1009,0.3
2022-02-01,1621,2.6
2022-02-01,2238,0.0
2022-02-02,0458,2.5
2022-02-02,1051,0.2
2022-02-02,1702,2.6
2022-02-02,2315,0.0
2022-02-03,0536,2.4
2022-02-03,1124,0.3
2022-02-03,1743,2.5
2022-02-03,2353,0.1
2022-02-04,0609,2.3
2022-02-04,1200,0.4
2022-02-04,1819,2.4
2022-02-05,0024,0.3
2022-02-05,0645,2.2
2022-02-05,1236,0.5
2022-02-05,1856,2.3
2022-02-06,0100,0.5
2022-02-06,0719,2.0
2022-02-06,1311,0.6
2022-02-06,1938,2.1
2022-02-07,0138,0.7
2022-02-07,0802,1.8
2022-02-07,1358,0.8
2022-02-07,2024,1.9
2022-02-08,0223,0.8
2022-02-08,0900,1.7
2022-02-08,1502,0.9
2022-02-08,2128,1.8
2022-02-09,0336,1.0
2022-02-09,1019,1.7
2022-02-09,1641,1.0
2022-02-09,2256,1.7
2022-02-10,0530,1.0
2022-02-10,1147,1.7
2022-02-10,1811,0.9
2022-02-11,0024,1.7
2022-02-11,0649,0.9
2022-02-11,1254,1.8
2022-02-11,1913,0.8
2022-02-12,0130,1.8
2022-02-12,0738,0.8
2022-02-12,1343,1.9
2022-02-12,1958,0.6
2022-02-13,0215,2.0
2022-02-13,0815,0.7
2022-02-13,1423,2.1
2022-02-13,2036,0.5
2022-02-14,0253,2.1
2022-02-14,0851,0.6
2022-02-14,1500,2.2
2022-02-14,2109,0.3
2022-02-15,0326,2.2
2022-02-15,0921,0.5
2022-02-15,1534,2.3
2022-02-15,2145,0.2
2022-02-16,0400,2.3
2022-02-16,0954,0.4
2022-02-16,1608,2.4
2022-02-16,2217,0.1
2022-02-17,0432,2.4
2022-02-17,1024,0.3
2022-02-17,1641,2.5
2022-02-17,2253,0.1
2022-02-18,0504,2.4
2022-02-18,1058,0.3
2022-02-18,1713,2.5
2022-02-18,2323,0.1
2022-02-19,0538,2.4
2022-02-19,1130,0.3
2022-02-19,1751,2.4
2022-02-19,2358,0.2
2022-02-20,0611,2.3
2022-02-20,1204,0.4
2022-02-20,1824,2.3
2022-02-21,0034,0.3
2022-02-21,0649,2.2
2022-02-21,1243,0.5
2022-02-21,1906,2.2
2022-02-22,0113,0.5
2022-02-22,0732,2.0
2022-02-22,1328,0.6
2022-02-22,1956,2.0
2022-02-23,0204,0.7
2022-02-23,0828,1.9
2022-02-23,1430,0.7
2022-02-23,2106,1.9
2022-02-24,0317,0.9
2022-02-24,0947,1.8
2022-02-24,1602,0.8
2022-02-24,2247,1.8
2022-02-25,0511,0.9
2022-02-25,1119,1.8
2022-02-25,1753,0.7
2022-02-26,0028,1.9
2022-02-26,0645,0.8
2022-02-26,1243,2.0
2022-02-26,1911,0.5
2022-02-27,0143,2.1
2022-02-27,0745,0.6
2022-02-27,1347,2.2
2022-02-27,2009,0.3
2022-02-28,0236,2.3
2022-02-28,0832,0.4
2022-02-28,1438,2.4
2022-02-28,2058,0.2
2022-03-01,0317,2.4
2022-03-01,0913,0.3
2022-03-01,1521,2.5
2022-03-01,2139,0.0
2022-03-02,0356,2.5
2022-03-02,0951,0.2
2022-03-02,1602,2.6
2022-03-02,2215,0.0
2022-03-03,0432,2.5
2022-03-03,1024,0.2
2022-03-03,1639,2.6
2022-03-03,2251,0.0
2022-03-04,0504,2.4
2022-03-04,1058,0.2
2022-03-04,1713,2.6
2022-03-04,2321,0.1
2022-03-05,0536,2.3
2022-03-05,1128,0.3
2022-03-05,1749,2.5
2022-03-05,2353,0.3
2022-03-06,0606,2.2
2022-03-06,1202,0.4
2022-03-06,1823,2.3
2022-03-07,0019,0.4
2022-03-07,0639,2.1
2022-03-07,1236,0.5
2022-03-07,1858,2.1
2022-03-08,0053,0.6
2022-03-08,0713,1.9
2022-03-08,1313,0.7
2022-03-08,1941,1.9
2022-03-09,0126,0.8
2022-03-09,0800,1.8
2022-03-09,1408,0.9
2022-03-09,2039,1.7
2022-03-10,0221,1.0
2022-03-10,0915,1.6
2022-03-10,1538,1.0
2022-03-10,2209,1.6
2022-03-11,0424,1.1
2022-03-11,1058,1.6
2022-03-11,1734,0.9
2022-03-11,2356,1.6
2022-03-12,0623,1.0
2022-03-12,1219,1.7
2022-03-12,1847,0.8
2022-03-13,0104,1.8
2022-03-13,0713,0.9
2022-03-13,1313,1.9
2022-03-13,1932,0.6
2022-03-14,0151,2.0
2022-03-14,0753,0.7
2022-03-14,1356,2.0
2022-03-14,2009,0.5
2022-03-15,0224,2.1
2022-03-15,0824,0.5
2022-03-15,1434,2.2
2022-03-15,2047,0.3
2022-03-16,0300,2.3
2022-03-16,0856,0.4
2022-03-16,1508,2.4
2022-03-16,2119,0.2
2022-03-17,0332,2.4
2022-03-17,0928,0.3
2022-03-17,1543,2.5
2022-03-17,2154,0.1
2022-03-18,0404,2.5
2022-03-18,1000,0.2
2022-03-18,1617,2.6
2022-03-18,2226,0.0
2022-03-19,0439,2.5
2022-03-19,1034,0.2
2022-03-19,1653,2.6
2022-03-19,2300,0.0
2022-03-20,0511,2.5
2022-03-20,1108,0.2
2022-03-20,1728,2.5
2022-03-20,2336,0.1
2022-03-21,0547,2.4
2022-03-21,1145,0.3
2022-03-21,1806,2.4
2022-03-22,0011,0.3
2022-03-22,0624,2.2
2022-03-22,1224,0.4
2022-03-22,1851,2.2
2022-03-23,0054,0.5
2022-03-23,0709,2.1
2022-03-23,1311,0.5
2022-03-23,1947,2.0
2022-03-24,0147,0.8
2022-03-24,0809,1.9
2022-03-24,1419,0.7
2022-03-24,2106,1.8
2022-03-25,0311,0.9
2022-03-25,0938,1.8
2022-03-25,1606,0.8
2022-03-25,2258,1.8
2022-03-26,0517,1.0
2022-03-26,1115,1.8
2022-03-26,1756,0.7
2022-03-27,0030,1.9
2022-03-27,0639,0.8
2022-03-27,1234,2.0
2022-03-27,1906,0.5
2022-03-28,0130,2.1
2022-03-28,0732,0.6
2022-03-28,1332,2.2
2022-03-28,1956,0.3
2022-03-29,0215,2.2
2022-03-29,0811,0.4
2022-03-29,1417,2.4
2022-03-29,2039,0.2
2022-03-30,0254,2.4
2022-03-30,0851,0.3
2022-03-30,1500,2.5
2022-03-30,2115,0.1
2022-03-31,0330,2.4
2022-03-31,0924,0.2
2022-03-31,1538,2.6
2022-03-31,2151,0.1
2022-04-01,0402,2.4
2022-04-01,0958,0.2
2022-04-01,1611,2.6
2022-04-01,2221,0.1
2022-04-02,0434,2.4
2022-04-02,1030,0.2
2022-04-02,1649,2.5
2022-04-02,2251,0.2
2022-04-03,0504,2.3
2022-04-03,1102,0.3
2022-04-03,1719,2.4
