data,hora,mare
2022-01-01,0314,2.7
2022-01-01,0916,0.4
2022-01-01,1532,3.0
2022-01-01,2153,0.1
2022-01-02,0408,2.8
2022-01-02,1006,0.3
2022-01-02,1623,3.1
2022-01-02,2244,0.0
2022-01-03,0501,2.8
2022-01-03,1059,0.3
2022-01-03,1712,3.1
2022-01-03,2334,0.0
2022-01-04,0553,2.8
2022-01-04,1149,0.3
2022-01-04,1802,3.1
2022-01-05,0021,0.0
2022-01-05,0640,2.7
2022-01-05,1238,0.4
2022-01-05,1853,3.0
2022-01-06,0108,0.2
2022-01-06,0727,2.6
2022-01-06,1325,0.5
2022-01-06,1944,2.8
2022-01-07,0159,0.4
2022-01-07,0817,2.5
2022-01-07,1412,0.6
2022-01-07,2032,2.6
2022-01-08,0249,0.5
2022-01-08,0910,2.4
2022-01-08,1506,0.8
2022-01-08,2123,2.4
2022-01-09,0342,0.7
2022-01-09,1006,2.3
2022-01-09,1604,0.9
2022-01-09,2223,2.2
2022-01-10,0440,0.9
2022-01-10,1106,2.2
2022-01-10,1710,0.9
2022-01-10,2329,2.1
2022-01-11,0542,1.0
2022-01-11,1208,2.2
2022-01-11,1821,0.9
2022-01-12,0040,2.1
2022-01-12,0646,1.0
2022-01-12,1308,2.2
2022-01-12,1925,0.9
2022-01-13,0140,2.1
2022-01-13,0742,0.9
2022-01-13,1402,2.3
2022-01-13,2019,0.8
2022-01-14,0231,2.2
2022-01-14,0827,0.9
2022-01-14,1451,2.4
2022-01-14,2106,0.7
2022-01-15,0312,2.3
2022-01-15,0908,0.8
2022-01-15,1529,2.5
2022-01-15,2147,0.6
2022-01-16,0355,2.4
2022-01-16,0947,0.7
2022-01-16,1604,2.6
2022-01-16,2221,0.5
2022-01-17,0429,2.4
2022-01-17,1021,0.6
2022-01-17,1640,2.7
2022-01-17,2257,0.4
2022-01-18,0502,2.5
2022-01-18,1057,0.6
2022-01-18,1712,2.7
2022-01-18,2331,0.4
2022-01-19,0540,2.5
2022-01-19,1131,0.6
2022-01-19,1747,2.7
2022-01-20,0004,0.4
2022-01-20,0612,2.5
2022-01-20,1206,0.5
2022-01-20,1821,2.7
2022-01-21,0040,0.4
2022-01-21,0651,2.5
2022-01-21,1246,0.5
2022-01-21,1901,2.7
2022-01-22,0116,0.4
2022-01-22,0729,2.5
2022-01-22,1323,0.6
2022-01-22,1944,2.6
2022-01-23,0159,0.5
2022-01-23,0812,2.4
2022-01-23,1408,0.6
2022-01-23,2029,2.5
2022-01-24,0244,0.6
2022-01-24,0902,2.4
2022-01-24,1501,0.7
2022-01-24,2121,2.4
2022-01-25,0338,0.7
2022-01-25,1001,2.4
2022-01-25,1604,0.8
2022-01-25,2225,2.3
2022-01-26,0444,0.8
