data,hora,mare
0101,0314,2.8
0101,0916,0.3
0101,1532,3.0
0101,2153,0.0
0102,0406,2.9
0102,1006,0.2
0102,1621,3.2
0102,2244,0.0
0103,0459,2.9
0103,1057,0.2
0103,1712,3.2
0103,2332,0.0
0104,0547,2.8
0104,1146,0.3
0104,1802,3.2
0105,0019,0.0
0105,0636,2.7
0105,1234,0.3
0105,1851,3.0
0106,0106,0.2
0106,0723,2.6
0106,1323,0.5
0106,1940,2.9
0107,0157,0.4
0107,0814,2.5
0107,1412,0.6
0107,2027,2.6
0108,0246,0.6
0108,0908,2.3
0108,1504,0.8
0108,2119,2.4
0109,0338,0.8
0109,1004,2.2
0109,1602,0.9
0109,2219,2.3
0110,0436,0.9
0110,1104,2.2
0110,1708,1.0
0110,2327,2.1
0111,0540,1.0
0111,1206,2.2
0111,1819,1.0
0112,0034,2.1
0112,0642,1.0
0112,1304,2.2
0112,1925,0.9
0113,0134,2.1
0113,0736,0.9
0113,1359,2.3
0113,2019,0.8
0114,0223,2.2
0114,0823,0.9
0114,1447,2.4
0114,2104,0.7
0115,0308,2.3
0115,0906,0.8
0115,1525,2.5
0115,2146,0.6
0116,0353,2.4
0116,0949,0.7
0116,1604,2.6
0116,2221,0.5
0117,0429,2.4
0117,1025,0.7
0117,1644,2.7
0117,2301,0.4
0118,0506,2.5
0118,1102,0.6
0118,1716,2.7
0118,2336,0.4
0119,0546,2.5
0119,1138,0.6
0119,1755,2.8
0120,0010,0.4
0120,0617,2.5
0120,1212,0.6
0120,1829,2.7
0121,0047,0.4
0121,0657,2.5
0121,1251,0.6
0121,1904,2.7
0122,0123,0.5
0122,0734,2.4
0122,1329,0.6
0122,1947,2.6
0123,0202,0.6
0123,0814,2.4
0123,1410,0.7
0123,2031,2.5
0124,0249,0.7
0124,0902,2.4
0124,1502,0.7
0124,2123,2.4
0125,0342,0.7
0125,0959,2.4
0125,1602,0.8
0125,2229,2.3
0126,0446,0.8
0126,1102,2.4
0126,1716,0.8
0126,2347,2.3
0127,0557,0.8
0127,1212,2.5
0127,1838,0.7
0128,0102,2.4
0128,0704,0.7
0128,1321,2.6
0128,1951,0.5
0129,0208,2.5
0129,0808,0.6
0129,1423,2.8
0129,2053,0.3
0130,0306,2.6
0130,0904,0.4
0130,1519,3.0
0130,2146,0.1
0131,0359,2.8
0131,0959,0.3
0131,1612,3.1
0131,2234,0.0
0201,0447,2.8
0201,1047,0.2
0201,1701,3.2
0201,2317,0.0
0202,0531,2.9
0202,1132,0.2
0202,1749,3.2
0203,0002,0.0
0203,0614,2.8
0203,1216,0.2
0203,1831,3.1
0204,0044,0.2
0204,0701,2.7
0204,1301,0.3
0204,1912,2.9
0205,0123,0.3
0205,0742,2.6
0205,1342,0.5
0205,1955,2.7
0206,0204,0.5
0206,0823,2.4
0206,1423,0.7
0206,2038,2.4
0207,0247,0.8
0207,0906,2.3
0207,1510,0.8
0207,2121,2.2
0208,0332,0.9
0208,0957,2.2
0208,1604,1.0
0208,2221,2.0
0209,0429,1.1
0209,1057,2.1
0209,1717,1.1
0209,2342,1.9
0210,0542,1.2
0210,1216,2.1
0210,1846,1.1
0211,0101,1.9
0211,0659,1.1
0211,1327,2.1
0211,1957,0.9
0212,0202,2.0
0212,0801,1.0
0212,1421,2.3
0212,2047,0.8
0213,0255,2.2
0213,0851,0.9
0213,1506,2.4
0213,2127,0.6
0214,0334,2.3
0214,0932,0.8
0214,1547,2.6
0214,2204,0.4
0215,0410,2.5
0215,1010,0.6
0215,1621,2.7
0215,2240,0.3
0216,0449,2.6
0216,1046,0.5
0216,1659,2.8
0216,2314,0.2
0217,0519,2.7
0217,1119,0.4
0217,1734,2.9
0217,2349,0.2
0218,0557,2.7
0218,1155,0.4
0218,1808,2.9
0219,0021,0.3
0219,0629,2.7
0219,1231,0.4
0219,1847,2.9
0220,0057,0.3
0220,0706,2.7
0220,1306,0.4
0220,1925,2.7
0221,0134,0.5
0221,0749,2.6
0221,1349,0.5
0221,2006,2.6
0222,0216,0.6
0222,0832,2.5
0222,1436,0.6
0222,2101,2.4
0223,0306,0.7
0223,0925,2.4
0223,1536,0.7
0223,2204,2.3
0224,0410,0.9
0224,1031,2.4
0224,1655,0.8
0224,2327,2.2
0225,0529,0.9
0225,1151,2.4
0225,1823,0.7
0226,0053,2.2
0226,0651,0.9
0226,1308,2.5
0226,1944,0.6
0227,0202,2.4
0227,0801,0.7
0227,1414,2.7
0227,2046,0.4
0228,0259,2.6
0228,0859,0.5
0228,1510,2.9
0228,2136,0.2
0301,0346,2.7
0301,0947,0.3
0301,1601,3.1
0301,2217,0.1
0302,0427,2.8
0302,1032,0.2
0302,1647,3.1
0302,2301,0.0
0303,0508,2.9
0303,1114,0.1
0303,1725,3.1
0303,2338,0.1
0304,0551,2.9
0304,1155,0.2
0304,1804,3.0
0305,0012,0.2
0305,0627,2.8
0305,1232,0.3
0305,1846,2.9
0306,0051,0.4
0306,0704,2.7
0306,1308,0.4
0306,1917,2.6
0307,0123,0.6
0307,0740,2.5
0307,1346,0.6
0307,1957,2.4
0308,0159,0.8
0308,0814,2.3
0308,1423,0.8
0308,2036,2.2
0309,0236,1.0
0309,0853,2.2
0309,1510,1.0
0309,2123,2.0
0310,0321,1.1
0310,0944,2.1
0310,1617,1.1
0310,2242,1.8
0311,0434,1.3
0311,1108,2.0
0311,1757,1.1
0312,0025,1.8
0312,0616,1.3
0312,1249,2.0
0312,1925,1.0
0313,0138,2.0
0313,0734,1.1
0313,1355,2.2
0313,2019,0.8
0314,0225,2.2
0314,0827,1.0
0314,1440,2.4
0314,2101,0.6
0315,0306,2.4
0315,0906,0.8
0315,1517,2.6
0315,2136,0.4
0316,0346,2.5
0316,0944,0.6
0316,1557,2.8
0316,2210,0.3
0317,0416,2.7
0317,1019,0.4
0317,1632,2.9
0317,2247,0.2
0318,0453,2.8
0318,1057,0.3
