data,hora,mare
2022-01-01,0319,1.2
2022-01-01,0934,0.2
2022-01-01,1530,1.2
2022-01-01,2153,0.0
2022-01-02,0409,1.3
2022-01-02,1023,0.2
2022-01-02,1615,1.2
2022-01-02,2241,0.0
2022-01-03,0500,1.3
2022-01-03,1109,0.2
2022-01-03,1700,1.2
2022-01-03,2330,0.0
2022-01-04,0547,1.3
2022-01-04,1154,0.2
2022-01-04,1745,1.2
2022-01-05,0015,0.0
2022-01-05,0630,1.2
2022-01-05,1239,0.3
2022-01-05,1826,1.2
2022-01-06,0102,0.1
2022-01-06,0713,1.1
2022-01-06,1321,0.3
2022-01-06,1908,1.2
2022-01-07,0151,0.1
2022-01-07,0758,1.1
2022-01-07,1406,0.4
2022-01-07,1956,1.1
2022-01-08,0239,0.2
2022-01-08,0847,1.0
2022-01-08,1456,0.4
2022-01-08,2047,1.0
2022-01-09,0336,0.3
2022-01-09,0939,0.9
2022-01-09,1554,0.5
2022-01-09,2149,1.0
2022-01-10,0439,0.4
2022-01-10,1041,0.9
2022-01-10,1702,0.5
2022-01-10,2306,0.9
2022-01-11,0547,0.4
2022-01-11,1153,0.9
2022-01-11,1813,0.4
2022-01-12,0026,0.9
2022-01-12,0653,0.4
2022-01-12,1254,0.9
2022-01-12,1915,0.4
2022-01-13,0134,1.0
2022-01-13,0749,0.4
2022-01-13,1345,1.0
2022-01-13,2008,0.3
2022-01-14,0223,1.0
2022-01-14,0836,0.4
2022-01-14,1428,1.0
2022-01-14,2054,0.3
2022-01-15,0308,1.0
2022-01-15,0915,0.4
2022-01-15,1508,1.1
2022-01-15,2136,0.2
2022-01-16,0349,1.1
2022-01-16,0956,0.3
2022-01-16,1549,1.1
2022-01-16,2213,0.2
2022-01-17,0424,1.1
2022-01-17,1032,0.3
2022-01-17,1624,1.2
2022-01-17,2251,0.1
2022-01-18,0502,1.2
2022-01-18,1106,0.3
2022-01-18,1700,1.2
2022-01-18,2324,0.1
2022-01-19,0538,1.2
2022-01-19,1141,0.3
2022-01-19,1736,1.2
2022-01-19,2358,0.1
2022-01-20,0609,1.2
2022-01-20,1213,0.3
2022-01-20,1809,1.2
2022-01-21,0032,0.1
2022-01-21,0647,1.1
2022-01-21,1247,0.3
2022-01-21,1847,1.2
