data,hora,mare
0101,0202,1.5
0101,0816,0.3
0101,1401,1.4
0101,2023,0.0
0102,0259,1.5
0102,0902,0.3
0102,1447,1.4
0102,2112,0.0
0103,0346,1.5
0103,0947,0.3
0103,1529,1.4
0103,2204,0.1
0104,0432,1.5
0104,1027,0.4
0104,1608,1.4
0104,2251,0.0
0105,0516,1.4
0105,1110,0.4
0105,1653,1.4
0105,2336,0.0
0106,0559,1.3
0106,1155,0.5
0106,1740,1.4
0107,0025,0.2
0107,0640,1.2
0107,1234,0.5
0107,1825,1.3
0108,0110,0.3
0108,0727,1.1
0108,1323,0.6
0108,1917,1.2
0109,0159,0.4
0109,0816,1.1
0109,1423,0.6
0109,2031,1.1
0110,0259,0.5
0110,0917,1.0
0110,1538,0.6
0110,2136,1.1
0111,0410,0.6
0111,1025,1.0
0111,1655,0.5
0111,2253,1.1
0112,0519,0.6
0112,1127,1.1
0112,1749,0.5
0113,0002,1.1
0113,0619,0.5
0113,1221,1.2
0113,1842,0.4
0114,0057,1.2
0114,0704,0.5
0114,1302,1.2
0114,1925,0.3
0115,0146,1.3
0115,0746,0.4
0115,1340,1.3
0115,2002,0.2
0116,0225,1.3
0116,0821,0.4
0116,1417,1.3
0116,2042,0.1
0117,0301,1.4
0117,0859,0.4
0117,1453,1.4
0117,2117,0.1
0118,0334,1.4
0118,0929,0.4
0118,1525,1.4
0118,2157,0.1
0119,0408,1.4
0119,1002,0.4
0119,1559,1.4
0119,2229,0.1
0120,0444,1.4
0120,1036,0.4
0120,1629,1.4
0120,2304,0.1
0121,0514,1.4
0121,1110,0.4
0121,1706,1.4
0121,2342,0.1
0122,0551,1.3
0122,1151,0.4
0122,1749,1.4
0123,0025,0.2
0123,0627,1.3
0123,1232,0.5
0123,1829,1.3
0124,0110,0.3
0124,0716,1.2
0124,1325,0.5
0124,1925,1.2
0125,0208,0.4
0125,0817,1.1
0125,1431,0.5
0125,2055,1.2
0126,0331,0.5
0126,0947,1.1
0126,1602,0.5
0126,2227,1.2
0127,0504,0.5
0127,1110,1.1
0127,1723,0.4
0128,0002,1.2
0128,0629,0.5
0128,1217,1.1
0128,1836,0.3
0129,0114,1.3
0129,0727,0.4
0129,1308,1.2
0129,1934,0.2
0130,0212,1.4
0130,0814,0.4
0130,1357,1.3
0130,2021,0.0
0131,0259,1.5
0131,0857,0.3
0131,1442,1.4
0131,2110,0.1
0201,0338,1.5
0201,0932,0.3
0201,1519,1.5
0201,2155,0.1
0202,0416,1.5
0202,1010,0.3
0202,1559,1.6
0202,2234,0.1
0203,0453,1.5
0203,1047,0.3
0203,1636,1.5
0203,2312,0.0
0204,0521,1.4
0204,1119,0.3
0204,1716,1.5
0204,2351,0.1
0205,0553,1.3
0205,1157,0.4
0205,1753,1.4
0206,0027,0.3
0206,0621,1.2
0206,1231,0.4
0206,1829,1.3
0207,0102,0.4
0207,0649,1.1
0207,1314,0.5
0207,1917,1.2
0208,0142,0.5
0208,0734,1.0
0208,1412,0.6
0208,2040,1.1
0209,0240,0.6
0209,0851,1.0
0209,1549,0.6
0209,2201,1.0
0210,0421,0.7
0210,1031,1.0
0210,1710,0.5
0210,2347,1.1
0211,0557,0.6
0211,1157,1.1
0211,1817,0.4
0212,0047,1.2
0212,0655,0.6
0212,1251,1.2
0212,1908,0.3
0213,0138,1.3
0213,0736,0.5
0213,1327,1.3
0213,1951,0.2
0214,0212,1.4
0214,0812,0.4
0214,1404,1.3
0214,2025,0.1
0215,0247,1.4
0215,0846,0.3
0215,1438,1.4
0215,2101,0.0
0216,0316,1.5
0216,0912,0.3
0216,1508,1.5
0216,2136,0.0
0217,0347,1.5
0217,0944,0.3
0217,1542,1.5
0217,2208,0.0
0218,0417,1.5
0218,1016,0.2
0218,1612,1.6
0218,2244,0.0
0219,0451,1.5
0219,1051,0.2
0219,1649,1.5
0219,2317,0.1
0220,0517,1.4
0220,1125,0.3
0220,1727,1.5
0221,0001,0.2
0221,0553,1.3
0221,1202,0.3
0221,1806,1.4
0222,0049,0.3
0222,0629,1.2
0222,1253,0.4
0222,1855,1.2
0223,0138,0.5
0223,0719,1.1
0223,1357,0.5
0223,2038,1.1
0224,0304,0.6
0224,0853,1.0
0224,1536,0.5
0224,2238,1.1
0225,0514,0.6
0225,1051,1.0
0225,1717,0.4
0226,0019,1.2
0226,0638,0.6
0226,1212,1.1
0226,1838,0.3
0227,0125,1.3
0227,0727,0.5
0227,1302,1.2
0227,1931,0.1
0228,0208,1.4
0228,0804,0.4
0228,1346,1.4
0228,2012,0.0
0301,0244,1.5
0301,0838,0.3
0301,1425,1.5
0301,2053,0.1
0302,0316,1.5
0302,0910,0.2
0302,1502,1.6
0302,2132,0.1
0303,0347,1.5
0303,0944,0.2
0303,1540,1.6
0303,2208,0.0
0304,0416,1.5
0304,1014,0.2
0304,1612,1.6
0304,2242,0.0
0305,0444,1.4
0305,1051,0.2
