data,hora,mare
0101,0215,1.5
0101,0815,0.2
0101,1409,1.4
0101,2026,0.0
0102,0306,1.6
0102,0902,0.2
0102,1456,1.4
0102,2115,0.1
0103,0354,1.6
0103,0947,0.3
0103,1541,1.5
0103,2202,0.1
0104,0439,1.5
0104,1028,0.3
0104,1624,1.4
0104,2249,0.0
0105,0523,1.5
0105,1109,0.4
0105,1708,1.4
0105,2334,0.0
0106,0606,1.4
0106,1154,0.5
0106,1754,1.3
0107,0017,0.2
0107,0653,1.2
0107,1241,0.5
0107,1841,1.3
0108,0104,0.3
0108,0741,1.1
0108,1334,0.6
0108,1932,1.2
0109,0158,0.4
0109,0834,1.1
0109,1436,0.6
0109,2028,1.1
0110,0302,0.5
0110,0936,1.0
0110,1545,0.6
0110,2141,1.1
0111,0419,0.6
0111,1041,1.0
0111,1651,0.5
0111,2302,1.1
0112,0532,0.6
0112,1138,1.1
0112,1749,0.5
0113,0015,1.1
0113,0624,0.5
0113,1223,1.1
0113,1838,0.4
0114,0111,1.2
0114,0708,0.5
0114,1306,1.2
0114,1921,0.3
0115,0156,1.3
0115,0749,0.4
0115,1345,1.3
0115,2002,0.2
0116,0234,1.4
0116,0823,0.4
0116,1421,1.3
0116,2043,0.1
0117,0309,1.4
0117,0900,0.3
0117,1458,1.4
0117,2119,0.1
0118,0345,1.4
0118,0934,0.3
0118,1534,1.4
0118,2156,0.0
0119,0419,1.4
0119,1006,0.3
0119,1608,1.4
0119,2230,0.0
0120,0453,1.4
0120,1041,0.4
0120,1643,1.4
0120,2304,0.1
0121,0526,1.4
0121,1113,0.4
0121,1717,1.3
0121,2343,0.1
0122,0602,1.3
0122,1153,0.4
0122,1756,1.3
0123,0021,0.2
0123,0641,1.2
0123,1234,0.5
0123,1841,1.3
0124,0108,0.3
0124,0726,1.1
0124,1324,0.5
0124,1938,1.2
0125,0209,0.4
0125,0828,1.1
0125,1438,0.5
0125,2054,1.2
0126,0341,0.5
0126,0947,1.0
0126,1604,0.5
0126,2238,1.2
0127,0517,0.5
0127,1108,1.1
0127,1726,0.4
0128,0017,1.2
0128,0630,0.5
0128,1217,1.2
0128,1838,0.3
0129,0126,1.4
0129,0724,0.4
0129,1313,1.3
0129,1934,0.1
0130,0219,1.5
0130,0811,0.3
0130,1402,1.4
0130,2023,0.0
0131,0304,1.5
0131,0854,0.3
0131,1449,1.5
0131,2109,0.1
0201,0345,1.6
0201,0934,0.3
0201,1532,1.5
0201,2153,0.1
0202,0423,1.6
0202,1009,0.2
0202,1611,1.5
0202,2232,0.1
0203,0500,1.5
0203,1049,0.3
0203,1653,1.5
0203,2309,0.0
0204,0534,1.4
0204,1123,0.3
0204,1730,1.5
0204,2347,0.1
0205,0606,1.3
0205,1158,0.4
0205,1808,1.4
0206,0021,0.3
0206,0638,1.2
0206,1238,0.4
0206,1847,1.3
0207,0056,0.4
0207,0708,1.1
0207,1319,0.5
0207,1930,1.1
0208,0138,0.6
0208,0751,1.0
0208,1417,0.6
0208,2026,1.0
