data,hora,mare
2022-01-01,0206,1.5
2022-01-01,0817,0.3
2022-01-01,1357,1.4
2022-01-01,2029,0.0
2022-01-02,0259,1.6
2022-01-02,0906,0.3
2022-01-02,1442,1.4
2022-01-02,2121,0.0
2022-01-03,0347,1.6
2022-01-03,0953,0.3
2022-01-03,1527,1.4
2022-01-03,2212,0.1
2022-01-04,0434,1.5
2022-01-04,1038,0.4
2022-01-04,1608,1.4
2022-01-04,2259,0.0
2022-01-05,0517,1.4
2022-01-05,1119,0.4
2022-01-05,1651,1.4
2022-01-05,2340,0.1
2022-01-06,0551,1.3
2022-01-06,1201,0.5
2022-01-06,1729,1.3
2022-01-07,0021,0.2
2022-01-07,0627,1.2
2022-01-07,1240,0.6
2022-01-07,1812,1.3
2022-01-08,0101,0.3
2022-01-08,0706,1.1
2022-01-08,1325,0.6
2022-01-08,1902,1.2
2022-01-09,0146,0.4
2022-01-09,0755,1.1
2022-01-09,1417,0.6
2022-01-09,2001,1.1
2022-01-10,0247,0.5
2022-01-10,0908,1.0
2022-01-10,1527,0.6
2022-01-10,2116,1.1
2022-01-11,0414,0.6
2022-01-11,1027,1.0
2022-01-11,1646,0.5
2022-01-11,2251,1.1
2022-01-12,0534,0.6
2022-01-12,1129,1.1
2022-01-12,1753,0.5
2022-01-13,0012,1.1
2022-01-13,0634,0.5
2022-01-13,1217,1.2
2022-01-13,1847,0.4
2022-01-14,0108,1.2
2022-01-14,0717,0.5
2022-01-14,1301,1.2
2022-01-14,1932,0.3
2022-01-15,0151,1.3
2022-01-15,0755,0.5
2022-01-15,1340,1.3
2022-01-15,2012,0.2
2022-01-16,0227,1.3
2022-01-16,0825,0.4
2022-01-16,1416,1.3
2022-01-16,2049,0.2
2022-01-17,0301,1.4
2022-01-17,0859,0.4
2022-01-17,1449,1.4
2022-01-17,2123,0.1
2022-01-18,0332,1.4
2022-01-18,0929,0.4
2022-01-18,1521,1.4
2022-01-18,2157,0.1
2022-01-19,0402,1.4
2022-01-19,1001,0.4
2022-01-19,1553,1.4
2022-01-19,2229,0.1
2022-01-20,0434,1.4
2022-01-20,1032,0.4
2022-01-20,1625,1.4
2022-01-20,2302,0.1
2022-01-21,0508,1.4
2022-01-21,1106,0.4
2022-01-21,1701,1.4
2022-01-21,2340,0.2
2022-01-22,0544,1.3
2022-01-22,1147,0.4
2022-01-22,1738,1.3
2022-01-23,0019,0.2
2022-01-23,0619,1.2
2022-01-23,1234,0.5
2022-01-23,1823,1.3
2022-01-24,0108,0.3
2022-01-24,0706,1.2
2022-01-24,1331,0.5
2022-01-24,1921,1.2
2022-01-25,0210,0.4
2022-01-25,0810,1.1
2022-01-25,1438,0.5
2022-01-25,2044,1.1
2022-01-26,0340,0.5
2022-01-26,0938,1.1
2022-01-26,1601,0.5
2022-01-26,2236,1.1
