data,hora,mare
2022-01-01,0200,1.4
2022-01-01,0809,0.3
2022-01-01,1402,1.3
2022-01-01,2026,0.0
2022-01-02,0249,1.4
2022-01-02,0854,0.3
2022-01-02,1441,1.4
2022-01-02,2109,0.0
2022-01-03,0332,1.4
2022-01-03,0934,0.3
2022-01-03,1517,1.4
2022-01-03,2154,0.0
2022-01-04,0415,1.4
2022-01-04,1011,0.4
2022-01-04,1556,1.4
2022-01-04,2238,0.0
2022-01-05,0458,1.3
2022-01-05,1051,0.4
2022-01-05,1636,1.4
2022-01-05,2319,0.0
2022-01-06,0541,1.2
2022-01-06,1128,0.5
2022-01-06,1715,1.3
2022-01-07,0004,0.1
2022-01-07,0623,1.2
2022-01-07,1209,0.5
2022-01-07,1800,1.3
2022-01-08,0054,0.2
2022-01-08,0709,1.1
2022-01-08,1258,0.6
2022-01-08,1851,1.2
2022-01-09,0151,0.4
2022-01-09,0804,1.0
2022-01-09,1402,0.6
2022-01-09,1956,1.1
2022-01-10,0258,0.4
2022-01-10,0911,1.0
2022-01-10,1524,0.6
2022-01-10,2121,1.0
2022-01-11,0411,0.5
2022-01-11,1026,1.0
2022-01-11,1649,0.5
2022-01-11,2256,1.0
2022-01-12,0523,0.5
2022-01-12,1132,1.0
2022-01-12,1756,0.5
2022-01-13,0009,1.1
2022-01-13,0619,0.5
2022-01-13,1221,1.1
2022-01-13,1849,0.4
2022-01-14,0104,1.1
2022-01-14,0704,0.4
2022-01-14,1302,1.2
2022-01-14,1930,0.3
2022-01-15,0147,1.2
2022-01-15,0747,0.4
2022-01-15,1339,1.3
2022-01-15,2006,0.2
2022-01-16,0221,1.3
2022-01-16,0819,0.4
2022-01-16,1411,1.3
2022-01-16,2041,0.1
2022-01-17,0256,1.3
2022-01-17,0854,0.3
2022-01-17,1445,1.4
2022-01-17,2113,0.1
2022-01-18,0326,1.3
2022-01-18,0924,0.3
2022-01-18,1513,1.4
2022-01-18,2147,0.0
2022-01-19,0400,1.4
2022-01-19,0956,0.3
2022-01-19,1547,1.4
2022-01-19,2219,0.0
2022-01-20,0434,1.4
2022-01-20,1028,0.3
2022-01-20,1619,1.4
2022-01-20,2254,0.0
2022-01-21,0508,1.3
2022-01-21,1102,0.4
2022-01-21,1656,1.4
2022-01-21,2330,0.1
2022-01-22,0547,1.3
2022-01-22,1139,0.4
2022-01-22,1738,1.4
2022-01-23,0011,0.2
2022-01-23,0628,1.2
2022-01-23,1221,0.5
2022-01-23,1821,1.3
2022-01-24,0102,0.3
