data,hora,mare
0101,0000,0.6
0101,0602,6.0
0101,1206,0.8
0101,1819,6.3
0102,0039,0.3
0102,0656,6.2
0102,1300,0.6
0102,1909,6.5
0103,0128,0.1
0103,0747,6.3
0103,1353,0.4
0103,2000,6.6
0104,0215,0.0
0104,0836,6.4
0104,1438,0.3
0104,2049,6.6
0105,0300,0.1
0105,0919,6.3
0105,1519,0.4
0105,2132,6.5
0106,0345,0.1
0106,1002,6.2
0106,1602,0.5
0106,2215,6.3
0107,0423,0.3
0107,1045,6.0
0107,1645,0.7
0107,2256,6.1
0108,0502,0.6
0108,1124,5.8
0108,1723,0.9
0108,2339,5.8
0109,0547,1.0
0109,1204,5.6
0109,1806,1.2
0110,0023,5.5
0110,0628,1.3
0110,1249,5.4
0110,1858,1.5
0111,0109,5.3
0111,0719,1.6
0111,1336,5.3
0111,1956,1.7
0112,0204,5.1
0112,0821,1.9
0112,1428,5.2
0112,2106,1.7
0113,0302,5.0
0113,0932,1.9
0113,1526,5.1
0113,2213,1.6
0114,0408,5.0
0114,1034,1.9
0114,1628,5.2
0114,2306,1.5
0115,0508,5.0
0115,1123,1.8
0115,1724,5.3
0115,2353,1.3
0116,0600,5.1
0116,1202,1.6
0116,1811,5.4
0117,0030,1.2
0117,0645,5.2
0117,1241,1.5
0117,1854,5.5
0118,0104,1.1
0118,0719,5.3
0118,1313,1.4
0118,1930,5.6
0119,0143,1.0
0119,0756,5.3
0119,1353,1.3
0119,2002,5.6
0120,0213,1.0
0120,0826,5.4
0120,1428,1.3
0120,2039,5.7
0121,0254,1.0
0121,0900,5.5
0121,1506,1.2
0121,2111,5.7
0122,0336,1.1
0122,0939,5.5
0122,1553,1.2
0122,2156,5.6
0123,0417,1.1
0123,1019,5.6
0123,1643,1.3
0123,2241,5.5
0124,0509,1.2
0124,1108,5.5
0124,1739,1.3
0124,2336,5.4
0125,0609,1.4
0125,1209,5.4
0125,1845,1.4
0126,0047,5.2
0126,0715,1.5
0126,1326,5.4
0126,1954,1.4
0127,0213,5.2
0127,0824,1.5
0127,1447,5.4
0127,2104,1.3
0128,0336,5.3
0128,0938,1.5
0128,1600,5.6
0128,2217,1.1
0129,0447,5.5
0129,1051,1.3
0129,1708,5.9
0129,2326,0.8
0130,0553,5.8
0130,1156,1.0
0130,1808,6.2
0131,0026,0.4
0131,0649,6.1
0131,1253,0.6
0131,1902,6.5
0201,0115,0.1
0201,0738,6.3
0201,1339,0.4
0201,1953,6.6
0202,0202,0.1
0202,0819,6.5
0202,1419,0.2
0202,2034,6.7
0203,0245,0.1
0203,0900,6.5
0203,1500,0.1
0203,2109,6.6
0204,0317,0.1
