data,hora,mare
0101,0358,3.0
0101,1000,0.4
0101,1615,3.3
0101,2241,0.0
0102,0456,3.1
0102,1106,0.3
0102,1709,3.4
0102,2343,0.1
0103,0547,3.1
0103,1200,0.2
0103,1800,3.4
0104,0032,0.2
0104,0636,3.1
0104,1245,0.1
0104,1853,3.4
0105,0111,0.1
0105,0721,3.0
0105,1323,0.2
0105,1941,3.3
0106,0154,0.0
0106,0809,2.9
0106,1402,0.3
0106,2030,3.1
0107,0232,0.2
0107,0902,2.8
0107,1445,0.5
0107,2121,2.9
0108,0313,0.5
0108,0956,2.7
0108,1534,0.7
0108,2215,2.6
0109,0409,0.7
0109,1053,2.6
0109,1658,0.9
0109,2311,2.5
0110,0526,0.9
0110,1145,2.6
0110,1811,0.9
0111,0008,2.4
0111,0626,1.0
0111,1236,2.5
0111,1904,0.8
0112,0104,2.3
0112,0709,1.0
0112,1323,2.6
0112,1954,0.7
0113,0200,2.4
0113,0758,0.9
0113,1413,2.6
0113,2039,0.6
0114,0253,2.5
0114,0845,0.9
0114,1506,2.7
0114,2132,0.6
0115,0338,2.6
0115,0938,0.8
0115,1554,2.8
0115,2230,0.5
0116,0419,2.7
0116,1036,0.7
0116,1636,2.9
0116,2317,0.4
0117,0500,2.8
0117,1121,0.6
0117,1713,3.0
0117,2356,0.3
0118,0538,2.8
0118,1154,0.5
0118,1753,3.0
0119,0026,0.2
0119,0611,2.9
0119,1223,0.4
0119,1823,3.0
0120,0056,0.2
0120,0653,2.9
0120,1254,0.4
0120,1900,3.0
0121,0121,0.2
0121,0726,2.9
0121,1321,0.4
0121,1939,3.0
0122,0151,0.2
0122,0804,2.9
0122,1358,0.4
0122,2011,2.9
0123,0219,0.4
0123,0849,2.9
0123,1436,0.5
0123,2058,2.8
0124,0258,0.5
0124,0926,2.9
0124,1521,0.6
0124,2149,2.6
0125,0347,0.7
0125,1015,2.8
0125,1630,0.7
0125,2249,2.5
0126,0504,0.8
0126,1117,2.7
0126,1756,0.7
0127,0002,2.5
0127,0624,0.8
0127,1234,2.7
0127,1904,0.6
0128,0123,2.5
0128,0730,0.8
0128,1349,2.8
0128,2009,0.5
0129,0236,2.7
0129,0836,0.7
0129,1456,3.0
0129,2126,0.3
0130,0341,2.8
0130,0954,0.5
0130,1602,3.2
0130,2243,0.1
0131,0443,3.0
0131,1102,0.3
0131,1700,3.3
0131,2338,0.1
0201,0538,3.1
0201,1151,0.1
0201,1754,3.4
0202,0019,0.2
0202,0624,3.1
0202,1232,0.0
0202,1843,3.4
0203,0058,0.2
0203,0708,3.1
0203,1306,0.1
0203,1924,3.3
0204,0130,0.1
0204,0753,3.1
0204,1345,0.2
0204,2004,3.2
0205,0202,0.2
0205,0830,3.0
0205,1417,0.4
0205,2047,2.9
0206,0234,0.4
0206,0906,2.8
0206,1458,0.6
0206,2126,2.6
0207,0306,0.7
0207,0943,2.7
0207,1549,0.8
0207,2217,2.4
0208,0347,1.0
0208,1036,2.5
0208,1719,0.9
0208,2328,2.2
0209,0521,1.1
0209,1153,2.4
0209,1819,0.9
0210,0038,2.2
0210,0626,1.2
0210,1258,2.3
0210,1911,0.9
0211,0134,2.3
0211,0717,1.1
0211,1356,2.4
0211,2006,0.9
0212,0221,2.4
0212,0813,1.0
0212,1447,2.6
0212,2111,0.8
0213,0308,2.5
0213,0919,0.9
0213,1530,2.7
0213,2213,0.6
0214,0356,2.6
0214,1019,0.7
0214,1613,2.9
0214,2258,0.4
0215,0438,2.8
0215,1100,0.6
0215,1658,3.0
0215,2336,0.2
0216,0519,2.9
0216,1136,0.4
0216,1736,3.1
0217,0002,0.1
0217,0600,3.0
0217,1204,0.3
0217,1809,3.1
0218,0032,0.0
0218,0638,3.1
0218,1236,0.2
0218,1851,3.2
0219,0058,0.0
0219,0708,3.2
0219,1304,0.2
0219,1923,3.1
0220,0126,0.1
0220,0749,3.2
0220,1341,0.2
0220,2000,3.0
0221,0158,0.3
0221,0819,3.1
0221,1415,0.3
0221,2041,2.9
0222,0238,0.5
0222,0900,3.0
0222,1502,0.4
0222,2121,2.7
0223,0323,0.7
0223,0949,2.8
0223,1604,0.6
0223,2219,2.5
0224,0432,0.9
0224,1053,2.6
0224,1726,0.7
0224,2349,2.4
0225,0558,0.9
0225,1219,2.6
0225,1847,0.7
0226,0111,2.4
0226,0709,0.9
0226,1341,2.7
0226,2004,0.6
0227,0223,2.6
0227,0830,0.8
0227,1445,2.9
0227,2132,0.4
0228,0326,2.7
0228,0953,0.5
0228,1547,3.1
0228,2238,0.2
0301,0430,2.9
0301,1051,0.3
0301,1647,3.3
0301,2323,0.0
0302,0524,3.0
0302,1136,0.1
0302,1741,3.4
0303,0000,0.1
0303,0608,3.2
0303,1209,0.0
0303,1826,3.4
0304,0034,0.1
0304,0649,3.2
0304,1249,0.0
0304,1902,3.3
0305,0102,0.0
0305,0721,3.2
0305,1319,0.1
0305,1939,3.1
0306,0130,0.2
0306,0749,3.1
0306,1353,0.2
0306,2006,2.9
0307,0158,0.5
0307,0811,2.9
0307,1423,0.4
0307,2028,2.7
0308,0221,0.7
0308,0824,2.7
0308,1458,0.7
0308,2051,2.4
0309,0253,0.9
0309,0849,2.5
0309,1541,0.9
0309,2119,2.2
0310,0334,1.1
0310,0913,2.3
0310,1715,1.0
0310,2358,2.1
0311,0447,1.2
0311,1053,2.1
0311,1238,2.2
0311,1836,1.1
0312,0102,2.2
0312,0634,1.2
0312,1334,2.3
0312,1945,1.0
0313,0158,2.3
0313,0747,1.1
0313,1415,2.5
0313,2053,0.8
0314,0241,2.5
0314,0854,0.9
0314,1502,2.7
0314,2149,0.6
0315,0323,2.6
0315,0951,0.7
0315,1549,2.8
0315,2228,0.4
0316,0409,2.8
0316,1034,0.5
0316,1630,3.0
0316,2300,0.2
0317,0456,3.0
0317,1106,0.3
0317,1711,3.1
0317,2334,0.0
0318,0538,3.2
0318,1141,0.1
0318,1754,3.2
0319,0002,0.0
0319,0611,3.3
0319,1211,0.0
0319,1834,3.2
0320,0034,0.0
0320,0651,3.4
0320,1249,0.0
0320,1906,3.2
0321,0104,0.1
0321,0721,3.3
0321,1323,0.0
0321,1947,3.1
0322,0143,0.3
0322,0758,3.2
0322,1404,0.1
0322,2021,2.9
0323,0221,0.5
0323,0839,3.0
0323,1453,0.3
0323,2104,2.7
0324,0309,0.7
0324,0924,2.8
0324,1551,0.6
0324,2206,2.4
0325,0413,0.9
0325,1047,2.5
0325,1708,0.8
0325,2349,2.3
0326,0541,1.0
0326,1219,2.5
0326,1839,0.8
0327,0106,2.4
0327,0704,1.0
0327,1330,2.7
0327,2006,0.7
0328,0208,2.6
0328,0828,0.8
0328,1428,2.9
0328,2124,0.5
0329,0308,2.7
0329,0939,0.5
0329,1528,3.0
0329,2217,0.2
0330,0409,2.9
0330,1030,0.3
0330,1630,3.1
0330,2256,0.1
0331,0500,3.1
0331,1111,0.1
0331,1723,3.2
0331,2330,0.0
0401,0545,3.2
0401,1149,0.0
0401,1802,3.2
0402,0002,0.1
0402,0619,3.2
0402,1223,0.0
0402,1839,3.2
0403,0032,0.2
0403,0645,3.2
0403,1256,0.1
0403,1906,3.0
0404,0100,0.4
0404,0708,3.1
0404,1324,0.2
0404,1928,2.9
0405,0124,0.5
0405,0724,3.0
0405,1354,0.4
0405,1951,2.7
0406,0153,0.7
0406,0749,2.8
0406,1423,0.6
0406,2009,2.5
0407,0221,0.9
0407,0809,2.6
0407,1502,0.8
0407,2047,2.3
0408,0300,1.0
0408,0853,2.4
0408,1551,1.0
0408,2124,2.1
0409,0351,1.1
0409,0941,2.2
0409,1156,2.1
0409,1730,1.1
0410,0038,2.1
0410,0511,1.2
0410,1300,2.3
0410,1911,1.0
0411,0121,2.3
0411,0711,1.1
0411,1347,2.5
0411,2015,0.8
0412,0204,2.5
0412,0821,0.9
0412,1424,2.6
0412,2104,0.6
0413,0251,2.7
0413,0913,0.7
0413,1508,2.8
0413,2143,0.4
0414,0336,2.9
0414,0954,0.4
0414,1558,2.9
0414,2219,0.2
0415,0421,3.1
0415,1034,0.2
0415,1649,3.1
0415,2254,0.1
0416,0506,3.3
0416,1111,0.0
0416,1734,3.2
0416,2332,0.0
0417,0549,3.4
0417,1153,0.1
0417,1809,3.3
0418,0008,0.1
0418,0624,3.4
0418,1232,0.1
0418,1853,3.2
0419,0051,0.2
0419,0700,3.4
0419,1311,0.1
0419,1928,3.1
0420,0132,0.3
0420,0743,3.2
0420,1358,0.1
0420,2006,2.9
0421,0213,0.5
0421,0823,3.0
0421,1447,0.3
0421,2058,2.6
0422,0302,0.7
0422,0919,2.7
0422,1543,0.6
0422,2209,2.4
0423,0404,0.9
0423,1053,2.6
0423,1700,0.8
0423,2347,2.3
0424,0532,1.0
0424,1209,2.6
0424,1834,0.8
0425,0053,2.5
0425,0702,0.9
0425,1309,2.7
0425,1953,0.7
0426,0145,2.6
0426,0815,0.7
0426,1406,2.8
0426,2051,0.5
0427,0236,2.8
0427,0915,0.5
0427,1502,2.9
0427,2138,0.3
0428,0330,2.9
0428,1002,0.3
0428,1600,3.0
0428,2217,0.3
0429,0426,3.0
0429,1043,0.2
0429,1653,3.0
0429,2254,0.3
0430,0509,3.1
0430,1121,0.1
0430,1736,3.0
0430,2330,0.3
0501,0541,3.2
0501,1158,0.1
0501,1808,3.0
0502,0002,0.4
0502,0609,3.1
0502,1232,0.1
0502,1834,2.9
0503,0034,0.5
0503,0632,3.0
0503,1302,0.3
0503,1858,2.8
