data,hora,mare
0101,0528,6.0
0101,1136,0.5
0101,1747,6.0
0102,0015,0.0
0102,0621,6.1
0102,1226,0.3
0102,1839,6.1
0103,0106,0.1
0103,0711,6.1
0103,1313,0.2
0103,1924,6.2
0104,0156,0.1
0104,0800,6.1
0104,1400,0.2
0104,2008,6.3
0105,0241,0.1
0105,0847,5.9
0105,1449,0.3
0105,2053,6.2
0106,0319,0.3
0106,0930,5.7
0106,1532,0.5
0106,2134,5.9
0107,0402,0.6
0107,1011,5.5
0107,1615,0.8
0107,2215,5.6
0108,0445,0.9
0108,1100,5.3
0108,1706,1.2
0108,2304,5.3
0109,0528,1.3
0109,1153,5.0
0109,1806,1.5
0110,0006,4.9
0110,0619,1.7
0110,1253,4.9
0110,1917,1.7
0111,0115,4.7
0111,0724,1.9
0111,1354,4.8
0111,2030,1.7
0112,0224,4.7
0112,0834,2.0
0112,1456,4.7
0112,2138,1.6
0113,0326,4.8
0113,0936,2.0
0113,1553,4.7
0113,2236,1.4
0114,0424,4.9
0114,1032,1.8
0114,1647,4.8
0114,2326,1.3
0115,0519,5.0
0115,1121,1.7
0115,1738,4.9
0116,0011,1.2
0116,0608,5.1
0116,1206,1.5
0116,1821,5.0
0117,0056,1.1
0117,0656,5.2
0117,1249,1.3
0117,1858,5.2
0118,0132,1.0
0118,0738,5.2
0118,1324,1.1
0118,1932,5.4
0119,0202,0.9
0119,0811,5.3
0119,1402,1.0
0119,2002,5.5
0120,0236,0.8
0120,0849,5.3
0120,1443,0.9
0120,2038,5.7
0121,0304,0.7
0121,0919,5.4
0121,1519,0.8
0121,2111,5.7
0122,0341,0.7
0122,0954,5.4
0122,1602,0.8
0122,2154,5.7
0123,0417,0.7
0123,1030,5.4
0123,1651,0.9
0123,2243,5.5
0124,0502,0.9
0124,1113,5.3
0124,1745,0.9
0124,2341,5.4
0125,0558,1.1
0125,1209,5.2
0125,1847,1.0
0126,0053,5.3
0126,0700,1.2
0126,1317,5.2
0126,1956,1.0
0127,0202,5.3
0127,0808,1.2
0127,1426,5.3
0127,2102,0.8
0128,0309,5.5
0128,0913,1.1
0128,1532,5.4
0128,2206,0.7
0129,0413,5.6
0129,1017,0.9
0129,1636,5.6
0129,2306,0.5
0130,0513,5.7
0130,1115,0.7
0130,1734,5.9
0131,0002,0.3
0131,0608,5.8
0131,1209,0.4
0131,1826,6.1
0201,0054,0.1
0201,0700,5.9
0201,1300,0.3
0201,1911,6.2
0202,0141,0.1
0202,0751,6.0
0202,1349,0.2
0202,1956,6.3
0203,0219,0.1
0203,0830,5.9
0203,1432,0.3
0203,2036,6.2
0204,0258,0.2
0204,0908,5.9
0204,1511,0.4
0204,2111,6.0
0205,0334,0.5
0205,0945,5.7
0205,1554,0.7
0205,2153,5.7
0206,0404,0.9
0206,1017,5.5
0206,1638,1.0
0206,2232,5.3
0207,0441,1.2
0207,1054,5.2
0207,1723,1.3
