data,hora,mare
2022-01-01,0000,0.5
2022-01-01,0606,5.8
2022-01-01,1209,0.6
2022-01-01,1821,6.3
2022-01-02,0049,0.2
2022-01-02,0702,6.1
2022-01-02,1302,0.4
2022-01-02,1915,6.4
2022-01-03,0139,0.0
2022-01-03,0754,6.2
2022-01-03,1354,0.3
2022-01-03,2006,6.5
2022-01-04,0223,0.1
2022-01-04,0843,6.2
2022-01-04,1441,0.4
2022-01-04,2056,6.4
2022-01-05,0308,0.0
2022-01-05,0930,6.1
2022-01-05,1523,0.5
2022-01-05,2145,6.3
2022-01-06,0356,0.2
2022-01-06,1015,5.9
2022-01-06,1608,0.7
2022-01-06,2228,6.0
2022-01-07,0441,0.5
2022-01-07,1102,5.7
2022-01-07,1656,1.0
2022-01-07,2311,5.8
2022-01-08,0524,0.9
2022-01-08,1151,5.5
2022-01-08,1743,1.2
2022-01-09,0002,5.5
2022-01-09,0613,1.2
2022-01-09,1236,5.4
2022-01-09,1834,1.5
2022-01-10,0054,5.3
2022-01-10,0706,1.5
2022-01-10,1319,5.2
2022-01-10,1936,1.7
2022-01-11,0151,5.1
2022-01-11,0800,1.6
2022-01-11,1409,5.2
2022-01-11,2043,1.7
2022-01-12,0245,5.0
2022-01-12,0858,1.8
2022-01-12,1504,5.1
2022-01-12,2147,1.6
2022-01-13,0343,5.0
2022-01-13,0958,1.8
2022-01-13,1558,5.2
2022-01-13,2245,1.4
2022-01-14,0443,5.0
2022-01-14,1053,1.7
2022-01-14,1651,5.3
2022-01-14,2336,1.2
2022-01-15,0539,5.2
2022-01-15,1141,1.5
2022-01-15,1741,5.4
2022-01-16,0019,1.1
2022-01-16,0628,5.3
2022-01-16,1221,1.4
2022-01-16,1826,5.6
2022-01-17,0100,0.9
2022-01-17,0708,5.4
2022-01-17,1300,1.2
2022-01-17,1911,5.7
2022-01-18,0141,0.8
2022-01-18,0747,5.5
2022-01-18,1343,1.1
2022-01-18,1953,5.7
2022-01-19,0211,0.8
2022-01-19,0819,5.5
2022-01-19,1415,1.1
