data,hora,mare
0101,0545,5.5
0101,1153,0.9
0101,1800,5.8
0102,0023,0.5
0102,0641,5.6
0102,1247,0.7
0102,1854,5.9
0103,0115,0.3
0103,0734,5.7
0103,1338,0.6
0103,1947,6.0
0104,0206,0.2
0104,0821,5.7
0104,1423,0.6
0104,2036,6.0
0105,0256,0.3
0105,0908,5.7
0105,1508,0.6
0105,2121,5.9
0106,0339,0.4
0106,0956,5.6
0106,1556,0.8
0106,2206,5.7
0107,0419,0.7
0107,1041,5.4
0107,1641,1.0
0107,2254,5.5
0108,0502,1.0
0108,1124,5.2
0108,1724,1.3
0108,2343,5.2
0109,0551,1.3
0109,1213,5.0
0109,1817,1.5
0110,0038,5.0
0110,0643,1.5
0110,1309,4.9
0110,1917,1.6
0111,0138,4.8
0111,0745,1.6
0111,1409,4.9
0111,2024,1.5
0112,0243,4.8
0112,0851,1.6
0112,1509,5.0
0112,2130,1.4
0113,0347,4.9
0113,0951,1.5
0113,1608,5.1
0113,2226,1.2
0114,0445,5.0
0114,1043,1.4
0114,1700,5.2
0114,2315,1.1
0115,0534,5.1
0115,1128,1.3
0115,1743,5.3
0116,0000,1.0
0116,0615,5.2
0116,1208,1.2
0116,1823,5.4
0117,0041,0.9
0117,0653,5.3
0117,1249,1.1
0117,1858,5.5
0118,0115,0.8
0118,0728,5.3
0118,1323,1.1
0118,1936,5.5
0119,0154,0.8
0119,0802,5.4
0119,1358,1.0
0119,2008,5.6
0120,0224,0.7
0120,0838,5.4
0120,1434,0.9
0120,2045,5.6
0121,0258,0.8
0121,0909,5.4
0121,1506,0.9
0121,2117,5.6
0122,0330,0.8
0122,0947,5.4
0122,1545,0.9
0122,2154,5.5
0123,0404,0.9
0123,1023,5.3
0123,1624,1.0
0123,2236,5.4
0124,0447,1.1
0124,1106,5.2
0124,1711,1.1
0124,2324,5.2
0125,0539,1.2
0125,1202,5.1
0125,1813,1.2
0126,0030,5.0
0126,0645,1.4
0126,1309,5.1
0126,1926,1.3
0127,0151,4.9
0127,0800,1.5
0127,1424,5.1
0127,2047,1.3
0128,0311,4.9
0128,0921,1.5
0128,1541,5.2
0128,2204,1.1
0129,0432,5.0
0129,1038,1.3
0129,1653,5.4
0129,2315,0.9
0130,0539,5.3
0130,1141,1.1
0130,1754,5.6
0131,0013,0.6
0131,0638,5.5
0131,1238,0.8
0131,1851,5.9
0201,0106,0.4
0201,0724,5.7
0201,1324,0.6
0201,1939,6.0
0202,0156,0.2
0202,0808,5.8
0202,1408,0.5
0202,2021,6.1
0203,0238,0.3
0203,0851,5.8
0203,1454,0.5
0203,2102,6.0
0204,0311,0.4
0204,0928,5.7
0204,1532,0.6
0204,2141,5.8
0205,0353,0.6
0205,1002,5.6
0205,1606,0.8
0205,2217,5.6
0206,0423,0.9
0206,1041,5.4
0206,1647,1.0
0206,2256,5.3
0207,0500,1.2
0207,1119,5.1
0207,1726,1.3
0207,2343,5.0
0208,0545,1.5
0208,1208,4.9
0208,1817,1.5
0209,0039,4.8
0209,0641,1.7
0209,1308,4.8
0209,1924,1.7
0210,0149,4.6
0210,0753,1.9
0210,1415,4.7
0210,2043,1.7
0211,0302,4.6
0211,0908,1.9
0211,1526,4.7
0211,2154,1.6
0212,0413,4.7
0212,1011,1.8
0212,1630,4.9
0212,2253,1.4
0213,0508,4.8
0213,1102,1.6
0213,1721,5.1
0213,2339,1.2
0214,0553,5.0
0214,1149,1.4
0214,1802,5.3
0215,0015,1.0
0215,0630,5.2
0215,1226,1.2
0215,1839,5.5
0216,0056,0.8
0216,0704,5.5
0216,1302,0.9
0216,1915,5.7
0217,0132,0.6
0217,0741,5.6
0217,1343,0.7
0217,1953,5.8
0218,0204,0.5
0218,0815,5.7
0218,1415,0.6
0218,2028,5.9
0219,0241,0.5
0219,0853,5.8
0219,1454,0.6
0219,2102,5.8
0220,0311,0.6
0220,0924,5.7
0220,1530,0.6
0220,2139,5.7
0221,0349,0.8
0221,1000,5.6
0221,1606,0.8
0221,2215,5.5
0222,0424,1.0
0222,1041,5.4
0222,1653,0.9
0222,2302,5.2
0223,0511,1.2
0223,1132,5.2
0223,1749,1.2
0224,0004,4.9
0224,0615,1.5
0224,1239,5.0
0224,1900,1.4
0225,0124,4.7
0225,0738,1.7
0225,1402,4.9
0225,2028,1.4
0226,0300,4.7
0226,0906,1.7
0226,1528,5.0
0226,2156,1.3
0227,0426,4.9
0227,1028,1.4
0227,1647,5.3
0227,2306,0.9
0228,0534,5.3
0228,1132,1.1
0228,1751,5.6
0301,0004,0.6
0301,0624,5.5
0301,1223,0.8
0301,1841,5.9
0302,0054,0.4
0302,0708,5.7
0302,1308,0.5
0302,1923,6.0
0303,0136,0.3
0303,0751,5.8
0303,1354,0.4
0303,2002,6.1
0304,0209,0.3
0304,0823,5.8
0304,1428,0.4
0304,2038,6.0
0305,0249,0.4
0305,0856,5.8
0305,1502,0.4
0305,2109,5.9
0306,0315,0.6
0306,0924,5.7
0306,1538,0.6
0306,2143,5.7
0307,0349,0.8
0307,0958,5.5
0307,1606,0.9
0307,2215,5.4
0308,0417,1.1
0308,1032,5.3
0308,1645,1.1
0308,2256,5.1
0309,0456,1.4
0309,1113,5.0
0309,1728,1.4
0309,2347,4.7
0310,0547,1.7
0310,1208,4.7
0310,1826,1.7
0311,0053,4.5
0311,0654,2.0
0311,1319,4.5
0311,1947,1.9
0312,0213,4.4
0312,0817,2.1
0312,1441,4.5
0312,2111,1.8
0313,0336,4.5
0313,0936,2.0
0313,1554,4.7
0313,2217,1.6
0314,0436,4.7
0314,1034,1.7
0314,1651,4.9
0314,2304,1.3
0315,0519,5.0
0315,1117,1.4
0315,1734,5.2
0315,2349,1.0
0316,0600,5.3
0316,1200,1.0
0316,1811,5.5
0317,0026,0.7
0317,0638,5.6
0317,1241,0.7
0317,1853,5.8
0318,0104,0.5
0318,0711,5.9
0318,1317,0.4
0318,1930,6.0
0319,0145,0.4
0319,0753,6.0
0319,1358,0.3
0319,2008,6.1
0320,0217,0.4
0320,0826,6.0
0320,1439,0.3
0320,2049,6.0
0321,0256,0.5
0321,0904,5.9
0321,1513,0.4
0321,2123,5.8
0322,0334,0.7
0322,0943,5.7
0322,1556,0.6
0322,2204,5.5
0323,0411,1.0
0323,1023,5.5
0323,1643,0.9
0323,2253,5.2
0324,0500,1.3
0324,1113,5.2
0324,1739,1.2
0324,2354,4.8
0325,0604,1.6
0325,1224,4.9
0325,1853,1.4
0326,0121,4.6
0326,0728,1.8
0326,1354,4.8
0326,2019,1.5
0327,0258,4.7
0327,0900,1.7
0327,1523,5.0
0327,2147,1.2
