data,hora,mare
0101,0143,1.5
0101,1004,0.4
0101,1438,1.2
0101,2108,0.1
0102,0234,1.5
0102,1100,0.4
0102,1521,1.3
0102,2154,0.1
0103,0323,1.5
0103,0847,0.8
0103,1158,0.5
0103,1608,1.3
0103,2241,0.1
0104,0409,1.5
0104,0811,0.7
0104,1009,0.8
0104,1300,0.7
0104,1700,1.3
0104,2321,0.1
0105,0458,1.5
0105,0854,0.7
0105,1149,0.9
0105,1411,0.8
0105,1753,1.2
0105,2351,0.2
0106,0543,1.4
0106,0932,0.6
0106,1300,1.0
0106,1536,0.8
0106,1843,1.1
0107,0021,0.3
0107,0621,1.3
0107,1009,0.5
0107,1400,1.1
0107,1649,0.8
0107,1930,1.1
0108,0051,0.4
0108,0700,1.2
0108,1054,0.5
0108,1451,1.1
0108,1749,0.8
0108,2023,1.0
0109,0132,0.5
0109,0741,1.1
0109,1138,0.5
0109,1536,1.0
0109,1836,0.8
0109,2124,1.0
0110,0226,0.5
0110,0819,1.1
0110,1223,0.5
0110,1613,0.9
0110,1906,0.7
0110,2238,1.0
0111,0332,0.6
0111,0911,1.0
0111,1332,0.6
0111,1654,0.8
0111,1932,0.7
0111,2343,1.1
0112,0441,0.6
0112,1021,1.0
0112,1553,0.6
0112,1700,0.7
0112,1941,0.6
0113,0034,1.2
0113,0553,0.5
0113,1136,1.1
0113,1945,0.5
0114,0115,1.3
0114,0654,0.5
0114,1236,1.2
0114,1956,0.4
0115,0156,1.4
0115,0741,0.4
0115,1323,1.2
0115,2019,0.3
0116,0236,1.4
0116,0819,0.4
0116,1408,1.3
0116,2038,0.2
0117,0311,1.5
0117,0847,0.4
0117,1449,1.3
0117,2102,0.2
0118,0353,1.5
0118,0911,0.4
0118,1530,1.3
0118,2126,0.1
0119,0428,1.5
0119,0934,0.3
0119,1608,1.3
0119,2156,0.1
0120,0504,1.5
0120,1000,0.4
0120,1647,1.3
0120,2228,0.1
0121,0543,1.5
0121,1026,0.4
0121,1723,1.3
0121,2304,0.2
0122,0617,1.4
0122,1058,0.4
0122,1756,1.2
0122,2336,0.3
0123,0658,1.3
0123,1124,0.5
0123,1838,1.2
0124,0011,0.4
0124,0745,1.2
0124,1200,0.6
0124,1930,1.1
0125,0023,0.6
0125,0345,0.6
0125,0841,1.0
0125,1243,0.7
0125,2041,1.0
0126,0145,0.7
0126,0549,0.6
0126,0958,1.0
0126,1715,0.7
0126,2202,1.0
0127,0711,0.5
0127,1136,1.0
0127,1836,0.5
0127,2334,1.1
0128,0813,0.4
0128,1254,1.1
0128,1930,0.3
0129,0047,1.3
0129,0906,0.3
0129,1345,1.2
0129,2017,0.2
0130,0143,1.4
0130,0956,0.3
0130,1430,1.3
0130,2100,0.0
0131,0230,1.5
0131,1041,0.4
0131,1511,1.3
0131,2141,0.0
0201,0313,1.5
0201,1121,0.5
0201,1558,1.4
0201,2217,0.0
0202,0358,1.5
0202,0824,0.7
0202,1000,0.7
0202,1200,0.6
0202,1641,1.4
0202,2243,0.0
0203,0439,1.5
0203,0854,0.5
0203,1719,1.4
0203,2302,0.1
0204,0513,1.5
0204,0923,0.4
0204,1800,1.3
0204,2319,0.2
0205,0553,1.4
0205,1000,0.3
0205,1841,1.2
0205,2341,0.3
0206,0623,1.3
0206,1039,0.3
0206,1508,1.0
0206,1658,1.0
0206,1917,1.1
0207,0015,0.4
0207,0658,1.2
0207,1115,0.3
0207,1549,1.0
0207,1800,0.9
0207,2009,1.0
0208,0104,0.6
0208,0739,1.1
0208,1158,0.4
0208,1615,0.9
0208,1845,0.8
0208,2124,1.0
0209,0234,0.7
0209,0834,1.0
0209,1251,0.6
0209,1645,0.8
0209,1902,0.7
0209,2308,1.0
0210,0456,0.7
0210,0947,1.0
0210,1430,0.7
0210,1641,0.7
0210,1917,0.6
0211,0028,1.1
0211,0630,0.6
0211,1102,1.0
0211,1934,0.5
0212,0113,1.2
0212,0711,0.5
0212,1209,1.1
0212,1949,0.3
0213,0151,1.3
0213,0745,0.4
0213,1304,1.2
0213,2006,0.2
0214,0224,1.4
0214,0811,0.4
0214,1353,1.3
0214,2028,0.2
0215,0258,1.5
0215,0836,0.3
0215,1436,1.4
0215,2049,0.1
0216,0332,1.6
0216,0856,0.3
0216,1517,1.4
0216,2115,0.0
0217,0406,1.6
0217,0917,0.3
0217,1558,1.4
0217,2141,0.0
0218,0443,1.6
0218,0941,0.3
0218,1634,1.4
0218,2209,0.1
0219,0515,1.5
0219,1006,0.3
0219,1704,1.4
0219,2230,0.2
0220,0554,1.4
0220,1032,0.3
0220,1738,1.3
0220,2247,0.3
0221,0634,1.3
0221,1100,0.4
0221,1808,1.3
0221,2258,0.5
0222,0715,1.1
0222,1130,0.5
0222,1854,1.2
0222,2306,0.6
0223,0209,0.8
0223,0456,0.7
0223,0815,0.9
0223,1208,0.6
0223,1958,1.0
0223,2324,0.7
0224,0228,0.9
0224,0624,0.6
0224,0951,0.8
0224,1638,0.7
0224,2136,1.0
0224,2354,0.9
0225,0254,1.1
0225,0723,0.4
0225,1139,0.9
0225,1824,0.5
0226,0308,1.1
0226,0808,0.3
0226,1249,1.1
0226,1915,0.3
0227,0128,1.2
0227,0853,0.3
0227,1334,1.2
0227,1958,0.1
