data,hora,mare
2022-01-01,0113,1.4
2022-01-01,1008,0.4
2022-01-01,1430,1.2
2022-01-01,2013,0.1
2022-01-02,0211,1.5
2022-01-02,1123,0.4
2022-01-02,1536,1.3
2022-01-02,2054,0.0
2022-01-03,0317,1.6
2022-01-03,1204,0.5
2022-01-03,1615,1.3
2022-01-03,2117,0.0
2022-01-04,0402,1.6
2022-01-04,0751,0.7
2022-01-04,1041,0.9
2022-01-04,1254,0.6
2022-01-04,1654,1.3
2022-01-04,2151,0.0
2022-01-05,0447,1.6
2022-01-05,0830,0.6
2022-01-05,1109,1.0
2022-01-05,1336,0.8
2022-01-05,1717,1.3
2022-01-05,2209,0.1
2022-01-05,2354,0.2
2022-01-06,0509,1.5
2022-01-06,0902,0.5
2022-01-06,1204,1.1
2022-01-06,1523,0.8
2022-01-06,1758,1.2
2022-01-07,0039,0.2
2022-01-07,0549,1.4
2022-01-07,0945,0.4
2022-01-07,1347,1.1
2022-01-07,1604,0.8
2022-01-07,1845,1.1
2022-01-08,0056,0.3
2022-01-08,0619,1.2
2022-01-08,1013,0.4
2022-01-08,1428,1.2
2022-01-08,1709,0.9
2022-01-08,2000,1.0
2022-01-09,0104,0.4
2022-01-09,0711,1.1
2022-01-09,1109,0.4
2022-01-09,1506,1.2
2022-01-09,1830,0.8
2022-01-09,2058,1.0
2022-01-10,0123,0.5
2022-01-10,0800,1.1
2022-01-10,1215,0.4
2022-01-10,1554,1.1
2022-01-10,1900,0.7
2022-01-10,2238,1.0
2022-01-11,0213,0.6
2022-01-11,0853,1.0
2022-01-11,1302,0.4
2022-01-11,1639,0.9
2022-01-11,1919,0.6
2022-01-11,2326,1.1
2022-01-12,0523,0.6
2022-01-12,0953,1.0
2022-01-12,1400,0.5
2022-01-12,1706,0.7
2022-01-12,1934,0.6
2022-01-13,0004,1.2
2022-01-13,0628,0.5
2022-01-13,1126,1.1
2022-01-13,1917,0.5
2022-01-14,0049,1.3
2022-01-14,0643,0.4
2022-01-14,1213,1.2
2022-01-14,1841,0.3
2022-01-15,0124,1.4
2022-01-15,0704,0.4
2022-01-15,1306,1.2
2022-01-15,1908,0.2
2022-01-16,0209,1.4
2022-01-16,0732,0.4
2022-01-16,1400,1.3
2022-01-16,1943,0.1
2022-01-17,0306,1.4
2022-01-17,0815,0.4
2022-01-17,1508,1.3
2022-01-17,2036,0.1
2022-01-18,0351,1.5
2022-01-18,0853,0.4
2022-01-18,1556,1.3
2022-01-18,2104,0.1
2022-01-19,0430,1.5
2022-01-19,0911,0.4
2022-01-19,1636,1.4
2022-01-19,2132,0.1
2022-01-20,0456,1.5
2022-01-20,0941,0.4
2022-01-20,1656,1.4
2022-01-20,2153,0.1
2022-01-21,0517,1.5
2022-01-21,0958,0.5
2022-01-21,1709,1.3
2022-01-21,2202,0.2
2022-01-22,0556,1.3
2022-01-22,1011,0.6
2022-01-22,1745,1.2
2022-01-22,2215,0.3
2022-01-23,0653,1.1
2022-01-23,1241,0.6
2022-01-23,1821,1.2
2022-01-23,2317,0.5
2022-01-24,0241,0.6
2022-01-24,0358,0.5
2022-01-24,0811,1.1
2022-01-24,1304,0.6
2022-01-24,1953,1.2
2022-01-25,0053,0.5
2022-01-25,0239,0.6
2022-01-25,0458,0.5
2022-01-25,0908,1.1
2022-01-25,1354,0.6
2022-01-25,2047,1.3
2022-01-26,0109,0.6
2022-01-26,0258,0.7
2022-01-26,0604,0.4
2022-01-26,1026,1.1
2022-01-26,1621,0.5
2022-01-26,2130,1.3
2022-01-27,0153,0.7
2022-01-27,0323,0.7
2022-01-27,0658,0.4
2022-01-27,1115,1.1
2022-01-27,1721,0.4
2022-01-27,2245,1.3
2022-01-28,0221,0.8
2022-01-28,0404,0.8
2022-01-28,0751,0.4
2022-01-28,1204,1.1
2022-01-28,1834,0.3
2022-01-28,2354,1.3
2022-01-29,0854,0.4
2022-01-29,1308,1.1
2022-01-29,1923,0.2
2022-01-30,0100,1.4
2022-01-30,1004,0.4
2022-01-30,1417,1.2
2022-01-30,2009,0.0
2022-01-31,0200,1.5
2022-01-31,1102,0.4
2022-01-31,1519,1.3
2022-01-31,2054,0.1
2022-02-01,0249,1.6
2022-02-01,0711,0.7
2022-02-01,0808,0.7
2022-02-01,1154,0.5
2022-02-01,1600,1.4
