data,hora,mare
0101,0215,1.9
0101,0709,0.7
0101,0847,0.8
0101,1113,0.6
0101,1530,1.7
0101,2021,0.1
0102,0309,2.0
0102,0745,0.7
0102,0953,0.9
0102,1219,0.6
0102,1621,1.8
0102,2106,0.0
0103,0402,2.0
0103,0817,0.7
0103,1056,1.0
0103,1328,0.7
0103,1713,1.7
0103,2153,0.0
0104,0456,1.9
0104,0900,0.6
0104,1200,1.2
0104,1445,0.8
0104,1808,1.7
0104,2236,0.0
0105,0545,1.9
0105,0945,0.5
0105,1302,1.4
0105,1558,0.8
0105,1904,1.6
0105,2317,0.0
0106,0626,1.8
0106,1023,0.4
0106,1400,1.6
0106,1702,0.8
0106,2000,1.5
0107,0002,0.1
0107,0706,1.6
0107,1104,0.3
0107,1453,1.7
0107,1802,0.8
0107,2058,1.4
0108,0051,0.2
0108,0747,1.5
0108,1151,0.3
0108,1541,1.7
0108,1858,0.7
0108,2154,1.4
0109,0141,0.3
0109,0824,1.4
0109,1236,0.4
0109,1624,1.6
0109,1949,0.7
0109,2253,1.4
0110,0238,0.4
0110,0902,1.3
0110,1326,0.5
0110,1711,1.4
0110,2024,0.7
0110,2347,1.5
0111,0341,0.5
0111,1008,1.3
0111,1439,0.6
0111,1802,1.2
0111,2100,0.7
0112,0034,1.5
0112,0443,0.5
0112,1121,1.3
0112,1608,0.7
0112,1902,0.9
0112,2121,0.7
0113,0117,1.6
0113,0543,0.4
0113,1217,1.4
0113,1739,0.6
0114,0200,1.7
0114,0638,0.4
0114,1302,1.5
0114,1843,0.4
0115,0241,1.7
0115,0726,0.3
0115,1341,1.6
0115,1932,0.3
0116,0319,1.8
0116,0811,0.3
0116,1419,1.6
0116,2013,0.2
0117,0358,1.8
0117,0853,0.2
0117,1458,1.7
0117,2054,0.1
0118,0439,1.9
0118,0923,0.2
0118,1539,1.7
0118,2128,0.0
0119,0515,1.9
0119,0956,0.2
0119,1623,1.6
0119,2204,0.1
0120,0554,1.9
0120,1021,0.1
0120,1711,1.6
0120,2241,0.0
0121,0634,1.8
0121,1054,0.2
0121,1749,1.5
0121,2313,0.0
0122,0709,1.8
0122,1123,0.2
0122,1602,1.4
0122,1849,1.4
0122,2353,0.2
0123,0756,1.6
0123,1200,0.3
0123,1619,1.4
0123,1813,1.3
0123,1949,1.3
0124,0023,0.4
0124,0847,1.5
0124,1239,0.5
0124,1654,1.3
0124,1849,1.2
0124,2049,1.3
0125,0102,0.6
0125,0551,0.9
0125,0947,1.3
0125,1324,0.6
0125,1724,1.1
0125,1854,1.1
0125,2154,1.3
0126,0149,0.8
0126,0436,0.9
0126,0719,0.8
0126,1100,1.3
0126,1443,0.8
0126,1849,0.9
0126,2300,1.4
0127,0253,0.9
0127,0441,1.0
0127,0823,0.6
0127,1215,1.3
0127,1834,0.7
0128,0008,1.5
0128,0915,0.5
0128,1324,1.5
0128,1928,0.5
0129,0109,1.7
0129,1004,0.4
0129,1423,1.6
0129,2008,0.2
0130,0208,1.8
0130,1056,0.4
0130,1515,1.8
0130,2041,0.1
0131,0302,1.9
0131,1149,0.5
0131,1606,1.9
0131,2117,0.1
0201,0353,2.0
0201,0823,0.7
0201,1045,0.9
0201,1251,0.7
0201,1700,1.9
0201,2151,0.1
0202,0441,2.0
0202,0900,0.5
0202,1204,1.0
0202,1404,0.9
0202,1751,1.9
0202,2221,0.1
0203,0523,1.9
0203,0938,0.3
0203,1306,1.3
0203,1523,1.0
0203,1839,1.8
0203,2258,0.1
0204,0602,1.8
0204,1011,0.1
0204,1400,1.5
0204,1638,1.1
0204,1923,1.6
0204,2332,0.0
0205,0639,1.7
0205,1054,0.1
0205,1449,1.6
0205,1743,1.0
0205,2009,1.5
0206,0008,0.1
0206,0708,1.5
0206,1132,0.1
0206,1534,1.7
0206,1841,1.0
0206,2104,1.3
0207,0054,0.3
0207,0730,1.3
0207,1211,0.2
0207,1613,1.6
0207,1928,0.9
0207,2204,1.3
0208,0145,0.5
0208,0604,1.3
0208,1300,0.4
0208,1700,1.5
0208,2008,0.8
0208,2306,1.3
0209,0249,0.7
0209,0641,1.2
0209,0811,1.1
0209,0949,1.2
0209,1358,0.6
0209,1743,1.3
0209,2045,0.7
0210,0004,1.4
0210,0402,0.7
0210,1104,1.2
0210,1511,0.7
0210,1821,1.0
0210,2102,0.7
0211,0056,1.5
0211,0526,0.7
0211,1200,1.3
0211,1653,0.7
0211,1909,0.8
0211,2108,0.7
0212,0141,1.6
0212,0647,0.6
0212,1247,1.5
0212,1826,0.5
0213,0219,1.7
0213,0739,0.4
0213,1324,1.6
0213,1932,0.3
0214,0302,1.8
0214,0815,0.3
0214,1408,1.6
0214,2013,0.2
0215,0343,1.9
0215,0849,0.2
0215,1454,1.7
0215,2051,0.0
0216,0419,1.9
0216,0911,0.1
0216,1545,1.7
0216,2121,0.1
0217,0456,2.0
0217,0939,0.1
0217,1636,1.7
0217,2154,0.1
0218,0534,2.0
0218,1002,0.0
0218,1717,1.7
0218,2221,0.1
0219,0608,1.9
0219,1032,0.0
0219,1753,1.6
0219,2254,0.0
0220,0651,1.8
0220,1102,0.1
0220,1826,1.6
0220,2317,0.2
0221,0736,1.6
0221,1139,0.2
0221,1856,1.5
0221,2347,0.4
0222,0341,1.0
0222,0513,1.0
0222,0828,1.4
0222,1215,0.3
0222,1713,1.3
0222,1802,1.3
0222,1953,1.4
0223,0009,0.6
0223,0341,1.1
0223,0639,0.8
0223,0941,1.2
0223,1306,0.5
0223,1847,1.2
0223,2108,1.3
0224,0047,0.8
0224,0356,1.2
0224,0738,0.6
0224,1058,1.2
0224,1421,0.7
0224,1856,0.9
0224,2243,1.3
0225,0121,1.1
0225,0413,1.3
0225,0821,0.4
0225,1208,1.3
0225,1913,0.7
0226,0002,1.4
0226,0226,1.3
0226,0432,1.3
0226,0904,0.3
0226,1311,1.5
0226,1934,0.4
0227,0109,1.6
0227,0947,0.3
0227,1406,1.7
0227,1958,0.2
0228,0204,1.8
0228,1023,0.4
0228,1458,1.8
0228,2024,0.0
0301,0251,1.9
0301,1058,0.5
0301,1551,1.9
0301,2054,0.1
0302,0336,1.9
0302,0823,0.5
0302,1638,2.0
0302,2123,0.2
0303,0415,1.9
0303,0853,0.3
0303,1721,1.9
0303,2156,0.2
0304,0456,1.9
0304,0921,0.1
0304,1315,1.2
0304,1449,1.2
0304,1804,1.9
0304,2224,0.1
0305,0532,1.8
0305,0958,0.0
0305,1400,1.4
0305,1558,1.2
0305,1851,1.7
0305,2300,0.0
0306,0600,1.6
0306,1034,0.0
0306,1443,1.5
0306,1700,1.2
0306,1930,1.5
0306,2334,0.1
0307,0621,1.5
0307,1108,0.0
0307,1519,1.5
0307,1802,1.1
0307,2013,1.4
0308,0008,0.3
0308,0447,1.4
0308,1151,0.2
0308,1600,1.5
0308,1900,1.0
0308,2111,1.2
0309,0051,0.5
0309,0458,1.3
0309,1232,0.4
0309,1639,1.4
0309,1945,0.9
0309,2217,1.2
0310,0141,0.8
0310,0509,1.2
0310,0800,1.0
0310,0945,1.1
0310,1324,0.5
0310,1711,1.2
