data,hora,mare
2022-01-01,0251,2.2
2022-01-01,0747,0.5
2022-01-01,1023,1.0
2022-01-01,1208,0.8
2022-01-01,1613,2.0
2022-01-01,2030,0.1
2022-01-02,0343,2.3
2022-01-02,0819,0.4
2022-01-02,1109,1.2
2022-01-02,1315,0.9
2022-01-02,1700,2.0
2022-01-02,2106,0.3
2022-01-03,0428,2.2
2022-01-03,0900,0.4
2022-01-03,1158,1.4
2022-01-03,1411,0.9
2022-01-03,1745,2.0
2022-01-03,2149,0.4
2022-01-04,0511,2.2
2022-01-04,0941,0.4
2022-01-04,1241,1.5
2022-01-04,1508,0.9
2022-01-04,1828,2.0
2022-01-04,2223,0.4
2022-01-05,0600,2.0
2022-01-05,1011,0.4
2022-01-05,1319,1.6
2022-01-05,1602,0.9
2022-01-05,1913,1.9
2022-01-05,2304,0.3
2022-01-06,0654,1.9
2022-01-06,1054,0.4
2022-01-06,1404,1.7
2022-01-06,1700,0.9
2022-01-06,2002,1.9
2022-01-06,2354,0.2
2022-01-07,0747,1.7
2022-01-07,1136,0.5
2022-01-07,1454,1.8
2022-01-07,1754,0.8
2022-01-07,2054,1.8
2022-01-08,0036,0.1
2022-01-08,0545,1.2
2022-01-08,0841,1.6
2022-01-08,1211,0.5
2022-01-08,1538,1.8
2022-01-08,1843,0.7
2022-01-08,2143,1.8
2022-01-09,0119,0.1
2022-01-09,0508,1.2
2022-01-09,0654,1.1
2022-01-09,0934,1.6
2022-01-09,1258,0.6
2022-01-09,1617,1.7
2022-01-09,1921,0.7
2022-01-09,2232,1.8
2022-01-10,0208,0.3
2022-01-10,0547,1.2
2022-01-10,0745,1.0
2022-01-10,1023,1.5
2022-01-10,1345,0.7
2022-01-10,1700,1.6
2022-01-10,2002,0.6
2022-01-10,2321,1.8
2022-01-11,0304,0.4
2022-01-11,0626,1.1
2022-01-11,0815,1.0
2022-01-11,1113,1.5
2022-01-11,1434,0.8
2022-01-11,1749,1.4
2022-01-11,2045,0.6
2022-01-12,0013,1.8
2022-01-12,0408,0.5
2022-01-12,0847,1.0
2022-01-12,1206,1.5
2022-01-12,1530,0.8
2022-01-12,1834,1.1
2022-01-12,2109,0.7
2022-01-13,0109,1.9
2022-01-13,0524,0.6
2022-01-13,1300,1.5
2022-01-13,1736,0.8
2022-01-13,1949,0.9
2022-01-13,2141,0.7
2022-01-14,0206,1.9
2022-01-14,0636,0.5
2022-01-14,1356,1.6
2022-01-14,1908,0.6
2022-01-15,0300,1.9
2022-01-15,0724,0.3
2022-01-15,1443,1.6
2022-01-15,1958,0.3
2022-01-16,0349,1.9
2022-01-16,0808,0.2
2022-01-16,1511,1.7
2022-01-16,2038,0.1
2022-01-17,0423,1.9
2022-01-17,0853,0.1
2022-01-17,1541,1.8
2022-01-17,2104,0.0
2022-01-18,0453,1.9
2022-01-18,0923,0.1
2022-01-18,1608,1.9
2022-01-18,2138,0.1
2022-01-19,0513,1.9
2022-01-19,1000,0.1
2022-01-19,1647,2.0
2022-01-19,2202,0.1
2022-01-20,0536,1.9
2022-01-20,1036,0.2
2022-01-20,1730,2.0
2022-01-20,2234,0.1
2022-01-21,0621,1.8
2022-01-21,1106,0.3
2022-01-21,1823,2.0
2022-01-21,2308,0.1
2022-01-22,0723,1.7
2022-01-22,1153,0.4
2022-01-22,1921,1.9
2022-01-22,2354,0.0
2022-01-23,0404,1.3
2022-01-23,0532,1.2
2022-01-23,0834,1.6
2022-01-23,1234,0.5
2022-01-23,1539,1.2
2022-01-23,1700,1.2
2022-01-23,2024,1.9
2022-01-24,0038,0.1
2022-01-24,0421,1.3
2022-01-24,0645,1.0
2022-01-24,0943,1.5
2022-01-24,1315,0.6
2022-01-24,1604,1.2
2022-01-24,1806,1.0
2022-01-24,2126,1.9
2022-01-25,0121,0.3
2022-01-25,0453,1.3
2022-01-25,0734,0.8
2022-01-25,1049,1.5
2022-01-25,1409,0.8
2022-01-25,1634,1.1
2022-01-25,1900,0.8
2022-01-25,2224,1.9
2022-01-26,0211,0.6
2022-01-26,0523,1.3
2022-01-26,0813,0.6
2022-01-26,1200,1.6
2022-01-26,1523,0.9
2022-01-26,1658,1.0
2022-01-26,1941,0.6
2022-01-26,2321,1.9
2022-01-27,0309,0.8
2022-01-27,0558,1.2
2022-01-27,0902,0.5
2022-01-27,1313,1.7
2022-01-27,2002,0.5
2022-01-28,0023,2.0
2022-01-28,0424,1.0
2022-01-28,0634,1.1
2022-01-28,0954,0.5
2022-01-28,1417,1.8
2022-01-28,2004,0.3
2022-01-29,0128,2.0
2022-01-29,0751,0.9
2022-01-29,1047,0.6
2022-01-29,1508,2.0
2022-01-29,2002,0.1
2022-01-30,0230,2.1
2022-01-30,0743,0.8
2022-01-30,0939,0.9
2022-01-30,1145,0.7
2022-01-30,1556,2.1
2022-01-30,2023,0.2
2022-01-31,0321,2.2
2022-01-31,0809,0.6
2022-01-31,1049,1.0
2022-01-31,1245,0.8
2022-01-31,1639,2.2
2022-01-31,2058,0.4
2022-02-01,0406,2.2
2022-02-01,0853,0.5
2022-02-01,1138,1.2
2022-02-01,1339,0.9
2022-02-01,1715,2.2
2022-02-01,2132,0.5
2022-02-02,0454,2.2
2022-02-02,0923,0.4
2022-02-02,1219,1.4
2022-02-02,1432,1.0
2022-02-02,1758,2.2
2022-02-02,2206,0.5
2022-02-03,0534,2.1
2022-02-03,1000,0.3
2022-02-03,1308,1.5
2022-02-03,1524,1.1
2022-02-03,1841,2.1
2022-02-03,2251,0.5
2022-02-04,0611,1.9
2022-02-04,1039,0.3
2022-02-04,1358,1.6
2022-02-04,1624,1.2
2022-02-04,1924,2.0
2022-02-04,2324,0.4
2022-02-05,0702,1.7
2022-02-05,1109,0.3
2022-02-05,1445,1.7
2022-02-05,1723,1.1
2022-02-05,2015,1.9
2022-02-06,0006,0.2
2022-02-06,0439,1.4
2022-02-06,0600,1.4
2022-02-06,0758,1.5
2022-02-06,1154,0.3
2022-02-06,1526,1.7
2022-02-06,1817,1.0
2022-02-06,2108,1.8
2022-02-07,0054,0.0
2022-02-07,0456,1.5
2022-02-07,0704,1.2
2022-02-07,0858,1.4
2022-02-07,1236,0.4
2022-02-07,1608,1.7
2022-02-07,1904,0.9
2022-02-07,2202,1.7
2022-02-08,0141,0.2
2022-02-08,0524,1.5
2022-02-08,0758,1.1
2022-02-08,0958,1.3
2022-02-08,1315,0.5
2022-02-08,1654,1.6
2022-02-08,1954,0.8
2022-02-08,2258,1.7
2022-02-09,0226,0.5
2022-02-09,0600,1.4
2022-02-09,0843,1.0
2022-02-09,1056,1.3
2022-02-09,1402,0.7
2022-02-09,1734,1.4
2022-02-09,2024,0.7
2022-02-09,2356,1.7
2022-02-10,0326,0.7
2022-02-10,0651,1.3
2022-02-10,0908,1.0
2022-02-10,1154,1.3
2022-02-10,1500,0.8
2022-02-10,1808,1.2
2022-02-10,2058,0.7
2022-02-11,0056,1.7
2022-02-11,0447,0.8
2022-02-11,0802,1.1
2022-02-11,0917,1.1
2022-02-11,1251,1.4
2022-02-11,1634,0.9
2022-02-11,1854,0.9
2022-02-11,2111,0.7
2022-02-12,0154,1.8
2022-02-12,0613,0.7
2022-02-12,1341,1.5
2022-02-12,1911,0.6
2022-02-13,0247,1.9
2022-02-13,0713,0.5
2022-02-13,1417,1.6
2022-02-13,1956,0.3
2022-02-14,0326,2.0
2022-02-14,0800,0.3
2022-02-14,1454,1.8
2022-02-14,2023,0.1
2022-02-15,0400,2.0
2022-02-15,0838,0.2
2022-02-15,1526,2.0
2022-02-15,2054,0.0
2022-02-16,0432,2.0
2022-02-16,0906,0.1
2022-02-16,1558,2.1
2022-02-16,2115,0.1
2022-02-17,0454,2.1
2022-02-17,0941,0.1
2022-02-17,1639,2.2
2022-02-17,2145,0.2
2022-02-18,0526,2.0
2022-02-18,1006,0.1
2022-02-18,1719,2.3
2022-02-18,2209,0.3
2022-02-19,0609,1.9
2022-02-19,1049,0.1
2022-02-19,1806,2.2
2022-02-19,2251,0.2
2022-02-20,0706,1.7
2022-02-20,1121,0.2
2022-02-20,1900,2.1
2022-02-20,2326,0.1
2022-02-21,0319,1.4
2022-02-21,0532,1.2
2022-02-21,0813,1.6
2022-02-21,1202,0.3
2022-02-21,1519,1.3
2022-02-21,1643,1.2
2022-02-21,2000,2.0
2022-02-22,0008,0.1
2022-02-22,0353,1.5
2022-02-22,0638,0.9
2022-02-22,0924,1.4
2022-02-22,1256,0.5
2022-02-22,1553,1.3
2022-02-22,1754,1.1
2022-02-22,2102,1.9
2022-02-23,0056,0.3
2022-02-23,0421,1.6
2022-02-23,0721,0.7
2022-02-23,1036,1.4
2022-02-23,1351,0.7
2022-02-23,1615,1.2
2022-02-23,1851,0.8
2022-02-23,2204,1.8
2022-02-24,0145,0.6
2022-02-24,0456,1.6
2022-02-24,0806,0.4
2022-02-24,1145,1.5
2022-02-24,1456,0.8
2022-02-24,1647,1.0
2022-02-24,1928,0.6
2022-02-24,2304,1.8
2022-02-25,0236,0.9
2022-02-25,0524,1.5
2022-02-25,0856,0.3
2022-02-25,1254,1.6
2022-02-25,1956,0.4
2022-02-26,0004,1.9
2022-02-26,0341,1.2
2022-02-26,0554,1.4
2022-02-26,0938,0.4
2022-02-26,1354,1.8
2022-02-26,2004,0.2
2022-02-27,0106,2.0
2022-02-27,1013,0.4
2022-02-27,1447,2.0
2022-02-27,2000,0.0
2022-02-28,0206,2.0
2022-02-28,1100,0.6
2022-02-28,1528,2.1
2022-02-28,2013,0.2
2022-03-01,0258,2.1
2022-03-01,0804,0.7
2022-03-01,1004,0.9
2022-03-01,1156,0.8
2022-03-01,1606,2.2
2022-03-01,2043,0.4
2022-03-02,0345,2.2
2022-03-02,0838,0.5
2022-03-02,1115,1.1
2022-03-02,1253,1.0
2022-03-02,1647,2.3
2022-03-02,2109,0.5
2022-03-03,0419,2.1
2022-03-03,0904,0.3
2022-03-03,1209,1.2
2022-03-03,1349,1.1
2022-03-03,1724,2.3
2022-03-03,2149,0.6
2022-03-04,0500,2.0
2022-03-04,0945,0.2
2022-03-04,1302,1.4
2022-03-04,1449,1.3
2022-03-04,1806,2.2
2022-03-04,2219,0.5
2022-03-05,0541,1.9
2022-03-05,1013,0.1
2022-03-05,1353,1.6
2022-03-05,1554,1.3
2022-03-05,1854,2.0
2022-03-05,2300,0.4
2022-03-06,0454,1.6
2022-03-06,0615,1.7
2022-03-06,1054,0.1
2022-03-06,1436,1.7
2022-03-06,1700,1.3
2022-03-06,1947,1.9
2022-03-06,2343,0.2
2022-03-07,0406,1.7
2022-03-07,1132,0.2
2022-03-07,1517,1.7
2022-03-07,1802,1.2
2022-03-07,2041,1.7
2022-03-08,0021,0.0
2022-03-08,0434,1.7
2022-03-08,1208,0.3
2022-03-08,1600,1.7
2022-03-08,1858,1.0
2022-03-08,2139,1.6
2022-03-09,0106,0.2
2022-03-09,0502,1.7
2022-03-09,0804,1.1
2022-03-09,0923,1.2
2022-03-09,1254,0.4
2022-03-09,1643,1.6
2022-03-09,1941,0.9
2022-03-09,2238,1.6
2022-03-10,0158,0.5
2022-03-10,0539,1.6
2022-03-10,0845,1.0
2022-03-10,1030,1.2
2022-03-10,1339,0.6
2022-03-10,1715,1.4
2022-03-10,2008,0.8
2022-03-10,2338,1.6
2022-03-11,0256,0.7
2022-03-11,0611,1.4
2022-03-11,0904,1.0
2022-03-11,1126,1.2
2022-03-11,1432,0.8
2022-03-11,1756,1.2
2022-03-11,2038,0.8
2022-03-12,0038,1.6
2022-03-12,0411,0.9
2022-03-12,0702,1.1
2022-03-12,0902,1.0
2022-03-12,1217,1.3
2022-03-12,1753,0.9
2022-03-12,2051,0.7
2022-03-13,0134,1.8
2022-03-13,0609,0.8
2022-03-13,1302,1.5
2022-03-13,1913,0.6
2022-03-14,0219,1.9
2022-03-14,0713,0.6
2022-03-14,1347,1.7
2022-03-14,1945,0.3
2022-03-15,0300,2.0
2022-03-15,0754,0.4
2022-03-15,1423,1.9
2022-03-15,2006,0.1
2022-03-16,0338,2.1
2022-03-16,0819,0.2
2022-03-16,1500,2.1
2022-03-16,2034,0.1
2022-03-17,0404,2.1
2022-03-17,0851,0.1
2022-03-17,1541,2.3
2022-03-17,2054,0.2
2022-03-18,0439,2.1
2022-03-18,0913,0.0
2022-03-18,1621,2.4
2022-03-18,2117,0.3
