data,hora,mare
0101,0256,2.3
0101,0902,0.3
0101,1517,2.5
0101,2134,0.1
0102,0353,2.4
0102,0954,0.3
0102,1608,2.6
0102,2223,0.1
0103,0445,2.4
0103,1043,0.2
0103,1658,2.6
0103,2311,0.1
0104,0534,2.4
0104,1128,0.3
0104,1745,2.6
0105,0000,0.1
0105,0621,2.4
0105,1213,0.3
0105,1830,2.5
0106,0047,0.2
0106,0706,2.3
0106,1258,0.4
0106,1917,2.4
0107,0132,0.4
0107,0753,2.1
0107,1345,0.6
0107,2004,2.2
0108,0223,0.5
0108,0839,2.0
0108,1436,0.7
0108,2056,2.1
0109,0315,0.7
0109,0934,1.9
0109,1539,0.8
0109,2153,1.9
0110,0415,0.8
0110,1032,1.8
0110,1649,0.9
0110,2258,1.8
0111,0523,0.9
0111,1143,1.8
0111,1758,0.8
0112,0008,1.8
0112,0624,0.8
0112,1245,1.9
0112,1904,0.8
0113,0113,1.8
0113,0721,0.8
0113,1338,1.9
0113,1956,0.7
0114,0204,1.9
0114,0806,0.7
0114,1424,2.0
0114,2039,0.6
0115,0247,2.0
0115,0847,0.7
0115,1504,2.1
0115,2115,0.5
0116,0326,2.0
0116,0921,0.6
0116,1539,2.2
0116,2153,0.4
0117,0402,2.1
0117,0958,0.5
0117,1613,2.3
0117,2223,0.3
0118,0439,2.2
0118,1032,0.5
0118,1649,2.3
0118,2300,0.3
0119,0511,2.2
0119,1106,0.4
0119,1721,2.4
0119,2334,0.3
0120,0549,2.2
0120,1141,0.4
0120,1756,2.4
0121,0008,0.3
0121,0623,2.2
0121,1213,0.4
0121,1828,2.3
0122,0045,0.4
0122,0700,2.2
0122,1253,0.5
0122,1908,2.3
0123,0121,0.4
0123,0739,2.1
0123,1334,0.5
0123,1954,2.2
0124,0208,0.5
0124,0826,2.0
0124,1423,0.6
0124,2051,2.1
0125,0302,0.6
0125,0924,2.0
0125,1530,0.7
0125,2156,2.0
0126,0411,0.7
0126,1034,2.0
0126,1649,0.7
0126,2315,2.0
0127,0532,0.7
0127,1154,2.0
0127,1813,0.6
0128,0038,2.0
0128,0649,0.6
0128,1304,2.1
0128,1932,0.5
0129,0151,2.1
0129,0758,0.5
0129,1411,2.3
0129,2036,0.3
0130,0253,2.3
0130,0856,0.4
0130,1509,2.4
0130,2126,0.1
0131,0349,2.4
0131,0947,0.3
0131,1600,2.6
0131,2213,0.0
0201,0436,2.4
0201,1032,0.2
0201,1647,2.6
0201,2300,0.0
0202,0519,2.5
0202,1111,0.2
0202,1728,2.7
0202,2341,0.0
0203,0600,2.4
0203,1153,0.2
0203,1808,2.6
0204,0019,0.1
0204,0638,2.4
0204,1230,0.3
0204,1849,2.5
0205,0058,0.3
0205,0713,2.3
0205,1308,0.4
0205,1930,2.3
0206,0134,0.5
0206,0753,2.1
0206,1351,0.6
0206,2011,2.1
0207,0215,0.6
0207,0838,2.0
0207,1438,0.7
0207,2100,1.9
0208,0304,0.8
0208,0928,1.8
0208,1547,0.9
0208,2158,1.8
0209,0411,0.9
0209,1036,1.8
0209,1706,0.9
0209,2311,1.7
0210,0536,1.0
0210,1200,1.8
0210,1836,0.9
0211,0041,1.7
0211,0653,1.0
0211,1308,1.8
0211,1938,0.8
0212,0147,1.8
0212,0751,0.8
0212,1406,2.0
0212,2023,0.7
0213,0234,1.9
0213,0832,0.7
0213,1449,2.1
0213,2100,0.5
0214,0315,2.1
0214,0908,0.6
0214,1523,2.2
0214,2136,0.4
0215,0351,2.2
0215,0943,0.5
0215,1558,2.3
0215,2208,0.3
0216,0423,2.3
0216,1017,0.4
0216,1632,2.4
0216,2243,0.2
0217,0456,2.3
0217,1053,0.3
0217,1704,2.5
0217,2313,0.2
0218,0528,2.4
0218,1121,0.3
0218,1738,2.5
0218,2349,0.2
0219,0600,2.4
0219,1156,0.3
0219,1808,2.4
0220,0019,0.3
0220,0634,2.3
0220,1230,0.3
0220,1845,2.4
0221,0056,0.4
0221,0709,2.2
0221,1308,0.4
0221,1930,2.2
0222,0136,0.5
0222,0754,2.1
0222,1356,0.5
0222,2023,2.1
0223,0226,0.6
0223,0851,2.0
0223,1500,0.7
0223,2130,2.0
0224,0338,0.8
0224,1004,1.9
0224,1630,0.7
0224,2258,1.9
0225,0513,0.8
0225,1139,2.0
0225,1809,0.7
0226,0036,1.9
0226,0645,0.8
0226,1300,2.1
0226,1932,0.5
0227,0153,2.1
0227,0756,0.6
0227,1408,2.2
0227,2030,0.3
0228,0251,2.2
0228,0849,0.4
0228,1502,2.4
0228,2117,0.2
0301,0339,2.3
0301,0932,0.3
0301,1549,2.5
0301,2200,0.1
0302,0419,2.4
0302,1011,0.2
0302,1628,2.6
0302,2238,0.0
0303,0456,2.5
0303,1051,0.1
0303,1706,2.6
0303,2313,0.1
0304,0530,2.5
0304,1124,0.1
0304,1741,2.6
0304,2349,0.1
0305,0602,2.4
0305,1200,0.2
0305,1815,2.5
0306,0019,0.3
0306,0636,2.3
0306,1234,0.3
0306,1853,2.3
0307,0051,0.4
0307,0708,2.2
0307,1308,0.5
0307,1930,2.1
0308,0121,0.6
0308,0745,2.1
0308,1347,0.7
0308,2011,1.9
0309,0200,0.8
0309,0828,1.9
0309,1439,0.8
0309,2102,1.8
0310,0253,1.0
0310,0928,1.8
0310,1608,1.0
0310,2213,1.6
0311,0432,1.1
0311,1058,1.7
0311,1747,0.9
0311,2356,1.6
0312,0609,1.0
0312,1223,1.8
0312,1904,0.8
0313,0117,1.8
0313,0721,0.9
0313,1330,1.9
0313,1954,0.7
0314,0206,1.9
0314,0804,0.7
0314,1419,2.1
0314,2034,0.5
0315,0247,2.1
0315,0843,0.6
0315,1458,2.3
0315,2108,0.3
0316,0324,2.2
0316,0919,0.4
0316,1534,2.4
0316,2143,0.2
0317,0358,2.4
0317,0954,0.3
0317,1609,2.5
0317,2215,0.1
0318,0432,2.4
0318,1028,0.2
0318,1645,2.5
0318,2251,0.1
0319,0504,2.5
0319,1102,0.1
0319,1717,2.6
0319,2323,0.1
