data,hora,mare
2022-01-01,0000,0.0
2022-01-01,0506,0.7
2022-01-01,1241,0.0
2022-01-01,1747,0.6
2022-01-02,0051,0.1
2022-01-02,0558,0.6
2022-01-02,1324,0.1
2022-01-02,1832,0.5
2022-01-03,0124,0.2
2022-01-03,0641,0.6
2022-01-03,1406,0.1
2022-01-03,1915,0.5
2022-01-04,0156,0.3
2022-01-04,0709,0.6
2022-01-04,1454,0.1
2022-01-04,2008,0.5
2022-01-05,0232,0.3
2022-01-05,0756,0.6
2022-01-05,1521,0.1
2022-01-05,2102,0.5
2022-01-06,0308,0.2
2022-01-06,0841,0.6
2022-01-06,1602,0.1
2022-01-06,2153,0.5
2022-01-07,0402,0.2
2022-01-07,0926,0.6
2022-01-07,1656,0.1
2022-01-07,2234,0.6
2022-01-08,0502,0.2
2022-01-08,1023,0.6
2022-01-08,1751,0.1
2022-01-08,2319,0.6
2022-01-09,0604,0.1
2022-01-09,1124,0.6
2022-01-09,1851,0.0
2022-01-10,0011,0.7
2022-01-10,0711,0.1
2022-01-10,1232,0.7
2022-01-10,1956,0.0
2022-01-11,0109,0.7
2022-01-11,0823,0.0
2022-01-11,1338,0.7
2022-01-11,2100,0.1
2022-01-12,0211,0.8
2022-01-12,0932,0.1
2022-01-12,1443,0.8
2022-01-12,2200,0.2
2022-01-13,0313,0.8
2022-01-13,1034,0.2
2022-01-13,1545,0.8
2022-01-13,2256,0.2
2022-01-14,0411,0.8
2022-01-14,1126,0.2
2022-01-14,1641,0.8
2022-01-14,2349,0.2
2022-01-15,0508,0.8
2022-01-15,1217,0.2
2022-01-15,1734,0.7
2022-01-16,0032,0.1
2022-01-16,0556,0.8
2022-01-16,1304,0.2
2022-01-16,1823,0.7
2022-01-17,0108,0.0
2022-01-17,0634,0.8
2022-01-17,1351,0.2
2022-01-17,1913,0.7
2022-01-18,0151,0.0
2022-01-18,0715,0.7
2022-01-18,1419,0.1
2022-01-18,2004,0.7
2022-01-19,0217,0.0
2022-01-19,0802,0.7
2022-01-19,1458,0.1
2022-01-19,2051,0.7
2022-01-20,0256,0.0
2022-01-20,0845,0.7
2022-01-20,1528,0.1
2022-01-20,2132,0.7
2022-01-21,0338,0.0
2022-01-21,0915,0.7
2022-01-21,1604,0.1
2022-01-21,2204,0.7
2022-01-22,0413,0.0
2022-01-22,0953,0.7
2022-01-22,1653,0.0
2022-01-22,2221,0.7
2022-01-23,0500,0.0
2022-01-23,1024,0.7
2022-01-23,1734,0.0
2022-01-23,2300,0.7
2022-01-24,0553,0.0
2022-01-24,1111,0.7
2022-01-24,1817,0.0
2022-01-24,2351,0.7
2022-01-25,0647,0.0
2022-01-25,1209,0.8
2022-01-25,1911,0.1
2022-01-26,0049,0.8
2022-01-26,0751,0.0
2022-01-26,1313,0.8
2022-01-26,2017,0.1
2022-01-27,0153,0.8
2022-01-27,0902,0.0
2022-01-27,1419,0.8
2022-01-27,2126,0.1
2022-01-28,0256,0.8
2022-01-28,1011,0.0
2022-01-28,1524,0.7
2022-01-28,2234,0.0
2022-01-29,0356,0.7
2022-01-29,1117,0.0
2022-01-29,1628,0.6
2022-01-29,2332,0.1
2022-01-30,0454,0.7
2022-01-30,1211,0.0
2022-01-30,1726,0.6
2022-01-31,0015,0.1
2022-01-31,0543,0.6
2022-01-31,1302,0.0
2022-01-31,1823,0.5
2022-02-01,0100,0.2
2022-02-01,0621,0.6
2022-02-01,1353,0.1
2022-02-01,1917,0.5
2022-02-02,0147,0.2
2022-02-02,0704,0.5
2022-02-02,1421,0.1
2022-02-02,2011,0.5
2022-02-03,0219,0.2
2022-02-03,0754,0.5
2022-02-03,1502,0.1
2022-02-03,2100,0.5
2022-02-04,0304,0.2
2022-02-04,0826,0.5
2022-02-04,1551,0.1
2022-02-04,2124,0.5
2022-02-05,0358,0.2
2022-02-05,0911,0.5
2022-02-05,1636,0.1
2022-02-05,2202,0.5
2022-02-06,0454,0.1
2022-02-06,1006,0.6
2022-02-06,1721,0.1
2022-02-06,2247,0.6
2022-02-07,0553,0.1
2022-02-07,1106,0.6
2022-02-07,1819,0.0
