data,hora,mare
2022-01-01,0009,0.4
2022-01-01,0608,4.8
2022-01-01,1236,0.7
2022-01-01,1823,5.1
2022-01-02,0109,0.2
2022-01-02,0704,4.9
2022-01-02,1332,0.6
2022-01-02,1917,5.2
2022-01-03,0202,0.1
2022-01-03,0756,5.0
2022-01-03,1421,0.5
2022-01-03,2006,5.3
2022-01-04,0254,0.0
2022-01-04,0845,5.0
2022-01-04,1506,0.4
2022-01-04,2054,5.2
2022-01-05,0339,0.1
2022-01-05,0928,4.9
2022-01-05,1553,0.5
2022-01-05,2139,5.1
2022-01-06,0415,0.2
2022-01-06,1006,4.7
2022-01-06,1632,0.7
2022-01-06,2221,4.8
2022-01-07,0454,0.5
2022-01-07,1047,4.5
2022-01-07,1706,1.0
2022-01-07,2300,4.6
2022-01-08,0530,0.8
2022-01-08,1123,4.3
2022-01-08,1749,1.3
2022-01-08,2345,4.3
2022-01-09,0604,1.2
2022-01-09,1206,4.1
2022-01-09,1834,1.5
2022-01-10,0038,4.0
2022-01-10,0653,1.4
2022-01-10,1300,4.0
2022-01-10,1938,1.6
2022-01-11,0143,3.8
2022-01-11,0754,1.6
2022-01-11,1408,3.9
2022-01-11,2056,1.6
2022-01-12,0300,3.8
2022-01-12,0909,1.7
2022-01-12,1521,4.0
2022-01-12,2208,1.5
2022-01-13,0413,3.9
2022-01-13,1017,1.6
2022-01-13,1624,4.1
2022-01-13,2306,1.2
2022-01-14,0509,4.1
2022-01-14,1111,1.4
2022-01-14,1711,4.3
2022-01-14,2356,1.1
2022-01-15,0556,4.2
2022-01-15,1158,1.3
2022-01-15,1751,4.5
2022-01-16,0039,0.9
2022-01-16,0634,4.4
2022-01-16,1239,1.1
2022-01-16,1824,4.6
2022-01-17,0117,0.8
2022-01-17,0706,4.4
2022-01-17,1319,1.0
2022-01-17,1854,4.7
2022-01-18,0156,0.7
2022-01-18,0739,4.5
2022-01-18,1358,1.0
2022-01-18,1926,4.7
2022-01-19,0236,0.7
2022-01-19,0811,4.5
2022-01-19,1439,0.9
2022-01-19,1958,4.7
2022-01-20,0309,0.7
2022-01-20,0843,4.5
2022-01-20,1517,1.0
2022-01-20,2034,4.7
2022-01-21,0351,0.7
2022-01-21,0923,4.4
2022-01-21,1558,1.0
2022-01-21,2119,4.6
2022-01-22,0428,0.8
2022-01-22,0956,4.4
2022-01-22,1643,1.1
2022-01-22,2202,4.5
2022-01-23,0504,1.0
2022-01-23,1041,4.3
2022-01-23,1724,1.2
2022-01-23,2253,4.3
2022-01-24,0549,1.1
2022-01-24,1132,4.3
2022-01-24,1811,1.2
2022-01-24,2354,4.2
2022-01-25,0638,1.3
2022-01-25,1228,4.3
2022-01-25,1908,1.3
2022-01-26,0100,4.1
2022-01-26,0734,1.4
2022-01-26,1334,4.3
2022-01-26,2013,1.2
2022-01-27,0213,4.0
2022-01-27,0841,1.4
2022-01-27,1443,4.4
2022-01-27,2128,1.1
2022-01-28,0334,4.1
2022-01-28,0958,1.3
2022-01-28,1556,4.5
2022-01-28,2247,0.9
2022-01-29,0453,4.3
2022-01-29,1115,1.1
2022-01-29,1708,4.8
2022-01-30,0000,0.6
2022-01-30,0600,4.6
2022-01-30,1223,0.9
2022-01-30,1813,5.0
2022-01-31,0100,0.3
2022-01-31,0658,4.9
2022-01-31,1321,0.6
2022-01-31,1909,5.2
2022-02-01,0156,0.1
2022-02-01,0751,5.1
2022-02-01,1408,0.4
2022-02-01,1958,5.3
2022-02-02,0241,0.0
2022-02-02,0834,5.1
2022-02-02,1456,0.3
2022-02-02,2045,5.3
2022-02-03,0317,0.0
2022-02-03,0908,5.1
2022-02-03,1536,0.4
2022-02-03,2121,5.1
2022-02-04,0356,0.2
2022-02-04,0943,4.9
2022-02-04,1606,0.5
2022-02-04,2154,4.9
2022-02-05,0424,0.4
2022-02-05,1009,4.7
2022-02-05,1641,0.8
2022-02-05,2226,4.7
2022-02-06,0453,0.7
2022-02-06,1039,4.5
2022-02-06,1708,1.0
2022-02-06,2300,4.4
2022-02-07,0521,1.1
2022-02-07,1111,4.3
2022-02-07,1745,1.3
2022-02-07,2345,4.1
2022-02-08,0556,1.4
2022-02-08,1156,4.1
2022-02-08,1830,1.5
2022-02-09,0043,3.8
2022-02-09,0649,1.7
2022-02-09,1258,3.9
2022-02-09,1934,1.7
2022-02-10,0158,3.6
2022-02-10,0756,1.9
2022-02-10,1411,3.8
2022-02-10,2104,1.7
2022-02-11,0326,3.6
2022-02-11,0919,1.8
2022-02-11,1528,3.9
2022-02-11,2230,1.5
2022-02-12,0438,3.8
2022-02-12,1032,1.7
2022-02-12,1630,4.1
2022-02-12,2326,1.3
2022-02-13,0528,4.1
2022-02-13,1128,1.4
2022-02-13,1717,4.3
2022-02-14,0013,1.1
2022-02-14,0608,4.3
2022-02-14,1215,1.2
2022-02-14,1756,4.5
2022-02-15,0056,0.8
2022-02-15,0645,4.5
2022-02-15,1258,1.0
2022-02-15,1836,4.7
2022-02-16,0139,0.7
2022-02-16,0721,4.6
2022-02-16,1345,0.8
2022-02-16,1917,4.8
2022-02-17,0215,0.5
