data,hora,mare
0101,0423,0.5
0101,0936,3.3
0101,1556,0.7
0101,2149,3.7
0102,0530,0.3
0102,1036,3.4
0102,1713,0.6
0102,2241,3.8
0103,0617,0.2
0103,1132,3.5
0103,1806,0.5
0103,2334,3.9
0104,0700,0.1
0104,1219,3.5
0104,1854,0.4
0105,0021,3.8
0105,0743,0.1
0105,1304,3.5
0105,1938,0.4
0106,0106,3.8
0106,0811,0.2
0106,1353,3.4
0106,2008,0.5
0107,0156,3.7
0107,0839,0.4
0107,1436,3.3
0107,2047,0.6
0108,0243,3.5
0108,0900,0.5
0108,1509,3.2
0108,2113,0.7
0109,0326,3.3
0109,0928,0.7
0109,1553,3.1
0109,2156,0.9
0110,0411,3.2
0110,1004,0.8
0110,1636,3.0
0110,2234,1.0
0111,0506,3.0
0111,1054,1.0
0111,1726,3.0
0111,2332,1.1
0112,0613,2.8
0112,1151,1.1
0112,1834,3.0
0113,0202,1.0
0113,0732,2.8
0113,1308,1.1
0113,1951,3.0
0114,0253,0.9
0114,0834,2.9
0114,1409,1.0
0114,2047,3.2
0115,0336,0.8
0115,0919,3.0
0115,1500,0.9
0115,2128,3.3
0116,0421,0.7
0116,0958,3.1
0116,1545,0.9
0116,2202,3.4
0117,0500,0.6
0117,1034,3.1
0117,1626,0.8
0117,2236,3.4
0118,0539,0.6
0118,1102,3.1
0118,1708,0.8
0118,2300,3.4
0119,0619,0.6
0119,1138,3.1
0119,1749,0.7
0119,2326,3.4
0120,0649,0.7
0120,1208,3.1
0120,1830,0.7
0120,2347,3.4
0121,0724,0.7
0121,1236,3.1
0121,1908,0.7
0122,0021,3.4
0122,0747,0.8
0122,1317,3.1
0122,1947,0.8
0123,0106,3.3
0123,0823,0.8
0123,1356,3.1
0123,2030,0.8
0124,0202,3.1
0124,0853,0.9
0124,1508,3.0
0124,2117,0.9
0125,0313,3.0
0125,0947,1.0
0125,1617,3.0
0125,2217,1.0
0126,0439,2.9
0126,1054,1.0
0126,1724,3.1
0126,2336,1.0
0127,0558,2.9
0127,1209,1.0
0127,1830,3.2
0128,0138,1.0
0128,0709,2.9
0128,1326,1.0
0128,1936,3.3
0129,0311,0.8
0129,0828,3.1
0129,1443,0.9
0129,2041,3.5
0130,0419,0.5
0130,0939,3.3
0130,1600,0.7
0130,2143,3.7
0131,0511,0.3
0131,1036,3.5
0131,1702,0.5
0131,2238,3.8
0201,0558,0.1
0201,1119,3.6
0201,1754,0.3
0201,2323,3.9
0202,0643,0.0
0202,1202,3.7
0202,1838,0.2
0203,0004,4.0
0203,0711,0.1
0203,1247,3.7
0203,1909,0.2
0204,0051,3.9
0204,0741,0.2
0204,1317,3.6
0204,1945,0.3
0205,0128,3.8
0205,0758,0.3
0205,1353,3.5
0205,2008,0.4
0206,0204,3.6
0206,0815,0.4
0206,1423,3.4
0206,2038,0.6
0207,0245,3.4
0207,0849,0.6
0207,1458,3.2
0207,2102,0.8
0208,0324,3.1
0208,0917,0.8
0208,1538,3.1
0208,2139,1.0
0209,0415,2.9
