data,hora,mare
2022-01-01,0104,0.4
2022-01-01,0716,4.8
2022-01-01,1321,0.5
2022-01-01,1938,5.2
2022-01-02,0201,0.1
2022-01-02,0812,5.0
2022-01-02,1412,0.3
2022-01-02,2032,5.3
2022-01-03,0253,0.0
2022-01-03,0904,5.1
2022-01-03,1504,0.2
2022-01-03,2119,5.3
2022-01-04,0340,0.0
2022-01-04,0957,5.0
2022-01-04,1557,0.2
2022-01-04,2206,5.3
2022-01-05,0419,0.1
2022-01-05,1044,4.9
2022-01-05,1642,0.4
2022-01-05,2253,5.1
2022-01-06,0504,0.2
2022-01-06,1121,4.8
2022-01-06,1719,0.6
2022-01-06,2336,4.9
2022-01-07,0549,0.5
2022-01-07,1204,4.6
2022-01-07,1802,0.8
2022-01-08,0016,4.7
2022-01-08,0619,0.8
2022-01-08,1249,4.3
2022-01-08,1849,1.1
2022-01-09,0102,4.4
2022-01-09,0701,1.1
2022-01-09,1325,4.2
2022-01-09,1925,1.3
2022-01-10,0151,4.2
2022-01-10,0742,1.3
2022-01-10,1410,4.0
2022-01-10,2010,1.5
2022-01-11,0242,4.0
2022-01-11,0819,1.5
2022-01-11,1506,3.9
2022-01-11,2110,1.6
2022-01-12,0346,3.8
2022-01-12,0914,1.6
2022-01-12,1621,3.9
2022-01-12,2308,1.6
2022-01-13,0504,3.8
2022-01-13,1025,1.7
2022-01-13,1736,4.0
2022-01-14,0006,1.4
2022-01-14,0606,4.0
2022-01-14,1151,1.6
2022-01-14,1829,4.2
2022-01-15,0057,1.1
2022-01-15,0659,4.1
2022-01-15,1249,1.4
2022-01-15,1906,4.3
2022-01-16,0138,0.9
2022-01-16,0744,4.2
2022-01-16,1334,1.2
2022-01-16,1946,4.4
2022-01-17,0210,0.8
2022-01-17,0817,4.3
2022-01-17,1410,1.1
2022-01-17,2017,4.5
2022-01-18,0257,0.7
2022-01-18,0851,4.3
2022-01-18,1455,1.0
2022-01-18,2047,4.6
2022-01-19,0329,0.7
2022-01-19,0919,4.4
2022-01-19,1529,0.9
2022-01-19,2119,4.7
2022-01-20,0401,0.7
2022-01-20,0957,4.4
2022-01-20,1601,0.9
2022-01-20,2159,4.7
2022-01-21,0434,0.8
2022-01-21,1031,4.4
2022-01-21,1640,0.9
2022-01-21,2236,4.6
2022-01-22,0504,0.8
2022-01-22,1108,4.4
2022-01-22,1717,0.9
2022-01-22,2317,4.5
2022-01-23,0546,0.9
2022-01-23,1153,4.4
2022-01-23,1802,0.9
2022-01-24,0008,4.4
2022-01-24,0634,1.0
2022-01-24,1244,4.3
2022-01-24,1857,1.0
2022-01-25,0106,4.2
2022-01-25,0727,1.1
2022-01-25,1347,4.3
2022-01-25,1957,1.2
2022-01-26,0216,4.1
2022-01-26,0827,1.3
2022-01-26,1455,4.2
2022-01-26,2102,1.2
2022-01-27,0325,4.1
2022-01-27,0936,1.3
2022-01-27,1602,4.3
2022-01-27,2214,1.2
2022-01-28,0444,4.1
2022-01-28,1053,1.3
2022-01-28,1716,4.5
2022-01-28,2346,1.0
2022-01-29,0602,4.3
2022-01-29,1206,1.0
2022-01-29,1829,4.7
2022-01-30,0059,0.6
2022-01-30,0710,4.6
2022-01-30,1308,0.7
2022-01-30,1931,5.0
2022-01-31,0155,0.2
2022-01-31,0804,4.9
2022-01-31,1404,0.4
2022-01-31,2021,5.3
2022-02-01,0242,0.0
2022-02-01,0857,5.1
2022-02-01,1457,0.2
2022-02-01,2106,5.4
2022-02-02,0319,0.1
2022-02-02,0942,5.2
2022-02-02,1540,0.1
2022-02-02,2153,5.4
2022-02-03,0402,0.1
2022-02-03,1016,5.1
2022-02-03,1614,0.2
2022-02-03,2229,5.3
2022-02-04,0444,0.1
2022-02-04,1057,5.0
2022-02-04,1659,0.3
2022-02-04,2304,5.1
2022-02-05,0510,0.4
2022-02-05,1129,4.7
2022-02-05,1734,0.6
2022-02-05,2346,4.8
2022-02-06,0547,0.7
2022-02-06,1201,4.5
2022-02-06,1804,0.8
2022-02-07,0017,4.5
2022-02-07,0614,0.9
2022-02-07,1232,4.3
2022-02-07,1847,1.1
2022-02-08,0057,4.2
2022-02-08,0657,1.2
2022-02-08,1304,4.1
2022-02-08,1921,1.4
2022-02-09,0140,3.9
2022-02-09,0740,1.4
2022-02-09,1344,3.9
2022-02-09,2010,1.6
2022-02-10,0236,3.7
2022-02-10,0825,1.7
2022-02-10,1438,3.8
2022-02-10,2125,1.8
2022-02-11,0408,3.6
2022-02-11,0934,1.8
2022-02-11,1617,3.7
2022-02-11,2325,1.7
2022-02-12,0531,3.6
2022-02-12,1101,1.8
2022-02-12,1738,3.9
2022-02-13,0021,1.4
2022-02-13,0629,3.8
2022-02-13,1210,1.6
2022-02-13,1836,4.1
2022-02-14,0106,1.2
2022-02-14,0714,4.0
2022-02-14,1304,1.3
2022-02-14,1919,4.3
2022-02-15,0157,0.9
2022-02-15,0753,4.2
2022-02-15,1355,1.1
2022-02-15,1955,4.5
2022-02-16,0234,0.8
2022-02-16,0829,4.4
