data,hora,mare
2022-01-01,0523,0.4
2022-01-01,1011,3.1
2022-01-01,1643,0.6
2022-01-01,2209,3.4
2022-01-02,0624,0.3
2022-01-02,1108,3.2
2022-01-02,1745,0.5
2022-01-02,2304,3.5
2022-01-03,0713,0.2
2022-01-03,1158,3.2
2022-01-03,1853,0.5
2022-01-03,2358,3.5
2022-01-04,0800,0.2
2022-01-04,1245,3.2
2022-01-04,1949,0.5
2022-01-05,0047,3.4
2022-01-05,0854,0.2
2022-01-05,1332,3.2
2022-01-05,2041,0.5
2022-01-06,0130,3.4
2022-01-06,0941,0.3
2022-01-06,1423,3.1
2022-01-06,2124,0.6
2022-01-07,0217,3.3
2022-01-07,1009,0.5
2022-01-07,1509,3.0
2022-01-07,2153,0.7
2022-01-08,0309,3.1
2022-01-08,1026,0.7
2022-01-08,1541,2.9
2022-01-08,2224,0.8
2022-01-09,0404,2.9
2022-01-09,1041,0.8
2022-01-09,1632,2.8
2022-01-09,2311,0.9
2022-01-10,0458,2.8
2022-01-10,1109,0.9
2022-01-10,1728,2.8
2022-01-11,0017,1.0
2022-01-11,0604,2.6
2022-01-11,1202,1.0
2022-01-11,1826,2.8
2022-01-12,0134,1.0
2022-01-12,0711,2.6
2022-01-12,1328,1.1
2022-01-12,1926,2.9
2022-01-13,0239,0.9
2022-01-13,0817,2.7
2022-01-13,1443,1.0
2022-01-13,2024,3.0
2022-01-14,0336,0.7
2022-01-14,0915,2.7
2022-01-14,1534,0.9
2022-01-14,2117,3.1
2022-01-15,0439,0.6
2022-01-15,1004,2.8
2022-01-15,1613,0.8
2022-01-15,2206,3.2
2022-01-16,0541,0.5
2022-01-16,1049,2.9
2022-01-16,1702,0.7
2022-01-16,2251,3.2
2022-01-17,0632,0.5
2022-01-17,1123,3.0
2022-01-17,1743,0.7
2022-01-17,2323,3.2
2022-01-18,0702,0.5
2022-01-18,1156,3.0
2022-01-18,1828,0.6
2022-01-18,2356,3.2
2022-01-19,0749,0.5
2022-01-19,1230,3.0
2022-01-19,1919,0.6
2022-01-20,0026,3.3
2022-01-20,0819,0.5
2022-01-20,1308,3.0
2022-01-20,1926,0.6
2022-01-21,0104,3.3
2022-01-21,0839,0.5
2022-01-21,1328,3.0
2022-01-21,2011,0.6
2022-01-22,0145,3.3
2022-01-22,0915,0.6
2022-01-22,1409,3.0
2022-01-22,2038,0.7
2022-01-23,0219,3.2
2022-01-23,0923,0.7
2022-01-23,1449,2.9
2022-01-23,2113,0.7
2022-01-24,0306,3.1
2022-01-24,1002,0.7
2022-01-24,1526,2.9
2022-01-24,2202,0.8
2022-01-25,0356,3.0
2022-01-25,1047,0.9
2022-01-25,1626,2.9
2022-01-25,2315,0.9
2022-01-26,0511,2.8
2022-01-26,1141,0.9
2022-01-26,1739,2.9
2022-01-27,0049,0.8
2022-01-27,0628,2.7
2022-01-27,1254,1.0
2022-01-27,1853,3.0
2022-01-28,0213,0.7
2022-01-28,0745,2.8
2022-01-28,1413,0.9
2022-01-28,2000,3.1
2022-01-29,0334,0.6
2022-01-29,0902,2.9
2022-01-29,1521,0.8
2022-01-29,2106,3.2
2022-01-30,0504,0.5
2022-01-30,1006,3.0
2022-01-30,1628,0.7
2022-01-30,2204,3.3
2022-01-31,0606,0.3
2022-01-31,1100,3.1
2022-01-31,1743,0.6
2022-01-31,2300,3.4
2022-02-01,0700,0.2
2022-02-01,1147,3.2
2022-02-01,1851,0.5
2022-02-01,2349,3.5
2022-02-02,0754,0.1
2022-02-02,1234,3.3
2022-02-02,1949,0.4
2022-02-03,0030,3.5
2022-02-03,0839,0.2
2022-02-03,1321,3.3
2022-02-03,2036,0.4
2022-02-04,0117,3.4
2022-02-04,0902,0.3
2022-02-04,1347,3.2
2022-02-04,2104,0.4
2022-02-05,0204,3.3
2022-02-05,0930,0.5
2022-02-05,1423,3.1
2022-02-05,2132,0.6
2022-02-06,0238,3.2
2022-02-06,0932,0.6
2022-02-06,1502,3.0
2022-02-06,2200,0.7
2022-02-07,0315,3.0
2022-02-07,0956,0.8
2022-02-07,1536,2.9
2022-02-07,2226,0.9
2022-02-08,0400,2.8
2022-02-08,1017,0.9
2022-02-08,1619,2.8
2022-02-08,2308,1.0
2022-02-09,0449,2.5
2022-02-09,1058,1.1
2022-02-09,1723,2.7
2022-02-10,0026,1.1
2022-02-10,0619,2.4
2022-02-10,1154,1.2
2022-02-10,1843,2.7
2022-02-11,0200,1.0
2022-02-11,0745,2.4
2022-02-11,1339,1.2
2022-02-11,1958,2.8
2022-02-12,0315,0.8
2022-02-12,0853,2.6
2022-02-12,1502,1.1
2022-02-12,2100,2.9
2022-02-13,0428,0.7
2022-02-13,0943,2.8
2022-02-13,1600,0.9
2022-02-13,2151,3.1
2022-02-14,0523,0.5
2022-02-14,1026,2.9
2022-02-14,1651,0.7
