data,hora,mare
0101,0538,0.2
0101,1038,2.8
0101,1734,0.5
0101,2242,3.2
0102,0640,0.1
0102,1136,2.9
0102,1831,0.4
0102,2338,3.3
0103,0732,0.0
0103,1232,3.0
0103,1921,0.3
0104,0032,3.3
0104,0817,0.1
0104,1325,3.0
0104,2010,0.3
0105,0123,3.3
0105,0904,0.1
0105,1412,3.0
0105,2101,0.3
0106,0208,3.3
0106,0951,0.0
0106,1455,3.0
0106,2146,0.4
0107,0255,3.2
0107,1023,0.2
0107,1544,2.9
0107,2221,0.5
0108,0344,3.0
0108,1059,0.5
0108,1632,2.8
0108,2304,0.7
0109,0436,2.8
0109,1127,0.7
0109,1721,2.7
0109,2355,0.8
0110,0536,2.7
0110,1202,0.8
0110,1814,2.6
0111,0053,0.9
0111,0646,2.5
0111,1253,0.9
0111,1912,2.7
0112,0206,0.8
0112,0753,2.5
0112,1357,0.9
0112,2008,2.8
0113,0316,0.7
0113,0855,2.6
0113,1502,0.9
0113,2101,2.9
0114,0412,0.6
0114,0947,2.7
0114,1601,0.8
0114,2149,2.9
0115,0502,0.4
0115,1034,2.7
0115,1651,0.7
0115,2232,3.0
0116,0551,0.4
0116,1114,2.8
0116,1736,0.7
0116,2310,3.0
0117,0634,0.3
0117,1153,2.8
0117,1812,0.6
0117,2347,3.0
0118,0710,0.3
0118,1231,2.9
0118,1855,0.6
0119,0023,3.0
0119,0751,0.3
0119,1302,2.9
0119,1931,0.5
0120,0059,3.1
0120,0823,0.3
0120,1338,2.9
0120,2004,0.5
0121,0136,3.1
0121,0859,0.3
0121,1414,2.9
0121,2047,0.5
0122,0210,3.1
0122,0931,0.4
0122,1447,2.9
0122,2127,0.5
0123,0247,3.0
0123,1001,0.5
0123,1529,2.8
0123,2210,0.6
0124,0331,2.9
0124,1040,0.7
0124,1610,2.8
0124,2304,0.7
0125,0421,2.7
0125,1125,0.8
0125,1659,2.8
0126,0023,0.8
0126,0523,2.6
0126,1234,0.9
0126,1810,2.8
0127,0153,0.8
0127,0642,2.5
0127,1359,0.9
0127,1925,2.8
0128,0306,0.6
0128,0829,2.5
0128,1506,0.8
0128,2036,2.9
0129,0417,0.5
0129,0944,2.6
0129,1614,0.7
0129,2142,3.0
0130,0527,0.3
0130,1047,2.7
0130,1719,0.6
0130,2244,3.1
0131,0629,0.1
0131,1144,2.9
0131,1819,0.4
0131,2340,3.2
0201,0716,0.0
0201,1234,3.0
0201,1912,0.3
0202,0029,3.3
0202,0802,0.1
0202,1316,3.0
0202,2002,0.2
0203,0112,3.3
0203,0849,0.1
0203,1351,3.1
0203,2049,0.2
0204,0151,3.3
0204,0919,0.0
0204,1432,3.1
0204,2123,0.3
0205,0232,3.3
0205,0955,0.2
0205,1506,3.0
0205,2201,0.4
0206,0312,3.1
0206,1014,0.4
0206,1547,2.9
0206,2234,0.6
0207,0357,2.9
0207,1042,0.6
0207,1631,2.7
0207,2308,0.7
0208,0451,2.7
0208,1106,0.8
0208,1719,2.6
0208,2359,0.9
0209,0551,2.5
0209,1147,1.0
0209,1816,2.6
0210,0110,1.0
0210,0702,2.3
