data,hora,mare
0101,0351,2.3
0101,1004,0.3
0101,1613,2.5
0101,2226,0.2
0102,0441,2.4
0102,1049,0.3
0102,1658,2.6
0102,2313,0.1
0103,0528,2.4
0103,1132,0.3
0103,1741,2.6
0104,0000,0.1
0104,0615,2.4
0104,1217,0.3
0104,1826,2.6
0105,0051,0.1
0105,0706,2.3
0105,1306,0.4
0105,1915,2.5
0106,0141,0.2
0106,0800,2.2
0106,1400,0.5
0106,2008,2.4
0107,0236,0.3
0107,0856,2.1
0107,1456,0.6
0107,2104,2.3
0108,0330,0.5
0108,0953,2.0
0108,1553,0.6
0108,2200,2.1
0109,0424,0.6
0109,1051,2.0
0109,1653,0.7
0109,2300,2.0
0110,0524,0.7
0110,1153,1.9
0110,1758,0.8
0111,0006,1.9
0111,0630,0.8
0111,1258,1.9
0111,1906,0.8
0112,0115,1.8
0112,0736,0.8
0112,1358,1.9
0112,2009,0.8
0113,0219,1.9
0113,0828,0.8
0113,1445,2.0
0113,2100,0.7
0114,0308,1.9
0114,0909,0.7
0114,1521,2.1
0114,2141,0.6
0115,0351,2.0
0115,0947,0.7
0115,1553,2.2
0115,2211,0.5
0116,0423,2.0
0116,1019,0.6
0116,1624,2.3
0116,2241,0.5
0117,0454,2.1
0117,1054,0.5
0117,1658,2.3
0117,2311,0.4
0118,0524,2.1
0118,1124,0.5
0118,1732,2.4
0118,2349,0.3
0119,0558,2.2
0119,1158,0.4
0119,1806,2.4
0120,0023,0.3
0120,0636,2.2
0120,1236,0.4
0120,1841,2.4
0121,0100,0.3
0121,0713,2.2
0121,1313,0.5
0121,1919,2.4
0122,0139,0.4
0122,0758,2.2
0122,1358,0.5
0122,2002,2.3
0123,0223,0.5
0123,0847,2.1
0123,1451,0.6
0123,2054,2.2
0124,0313,0.5
0124,0941,2.0
0124,1547,0.7
0124,2151,2.1
0125,0415,0.6
0125,1047,2.0
0125,1653,0.7
0125,2258,2.0
0126,0526,0.7
0126,1158,1.9
0126,1804,0.7
0127,0013,1.9
0127,0649,0.7
0127,1311,2.0
0127,1921,0.7
0128,0141,2.0
0128,0809,0.7
0128,1421,2.1
0128,2036,0.6
0129,0258,2.1
0129,0911,0.6
0129,1519,2.3
0129,2136,0.4
0130,0354,2.2
0130,1002,0.4
0130,1608,2.4
0130,2224,0.2
0131,0441,2.4
0131,1045,0.3
0131,1653,2.6
0131,2309,0.1
0201,0523,2.4
0201,1123,0.2
0201,1730,2.6
0201,2353,0.0
0202,0604,2.4
0202,1204,0.2
0202,1809,2.6
0203,0032,0.1
0203,0647,2.4
0203,1247,0.3
0203,1854,2.6
0204,0113,0.2
0204,0728,2.3
0204,1330,0.3
0204,1939,2.5
0205,0158,0.3
0205,0811,2.2
0205,1415,0.4
0205,2024,2.3
0206,0243,0.4
0206,0856,2.1
0206,1502,0.6
0206,2111,2.2
0207,0326,0.6
0207,0941,2.0
0207,1551,0.7
0207,2204,2.0
0208,0417,0.8
0208,1032,1.9
0208,1649,0.8
0208,2308,1.8
0209,0521,0.9
0209,1141,1.8
0209,1811,0.9
0210,0032,1.7
0210,0643,1.0
0210,1306,1.8
0210,1939,0.9
0211,0156,1.7
0211,0758,0.9
0211,1413,1.9
0211,2043,0.8
0212,0256,1.8
0212,0853,0.8
0212,1500,2.0
0212,2126,0.7
0213,0339,1.9
0213,0932,0.7
0213,1538,2.1
0213,2158,0.6
0214,0409,2.0
0214,1006,0.6
0214,1609,2.2
0214,2226,0.5
0215,0439,2.1
0215,1038,0.5
0215,1643,2.3
0215,2258,0.3
0216,0508,2.2
0216,1106,0.4
0216,1713,2.4
0216,2330,0.3
0217,0541,2.3
0217,1139,0.3
0217,1745,2.5
0218,0002,0.2
0218,0613,2.4
0218,1213,0.3
0218,1817,2.5
0219,0038,0.2
0219,0653,2.4
0219,1253,0.3
0219,1856,2.5
0220,0113,0.3
0220,0730,2.3
0220,1334,0.3
0220,1939,2.4
0221,0154,0.4
0221,0813,2.2
0221,1421,0.5
0221,2026,2.3
0222,0243,0.5
0222,0906,2.1
0222,1515,0.6
0222,2123,2.1
0223,0343,0.7
0223,1009,2.0
0223,1623,0.7
0223,2236,1.9
0224,0500,0.8
0224,1130,1.9
0224,1749,0.8
0225,0008,1.8
0225,0638,0.9
0225,1256,1.9
0225,1915,0.7
0226,0151,1.9
0226,0806,0.8
0226,1413,2.0
0226,2038,0.6
0227,0304,2.0
0227,0908,0.6
0227,1513,2.2
0227,2138,0.4
0228,0356,2.2
0228,0956,0.5
0228,1600,2.4
0228,2221,0.2
0301,0438,2.4
0301,1034,0.3
0301,1639,2.6
0301,2300,0.1
0302,0509,2.4
0302,1108,0.2
0302,1713,2.6
0302,2334,0.1
0303,0547,2.5
0303,1145,0.2
0303,1751,2.6
0304,0006,0.1
0304,0617,2.4
0304,1219,0.2
0304,1826,2.6
0305,0041,0.2
