data,hora,mare
0101,0226,2.2
0101,0838,0.3
0101,1451,2.3
0101,2106,0.2
0102,0317,2.2
0102,0926,0.3
0102,1539,2.3
0102,2156,0.1
0103,0408,2.2
0103,1013,0.3
0103,1626,2.3
0103,2245,0.1
0104,0458,2.2
0104,1102,0.3
0104,1713,2.3
0104,2334,0.2
0105,0547,2.1
0105,1151,0.4
0105,1800,2.2
0106,0021,0.3
0106,0636,2.1
0106,1238,0.5
0106,1849,2.1
0107,0109,0.4
0107,0724,2.0
0107,1324,0.6
0107,1938,2.0
0108,0200,0.5
0108,0817,1.8
0108,1417,0.7
0108,2030,1.9
0109,0258,0.6
0109,0915,1.7
0109,1519,0.8
0109,2134,1.8
0110,0400,0.7
0110,1023,1.7
0110,1632,0.8
0110,2245,1.7
0111,0511,0.7
0111,1136,1.7
0111,1747,0.8
0112,0000,1.7
0112,0619,0.7
0112,1239,1.7
0112,1851,0.7
0113,0102,1.8
0113,0715,0.7
0113,1328,1.8
0113,1943,0.6
0114,0154,1.8
0114,0800,0.6
0114,1409,1.9
0114,2023,0.5
0115,0236,1.9
0115,0839,0.6
0115,1447,2.0
0115,2100,0.4
0116,0309,2.0
0116,0911,0.5
0116,1519,2.1
0116,2134,0.4
0117,0343,2.0
0117,0943,0.5
0117,1551,2.1
0117,2204,0.3
0118,0413,2.1
0118,1011,0.4
0118,1619,2.2
0118,2238,0.3
0119,0445,2.1
0119,1045,0.4
0119,1653,2.2
0119,2308,0.3
0120,0515,2.1
0120,1115,0.4
0120,1724,2.2
0120,2345,0.3
0121,0553,2.1
0121,1153,0.4
0121,1802,2.2
0122,0021,0.3
0122,0632,2.0
0122,1234,0.5
0122,1847,2.1
0123,0106,0.4
0123,0717,2.0
0123,1321,0.5
0123,1936,2.0
0124,0158,0.5
0124,0809,1.9
0124,1419,0.6
0124,2036,2.0
0125,0258,0.5
0125,0913,1.9
0125,1526,0.6
0125,2145,1.9
0126,0408,0.6
0126,1026,1.9
0126,1645,0.6
0126,2302,1.9
0127,0521,0.6
0127,1141,1.9
0127,1800,0.6
0128,0017,1.9
0128,0634,0.5
0128,1251,2.0
0128,1908,0.4
0129,0124,2.0
0129,0738,0.5
0129,1351,2.1
0129,2008,0.3
0130,0223,2.1
0130,0832,0.4
0130,1445,2.2
0130,2102,0.2
0131,0315,2.2
0131,0921,0.3
0131,1534,2.3
0131,2151,0.1
0201,0402,2.2
0201,1008,0.3
0201,1617,2.3
0201,2236,0.1
0202,0449,2.2
0202,1051,0.3
0202,1700,2.3
0202,2317,0.1
0203,0528,2.2
0203,1130,0.3
0203,1739,2.3
0203,2358,0.2
0204,0608,2.1
0204,1209,0.4
0204,1817,2.2
0205,0038,0.3
0205,0647,2.0
0205,1249,0.5
0205,1858,2.1
0206,0115,0.4
0206,0726,1.9
0206,1328,0.6
0206,1941,1.9
0207,0200,0.6
0207,0811,1.8
0207,1415,0.7
0207,2030,1.8
0208,0253,0.7
0208,0908,1.7
0208,1517,0.9
0208,2138,1.6
0209,0402,0.9
0209,1024,1.6
0209,1647,0.9
0209,2308,1.6
0210,0534,0.9
0210,1154,1.6
0210,1817,0.8
0211,0036,1.6
0211,0651,0.8
0211,1302,1.7
0211,1921,0.7
0212,0136,1.8
0212,0743,0.7
0212,1351,1.8
0212,2006,0.6
0213,0219,1.9
0213,0821,0.6
0213,1428,2.0
0213,2045,0.4
0214,0254,2.0
0214,0854,0.5
0214,1500,2.1
0214,2115,0.3
0215,0324,2.1
0215,0924,0.4
0215,1532,2.2
0215,2147,0.2
0216,0354,2.1
0216,0954,0.3
0216,1600,2.3
0216,2215,0.2
0217,0423,2.2
