data,hora,mare
0101,0232,2.3
0101,0847,0.3
0101,1451,2.4
0101,2111,0.1
0102,0323,2.4
0102,0934,0.3
0102,1539,2.5
0102,2202,0.0
0103,0411,2.4
0103,1021,0.2
0103,1626,2.5
0103,2253,0.0
0104,0502,2.4
0104,1108,0.3
0104,1715,2.5
0104,2343,0.1
0105,0551,2.3
0105,1156,0.3
0105,1804,2.4
0106,0032,0.2
0106,0639,2.2
0106,1245,0.4
0106,1856,2.3
0107,0123,0.4
0107,0728,2.0
0107,1336,0.5
0107,1949,2.2
0108,0217,0.5
0108,0819,1.9
0108,1432,0.7
0108,2045,2.0
0109,0317,0.7
0109,0917,1.8
0109,1534,0.8
0109,2145,1.9
0110,0419,0.8
0110,1017,1.7
0110,1645,0.8
0110,2251,1.8
0111,0524,0.8
0111,1121,1.7
0111,1753,0.8
0111,2356,1.8
0112,0623,0.8
0112,1219,1.8
0112,1853,0.8
0113,0053,1.8
0113,0711,0.8
0113,1309,1.9
0113,1939,0.7
0114,0138,1.8
0114,0756,0.7
0114,1354,1.9
0114,2019,0.6
0115,0219,1.9
0115,0832,0.6
0115,1434,2.0
0115,2058,0.5
0116,0258,2.0
0116,0908,0.5
0116,1509,2.1
0116,2132,0.4
0117,0334,2.1
0117,0943,0.5
0117,1547,2.2
0117,2206,0.4
0118,0409,2.2
0118,1017,0.4
0118,1623,2.3
0118,2243,0.3
0119,0449,2.2
0119,1053,0.4
0119,1700,2.3
0119,2317,0.3
0120,0524,2.2
0120,1126,0.4
0120,1738,2.3
0120,2354,0.3
0121,0602,2.1
0121,1202,0.5
0121,1813,2.3
0122,0032,0.4
0122,0643,2.1
0122,1241,0.5
0122,1856,2.2
0123,0111,0.5
0123,0724,2.0
0123,1323,0.6
0123,1943,2.1
0124,0200,0.6
0124,0813,1.9
0124,1413,0.7
0124,2039,2.0
0125,0258,0.7
0125,0911,1.8
0125,1519,0.7
0125,2147,1.9
0126,0409,0.7
0126,1021,1.8
0126,1641,0.7
0126,2304,1.9
0127,0532,0.8
0127,1139,1.9
0127,1806,0.6
0128,0023,2.0
0128,0647,0.7
0128,1249,2.0
0128,1917,0.5
0129,0130,2.1
0129,0749,0.6
0129,1351,2.1
0129,2017,0.3
0130,0226,2.2
0130,0841,0.4
0130,1443,2.3
0130,2109,0.2
0131,0317,2.3
0131,0928,0.3
0131,1532,2.5
0131,2158,0.1
0201,0404,2.4
0201,1011,0.2
0201,1615,2.5
0201,2243,0.0
0202,0449,2.4
0202,1054,0.2
0202,1700,2.6
0202,2324,0.1
0203,0528,2.3
0203,1136,0.2
0203,1745,2.5
0204,0006,0.2
0204,0608,2.3
0204,1215,0.3
0204,1826,2.4
0205,0049,0.3
0205,0651,2.1
0205,1258,0.4
0205,1909,2.2
0206,0130,0.5
