data,hora,mare
0101,0332,2.9
0101,0936,0.4
0101,1543,3.3
0101,2213,0.1
0102,0423,3.0
0102,1026,0.3
0102,1634,3.4
0102,2302,0.0
0103,0513,3.1
0103,1115,0.3
0103,1724,3.4
0103,2353,0.0
0104,0604,3.1
0104,1206,0.3
0104,1813,3.4
0105,0041,0.0
0105,0654,3.0
0105,1256,0.4
0105,1904,3.3
0106,0128,0.2
0106,0747,2.9
0106,1347,0.5
0106,1956,3.1
0107,0213,0.4
0107,0838,2.8
0107,1438,0.6
0107,2051,2.9
0108,0302,0.6
0108,0932,2.6
0108,1528,0.8
0108,2149,2.7
0109,0356,0.8
0109,1028,2.5
0109,1624,0.9
0109,2249,2.5
0110,0454,1.0
0110,1130,2.4
0110,1730,1.0
0110,2353,2.4
0111,0556,1.1
0111,1232,2.4
0111,1845,1.0
0112,0058,2.3
0112,0656,1.1
0112,1326,2.5
0112,1951,0.9
0113,0156,2.3
0113,0749,1.0
0113,1415,2.6
0113,2041,0.8
0114,0247,2.4
0114,0838,1.0
0114,1500,2.7
0114,2123,0.7
0115,0330,2.5
0115,0919,0.9
0115,1541,2.8
0115,2202,0.6
0116,0406,2.6
0116,1000,0.8
0116,1619,2.9
0116,2241,0.5
0117,0443,2.7
0117,1038,0.7
0117,1654,3.0
0117,2315,0.4
0118,0517,2.7
0118,1113,0.6
0118,1728,3.0
0118,2353,0.3
0119,0553,2.8
0119,1153,0.6
0119,1802,3.0
0120,0024,0.3
0120,0626,2.8
0120,1228,0.6
0120,1838,3.0
0121,0100,0.4
0121,0704,2.8
0121,1304,0.6
0121,1913,2.9
0122,0138,0.4
0122,0743,2.8
0122,1345,0.6
0122,1954,2.8
0123,0213,0.5
0123,0824,2.7
0123,1428,0.7
0123,2043,2.7
0124,0258,0.7
0124,0913,2.7
0124,1517,0.8
0124,2139,2.6
0125,0353,0.8
0125,1009,2.6
0125,1619,0.9
0125,2249,2.5
0126,0458,0.9
0126,1117,2.6
0126,1738,0.9
0127,0006,2.4
0127,0613,0.9
0127,1232,2.7
0127,1904,0.8
0128,0123,2.5
0128,0726,0.9
0128,1339,2.8
0128,2017,0.6
0129,0230,2.6
0129,0832,0.7
0129,1441,3.0
0129,2113,0.4
0130,0324,2.8
0130,0928,0.5
0130,1538,3.2
0130,2204,0.2
0131,0415,3.0
0131,1019,0.4
0131,1626,3.3
0131,2254,0.0
0201,0502,3.1
0201,1108,0.2
0201,1713,3.4
0201,2339,0.1
0202,0549,3.1
0202,1154,0.2
0202,1800,3.4
0203,0021,0.0
0203,0632,3.1
0203,1239,0.2
0203,1843,3.3
0204,0102,0.1
0204,0713,3.0
0204,1321,0.3
0204,1926,3.2
0205,0141,0.3
0205,0754,2.9
0205,1402,0.5
0205,2009,2.9
