data,hora,mare
0101,0300,3.3
0101,0909,0.4
0101,1517,3.6
0101,2141,0.1
0102,0349,3.4
0102,0956,0.3
0102,1602,3.7
0102,2223,0.0
0103,0436,3.4
0103,1043,0.3
0103,1653,3.6
0103,2309,0.0
0104,0524,3.3
0104,1130,0.4
0104,1743,3.6
0105,0002,0.1
0105,0619,3.3
0105,1221,0.5
0105,1838,3.4
0106,0054,0.2
0106,0717,3.2
0106,1313,0.6
0106,1934,3.3
0107,0145,0.4
0107,0809,3.1
0107,1406,0.7
0107,2026,3.2
0108,0232,0.6
0108,0900,3.0
0108,1456,0.8
0108,2115,3.0
0109,0319,0.8
0109,0951,2.8
0109,1551,1.0
0109,2208,2.7
0110,0411,1.1
0110,1047,2.6
0110,1653,1.2
0110,2309,2.6
0111,0523,1.3
0111,1156,2.6
0111,1821,1.2
0112,0028,2.5
0112,0702,1.3
0112,1309,2.6
0112,1939,1.1
0113,0139,2.6
0113,0804,1.2
0113,1404,2.8
0113,2024,0.9
0114,0224,2.7
0114,0845,1.0
0114,1445,2.9
0114,2100,0.7
0115,0302,2.9
0115,0911,0.9
0115,1515,3.0
0115,2134,0.6
0116,0336,2.9
0116,0945,0.8
0116,1549,3.1
0116,2204,0.5
0117,0404,3.0
0117,1009,0.8
0117,1619,3.2
0117,2239,0.5
0118,0441,3.0
0118,1047,0.7
0118,1656,3.2
0118,2311,0.5
0119,0515,3.0
0119,1119,0.7
0119,1730,3.2
0119,2353,0.5
0120,0556,3.0
0120,1158,0.7
0120,1809,3.2
0121,0028,0.5
0121,0636,3.0
0121,1238,0.7
0121,1851,3.2
0122,0106,0.5
0122,0715,3.0
0122,1315,0.7
0122,1930,3.2
0123,0147,0.6
0123,0758,3.0
0123,1358,0.7
0123,2013,3.1
0124,0226,0.7
0124,0845,2.9
0124,1447,0.8
0124,2102,2.9
0125,0313,0.9
0125,0938,2.8
0125,1547,1.0
0125,2204,2.7
0126,0413,1.0
0126,1045,2.8
0126,1702,1.0
0126,2319,2.6
0127,0539,1.1
0127,1202,2.8
0127,1841,0.9
0128,0051,2.7
0128,0713,1.0
0128,1321,3.0
0128,1956,0.6
0129,0202,2.9
0129,0817,0.8
0129,1421,3.3
0129,2051,0.4
0130,0258,3.1
0130,0904,0.6
0130,1509,3.5
0130,2134,0.1
0131,0343,3.3
0131,0953,0.4
0131,1558,3.6
0131,2215,0.0
0201,0424,3.4
0201,1034,0.3
0201,1643,3.6
0201,2300,0.0
0202,0511,3.4
0202,1115,0.3
0202,1726,3.6
0202,2345,0.1
0203,0600,3.3
0203,1202,0.3
0203,1815,3.5
0204,0028,0.2
0204,0649,3.3
0204,1251,0.4
0204,1904,3.4
0205,0111,0.4
0205,0734,3.2
0205,1334,0.5
0205,1951,3.2
0206,0154,0.6
0206,0817,3.0
0206,1415,0.7
0206,2036,3.0
0207,0234,0.8
0207,0900,2.9
0207,1458,0.9
0207,2117,2.8
0208,0311,1.1
0208,0947,2.6
0208,1549,1.1
0208,2208,2.5
0209,0402,1.3
0209,1049,2.5
0209,1656,1.3
0209,2323,2.3
0210,0526,1.5
0210,1217,2.4
0210,1854,1.3
0211,0104,2.4
0211,0741,1.4
0211,1341,2.5
0211,2006,1.1
0212,0209,2.5
0212,0828,1.2
0212,1428,2.8
0212,2049,0.9
0213,0251,2.7
0213,0900,1.0
0213,1502,3.0
0213,2117,0.7
0214,0321,2.9
0214,0926,0.8
0214,1534,3.1
0214,2151,0.5
0215,0353,3.0
0215,0956,0.7
0215,1602,3.3
0215,2217,0.4
0216,0421,3.1
0216,1024,0.6
0216,1636,3.4
0216,2253,0.4
0217,0456,3.2
0217,1100,0.5
0217,1708,3.4
0217,2324,0.3
0218,0532,3.2
0218,1136,0.4
0218,1749,3.4
0219,0002,0.3
0219,0608,3.3
0219,1213,0.4
0219,1824,3.4
0220,0039,0.3
0220,0651,3.3
0220,1254,0.4
0220,1906,3.3
0221,0115,0.4
0221,0730,3.2
0221,1336,0.5
0221,1949,3.2
0222,0156,0.6
0222,0813,3.1
0222,1421,0.6
0222,2039,3.0
0223,0243,0.8
0223,0906,2.9
0223,1519,0.9
0223,2139,2.7
0224,0341,1.1
0224,1009,2.8
0224,1638,1.0
0224,2258,2.5
0225,0508,1.3
0225,1139,2.7
0225,1824,1.0
0226,0041,2.5
0226,0708,1.2
0226,1311,2.9
0226,1954,0.7
0227,0204,2.8
0227,0815,0.9
0227,1417,3.1
0227,2047,0.4
0228,0256,3.1
0228,0902,0.6
0228,1504,3.4
0228,2124,0.2
0301,0336,3.3
0301,0945,0.4
0301,1549,3.6
0301,2204,0.1
0302,0411,3.4
0302,1019,0.3
0302,1626,3.6
0302,2245,0.1
0303,0453,3.4
0303,1100,0.2
0303,1706,3.6
0303,2321,0.2
0304,0530,3.4
0304,1141,0.2
0304,1749,3.5
0305,0000,0.3
0305,0611,3.3
0305,1219,0.3
0305,1830,3.3
0306,0039,0.4
0306,0653,3.2
0306,1300,0.4
0306,1911,3.2
0307,0115,0.6
0307,0732,3.1
0307,1339,0.6
0307,1951,3.0
0308,0151,0.8
0308,0809,2.9
0308,1417,0.8
0308,2030,2.8
0309,0224,1.1
0309,0849,2.7
0309,1458,1.0
0309,2115,2.5
0310,0302,1.3
0310,0943,2.4
0310,1556,1.3
0310,2221,2.3
0311,0402,1.5
0311,1108,2.3
0311,1736,1.4
0312,0013,2.2
0312,0651,1.6
0312,1306,2.4
0312,1941,1.2
0313,0149,2.4
0313,0806,1.3
0313,1404,2.7
0313,2026,1.0
0314,0230,2.7
0314,0841,1.1
0314,1443,2.9
0314,2058,0.7
0315,0300,2.9
0315,0904,0.8
0315,1509,3.2
0315,2124,0.5
0316,0328,3.1
0316,0932,0.6
0316,1541,3.4
0316,2154,0.3
0317,0358,3.3
0317,1000,0.4
0317,1608,3.5
0317,2223,0.2
0318,0428,3.4
0318,1036,0.3
0318,1645,3.5
0318,2258,0.2
0319,0502,3.4
0319,1109,0.2
0319,1719,3.5
0319,2334,0.2
0320,0543,3.4
0320,1153,0.2
0320,1802,3.5
0321,0009,0.3
0321,0621,3.4
0321,1232,0.2
0321,1845,3.4
0322,0053,0.4
0322,0706,3.4
0322,1317,0.4
0322,1932,3.2
0323,0134,0.6
0323,0754,3.2
0323,1406,0.5
0323,2024,2.9
0324,0221,0.9
0324,0849,3.0
0324,1504,0.8
0324,2130,2.7
0325,0324,1.2
0325,0958,2.8
0325,1623,1.0
0325,2254,2.5
0326,0500,1.4
0326,1126,2.7
0326,1817,1.0
0327,0039,2.5
0327,0706,1.2
0327,1304,2.8
0327,1947,0.8
0328,0158,2.8
0328,0811,0.9
0328,1409,3.1
0328,2036,0.5
0329,0245,3.1
0329,0856,0.6
0329,1456,3.3
0329,2111,0.3
0330,0319,3.3
0330,0930,0.4
0330,1532,3.5
0330,2149,0.2
0331,0356,3.4
0331,1004,0.2
0331,1606,3.5
0331,2219,0.2
0401,0426,3.4
0401,1039,0.2
0401,1643,3.5
0401,2256,0.3
0402,0500,3.4
0402,1111,0.2
0402,1717,3.4
0402,2328,0.4
0403,0536,3.3
0403,1153,0.3
0403,1756,3.3
0404,0004,0.6
0404,0611,3.2
0404,1226,0.5
0404,1834,3.1
0405,0039,0.7
0405,0649,3.0
0405,1306,0.6
0405,1911,2.9
0406,0113,0.9
0406,0726,2.9
0406,1345,0.8
0406,1953,2.7
0407,0149,1.1
0407,0806,2.7
0407,1426,1.0
0407,2038,2.5
0408,0226,1.3
0408,0856,2.5
0408,1519,1.2
0408,2141,2.3
0409,0323,1.5
0409,1009,2.4
0409,1638,1.4
0409,2308,2.2
0410,0500,1.6
0410,1158,2.4
0410,1839,1.3
0411,0058,2.3
0411,0717,1.4
0411,1323,2.6
0411,1949,1.0
0412,0154,2.6
0412,0802,1.1
0412,1406,2.9
0412,2023,0.8
0413,0226,2.9
0413,0834,0.8
0413,1439,3.1
0413,2054,0.5
0414,0258,3.2
0414,0902,0.5
0414,1508,3.4
0414,2121,0.3
0415,0326,3.4
0415,0936,0.3
0415,1543,3.5
0415,2154,0.2
0416,0400,3.5
0416,1008,0.2
0416,1615,3.6
0416,2228,0.2
0417,0436,3.6
0417,1049,0.1
0417,1656,3.5
0417,2306,0.2
0418,0513,3.6
0418,1128,0.1
0418,1741,3.4
0418,2349,0.3
0419,0600,3.5
0419,1213,0.2
0419,1826,3.3
0420,0032,0.5
0420,0649,3.4
0420,1304,0.3
0420,1921,3.1
0421,0119,0.7
0421,0743,3.2
0421,1358,0.5
0421,2021,2.9
0422,0215,0.9
0422,0845,3.0
0422,1500,0.7
0422,2130,2.7
0423,0323,1.1
0423,0954,2.8
0423,1615,0.9
0423,2249,2.6
0424,0456,1.3
0424,1113,2.7
0424,1756,1.0
0425,0019,2.6
0425,0647,1.2
0425,1245,2.8
0425,1924,0.8
0426,0138,2.8
0426,0756,0.9
0426,1353,3.0
0426,2015,0.6
0427,0223,3.1
0427,0838,0.6
0427,1436,3.2
0427,2054,0.4
0428,0300,3.3
0428,0909,0.4
0428,1509,3.3
0428,2124,0.4
0429,0330,3.4
0429,0945,0.3
0429,1547,3.4
0429,2158,0.4
0430,0400,3.4
0430,1013,0.3
0430,1615,3.3
0430,2226,0.5
0501,0432,3.3
0501,1049,0.3
0501,1651,3.2
