data,hora,mare
0101,0347,2.5
0101,0958,0.3
0101,1604,2.6
0101,2223,0.1
0102,0439,2.6
0102,1049,0.2
0102,1658,2.7
0102,2313,0.0
0103,0532,2.7
0103,1138,0.1
0103,1751,2.7
0104,0002,0.0
0104,0621,2.6
0104,1224,0.2
0104,1841,2.7
0105,0053,0.1
0105,0709,2.6
0105,1313,0.2
0105,1932,2.6
0106,0139,0.2
0106,0800,2.5
0106,1402,0.3
0106,2021,2.4
0107,0226,0.4
0107,0849,2.4
0107,1453,0.5
0107,2111,2.3
0108,0317,0.5
0108,0938,2.2
0108,1545,0.6
0108,2204,2.2
0109,0409,0.7
0109,1026,2.1
0109,1639,0.7
0109,2300,2.0
0110,0508,0.8
0110,1117,2.0
0110,1739,0.8
0110,2356,2.0
0111,0608,0.9
0111,1211,2.0
0111,1841,0.8
0112,0054,2.0
0112,0706,0.9
0112,1306,2.0
0112,1938,0.7
0113,0149,2.0
0113,0800,0.9
0113,1358,2.0
0113,2024,0.7
0114,0239,2.0
0114,0847,0.8
0114,1447,2.1
0114,2109,0.6
0115,0323,2.1
0115,0928,0.7
0115,1530,2.2
0115,2153,0.5
0116,0404,2.2
0116,1008,0.6
0116,1611,2.3
0116,2230,0.4
0117,0441,2.3
0117,1049,0.5
0117,1651,2.3
0117,2308,0.4
0118,0517,2.3
0118,1123,0.5
0118,1728,2.4
0118,2345,0.4
0119,0553,2.3
0119,1200,0.4
0119,1804,2.4
0120,0019,0.4
0120,0626,2.3
0120,1236,0.4
0120,1841,2.4
0121,0056,0.4
0121,0700,2.3
0121,1311,0.5
0121,1919,2.3
0122,0132,0.5
0122,0738,2.3
0122,1353,0.5
0122,2000,2.2
0123,0209,0.6
0123,0819,2.2
0123,1436,0.6
0123,2049,2.2
0124,0258,0.7
0124,0908,2.2
0124,1526,0.6
0124,2145,2.1
0125,0354,0.8
0125,1006,2.1
0125,1634,0.7
0125,2253,2.0
0126,0506,0.8
0126,1117,2.1
0126,1756,0.7
0127,0008,2.0
0127,0632,0.8
0127,1238,2.1
0127,1915,0.6
0128,0128,2.1
0128,0751,0.7
0128,1354,2.2
0128,2024,0.5
0129,0239,2.3
0129,0854,0.5
0129,1502,2.4
0129,2123,0.3
0130,0341,2.4
0130,0951,0.3
0130,1600,2.5
0130,2215,0.1
0131,0434,2.6
0131,1039,0.2
0131,1653,2.7
0131,2304,0.0
0201,0521,2.7
0201,1124,0.1
0201,1739,2.7
0201,2351,0.0
0202,0606,2.7
0202,1208,0.1
0202,1824,2.7
0203,0032,0.0
0203,0649,2.7
0203,1253,0.1
0203,1908,2.7
0204,0111,0.2
0204,0730,2.6
0204,1334,0.2
0204,1951,2.5
0205,0154,0.3
0205,0808,2.4
0205,1413,0.4
0205,2032,2.4
0206,0234,0.5
0206,0849,2.3
0206,1456,0.5
0206,2111,2.2
0207,0313,0.7
0207,0926,2.1
0207,1539,0.7
0207,2158,2.0
0208,0400,0.8
0208,1009,2.0
0208,1630,0.8
0208,2249,1.9
0209,0456,1.0
0209,1102,1.9
0209,1738,0.9
0209,2351,1.8
0210,0606,1.0
0210,1206,1.9
0210,1851,0.9
0211,0102,1.8
0211,0719,1.0
0211,1315,1.9
0211,1956,0.8
0212,0208,1.9
0212,0819,0.9
0212,1419,2.0
0212,2051,0.7
0213,0300,2.0
0213,0908,0.8
0213,1511,2.1
0213,2134,0.6
0214,0345,2.1
0214,0953,0.6
0214,1556,2.2
0214,2211,0.5
0215,0423,2.2
0215,1028,0.5
0215,1636,2.4
0215,2251,0.4
0216,0458,2.3
0216,1106,0.4
0216,1711,2.4
0216,2324,0.3
0217,0532,2.4
0217,1143,0.3
0217,1749,2.5
0218,0000,0.3
0218,0606,2.5
0218,1215,0.3
0218,1824,2.5
0219,0036,0.3
0219,0641,2.5
0219,1254,0.3
0219,1902,2.5
0220,0111,0.4
0220,0717,2.4
0220,1332,0.3
0220,1941,2.4
0221,0151,0.5
0221,0758,2.3
0221,1413,0.4
0221,2026,2.3
0222,0236,0.6
0222,0845,2.2
0222,1504,0.6
0222,2119,2.1
0223,0328,0.7
0223,0943,2.1
0223,1608,0.7
0223,2228,2.0
0224,0443,0.9
0224,1058,2.0
0224,1736,0.8
0224,2356,2.0
0225,0617,0.9
0225,1226,2.0
0225,1906,0.7
0226,0124,2.0
0226,0745,0.8
0226,1353,2.2
0226,2019,0.5
0227,0238,2.2
0227,0849,0.6
0227,1500,2.3
0227,2115,0.4
0228,0334,2.4
0228,0939,0.4
0228,1554,2.5
0228,2204,0.2
0301,0421,2.5
0301,1024,0.2
0301,1641,2.7
0301,2249,0.1
0302,0504,2.7
0302,1106,0.1
0302,1723,2.7
0302,2328,0.0
0303,0543,2.7
0303,1147,0.0
0303,1802,2.7
0304,0006,0.1
0304,0619,2.7
0304,1223,0.1
0304,1839,2.7
0305,0043,0.1
0305,0656,2.6
0305,1300,0.1
0305,1915,2.6
0306,0117,0.3
0306,0728,2.5
0306,1336,0.3
0306,1951,2.4
0307,0153,0.5
0307,0800,2.3
0307,1409,0.5
0307,2024,2.2
0308,0226,0.7
0308,0834,2.2
0308,1449,0.6
0308,2102,2.0
0309,0302,0.8
0309,0909,2.0
0309,1530,0.8
0309,2147,1.9
0310,0349,1.0
0310,0958,1.9
0310,1628,0.9
0310,2247,1.8
0311,0458,1.1
0311,1106,1.8
0311,1756,1.0
0312,0006,1.7
0312,0634,1.1
0312,1232,1.8
0312,1919,0.9
0313,0128,1.8
0313,0751,1.0
0313,1349,1.9
0313,2021,0.8
0314,0228,1.9
0314,0843,0.8
0314,1447,2.1
0314,2106,0.6
0315,0313,2.1
0315,0924,0.6
0315,1532,2.2
0315,2149,0.5
0316,0354,2.3
0316,1004,0.4
0316,1611,2.4
0316,2224,0.3
0317,0430,2.4
0317,1043,0.3
0317,1649,2.5
0317,2300,0.3
0318,0506,2.5
0318,1117,0.2
0318,1726,2.6
0318,2338,0.2
0319,0541,2.6
0319,1156,0.1
0319,1804,2.6
0320,0013,0.2
0320,0617,2.6
0320,1234,0.2
0320,1843,2.5
0321,0054,0.3
0321,0658,2.5
0321,1313,0.2
0321,1924,2.4
0322,0134,0.4
0322,0741,2.4
0322,1358,0.4
0322,2011,2.3
0323,0219,0.6
0323,0830,2.3
0323,1451,0.6
0323,2108,2.1
0324,0317,0.8
0324,0934,2.1
0324,1558,0.7
0324,2223,2.0
0325,0438,0.9
0325,1056,2.0
0325,1732,0.8
0325,2356,1.9
0326,0615,0.9
0326,1228,2.0
0326,1902,0.7
0327,0121,2.0
0327,0738,0.7
0327,1351,2.1
0327,2009,0.6
0328,0226,2.2
0328,0838,0.5
0328,1451,2.3
0328,2102,0.4
0329,0317,2.4
0329,0923,0.4
0329,1539,2.5
0329,2149,0.2
0330,0400,2.5
0330,1004,0.2
0330,1619,2.6
0330,2226,0.2
0331,0439,2.6
0331,1043,0.1
0331,1658,2.7
0331,2302,0.1
0401,0513,2.7
0401,1119,0.1
0401,1734,2.7
0401,2338,0.1
0402,0547,2.6
0402,1154,0.1
0402,1808,2.6
0403,0009,0.2
0403,0619,2.6
0403,1226,0.2
0403,1841,2.5
0404,0045,0.3
0404,0651,2.5
0404,1300,0.3
0404,1911,2.4
0405,0113,0.5
0405,0719,2.3
0405,1334,0.4
0405,1945,2.2
0406,0149,0.6
0406,0753,2.2
0406,1408,0.6
0406,2019,2.1
0407,0221,0.8
0407,0826,2.0
0407,1449,0.8
0407,2100,1.9
0408,0302,1.0
0408,0913,1.9
0408,1539,0.9
0408,2158,1.8
0409,0404,1.1
0409,1021,1.8
0409,1700,1.0
0409,2313,1.7
0410,0541,1.1
0410,1149,1.8
0410,1834,1.0
0411,0038,1.8
0411,0704,1.0
0411,1308,1.9
0411,1943,0.9
0412,0143,1.9
0412,0804,0.8
0412,1408,2.1
0412,2032,0.7
0413,0232,2.1
0413,0853,0.6
0413,1456,2.2
0413,2113,0.5
0414,0315,2.3
0414,0934,0.4
0414,1539,2.4
0414,2154,0.4
0415,0356,2.5
0415,1011,0.2
0415,1621,2.5
0415,2234,0.2
0416,0436,2.6
0416,1054,0.1
0416,1702,2.6
0416,2311,0.2
0417,0515,2.6
0417,1134,0.1
0417,1743,2.6
0417,2354,0.2
0418,0558,2.6
0418,1215,0.1
0418,1826,2.6
0419,0036,0.3
0419,0643,2.6
0419,1300,0.2
0419,1913,2.5
0420,0121,0.4
0420,0730,2.4
0420,1351,0.3
0420,2006,2.3
0421,0211,0.6
0421,0826,2.3
0421,1447,0.5
0421,2108,2.1
0422,0315,0.7
0422,0936,2.1
0422,1558,0.7
0422,2224,2.0
0423,0439,0.8
0423,1058,2.0
0423,1726,0.8
0423,2351,2.0
0424,0608,0.8
0424,1223,2.1
0424,1849,0.7
0425,0104,2.1
0425,0719,0.7
0425,1334,2.2
0425,1953,0.6
0426,0204,2.2
0426,0813,0.5
0426,1428,2.3
0426,2041,0.5
0427,0253,2.3
0427,0900,0.4
0427,1513,2.4
0427,2121,0.4
0428,0332,2.4
0428,0939,0.3
0428,1554,2.5
0428,2158,0.3
0429,0406,2.5
0429,1013,0.2
0429,1630,2.6
0429,2234,0.3
0430,0441,2.5
0430,1051,0.1
0430,1704,2.6
0430,2306,0.3
0501,0511,2.5
0501,1123,0.2
0501,1738,2.5
0501,2341,0.3
0502,0545,2.5
0502,1158,0.2
0502,1808,2.4
0503,0011,0.4
0503,0615,2.4
0503,1232,0.3
0503,1841,2.3
0504,0047,0.5
0504,0649,2.3
0504,1304,0.5
0504,1913,2.2
0505,0117,0.7
0505,0721,2.2
0505,1341,0.6
0505,1951,2.1
0506,0156,0.8
0506,0800,2.1
0506,1419,0.8
0506,2030,1.9
0507,0238,0.9
0507,0847,1.9
0507,1508,0.9
0507,2123,1.8
0508,0334,1.0
0508,0951,1.9
0508,1613,1.0
0508,2230,1.8
0509,0451,1.0
0509,1104,1.9
0509,1736,1.0
0509,2343,1.9
0510,0611,0.9
0510,1217,1.9
0510,1849,0.9
0511,0049,2.0
0511,0717,0.8
0511,1321,2.1
0511,1947,0.7
0512,0143,2.1
0512,0809,0.6
0512,1415,2.2
0512,2036,0.6
0513,0234,2.3
0513,0858,0.4
0513,1504,2.4
0513,2121,0.4
0514,0321,2.5
0514,0945,0.2
0514,1553,2.5
0514,2204,0.3
0515,0406,2.6
0515,1028,0.1
0515,1639,2.6
0515,2251,0.2
0516,0454,2.6
0516,1113,0.0
0516,1726,2.6
0516,2338,0.2
0517,0543,2.6
0517,1200,0.1
0517,1815,2.6
0518,0023,0.3
0518,0634,2.6
0518,1251,0.2
0518,1908,2.5
0519,0113,0.4
0519,0728,2.5
0519,1345,0.3
0519,2006,2.4
0520,0209,0.5
0520,0828,2.3
0520,1443,0.5
0520,2108,2.2
0521,0313,0.6
0521,0938,2.2
0521,1553,0.6
0521,2217,2.1
0522,0426,0.7
0522,1049,2.1
0522,1706,0.7
0522,2328,2.1
0523,0543,0.7
0523,1200,2.1
0523,1819,0.7
0524,0034,2.1
0524,0651,0.6
0524,1304,2.2
0524,1917,0.6
0525,0128,2.2
0525,0743,0.6
0525,1358,2.2
0525,2008,0.6
0526,0215,2.3
0526,0828,0.5
0526,1443,2.3
0526,2051,0.5
0527,0256,2.3
0527,0908,0.4
0527,1523,2.4
0527,2128,0.5
0528,0334,2.4
0528,0947,0.3
0528,1600,2.4
0528,2202,0.4
0529,0408,2.4
0529,1021,0.3
0529,1636,2.4
0529,2239,0.4
0530,0443,2.4
0530,1058,0.3
0530,1709,2.4
0530,2311,0.4
0531,0515,2.4
0531,1132,0.3
0531,1743,2.3
0531,2350,0.5
0601,0551,2.3
0601,1208,0.4
0601,1817,2.3
0602,0023,0.6
0602,0624,2.3
0602,1245,0.5
0602,1853,2.2
0603,0100,0.6
0603,0702,2.2
0603,1319,0.6
0603,1928,2.1
0604,0138,0.7
0604,0741,2.1
0604,1400,0.7
0604,2008,2.0
0605,0217,0.8
0605,0826,2.0
0605,1445,0.8
0605,2056,2.0
0606,0306,0.8
0606,0921,2.0
0606,1538,0.9
0606,2151,1.9
0607,0408,0.9
0607,1023,2.0
0607,1641,0.9
0607,2253,2.0
0608,0517,0.8
0608,1130,2.0
0608,1753,0.8
0608,2356,2.0
0609,0628,0.7
0609,1236,2.1
0609,1858,0.7
0610,0056,2.2
0610,0730,0.6
0610,1336,2.2
0610,1958,0.6
0611,0154,2.3
0611,0826,0.4
0611,1432,2.3
0611,2053,0.5
0612,0251,2.4
0612,0917,0.2
0612,1526,2.5
0612,2143,0.3
0613,0345,2.5
0613,1008,0.1
0613,1621,2.6
0613,2234,0.2
0614,0439,2.6
0614,1100,0.1
0614,1713,2.6
0614,2323,0.2
0615,0532,2.6
0615,1151,0.1
0615,1808,2.6
0616,0013,0.2
0616,0626,2.6
0616,1243,0.1
0616,1902,2.5
0617,0106,0.3
0617,0723,2.5
0617,1336,0.2
0617,1958,2.5
0618,0200,0.4
0618,0821,2.4
0618,1430,0.4
0618,2054,2.4
0619,0300,0.5
0619,0921,2.3
0619,1530,0.5
0619,2154,2.3
0620,0400,0.6
0620,1021,2.2
0620,1634,0.6
0620,2253,2.2
0621,0504,0.6
0621,1123,2.2
0621,1738,0.7
0621,2351,2.1
0622,0606,0.7
0622,1223,2.1
0622,1838,0.7
0623,0043,2.1
0623,0704,0.6
0623,1317,2.1
0623,1928,0.7
0624,0134,2.1
0624,0754,0.6
0624,1406,2.1
0624,2015,0.7
0625,0217,2.2
0625,0838,0.5
0625,1453,2.2
0625,2058,0.6
0626,0300,2.2
0626,0917,0.5
0626,1532,2.2
0626,2138,0.6
0627,0339,2.3
0627,0958,0.4
0627,1609,2.3
0627,2213,0.6
0628,0417,2.3
0628,1036,0.4
0628,1649,2.3
0628,2253,0.5
0629,0456,2.3
0629,1111,0.4
0629,1724,2.3
0629,2328,0.5
0630,0534,2.3
0630,1151,0.4
0630,1800,2.3
0701,0004,0.5
0701,0609,2.3
0701,1226,0.5
0701,1836,2.2
0702,0043,0.6
0702,0649,2.2
0702,1302,0.5
0702,1909,2.2
0703,0117,0.6
0703,0724,2.2
0703,1339,0.6
0703,1947,2.1
0704,0158,0.7
0704,0806,2.1
0704,1417,0.7
0704,2026,2.1
0705,0241,0.7
0705,0853,2.1
0705,1502,0.7
0705,2111,2.1
0706,0330,0.7
