data,hora,mare
0101,0341,2.4
0101,1009,0.5
0101,1547,2.7
0101,2253,0.0
0102,0424,2.5
0102,1100,0.4
0102,1634,2.7
0102,2339,0.0
0103,0509,2.5
0103,1149,0.4
0103,1721,2.7
0104,0023,0.1
0104,0558,2.5
0104,1236,0.4
0104,1809,2.7
0105,0106,0.0
0105,0645,2.4
0105,1319,0.4
0105,1904,2.6
0106,0151,0.1
0106,0736,2.4
0106,1406,0.5
0106,2000,2.4
0107,0232,0.3
0107,0830,2.3
0107,1456,0.6
0107,2058,2.3
0108,0313,0.4
0108,0926,2.2
0108,1553,0.6
0108,2154,2.2
0109,0400,0.6
0109,1021,2.1
0109,1651,0.7
0109,2251,2.0
0110,0454,0.7
0110,1115,2.1
0110,1753,0.7
0110,2347,1.9
0111,0554,0.8
0111,1209,2.1
0111,1853,0.7
0112,0047,1.9
0112,0654,0.9
0112,1306,2.1
0112,1953,0.7
0113,0149,1.9
0113,0756,0.9
0113,1400,2.2
0113,2049,0.6
0114,0243,2.0
0114,0851,0.8
0114,1445,2.2
0114,2139,0.5
0115,0324,2.0
0115,0939,0.8
0115,1524,2.3
0115,2219,0.4
0116,0402,2.1
0116,1019,0.7
0116,1602,2.3
0116,2258,0.4
0117,0436,2.2
0117,1058,0.7
0117,1639,2.4
0117,2332,0.3
0118,0508,2.3
0118,1134,0.6
0118,1711,2.4
0119,0002,0.3
0119,0541,2.3
0119,1204,0.6
0119,1751,2.4
0120,0036,0.3
0120,0613,2.3
0120,1241,0.6
0120,1826,2.4
0121,0104,0.3
0121,0649,2.3
0121,1315,0.6
0121,1906,2.3
0122,0141,0.3
0122,0726,2.3
0122,1356,0.6
0122,1951,2.3
0123,0213,0.4
0123,0808,2.2
0123,1443,0.6
0123,2039,2.2
0124,0256,0.6
0124,0900,2.2
0124,1539,0.7
0124,2138,2.1
0125,0347,0.7
0125,1002,2.1
0125,1654,0.7
0125,2247,2.0
0126,0504,0.8
0126,1119,2.1
0126,1824,0.7
0127,0009,1.9
0127,0645,0.9
0127,1239,2.2
0127,1945,0.6
0128,0130,2.0
0128,0802,0.8
0128,1349,2.3
0128,2053,0.4
0129,0236,2.2
0129,0906,0.6
0129,1447,2.5
0129,2151,0.2
0130,0328,2.3
0130,1002,0.5
0130,1539,2.6
0130,2243,0.1
0131,0415,2.4
0131,1054,0.4
0131,1628,2.7
0131,2328,0.0
0201,0500,2.5
0201,1141,0.3
0201,1715,2.7
0202,0008,0.1
0202,0545,2.6
0202,1223,0.3
0202,1802,2.7
0203,0049,0.0
0203,0626,2.5
0203,1302,0.3
0203,1849,2.6
0204,0121,0.1
0204,0708,2.5
0204,1343,0.3
0204,1934,2.5
0205,0156,0.2
0205,0749,2.4
0205,1419,0.4
0205,2017,2.3
0206,0228,0.4
0206,0832,2.3
0206,1500,0.5
0206,2100,2.2
0207,0300,0.6
0207,0913,2.2
0207,1549,0.7
0207,2147,2.0
0208,0343,0.8
0208,1002,2.1
0208,1645,0.8
0208,2236,1.9
0209,0432,0.9
0209,1058,2.0
0209,1754,0.8
0209,2338,1.8
0210,0545,1.0
0210,1208,2.0
0210,1917,0.8
0211,0108,1.7
0211,0728,1.0
0211,1326,2.0
0211,2024,0.7
0212,0221,1.8
0212,0838,0.9
0212,1426,2.1
0212,2113,0.6
0213,0306,2.0
