data,hora,mare
2022-01-01,0315,2.2
2022-01-01,0902,0.3
2022-01-01,1534,2.4
2022-01-01,2132,0.1
2022-01-02,0409,2.3
2022-01-02,0953,0.2
2022-01-02,1624,2.5
2022-01-02,2223,0.0
2022-01-03,0500,2.3
2022-01-03,1041,0.2
2022-01-03,1713,2.5
2022-01-03,2313,0.0
2022-01-04,0551,2.3
2022-01-04,1128,0.2
2022-01-04,1802,2.5
2022-01-05,0002,0.1
2022-01-05,0639,2.2
2022-01-05,1215,0.3
2022-01-05,1849,2.4
2022-01-06,0051,0.2
2022-01-06,0726,2.1
2022-01-06,1302,0.4
2022-01-06,1936,2.3
2022-01-07,0139,0.3
2022-01-07,0811,2.0
2022-01-07,1353,0.5
2022-01-07,2023,2.1
2022-01-08,0226,0.5
2022-01-08,0902,1.9
2022-01-08,1443,0.7
2022-01-08,2113,2.0
2022-01-09,0321,0.6
2022-01-09,0956,1.8
2022-01-09,1543,0.8
2022-01-09,2209,1.9
2022-01-10,0421,0.7
2022-01-10,1056,1.8
2022-01-10,1653,0.8
2022-01-10,2313,1.8
2022-01-11,0526,0.8
2022-01-11,1158,1.8
2022-01-11,1806,0.8
2022-01-12,0021,1.8
2022-01-12,0632,0.8
2022-01-12,1258,1.9
2022-01-12,1909,0.7
2022-01-13,0121,1.8
2022-01-13,0726,0.7
2022-01-13,1351,1.9
2022-01-13,2002,0.7
2022-01-14,0213,1.9
2022-01-14,0811,0.7
2022-01-14,1438,2.0
2022-01-14,2047,0.6
2022-01-15,0300,2.0
2022-01-15,0853,0.6
2022-01-15,1517,2.1
2022-01-15,2124,0.5
2022-01-16,0343,2.0
2022-01-16,0928,0.5
2022-01-16,1556,2.2
2022-01-16,2200,0.4
2022-01-17,0419,2.1
2022-01-17,1002,0.5
2022-01-17,1630,2.2
2022-01-17,2234,0.3
2022-01-18,0454,2.1
2022-01-18,1036,0.5
2022-01-18,1702,2.3
2022-01-18,2306,0.3
2022-01-19,0528,2.1
2022-01-19,1108,0.4
2022-01-19,1736,2.3
2022-01-19,2339,0.3
2022-01-20,0602,2.1
2022-01-20,1143,0.4
2022-01-20,1808,2.3
2022-01-21,0011,0.3
2022-01-21,0638,2.1
2022-01-21,1215,0.5
2022-01-21,1845,2.2
2022-01-22,0051,0.4
2022-01-22,0713,2.0
2022-01-22,1256,0.5
2022-01-22,1923,2.2
2022-01-23,0128,0.4
2022-01-23,0756,2.0
2022-01-23,1339,0.6
2022-01-23,2008,2.1
2022-01-24,0215,0.5
2022-01-24,0843,1.9
2022-01-24,1430,0.6
2022-01-24,2102,2.0
2022-01-25,0309,0.6
2022-01-25,0939,1.9
2022-01-25,1536,0.7
2022-01-25,2208,1.9
2022-01-26,0421,0.7
2022-01-26,1049,1.9
2022-01-26,1658,0.7
2022-01-26,2330,1.9
2022-01-27,0543,0.7
2022-01-27,1209,1.9
2022-01-27,1824,0.6
2022-01-28,0058,1.9
2022-01-28,0658,0.6
2022-01-28,1326,2.0
2022-01-28,1938,0.5
2022-01-29,0211,2.0
2022-01-29,0802,0.5
2022-01-29,1434,2.2
2022-01-29,2038,0.3
2022-01-30,0313,2.2
2022-01-30,0856,0.4
2022-01-30,1528,2.4
2022-01-30,2128,0.2
2022-01-31,0406,2.3
2022-01-31,0947,0.3
2022-01-31,1619,2.5
2022-01-31,2215,0.0
2022-02-01,0454,2.3
2022-02-01,1030,0.2
2022-02-01,1704,2.6
2022-02-01,2300,0.0
2022-02-02,0538,2.4
2022-02-02,1111,0.2
2022-02-02,1749,2.5
2022-02-02,2343,0.0
2022-02-03,0617,2.3
2022-02-03,1154,0.2
2022-02-03,1828,2.5
2022-02-04,0023,0.1
2022-02-04,0656,2.2
2022-02-04,1234,0.3
2022-02-04,1906,2.3
2022-02-05,0102,0.3
2022-02-05,0734,2.1
2022-02-05,1313,0.4
2022-02-05,1945,2.2
2022-02-06,0141,0.4
2022-02-06,0811,2.0
2022-02-06,1356,0.6
2022-02-06,2026,2.0
2022-02-07,0221,0.6
2022-02-07,0854,1.9
2022-02-07,1443,0.7
2022-02-07,2111,1.9
2022-02-08,0308,0.8
2022-02-08,0947,1.8
2022-02-08,1545,0.8
2022-02-08,2211,1.7
2022-02-09,0415,0.9
2022-02-09,1053,1.7
2022-02-09,1715,0.9
2022-02-09,2326,1.7
2022-02-10,0543,0.9
2022-02-10,1208,1.7
2022-02-10,1843,0.9
2022-02-11,0047,1.7
2022-02-11,0700,0.9
2022-02-11,1317,1.8
2022-02-11,1945,0.8
2022-02-12,0153,1.8
2022-02-12,0756,0.8
2022-02-12,1413,1.9
2022-02-12,2030,0.6
2022-02-13,0243,1.9
2022-02-13,0838,0.7
2022-02-13,1458,2.1
2022-02-13,2108,0.5
2022-02-14,0324,2.0
2022-02-14,0911,0.6
2022-02-14,1538,2.2
2022-02-14,2141,0.4
2022-02-15,0402,2.1
2022-02-15,0947,0.5
2022-02-15,1611,2.3
2022-02-15,2211,0.3
2022-02-16,0438,2.2
2022-02-16,1015,0.4
2022-02-16,1647,2.3
2022-02-16,2245,0.2
2022-02-17,0508,2.2
2022-02-17,1049,0.3
2022-02-17,1717,2.4
2022-02-17,2315,0.2
2022-02-18,0541,2.2
2022-02-18,1121,0.3
2022-02-18,1751,2.4
2022-02-18,2349,0.2
2022-02-19,0613,2.2
2022-02-19,1156,0.3
2022-02-19,1824,2.3
2022-02-20,0023,0.2
2022-02-20,0649,2.2
2022-02-20,1234,0.3
2022-02-20,1902,2.3
2022-02-21,0102,0.3
2022-02-21,0726,2.1
2022-02-21,1313,0.4
2022-02-21,1947,2.2
2022-02-22,0145,0.5
2022-02-22,0811,2.0
2022-02-22,1402,0.5
2022-02-22,2038,2.0
2022-02-23,0236,0.6
2022-02-23,0906,1.9
2022-02-23,1504,0.7
2022-02-23,2143,1.9
2022-02-24,0349,0.8
2022-02-24,1017,1.8
2022-02-24,1638,0.7
2022-02-24,2313,1.8
2022-02-25,0528,0.8
2022-02-25,1151,1.8
2022-02-25,1821,0.7
2022-02-26,0054,1.8
2022-02-26,0654,0.7
2022-02-26,1319,2.0
2022-02-26,1938,0.5
2022-02-27,0209,2.0
2022-02-27,0758,0.6
2022-02-27,1426,2.2
2022-02-27,2032,0.3
2022-02-28,0306,2.1
2022-02-28,0849,0.4
2022-02-28,1519,2.4
2022-02-28,2119,0.2
2022-03-01,0356,2.3
2022-03-01,0932,0.3
2022-03-01,1604,2.5
2022-03-01,2200,0.1
2022-03-02,0438,2.4
2022-03-02,1011,0.2
2022-03-02,1649,2.6
2022-03-02,2239,0.0
2022-03-03,0513,2.4
2022-03-03,1053,0.1
2022-03-03,1724,2.5
2022-03-03,2315,0.1
2022-03-04,0551,2.3
2022-03-04,1126,0.2
2022-03-04,1800,2.5
2022-03-04,2353,0.2
2022-03-05,0623,2.3
2022-03-05,1202,0.2
2022-03-05,1836,2.3
2022-03-06,0023,0.3
2022-03-06,0654,2.2
2022-03-06,1239,0.4
2022-03-06,1908,2.2
2022-03-07,0058,0.4
2022-03-07,0726,2.0
2022-03-07,1313,0.5
2022-03-07,1943,2.0
2022-03-08,0130,0.6
2022-03-08,0802,1.9
2022-03-08,1356,0.7
2022-03-08,2023,1.8
2022-03-09,0208,0.8
2022-03-09,0847,1.8
2022-03-09,1447,0.8
2022-03-09,2117,1.7
2022-03-10,0302,0.9
2022-03-10,0949,1.7
2022-03-10,1617,0.9
2022-03-10,2232,1.6
2022-03-11,0441,1.0
2022-03-11,1111,1.7
2022-03-11,1806,0.9
2022-03-12,0004,1.6
2022-03-12,0628,1.0
2022-03-12,1241,1.7
2022-03-12,1915,0.8
2022-03-13,0123,1.7
2022-03-13,0728,0.9
2022-03-13,1345,1.9
2022-03-13,2002,0.7
2022-03-14,0215,1.8
2022-03-14,0809,0.7
2022-03-14,1432,2.0
2022-03-14,2039,0.5
2022-03-15,0300,2.0
2022-03-15,0847,0.6
2022-03-15,1509,2.1
2022-03-15,2109,0.4
2022-03-16,0336,2.1
2022-03-16,0917,0.4
2022-03-16,1547,2.3
2022-03-16,2143,0.2
2022-03-17,0408,2.2
2022-03-17,0951,0.3
2022-03-17,1621,2.4
2022-03-17,2213,0.1
2022-03-18,0443,2.3
2022-03-18,1021,0.2
2022-03-18,1654,2.4
2022-03-18,2247,0.1
2022-03-19,0513,2.4
2022-03-19,1058,0.1
2022-03-19,1728,2.5
2022-03-19,2321,0.1
2022-03-20,0549,2.4
2022-03-20,1134,0.1
2022-03-20,1806,2.4
2022-03-20,2358,0.2
2022-03-21,0624,2.3
2022-03-21,1211,0.2
2022-03-21,1845,2.3
2022-03-22,0038,0.3
2022-03-22,0704,2.2
2022-03-22,1256,0.3
2022-03-22,1930,2.2
2022-03-23,0121,0.5
2022-03-23,0751,2.1
2022-03-23,1347,0.5
2022-03-23,2024,2.0
2022-03-24,0215,0.7
2022-03-24,0849,1.9
2022-03-24,1456,0.7
2022-03-24,2138,1.8
2022-03-25,0338,0.8
2022-03-25,1004,1.8
2022-03-25,1643,0.7
2022-03-25,2315,1.7
2022-03-26,0528,0.9
2022-03-26,1145,1.8
2022-03-26,1821,0.7
2022-03-27,0054,1.8
2022-03-27,0649,0.7
2022-03-27,1309,2.0
2022-03-27,1926,0.5
2022-03-28,0200,2.0
2022-03-28,0747,0.6
2022-03-28,1411,2.2
2022-03-28,2015,0.3
2022-03-29,0253,2.1
2022-03-29,0832,0.4
2022-03-29,1502,2.3
2022-03-29,2100,0.2
2022-03-30,0334,2.3
2022-03-30,0909,0.3
2022-03-30,1545,2.4
2022-03-30,2138,0.1
2022-03-31,0409,2.3
2022-03-31,0951,0.2
2022-03-31,1623,2.5
2022-03-31,2211,0.1
2022-04-01,0447,2.4
2022-04-01,1024,0.2
2022-04-01,1658,2.5
2022-04-01,2245,0.2
2022-04-02,0517,2.3
2022-04-02,1100,0.2
2022-04-02,1732,2.4
2022-04-02,2315,0.2
2022-04-03,0549,2.3
2022-04-03,1134,0.2
2022-04-03,1802,2.3
2022-04-03,2349,0.3
2022-04-04,0617,2.2
2022-04-04,1206,0.4
2022-04-04,1836,2.1
2022-04-05,0019,0.5
2022-04-05,0647,2.1
2022-04-05,1243,0.5
2022-04-05,1908,2.0
2022-04-06,0053,0.6
2022-04-06,0721,2.0
2022-04-06,1319,0.6
2022-04-06,1949,1.8
2022-04-07,0126,0.8
2022-04-07,0804,1.9
2022-04-07,1408,0.8
2022-04-07,2038,1.7
2022-04-08,0213,0.9
2022-04-08,0858,1.7
2022-04-08,1524,0.9
2022-04-08,2145,1.6
2022-04-09,0339,1.0
2022-04-09,1013,1.7
2022-04-09,1717,0.9
2022-04-09,2315,1.6
2022-04-10,0539,1.0
2022-04-10,1147,1.7
2022-04-10,1830,0.8
2022-04-11,0041,1.7
2022-04-11,0647,0.9
2022-04-11,1300,1.8
2022-04-11,1917,0.7
2022-04-12,0139,1.8
2022-04-12,0730,0.7
2022-04-12,1353,2.0
2022-04-12,1958,0.5
2022-04-13,0221,2.0
2022-04-13,0806,0.6
2022-04-13,1436,2.1
2022-04-13,2032,0.4
2022-04-14,0300,2.1
2022-04-14,0843,0.4
2022-04-14,1513,2.3
2022-04-14,2104,0.2
2022-04-15,0336,2.3
2022-04-15,0917,0.2
2022-04-15,1551,2.4
2022-04-15,2141,0.1
2022-04-16,0409,2.4
2022-04-16,0954,0.1
2022-04-16,1628,2.5
2022-04-16,2217,0.1
2022-04-17,0447,2.4
2022-04-17,1034,0.1
2022-04-17,1706,2.5
2022-04-17,2256,0.1
2022-04-18,0524,2.4
2022-04-18,1113,0.1
2022-04-18,1749,2.4
2022-04-18,2338,0.2
2022-04-19,0604,2.4
2022-04-19,1158,0.2
2022-04-19,1834,2.3
2022-04-20,0019,0.3
2022-04-20,0649,2.3
2022-04-20,1247,0.3
2022-04-20,1924,2.1
2022-04-21,0109,0.5
2022-04-21,0741,2.1
2022-04-21,1345,0.5
2022-04-21,2024,1.9
2022-04-22,0211,0.7
2022-04-22,0843,2.0
2022-04-22,1504,0.6
2022-04-22,2143,1.8
2022-04-23,0341,0.8
2022-04-23,1002,1.9
2022-04-23,1641,0.7
2022-04-23,2313,1.8
2022-04-24,0515,0.8
2022-04-24,1134,1.9
2022-04-24,1802,0.6
2022-04-25,0036,1.9
2022-04-25,0626,0.7
2022-04-25,1251,2.0
2022-04-25,1902,0.5
2022-04-26,0136,2.0
2022-04-26,0719,0.6
2022-04-26,1349,2.1
2022-04-26,1951,0.4
2022-04-27,0221,2.1
2022-04-27,0804,0.4
2022-04-27,1436,2.2
2022-04-27,2030,0.3
2022-04-28,0302,2.2
2022-04-28,0847,0.3
2022-04-28,1515,2.3
2022-04-28,2106,0.3
2022-04-29,0339,2.3
2022-04-29,0921,0.3
2022-04-29,1554,2.3
2022-04-29,2141,0.3
2022-04-30,0411,2.3
2022-04-30,0958,0.2
2022-04-30,1630,2.3
2022-04-30,2211,0.3
2022-05-01,0447,2.3
2022-05-01,1032,0.2
2022-05-01,1702,2.2
2022-05-01,2247,0.3
2022-05-02,0515,2.2
2022-05-02,1106,0.3
2022-05-02,1736,2.2
2022-05-02,2317,0.4
2022-05-03,0547,2.2
2022-05-03,1143,0.4
2022-05-03,1806,2.1
2022-05-03,2351,0.5
2022-05-04,0617,2.1
2022-05-04,1217,0.5
2022-05-04,1841,1.9
2022-05-05,0023,0.6
2022-05-05,0653,2.0
2022-05-05,1258,0.6
2022-05-05,1921,1.8
2022-05-06,0100,0.8
2022-05-06,0734,1.9
2022-05-06,1345,0.7
2022-05-06,2008,1.7
2022-05-07,0149,0.9
2022-05-07,0823,1.8
2022-05-07,1449,0.8
2022-05-07,2108,1.7
2022-05-08,0256,1.0
2022-05-08,0926,1.7
2022-05-08,1615,0.8
2022-05-08,2223,1.6
2022-05-09,0432,1.0
2022-05-09,1045,1.7
2022-05-09,1730,0.8
2022-05-09,2341,1.7
2022-05-10,0547,0.9
2022-05-10,1200,1.8
2022-05-10,1823,0.7
2022-05-11,0045,1.8
2022-05-11,0639,0.7
2022-05-11,1300,1.9
2022-05-11,1908,0.5
2022-05-12,0134,2.0
2022-05-12,0723,0.6
2022-05-12,1351,2.1
2022-05-12,1949,0.4
