data,hora,mare
0101,0102,0.4
0101,0253,0.3
0101,0547,0.5
0101,1019,0.0
0101,1313,0.1
0101,1551,0.1
0101,1845,0.2
0101,2128,0.1
0102,0154,0.4
0102,0349,0.3
0102,0651,0.6
0102,1115,0.0
0102,1356,0.2
0102,1649,0.0
0102,1951,0.2
0102,2234,0.1
0103,0239,0.4
0103,0436,0.3
0103,0751,0.6
0103,1208,0.1
0103,1436,0.2
0103,1741,0.1
0103,2051,0.2
0103,2338,0.1
0104,0319,0.4
0104,0515,0.3
0104,0849,0.6
0104,1302,0.1
0104,1509,0.2
0104,1828,0.1
0104,2153,0.2
0105,0043,0.0
0105,0406,0.3
0105,0602,0.2
0105,0949,0.6
0105,1400,0.2
0105,1558,0.3
0105,1917,0.1
0105,2253,0.2
0106,0151,0.0
0106,0500,0.3
0106,0656,0.2
0106,1051,0.6
0106,1456,0.2
0106,1645,0.3
0106,2009,0.1
0106,2353,0.2
0107,0254,0.0
0107,0553,0.2
0107,0747,0.2
0107,1158,0.6
0107,1553,0.3
0107,1728,0.3
0107,2102,0.0
0108,0047,0.2
0108,0356,0.0
0108,0634,0.2
0108,0836,0.1
0108,1302,0.5
0108,1643,0.3
0108,1815,0.3
0108,2158,0.0
0109,0138,0.3
0109,0454,0.1
0109,0709,0.2
0109,0923,0.1
0109,1402,0.5
0109,1724,0.3
0109,1909,0.3
0109,2249,0.1
0110,0221,0.3
0110,0554,0.1
0110,0754,0.1
0110,1013,0.1
0110,1500,0.4
0110,1808,0.3
0110,2011,0.3
0110,2341,0.2
0111,0306,0.3
0111,0704,0.1
0111,0808,0.1
0111,1109,0.1
0111,1556,0.3
0111,1854,0.2
0111,2147,0.3
0112,0051,0.2
0112,0358,0.3
0112,1228,0.1
0112,1653,0.2
0112,1921,0.2
0112,2338,0.3
0113,0204,0.3
0113,0451,0.3
0113,1415,0.1
0113,1800,0.2
0113,1949,0.2
0114,0039,0.3
0114,0306,0.3
0114,0541,0.3
0114,1034,0.2
0114,1202,0.2
0114,1545,0.1
0115,0115,0.4
0115,0356,0.3
0115,0623,0.3
0115,1056,0.2
0115,1256,0.2
0115,1641,0.1
0116,0158,0.4
0116,0424,0.3
0116,0702,0.4
0116,1115,0.2
0116,1338,0.3
0116,1721,0.0
0117,0232,0.4
0117,0500,0.3
0117,0738,0.4
0117,1153,0.2
0117,1408,0.3
0117,1800,0.0
0118,0306,0.4
0118,0536,0.3
0118,0806,0.4
0118,1223,0.2
0118,1449,0.3
0118,1834,0.0
0119,0353,0.4
0119,0604,0.3
0119,0847,0.4
0119,1302,0.2
0119,1517,0.3
0119,1906,0.0
0120,0426,0.3
0120,0643,0.3
0120,0915,0.4
0120,1354,0.3
0120,1553,0.3
0120,1939,0.0
0121,0508,0.3
0121,0704,0.3
0121,1000,0.4
0121,1449,0.3
0121,1621,0.3
0121,2006,0.1
0121,2300,0.1
0122,0045,0.1
0122,0558,0.3
0122,0743,0.3
0122,1051,0.4
0122,1524,0.3
0122,1656,0.3
0122,2039,0.1
0122,2315,0.2
0123,0249,0.1
0123,0641,0.3
0123,0804,0.2
0123,1139,0.4
0123,1600,0.3
0123,1747,0.3
0123,2106,0.1
0123,2356,0.2
0124,0351,0.1
0124,0711,0.2
0124,0851,0.2
0124,1230,0.4
0124,1628,0.2
0124,1843,0.3
0124,2145,0.2
0125,0038,0.3
0125,0447,0.0
0125,0758,0.2
0125,0923,0.2
0125,1319,0.4
0125,1702,0.2
0125,1943,0.3
0125,2211,0.2
0126,0119,0.4
0126,0545,0.0
0126,0845,0.1
0126,1002,0.1
0126,1409,0.4
0126,1745,0.2
0126,2051,0.3
0126,2253,0.3
0127,0209,0.4
0127,0645,0.0
0127,1051,0.1
0127,1502,0.3
0127,1824,0.1
0127,2219,0.3
0128,0308,0.5
0128,0756,0.0
0128,1147,0.1
0128,1600,0.3
0128,1913,0.1
0129,0413,0.5
0129,0904,0.0
0129,1204,0.1
0129,1406,0.1
0129,1704,0.2
0129,2008,0.1
0130,0106,0.4
0130,0523,0.5
0130,1004,0.1
0130,1253,0.2
0130,1541,0.0
0130,1813,0.2
0130,2108,0.0
0131,0149,0.4
0131,0315,0.4
0131,0632,0.6
0131,1058,0.1
0131,1332,0.2
0131,1643,0.0
0131,1923,0.1
0131,2211,0.0
0201,0219,0.4
0201,0411,0.3
0201,0736,0.6
0201,1151,0.1
0201,1408,0.3
0201,1734,0.1
0201,2028,0.1
0201,2315,0.0
0202,0302,0.3
0202,0502,0.2
0202,0838,0.6
0202,1239,0.2
0202,1456,0.3
0202,1819,0.1
0202,2132,0.1
0203,0021,0.0
0203,0351,0.3
0203,0556,0.2
0203,0939,0.6
0203,1330,0.3
0203,1539,0.3
0203,1908,0.0
0203,2234,0.2
0204,0132,0.1
0204,0426,0.2
0204,0647,0.1
0204,1049,0.5
0204,1421,0.3
0204,1617,0.4
0204,1958,0.0
0204,2334,0.2
0205,0241,0.1
0205,0506,0.2
0205,0730,0.1
0205,1156,0.5
0205,1515,0.3
0205,1704,0.3
0205,2043,0.1
0206,0023,0.3
0206,0347,0.1
0206,0553,0.2
0206,0815,0.0
0206,1300,0.5
0206,1608,0.3
0206,1758,0.3
0206,2121,0.1
0207,0108,0.3
0207,0449,0.1
0207,0617,0.1
0207,0904,0.0
0207,1354,0.4
0207,1700,0.3
0207,1858,0.3
0207,2200,0.2
0208,0153,0.3
0208,0651,0.1
0208,0954,0.0
0208,1441,0.3
0208,1741,0.2
0208,2002,0.3
0208,2224,0.2
0209,0226,0.4
0209,1041,0.0
0209,1515,0.3
0209,1806,0.2
0210,0256,0.4
0210,1130,0.1
0210,1553,0.2
0210,1839,0.2
0211,0326,0.4
0211,1315,0.1
0211,1611,0.2
0211,1900,0.1
0212,0402,0.4
0212,1013,0.2
0212,1651,0.1
0212,1911,0.1
0213,0115,0.4
0213,0324,0.3
0213,0500,0.4
0213,1013,0.2
0213,1236,0.2
0213,1653,0.1
0214,0145,0.4
0214,0408,0.3
0214,0602,0.3
0214,1045,0.2
0214,1309,0.3
0214,1721,0.1
0215,0209,0.4
0215,0454,0.3
0215,0658,0.3
0215,1108,0.2
0215,1353,0.3
0215,1753,0.0
0216,0251,0.4
0216,0517,0.3
0216,0743,0.3
0216,1149,0.2
0216,1423,0.3
0216,1815,0.0
0217,0317,0.4
0217,0556,0.3
0217,0819,0.3
0217,1221,0.3
0217,1456,0.3
0217,1847,0.0
0218,0400,0.3
0218,0617,0.3
0218,0906,0.3
0218,1258,0.3
0218,1524,0.3
0218,1908,0.1
0218,2141,0.1
0218,2339,0.1
0219,0439,0.3
0219,0654,0.2
0219,0958,0.3
0219,1351,0.3
0219,1554,0.3
0219,1938,0.1
0219,2206,0.2
0220,0136,0.1
0220,0509,0.2
0220,0717,0.2
0220,1051,0.4
0220,1445,0.3
0220,1638,0.3
0220,2002,0.1
0220,2253,0.2
0221,0253,0.1
0221,0556,0.2
0221,0758,0.1
0221,1143,0.4
0221,1521,0.3
0221,1728,0.3
0221,2036,0.2
0221,2334,0.3
0222,0354,0.1
0222,0634,0.2
0222,0839,0.1
0222,1234,0.4
0222,1602,0.2
0222,1828,0.3
0222,2104,0.2
0223,0017,0.4
0223,0451,0.0
0223,0708,0.1
0223,0917,0.1
0223,1317,0.4
0223,1649,0.2
0223,1938,0.3
0223,2147,0.2
0224,0108,0.5
0224,0545,0.0
0224,0800,0.1
0224,1004,0.0
0224,1404,0.3
0224,1726,0.1
0224,2053,0.3
0224,2213,0.3
0225,0202,0.5
0225,0643,0.0
0225,0854,0.1
0225,1100,0.0
0225,1456,0.3
0225,1809,0.1
0226,0300,0.6
0226,0747,0.1
0226,1000,0.1
0226,1211,0.1
0226,1551,0.2
0226,1900,0.0
0227,0402,0.6
0227,0851,0.1
0227,1119,0.1
0227,1404,0.1
0227,1653,0.2
0227,1956,0.0
0228,0509,0.6
0228,0947,0.1
0228,1217,0.2
0228,1536,0.0
0228,1800,0.1
0228,2056,0.0
0301,0126,0.4
0301,0302,0.3
0301,0619,0.6
0301,1036,0.2
0301,1304,0.3
0301,1636,0.0
0301,1909,0.1
0301,2200,0.0
0302,0202,0.3
0302,0402,0.3
0302,0726,0.5
0302,1119,0.2
0302,1354,0.3
0302,1723,0.0
0302,2015,0.1
0302,2304,0.0
0303,0245,0.3
0303,0458,0.2
0303,0834,0.5
0303,1206,0.3
0303,1438,0.4
0303,1808,0.0
0303,2117,0.2
0304,0009,0.1
0304,0315,0.3
0304,0551,0.1
0304,0941,0.5
0304,1300,0.3
0304,1515,0.4
0304,1856,0.0
0304,2215,0.2
0305,0115,0.1
0305,0358,0.2
0305,0634,0.1
0305,1053,0.4
0305,1356,0.3
0305,1600,0.4
0305,1934,0.1
0305,2308,0.3
0306,0224,0.1
0306,0434,0.2
0306,0713,0.0
0306,1158,0.4
0306,1454,0.3
0306,1653,0.4
0306,2008,0.1
0306,2356,0.3
0307,0338,0.1
0307,0500,0.2
0307,0802,0.0
0307,1256,0.4
0307,1547,0.3
0307,1747,0.3
0307,2043,0.2
0308,0038,0.3
0308,0849,0.0
0308,1341,0.3
0308,1621,0.2
0308,1847,0.3
0308,2102,0.2
0309,0104,0.4
0309,0926,0.0
0309,1408,0.3
0309,1700,0.2
0309,2000,0.3
0309,2108,0.3
0310,0128,0.4
0310,1008,0.0
0310,1436,0.2
0310,1734,0.1
0311,0151,0.4
0311,1056,0.1
0311,1451,0.2
0311,1758,0.1
0312,0213,0.4
0312,1154,0.1
0312,1456,0.2
0312,1823,0.1
0313,0232,0.4
0313,1851,0.1
0314,0117,0.4
0314,0930,0.2
0314,1204,0.2
0314,1909,0.1
0315,0123,0.4
0315,0956,0.2
0315,1253,0.3
0315,1939,0.1
0316,0154,0.4
0316,0451,0.3
0316,0600,0.3
0316,1028,0.2
0316,1324,0.3
0316,1738,0.1
0317,0219,0.4
0317,0504,0.3
0317,0706,0.3
0317,1054,0.2
0317,1358,0.3
0317,1756,0.1
0317,1947,0.1
0317,2132,0.1
0318,0258,0.3
0318,0532,0.2
0318,0802,0.3
0318,1117,0.3
0318,1430,0.3
0318,1808,0.1
0318,2011,0.1
0318,2302,0.1
0319,0326,0.3
0319,0600,0.2
0319,0858,0.3
0319,1134,0.3
0319,1500,0.4
0319,1832,0.1
0319,2058,0.2
0320,0026,0.1
0320,0400,0.3
0320,0624,0.2
0320,0951,0.3
0320,1228,0.3
0320,1541,0.3
0320,1858,0.1
0320,2141,0.3
0321,0145,0.1
0321,0439,0.2
0321,0700,0.1
0321,1045,0.3
0321,1347,0.3
0321,1623,0.3
0321,1924,0.2
0321,2221,0.4
0322,0251,0.1
0322,0508,0.1
0322,0745,0.0
0322,1138,0.3
0322,1453,0.3
0322,1717,0.3
0322,2000,0.2
0322,2311,0.4
0323,0351,0.1
0323,0558,0.1
0323,0824,0.0
0323,1224,0.3
0323,1545,0.2
0323,1823,0.3
0323,2039,0.2
0324,0004,0.5
0324,0447,0.0
0324,0645,0.1
0324,0909,0.0
0324,1309,0.3
0324,1626,0.1
0324,1936,0.3
0324,2108,0.3
0325,0058,0.6
0325,0538,0.0
0325,0724,0.1
0325,1004,0.0
0325,1358,0.3
0325,1709,0.1
0325,2151,0.3
0326,0154,0.6
0326,0628,0.1
0326,0815,0.1
0326,1102,0.0
0326,1447,0.2
0326,1800,0.0
0327,0253,0.6
0327,0724,0.1
0327,0921,0.1
0327,1221,0.0
0327,1539,0.2
0327,1851,0.0
0328,0356,0.6
0328,0824,0.1
0328,1047,0.2
0328,1402,0.1
0328,1641,0.1
0328,1943,0.0
0329,0504,0.5
0329,0919,0.2
0329,1154,0.3
0329,1524,0.0
0329,1756,0.1
0329,2047,0.0
0330,0102,0.3
0330,0258,0.3
0330,0615,0.5
0330,1008,0.2
0330,1251,0.3
0330,1623,0.0
0330,1906,0.1
0330,2156,0.1
0331,0143,0.3
0331,0400,0.2
0331,0728,0.4
0331,1058,0.3
0331,1338,0.4
0331,1709,0.0
0331,2009,0.2
0331,2302,0.1
0401,0209,0.3
0401,0454,0.1
0401,0841,0.4
0401,1147,0.3
0401,1417,0.4
0401,1758,0.1
0401,2106,0.2
0402,0006,0.1
0402,0253,0.2
0402,0541,0.0
0402,0953,0.4
0402,1230,0.3
0402,1502,0.4
0402,1832,0.1
0402,2158,0.3
0403,0109,0.1
0403,0319,0.2
0403,0621,0.0
0403,1100,0.3
0403,1315,0.3
0403,1553,0.4
0403,1904,0.2
0403,2241,0.3
0404,0213,0.2
0404,0354,0.2
0404,0704,0.0
0404,1200,0.3
0404,1408,0.3
0404,1639,0.3
0404,1930,0.2
0404,2313,0.3
0405,0319,0.2
0405,0749,0.0
0405,1251,0.3
0405,1502,0.2
0405,1728,0.3
0405,1956,0.2
0405,2339,0.4
0406,0824,0.0
0406,1317,0.3
0406,1553,0.2
0406,1836,0.3
0406,2004,0.3
0407,0002,0.4
0407,0904,0.0
0407,1341,0.2
0407,1619,0.2
0408,0026,0.4
0408,0951,0.0
0408,1353,0.2
0408,1656,0.1
0409,0058,0.4
0409,1026,0.1
0409,1402,0.2
0409,1721,0.1
0410,0124,0.4
0410,0754,0.2
0410,1113,0.1
0410,1408,0.2
0410,1751,0.1
0411,0147,0.4
0411,0721,0.2
0411,0858,0.2
0411,1813,0.1
0412,0128,0.4
0412,0802,0.2
0412,1113,0.2
0412,1849,0.1
0413,0111,0.4
0413,0834,0.2
0413,1215,0.3
0413,1928,0.1
