data,hora,mare
2022-01-01,0211,1.2
2022-01-01,0830,0.2
2022-01-01,1330,1.0
2022-01-01,2034,0.0
2022-01-02,0254,1.2
2022-01-02,0917,0.2
2022-01-02,1315,1.1
2022-01-02,2123,0.1
2022-01-03,0330,1.2
2022-01-03,1004,0.3
2022-01-03,1354,1.1
2022-01-03,2209,0.1
2022-01-04,0239,1.1
2022-01-04,1054,0.3
2022-01-04,1428,1.2
2022-01-04,2258,0.0
2022-01-05,0317,1.1
2022-01-05,1139,0.4
2022-01-05,1511,1.2
2022-01-05,2345,0.0
2022-01-06,0400,1.0
2022-01-06,1217,0.5
2022-01-06,1600,1.2
2022-01-07,0024,0.1
2022-01-07,0441,1.0
2022-01-07,0806,0.7
2022-01-07,0928,0.8
2022-01-07,1300,0.6
2022-01-07,1649,1.1
2022-01-08,0106,0.3
2022-01-08,0521,0.9
2022-01-08,0821,0.7
2022-01-08,1024,0.7
2022-01-08,1347,0.6
2022-01-08,1736,1.0
2022-01-09,0151,0.4
2022-01-09,0608,0.9
2022-01-09,0900,0.7
2022-01-09,1102,0.7
2022-01-09,1430,0.6
2022-01-09,1830,1.0
2022-01-10,0236,0.4
2022-01-10,0704,0.8
2022-01-10,0945,0.7
2022-01-10,1138,0.7
2022-01-10,1523,0.6
2022-01-10,1947,0.9
2022-01-11,0332,0.5
2022-01-11,0819,0.8
2022-01-11,1017,0.7
2022-01-11,1158,0.7
2022-01-11,1628,0.6
2022-01-11,2126,0.9
2022-01-12,0441,0.5
2022-01-12,1006,0.8
2022-01-12,1736,0.5
2022-01-12,2321,0.9
2022-01-13,0628,0.5
2022-01-13,1113,0.9
2022-01-13,1838,0.4
2022-01-14,0021,1.0
2022-01-14,0723,0.5
2022-01-14,1202,0.9
2022-01-14,1928,0.3
2022-01-15,0106,1.1
2022-01-15,0800,0.4
2022-01-15,1239,1.0
2022-01-15,2006,0.2
2022-01-16,0141,1.1
2022-01-16,0841,0.4
2022-01-16,1319,1.1
2022-01-16,2045,0.1
2022-01-17,0224,1.2
2022-01-17,0913,0.4
2022-01-17,1356,1.1
2022-01-17,2123,0.1
2022-01-18,0302,1.2
2022-01-18,0954,0.4
2022-01-18,1428,1.1
2022-01-18,2200,0.1
2022-01-19,0339,1.2
2022-01-19,1030,0.4
2022-01-19,1456,1.1
2022-01-19,2241,0.1
2022-01-20,0415,1.1
2022-01-20,1104,0.4
2022-01-20,1521,1.2
2022-01-20,2317,0.1
2022-01-21,0436,1.1
2022-01-21,1147,0.4
2022-01-21,1551,1.2
2022-01-21,2358,0.1
2022-01-22,0449,1.0
2022-01-22,1221,0.5
2022-01-22,1621,1.2
2022-01-23,0045,0.2
2022-01-23,0509,0.9
2022-01-23,1302,0.5
2022-01-23,1704,1.1
2022-01-24,0138,0.3
2022-01-24,0545,0.9
2022-01-24,1356,0.5
2022-01-24,1754,1.1
2022-01-25,0241,0.3
2022-01-25,0621,0.8
2022-01-25,0828,0.7
2022-01-25,1023,0.8
2022-01-25,1458,0.5
2022-01-25,1854,1.0
2022-01-26,0353,0.4
2022-01-26,0719,0.7
2022-01-26,0858,0.7
2022-01-26,1124,0.8
2022-01-26,1602,0.4
2022-01-26,2011,0.9
2022-01-26,2119,0.9
2022-01-26,2347,0.9
2022-01-27,0504,0.4
2022-01-27,1211,0.8
2022-01-27,1711,0.3
2022-01-28,0049,1.1
2022-01-28,0619,0.4
2022-01-28,1258,0.9
2022-01-28,1823,0.2
2022-01-29,0141,1.1
2022-01-29,0723,0.3
2022-01-29,1336,1.0
2022-01-29,1926,0.1
2022-01-30,0224,1.2
2022-01-30,0815,0.3
2022-01-30,1345,1.0
2022-01-30,2021,0.1
2022-01-31,0302,1.2
2022-01-31,0902,0.3
2022-01-31,1313,1.1
2022-01-31,2108,0.1
2022-02-01,0336,1.2
2022-02-01,0953,0.3
2022-02-01,1345,1.2
2022-02-01,2156,0.1
2022-02-02,0238,1.1
2022-02-02,1032,0.3
2022-02-02,1423,1.2
2022-02-02,2241,0.1
2022-02-03,0309,1.1
2022-02-03,1106,0.4
2022-02-03,1506,1.3
2022-02-03,2317,0.0
2022-02-04,0341,1.1
2022-02-04,1147,0.4
2022-02-04,1551,1.3
2022-02-04,2354,0.1
2022-02-05,0415,1.0
2022-02-05,1211,0.5
2022-02-05,1628,1.2
2022-02-06,0023,0.3
2022-02-06,0456,1.0
2022-02-06,1230,0.5
2022-02-06,1709,1.1
2022-02-07,0047,0.4
2022-02-07,0532,0.9
2022-02-07,1245,0.5
2022-02-07,1758,1.0
2022-02-08,0117,0.5
2022-02-08,0608,0.9
2022-02-08,0958,0.6
2022-02-08,1109,0.6
2022-02-08,1336,0.6
2022-02-08,1854,0.9
2022-02-09,0213,0.6
2022-02-09,0700,0.8
2022-02-09,1023,0.6
2022-02-09,1156,0.6
2022-02-09,1454,0.6
2022-02-09,2026,0.8
2022-02-09,2351,0.8
2022-02-10,0338,0.6
2022-02-10,0847,0.7
2022-02-10,1102,0.7
2022-02-10,1213,0.7
2022-02-10,1619,0.5
2022-02-11,0036,0.9
2022-02-11,0628,0.6
2022-02-11,1106,0.8
2022-02-11,1808,0.4
2022-02-12,0058,1.0
2022-02-12,0717,0.5
2022-02-12,1202,0.9
2022-02-12,1904,0.3
2022-02-13,0124,1.1
2022-02-13,0749,0.4
2022-02-13,1239,1.0
2022-02-13,1945,0.2
2022-02-14,0149,1.2
2022-02-14,0821,0.4
2022-02-14,1317,1.1
2022-02-14,2024,0.1
2022-02-15,0224,1.2
2022-02-15,0856,0.3
2022-02-15,1353,1.1
2022-02-15,2102,0.0
2022-02-16,0256,1.2
2022-02-16,0930,0.3
2022-02-16,1424,1.2
2022-02-16,2143,0.0
2022-02-17,0332,1.2
2022-02-17,1002,0.3
2022-02-17,1447,1.2
2022-02-17,2217,0.0
2022-02-18,0358,1.2
2022-02-18,1041,0.3
2022-02-18,1509,1.2
2022-02-18,2256,0.0
2022-02-19,0417,1.1
2022-02-19,1111,0.3
2022-02-19,1532,1.3
2022-02-19,2339,0.1
2022-02-20,0411,1.0
2022-02-20,1151,0.4
2022-02-20,1604,1.2
2022-02-21,0019,0.2
2022-02-21,0430,1.0
2022-02-21,1232,0.4
2022-02-21,1647,1.2
2022-02-22,0109,0.3
2022-02-22,0502,0.9
2022-02-22,1319,0.4
2022-02-22,1726,1.1
2022-02-23,0215,0.5
2022-02-23,0547,0.9
2022-02-23,0854,0.6
2022-02-23,1009,0.6
2022-02-23,1426,0.4
2022-02-23,1817,1.0
2022-02-23,2106,0.8
2022-02-23,2256,0.8
2022-02-24,0338,0.5
2022-02-24,0636,0.8
2022-02-24,0908,0.6
2022-02-24,1121,0.7
2022-02-24,1543,0.4
2022-02-24,1928,0.9
2022-02-24,2111,0.8
2022-02-25,0006,0.9
2022-02-25,0458,0.5
2022-02-25,0749,0.7
2022-02-25,0945,0.6
2022-02-25,1208,0.8
2022-02-25,1658,0.3
2022-02-26,0100,1.1
2022-02-26,0609,0.5
2022-02-26,1253,0.9
2022-02-26,1808,0.2
2022-02-27,0147,1.1
2022-02-27,0709,0.4
2022-02-27,1321,0.9
2022-02-27,1911,0.0
2022-02-28,0217,1.2
2022-02-28,0800,0.3
2022-02-28,1339,1.0
2022-02-28,2004,0.1
2022-03-01,0253,1.2
2022-03-01,0849,0.3
2022-03-01,1315,1.1
2022-03-01,2054,0.1
2022-03-02,0304,1.2
2022-03-02,0926,0.2
2022-03-02,1336,1.2
2022-03-02,2139,0.1
2022-03-03,0226,1.1
2022-03-03,1002,0.2
2022-03-03,1413,1.3
2022-03-03,2215,0.0
2022-03-04,0247,1.1
2022-03-04,1041,0.3
2022-03-04,1454,1.3
2022-03-04,2253,0.1
2022-03-05,0315,1.1
2022-03-05,1104,0.3
2022-03-05,1532,1.3
2022-03-05,2319,0.2
2022-03-06,0353,1.1
2022-03-06,1124,0.4
2022-03-06,1608,1.2
2022-03-06,2339,0.3
2022-03-07,0421,1.0
2022-03-07,1130,0.4
2022-03-07,1651,1.1
2022-03-07,2358,0.4
2022-03-08,0454,1.0
2022-03-08,1153,0.5
2022-03-08,1724,1.0
2022-03-09,0039,0.6
2022-03-09,0519,0.9
2022-03-09,0947,0.5
2022-03-09,1109,0.5
2022-03-09,1251,0.5
2022-03-09,1808,0.9
2022-03-09,2158,0.7
2022-03-09,2311,0.7
2022-03-10,0143,0.6
2022-03-10,0545,0.8
2022-03-10,1006,0.6
2022-03-10,1158,0.6
2022-03-10,1408,0.5
2022-03-10,1930,0.8
2022-03-10,2154,0.7
2022-03-11,0004,0.8
2022-03-11,0306,0.7
2022-03-11,0600,0.7
2022-03-11,1043,0.6
2022-03-11,1213,0.7
2022-03-11,1547,0.5
2022-03-12,0043,0.9
2022-03-12,0523,0.6
2022-03-12,1215,0.7
2022-03-12,1711,0.4
2022-03-13,0056,1.0
2022-03-13,0645,0.5
2022-03-13,1156,0.9
2022-03-13,1823,0.3
2022-03-14,0111,1.1
2022-03-14,0717,0.4
2022-03-14,1230,1.0
2022-03-14,1913,0.2
2022-03-15,0136,1.2
2022-03-15,0751,0.4
2022-03-15,1306,1.1
2022-03-15,1956,0.0
2022-03-16,0206,1.3
2022-03-16,0824,0.3
2022-03-16,1339,1.2
2022-03-16,2038,0.0
2022-03-17,0239,1.3
2022-03-17,0858,0.2
2022-03-17,1411,1.3
2022-03-17,2115,0.1
2022-03-18,0311,1.2
2022-03-18,0938,0.2
2022-03-18,1432,1.3
2022-03-18,2156,0.0
2022-03-19,0334,1.2
2022-03-19,1008,0.2
2022-03-19,1449,1.3
2022-03-19,2239,0.0
2022-03-20,0326,1.1
2022-03-20,1049,0.2
2022-03-20,1511,1.3
2022-03-20,2319,0.1
2022-03-21,0332,1.0
2022-03-21,1124,0.3
2022-03-21,1547,1.3
2022-03-22,0002,0.3
2022-03-22,0400,1.0
2022-03-22,1204,0.3
2022-03-22,1621,1.2
2022-03-23,0058,0.4
2022-03-23,0436,1.0
2022-03-23,1258,0.4
2022-03-23,1706,1.1
2022-03-24,0204,0.6
2022-03-24,0509,0.9
2022-03-24,0847,0.5
