data,hora,mare
2022-01-01,0132,1.5
2022-01-01,0919,0.2
2022-01-01,1336,1.3
2022-01-01,2124,0.0
2022-01-02,0208,1.6
2022-01-02,1013,0.3
2022-01-02,1411,1.4
2022-01-02,2219,0.1
2022-01-03,0251,1.7
2022-01-03,1104,0.3
2022-01-03,1458,1.6
2022-01-03,2309,0.1
2022-01-04,0330,1.7
2022-01-04,0702,0.8
2022-01-04,0849,1.0
2022-01-04,1156,0.4
2022-01-04,1543,1.6
2022-01-04,1953,0.4
2022-01-04,2100,0.4
2022-01-05,0000,0.0
2022-01-05,0411,1.7
2022-01-05,0749,0.7
2022-01-05,0954,0.9
2022-01-05,1245,0.5
2022-01-05,1624,1.6
2022-01-05,2028,0.4
2022-01-05,2204,0.5
2022-01-06,0054,0.1
2022-01-06,0500,1.6
2022-01-06,0834,0.6
2022-01-06,1056,0.9
2022-01-06,1334,0.5
2022-01-06,1709,1.6
2022-01-06,2113,0.4
2022-01-06,2309,0.5
2022-01-07,0149,0.2
2022-01-07,0549,1.5
2022-01-07,0917,0.6
2022-01-07,1158,0.9
2022-01-07,1424,0.6
2022-01-07,1800,1.5
2022-01-07,2202,0.4
2022-01-08,0009,0.6
2022-01-08,0247,0.3
2022-01-08,0634,1.4
2022-01-08,1006,0.5
2022-01-08,1256,0.9
2022-01-08,1517,0.6
2022-01-08,1854,1.5
2022-01-08,2251,0.5
2022-01-09,0104,0.7
2022-01-09,0343,0.4
2022-01-09,0715,1.3
2022-01-09,1056,0.5
2022-01-09,1347,0.9
2022-01-09,1609,0.6
2022-01-09,1945,1.4
2022-01-09,2326,0.6
2022-01-10,0153,0.8
2022-01-10,0438,0.5
2022-01-10,0804,1.2
2022-01-10,1139,0.6
2022-01-10,1417,0.8
2022-01-10,1702,0.6
2022-01-10,2041,1.3
2022-01-11,0008,0.7
2022-01-11,0211,0.8
2022-01-11,0521,0.5
2022-01-11,0900,1.2
2022-01-11,1226,0.7
2022-01-11,1449,0.8
2022-01-11,1751,0.5
2022-01-11,2145,1.2
2022-01-12,0108,0.9
2022-01-12,0211,0.9
2022-01-12,0606,0.5
2022-01-12,1000,1.1
2022-01-12,1830,0.5
2022-01-12,2308,1.2
2022-01-13,0656,0.5
2022-01-13,1113,1.1
2022-01-13,1913,0.4
2022-01-14,0034,1.2
2022-01-14,0747,0.5
2022-01-14,1226,1.2
2022-01-14,2006,0.3
2022-01-15,0126,1.4
2022-01-15,0843,0.5
2022-01-15,1317,1.3
2022-01-15,2100,0.3
2022-01-16,0204,1.5
2022-01-16,0936,0.5
2022-01-16,1400,1.4
2022-01-16,2149,0.2
2022-01-17,0241,1.5
2022-01-17,1017,0.4
2022-01-17,1439,1.5
2022-01-17,2228,0.2
2022-01-18,0313,1.6
2022-01-18,1053,0.4
2022-01-18,1513,1.5
2022-01-18,2258,0.2
2022-01-19,0356,1.6
2022-01-19,1126,0.5
2022-01-19,1556,1.6
2022-01-19,2336,0.2
2022-01-20,0434,1.5
2022-01-20,1202,0.5
2022-01-20,1636,1.5
2022-01-21,0017,0.3
2022-01-21,0509,1.5
2022-01-21,1251,0.5
2022-01-21,1709,1.5
2022-01-21,2249,0.5
2022-01-22,0111,0.3
2022-01-22,0551,1.4
2022-01-22,1000,0.7
2022-01-22,1100,0.7
2022-01-22,1345,0.6
2022-01-22,1754,1.4
2022-01-22,2211,0.5
2022-01-22,2339,0.6
2022-01-23,0213,0.4
2022-01-23,0624,1.3
2022-01-23,1004,0.7
2022-01-23,1158,0.8
2022-01-23,1443,0.6
2022-01-23,1838,1.3
2022-01-23,2223,0.7
2022-01-24,0013,0.7
2022-01-24,0317,0.4
2022-01-24,0706,1.2
2022-01-24,1017,0.7
2022-01-24,1243,0.9
2022-01-24,1541,0.5
2022-01-24,1923,1.3
2022-01-24,2249,0.7
2022-01-25,0100,0.9
2022-01-25,0417,0.4
2022-01-25,0756,1.1
2022-01-25,1053,0.7
2022-01-25,1319,1.0
2022-01-25,1636,0.4
2022-01-25,2015,1.2
2022-01-25,2308,0.8
2022-01-26,0145,1.1
2022-01-26,0513,0.4
2022-01-26,0847,1.0
2022-01-26,1119,0.7
2022-01-26,1400,1.0
2022-01-26,1724,0.3
2022-01-26,2119,1.1
2022-01-26,2349,1.0
2022-01-27,0221,1.2
2022-01-27,0609,0.4
2022-01-27,0949,0.9
2022-01-27,1202,0.8
2022-01-27,1443,1.0
2022-01-27,1819,0.2
2022-01-27,2249,1.1
2022-01-28,0013,1.1
2022-01-28,0300,1.3
2022-01-28,0708,0.3
2022-01-28,1109,1.0
2022-01-28,1304,0.9
2022-01-28,1506,1.0
2022-01-28,1915,0.1
2022-01-29,0338,1.3
2022-01-29,0806,0.3
2022-01-29,1226,1.1
2022-01-29,2013,0.0
2022-01-30,0119,1.4
2022-01-30,0904,0.2
2022-01-30,1315,1.3
2022-01-30,2111,0.1
2022-01-31,0158,1.6
2022-01-31,0958,0.2
2022-01-31,1400,1.5
2022-01-31,2204,0.2
2022-02-01,0236,1.7
2022-02-01,1049,0.2
2022-02-01,1445,1.7
2022-02-01,2254,0.1
2022-02-02,0313,1.7
2022-02-02,0700,0.8
2022-02-02,0811,0.9
2022-02-02,1130,0.3
2022-02-02,1524,1.8
2022-02-02,2341,0.1
2022-02-03,0358,1.7
2022-02-03,0745,0.7
2022-02-03,0926,0.8
2022-02-03,1209,0.4
2022-02-03,1608,1.8
2022-02-03,2149,0.4
2022-02-04,0023,0.1
2022-02-04,0439,1.7
2022-02-04,0826,0.5
2022-02-04,1043,0.7
2022-02-04,1256,0.5
2022-02-04,1656,1.7
2022-02-04,2109,0.3
2022-02-04,2258,0.4
2022-02-05,0109,0.2
2022-02-05,0517,1.6
2022-02-05,0911,0.4
2022-02-05,1154,0.7
2022-02-05,1347,0.6
2022-02-05,1739,1.6
2022-02-05,2156,0.4
2022-02-06,0004,0.5
2022-02-06,0202,0.4
2022-02-06,0600,1.5
2022-02-06,1000,0.4
2022-02-06,1256,0.7
2022-02-06,1439,0.6
2022-02-06,1821,1.5
2022-02-06,2232,0.4
2022-02-07,0102,0.7
2022-02-07,0300,0.6
2022-02-07,0645,1.4
2022-02-07,1039,0.4
2022-02-07,1349,0.8
2022-02-07,1536,0.7
2022-02-07,1908,1.4
2022-02-07,2304,0.5
2022-02-08,0153,0.8
2022-02-08,0400,0.6
2022-02-08,0724,1.3
2022-02-08,1111,0.4
2022-02-08,1415,0.8
2022-02-08,1626,0.6
2022-02-08,2000,1.2
2022-02-08,2336,0.7
2022-02-09,0211,0.9
2022-02-09,0456,0.7
2022-02-09,0811,1.1
2022-02-09,1154,0.5
2022-02-09,1443,0.8
2022-02-09,1715,0.6
2022-02-09,2100,1.1
2022-02-10,0004,0.8
2022-02-10,0230,0.9
2022-02-10,0549,0.7
2022-02-10,0906,1.1
2022-02-10,1241,0.7
2022-02-10,1453,0.8
2022-02-10,1806,0.5
2022-02-10,2221,1.0
2022-02-11,0049,1.0
2022-02-11,0234,1.0
2022-02-11,0638,0.6
2022-02-11,1024,1.0
2022-02-11,1858,0.4
2022-02-12,0051,1.1
2022-02-12,0732,0.6
2022-02-12,1208,1.1
2022-02-12,1954,0.3
2022-02-13,0132,1.3
2022-02-13,0824,0.5
2022-02-13,1308,1.2
2022-02-13,2045,0.2
2022-02-14,0202,1.4
2022-02-14,0911,0.4
2022-02-14,1351,1.4
2022-02-14,2130,0.2
2022-02-15,0232,1.5
2022-02-15,0953,0.4
2022-02-15,1424,1.5
2022-02-15,2202,0.1
2022-02-16,0302,1.6
2022-02-16,1023,0.4
2022-02-16,1502,1.6
2022-02-16,2236,0.1
2022-02-17,0339,1.6
2022-02-17,1053,0.3
2022-02-17,1539,1.6
2022-02-17,2309,0.1
2022-02-18,0409,1.6
2022-02-18,1128,0.4
2022-02-18,1609,1.6
2022-02-18,2354,0.2
2022-02-19,0445,1.5
2022-02-19,1208,0.4
2022-02-19,1649,1.6
2022-02-20,0047,0.3
2022-02-20,0511,1.4
2022-02-20,1300,0.5
2022-02-20,1723,1.5
2022-02-20,2153,0.6
2022-02-20,2300,0.6
2022-02-21,0149,0.4
2022-02-21,0551,1.3
2022-02-21,0943,0.6
2022-02-21,1147,0.7
2022-02-21,1400,0.5
2022-02-21,1806,1.5
2022-02-21,2158,0.6
2022-02-22,0000,0.8
2022-02-22,0254,0.5
2022-02-22,0630,1.2
2022-02-22,1000,0.5
2022-02-22,1232,0.8
2022-02-22,1504,0.5
2022-02-22,1858,1.4
2022-02-22,2213,0.7
2022-02-23,0054,1.0
2022-02-23,0400,0.5
2022-02-23,0711,1.1
2022-02-23,1032,0.5
2022-02-23,1311,0.9
2022-02-23,1608,0.4
2022-02-23,1953,1.2
2022-02-23,2253,0.8
2022-02-24,0138,1.2
2022-02-24,0500,0.5
2022-02-24,0804,1.0
2022-02-24,1106,0.6
2022-02-24,1358,1.0
2022-02-24,1706,0.3
2022-02-24,2054,1.1
2022-02-24,2319,0.9
2022-02-25,0215,1.3
2022-02-25,0558,0.4
2022-02-25,0906,0.9
2022-02-25,1154,0.7
2022-02-25,1438,1.0
2022-02-25,1804,0.2
2022-02-25,2209,1.1
2022-02-25,2358,1.0
2022-02-26,0300,1.4
2022-02-26,0656,0.4
2022-02-26,1026,1.0
2022-02-26,1251,0.8
2022-02-26,1504,1.0
2022-02-26,1902,0.0
2022-02-27,0338,1.4
2022-02-27,0754,0.3
2022-02-27,1200,1.1
2022-02-27,2000,0.1
2022-02-28,0106,1.4
2022-02-28,0849,0.2
2022-02-28,1300,1.3
2022-02-28,2056,0.1
2022-03-01,0141,1.5
2022-03-01,0938,0.2
2022-03-01,1349,1.6
2022-03-01,2149,0.2
2022-03-02,0215,1.6
2022-03-02,1017,0.2
2022-03-02,1428,1.7
2022-03-02,2234,0.1
2022-03-03,0258,1.7
2022-03-03,0753,0.7
2022-03-03,1100,0.3
2022-03-03,1508,1.9
2022-03-03,2311,0.0
2022-03-04,0336,1.7
2022-03-04,0739,0.5
2022-03-04,0906,0.6
2022-03-04,1141,0.3
2022-03-04,1553,1.9
2022-03-04,2354,0.1
2022-03-05,0409,1.7
2022-03-05,0817,0.4
2022-03-05,1028,0.5
2022-03-05,1213,0.4
2022-03-05,1632,1.8
2022-03-05,2102,0.3
2022-03-05,2254,0.4
2022-03-06,0038,0.3
2022-03-06,0451,1.6
2022-03-06,0902,0.3
2022-03-06,1253,0.5
2022-03-06,1709,1.7
2022-03-06,2138,0.4
2022-03-07,0004,0.5
2022-03-07,0119,0.5
2022-03-07,0526,1.5
2022-03-07,0943,0.2
2022-03-07,1756,1.6
2022-03-07,2208,0.4
2022-03-08,0106,0.7
2022-03-08,0215,0.7
2022-03-08,0604,1.4
2022-03-08,1015,0.3
2022-03-08,1445,0.7
2022-03-08,1841,1.4
2022-03-08,2238,0.5
2022-03-09,0147,0.8
2022-03-09,0323,0.8
2022-03-09,0653,1.3
2022-03-09,1051,0.3
2022-03-09,1406,0.7
2022-03-09,1553,0.7
2022-03-09,1928,1.2
2022-03-09,2300,0.6
2022-03-10,0200,0.9
2022-03-10,0426,0.8
2022-03-10,0739,1.1
2022-03-10,1117,0.5
2022-03-10,1419,0.8
2022-03-10,1654,0.6
2022-03-10,2024,1.1
2022-03-10,2323,0.8
2022-03-11,0211,1.0
2022-03-11,0523,0.7
2022-03-11,0834,1.0
2022-03-11,1158,0.6
2022-03-11,1436,0.8
2022-03-11,1749,0.5
2022-03-11,2149,1.0
2022-03-11,2349,0.9
2022-03-12,0224,1.1
2022-03-12,0613,0.6
2022-03-12,0949,1.0
2022-03-12,1241,0.8
2022-03-12,1430,0.9
2022-03-12,1838,0.4
2022-03-13,0208,1.2
2022-03-13,0706,0.5
2022-03-13,1153,1.0
2022-03-13,1926,0.3
2022-03-14,0145,1.3
2022-03-14,0758,0.4
2022-03-14,1304,1.2
2022-03-14,2015,0.2
2022-03-15,0158,1.4
2022-03-15,0841,0.4
2022-03-15,1339,1.4
2022-03-15,2056,0.1
2022-03-16,0217,1.5
2022-03-16,0913,0.3
2022-03-16,1409,1.5
2022-03-16,2132,0.1
2022-03-17,0249,1.6
2022-03-17,0945,0.3
2022-03-17,1447,1.6
2022-03-17,2208,0.1
2022-03-18,0313,1.6
2022-03-18,1017,0.3
2022-03-18,1515,1.7
2022-03-18,2251,0.1
2022-03-19,0347,1.5
2022-03-19,1058,0.3
2022-03-19,1551,1.7
2022-03-19,2336,0.2
2022-03-20,0409,1.5
2022-03-20,1143,0.3
2022-03-20,1619,1.7
2022-03-21,0024,0.3
2022-03-21,0441,1.4
2022-03-21,0904,0.5
2022-03-21,1004,0.5
2022-03-21,1236,0.4
2022-03-21,1700,1.6
2022-03-21,2108,0.6
2022-03-21,2247,0.7
2022-03-22,0126,0.5
2022-03-22,0513,1.3
2022-03-22,0908,0.4
2022-03-22,1119,0.6
2022-03-22,1338,0.4
2022-03-22,1747,1.5
2022-03-22,2121,0.7
2022-03-22,2349,0.9
2022-03-23,0236,0.6
2022-03-23,0600,1.2
2022-03-23,0939,0.4
2022-03-23,1211,0.7
2022-03-23,1447,0.4
2022-03-23,1836,1.4
2022-03-23,2154,0.7
2022-03-24,0039,1.1
2022-03-24,0345,0.6
2022-03-24,0651,1.1
2022-03-24,1009,0.4
2022-03-24,1300,0.8
2022-03-24,1554,0.4
2022-03-24,1930,1.3
2022-03-24,2224,0.7
2022-03-25,0121,1.3
2022-03-25,0447,0.5
2022-03-25,0747,1.0
2022-03-25,1056,0.5
2022-03-25,1347,0.9
2022-03-25,1654,0.3
2022-03-25,2032,1.1
2022-03-25,2302,0.8
2022-03-26,0204,1.4
2022-03-26,0543,0.5
2022-03-26,0849,1.0
2022-03-26,1141,0.6
2022-03-26,1419,1.0
2022-03-26,1753,0.1
2022-03-26,2149,1.1
2022-03-26,2347,1.0
2022-03-27,0251,1.4
2022-03-27,0636,0.4
2022-03-27,1002,1.0
2022-03-27,1238,0.8
2022-03-27,1453,1.0
2022-03-27,1849,0.0
2022-03-27,2317,1.1
2022-03-28,0038,1.1
2022-03-28,0321,1.3
2022-03-28,0726,0.3
2022-03-28,1130,1.2
2022-03-28,1941,0.1
2022-03-29,0032,1.3
2022-03-29,0817,0.2
2022-03-29,1239,1.4
2022-03-29,2034,0.1
2022-03-30,0113,1.5
2022-03-30,0904,0.2
2022-03-30,1326,1.6
2022-03-30,2121,0.1
2022-03-31,0156,1.6
2022-03-31,0953,0.2
2022-03-31,1408,1.8
2022-03-31,2204,0.0
2022-04-01,0234,1.7
2022-04-01,1028,0.3
2022-04-01,1454,1.9
2022-04-01,2249,0.1
2022-04-02,0308,1.7
2022-04-02,0726,0.4
2022-04-02,0902,0.4
2022-04-02,1102,0.3
2022-04-02,1530,1.9
2022-04-02,2011,0.4
2022-04-02,2108,0.4
2022-04-02,2323,0.3
2022-04-03,0347,1.7
2022-04-03,0804,0.2
2022-04-03,1021,0.4
2022-04-03,1138,0.4
2022-04-03,1606,1.8
2022-04-03,2041,0.4
2022-04-03,2253,0.5
2022-04-03,2358,0.4
2022-04-04,0417,1.6
2022-04-04,0847,0.2
2022-04-04,1649,1.7
2022-04-04,2111,0.4
2022-04-05,0458,1.5
2022-04-05,0919,0.2
2022-04-05,1726,1.5
2022-04-05,2143,0.5
2022-04-06,0539,1.4
2022-04-06,0954,0.2
2022-04-06,1809,1.4
2022-04-06,2206,0.5
2022-04-07,0113,0.8
2022-04-07,0254,0.8
2022-04-07,0619,1.3
2022-04-07,1019,0.3
2022-04-07,1349,0.7
2022-04-07,1515,0.7
2022-04-07,1902,1.2
2022-04-07,2234,0.7
2022-04-08,0130,0.9
2022-04-08,0400,0.8
2022-04-08,0708,1.1
2022-04-08,1056,0.4
2022-04-08,1356,0.8
2022-04-08,1621,0.6
2022-04-08,2002,1.1
2022-04-08,2300,0.8
2022-04-09,0151,1.0
2022-04-09,0500,0.7
2022-04-09,0804,1.0
2022-04-09,1126,0.6
2022-04-09,1404,0.8
2022-04-09,1715,0.5
2022-04-09,2113,1.0
2022-04-09,2311,0.9
2022-04-10,0200,1.1
2022-04-10,0553,0.6
2022-04-10,0911,1.0
2022-04-10,1200,0.8
2022-04-10,1406,0.9
2022-04-10,1806,0.4
2022-04-11,0156,1.2
2022-04-11,0638,0.5
2022-04-11,1109,1.0
2022-04-11,1854,0.3
2022-04-12,0145,1.3
2022-04-12,0717,0.4
2022-04-12,1247,1.2
2022-04-12,1938,0.2
2022-04-13,0145,1.4
2022-04-13,0754,0.3
2022-04-13,1319,1.4
2022-04-13,2017,0.1
2022-04-14,0200,1.5
2022-04-14,0828,0.3
2022-04-14,1354,1.5
2022-04-14,2058,0.1
2022-04-15,0223,1.5
2022-04-15,0904,0.2
2022-04-15,1423,1.6
2022-04-15,2143,0.1
2022-04-16,0253,1.5
2022-04-16,0949,0.2
2022-04-16,1456,1.7
2022-04-16,2230,0.1
2022-04-17,0311,1.5
2022-04-17,1036,0.2
2022-04-17,1523,1.7
2022-04-17,2319,0.2
2022-04-18,0341,1.4
