data,hora,mare
2022-01-01,0226,1.6
2022-01-01,0834,0.3
2022-01-01,1354,1.4
2022-01-01,2043,0.0
2022-01-02,0323,1.6
2022-01-02,0911,0.3
2022-01-02,1424,1.5
2022-01-02,2123,0.1
2022-01-03,0408,1.6
2022-01-03,0954,0.4
2022-01-03,1454,1.5
2022-01-03,2204,0.1
2022-01-04,0439,1.6
2022-01-04,1036,0.4
2022-01-04,1532,1.5
2022-01-04,2239,0.0
2022-01-05,0502,1.5
2022-01-05,1117,0.5
2022-01-05,1608,1.5
2022-01-05,2326,0.1
2022-01-06,0511,1.4
2022-01-06,1130,0.6
2022-01-06,1649,1.5
2022-01-06,2347,0.2
2022-01-07,0543,1.3
2022-01-07,1151,0.7
2022-01-07,1723,1.4
2022-01-08,0032,0.4
2022-01-08,0608,1.2
2022-01-08,1234,0.7
2022-01-08,1804,1.3
2022-01-09,0109,0.5
2022-01-09,0654,1.1
2022-01-09,1319,0.7
2022-01-09,1900,1.2
2022-01-10,0206,0.7
2022-01-10,0751,1.1
2022-01-10,1517,0.8
2022-01-10,2017,1.1
2022-01-11,0436,0.7
2022-01-11,0900,1.1
2022-01-11,1704,0.7
2022-01-12,0000,1.1
2022-01-12,0538,0.7
2022-01-12,1019,1.1
2022-01-12,1813,0.5
2022-01-13,0039,1.2
2022-01-13,0641,0.7
2022-01-13,1209,1.2
2022-01-13,1847,0.4
2022-01-14,0104,1.3
2022-01-14,0730,0.6
2022-01-14,1251,1.3
2022-01-14,1936,0.3
2022-01-15,0141,1.4
2022-01-15,0753,0.5
2022-01-15,1319,1.4
2022-01-15,2008,0.2
2022-01-16,0215,1.4
2022-01-16,0828,0.5
2022-01-16,1354,1.4
2022-01-16,2039,0.1
2022-01-17,0258,1.5
2022-01-17,0858,0.5
2022-01-17,1428,1.5
2022-01-17,2111,0.1
2022-01-18,0341,1.5
2022-01-18,0932,0.5
2022-01-18,1504,1.5
2022-01-18,2147,0.1
2022-01-19,0415,1.5
2022-01-19,1008,0.5
2022-01-19,1534,1.5
2022-01-19,2221,0.1
2022-01-20,0447,1.5
2022-01-20,1043,0.5
2022-01-20,1609,1.4
2022-01-20,2302,0.2
2022-01-21,0508,1.4
2022-01-21,1128,0.5
2022-01-21,1647,1.4
2022-01-21,2338,0.2
2022-01-22,0538,1.4
2022-01-22,1208,0.6
2022-01-22,1721,1.4
2022-01-23,0026,0.3
2022-01-23,0606,1.3
2022-01-23,1236,0.6
2022-01-23,1802,1.4
2022-01-24,0108,0.4
2022-01-24,0651,1.3
2022-01-24,1319,0.6
2022-01-24,1858,1.3
2022-01-25,0147,0.5
2022-01-25,0739,1.2
2022-01-25,1421,0.6
2022-01-25,2004,1.3
2022-01-26,0351,0.6
2022-01-26,0843,1.2
2022-01-26,1626,0.6
2022-01-26,2117,1.2
2022-01-26,2341,1.2
2022-01-27,0509,0.6
2022-01-27,0941,1.1
2022-01-27,1154,1.1
2022-01-27,1738,0.4
2022-01-28,0047,1.3
2022-01-28,0632,0.6
2022-01-28,1251,1.2
2022-01-28,1849,0.3
2022-01-29,0139,1.5
2022-01-29,0739,0.5
2022-01-29,1330,1.3
2022-01-29,1951,0.1
2022-01-30,0234,1.6
2022-01-30,0824,0.4
2022-01-30,1408,1.4
2022-01-30,2038,0.0
2022-01-31,0324,1.6
2022-01-31,0902,0.4
2022-01-31,1432,1.5
2022-01-31,2115,0.1
2022-02-01,0400,1.7
2022-02-01,0943,0.3
2022-02-01,1504,1.6
2022-02-01,2153,0.1
2022-02-02,0428,1.6
2022-02-02,1015,0.4
2022-02-02,1530,1.6
2022-02-02,2228,0.1
2022-02-03,0436,1.5
2022-02-03,1034,0.4
2022-02-03,1600,1.6
2022-02-03,2249,0.0
2022-02-04,0451,1.5
2022-02-04,1047,0.4
2022-02-04,1636,1.6
2022-02-04,2323,0.2
2022-02-05,0506,1.4
2022-02-05,1117,0.5
2022-02-05,1704,1.5
2022-02-05,2345,0.4
2022-02-06,0538,1.3
2022-02-06,1153,0.5
2022-02-06,1747,1.4
2022-02-07,0021,0.5
2022-02-07,0602,1.2
2022-02-07,1236,0.6
2022-02-07,1821,1.2
2022-02-08,0102,0.7
2022-02-08,0645,1.2
2022-02-08,1324,0.7
2022-02-08,1919,1.1
2022-02-09,0158,0.8
2022-02-09,0745,1.1
2022-02-09,1508,0.7
2022-02-09,2100,1.0
2022-02-09,2211,1.0
2022-02-09,2356,1.0
2022-02-10,0456,0.9
2022-02-10,0900,1.1
2022-02-10,1723,0.6
2022-02-11,0030,1.1
2022-02-11,0639,0.8
2022-02-11,1158,1.1
2022-02-11,1836,0.5
2022-02-12,0102,1.2
2022-02-12,0723,0.7
2022-02-12,1247,1.2
2022-02-12,1926,0.3
2022-02-13,0134,1.4
2022-02-13,0749,0.6
2022-02-13,1313,1.3
2022-02-13,1953,0.2
2022-02-14,0208,1.5
2022-02-14,0819,0.5
2022-02-14,1354,1.4
2022-02-14,2026,0.1
2022-02-15,0251,1.5
2022-02-15,0849,0.4
2022-02-15,1430,1.5
2022-02-15,2100,0.0
2022-02-16,0328,1.6
2022-02-16,0919,0.4
2022-02-16,1502,1.5
2022-02-16,2134,0.0
2022-02-17,0358,1.6
2022-02-17,0953,0.3
2022-02-17,1532,1.6
2022-02-17,2208,0.0
2022-02-18,0428,1.6
2022-02-18,1024,0.3
2022-02-18,1558,1.6
2022-02-18,2239,0.1
2022-02-19,0447,1.5
2022-02-19,1051,0.4
2022-02-19,1632,1.6
2022-02-19,2321,0.2
2022-02-20,0504,1.5
2022-02-20,1124,0.4
2022-02-20,1704,1.5
2022-02-20,2343,0.3
2022-02-21,0534,1.4
2022-02-21,1147,0.4
2022-02-21,1747,1.5
2022-02-22,0026,0.4
2022-02-22,0602,1.3
2022-02-22,1228,0.5
2022-02-22,1826,1.4
2022-02-23,0108,0.6
2022-02-23,0647,1.2
2022-02-23,1315,0.5
2022-02-23,1926,1.2
2022-02-24,0215,0.7
2022-02-24,0743,1.1
2022-02-24,1551,0.6
2022-02-24,2100,1.1
2022-02-24,2200,1.1
2022-02-24,2347,1.2
2022-02-25,0504,0.8
2022-02-25,0858,1.1
2022-02-25,1154,1.0
2022-02-25,1724,0.5
2022-02-26,0049,1.3
2022-02-26,0634,0.7
2022-02-26,1054,1.1
2022-02-26,1249,1.1
2022-02-26,1843,0.3
2022-02-27,0138,1.4
