data,hora,mare
0101,0156,1.2
0101,0802,0.3
0101,1341,1.0
0101,2004,0.0
0102,0247,1.2
0102,0853,0.4
0102,1415,1.0
0102,2056,0.0
0103,0334,1.2
0103,0939,0.4
0103,1454,1.0
0103,2147,0.0
0104,0419,1.2
0104,1023,0.5
0104,1530,1.1
0104,2238,0.0
0105,0500,1.1
0105,1104,0.5
0105,1606,1.1
0105,2324,0.0
0106,0536,1.0
0106,1147,0.5
0106,1645,1.1
0107,0009,0.1
0107,0606,0.9
0107,1221,0.5
0107,1726,1.0
0108,0058,0.2
0108,0636,0.9
0108,1304,0.5
0108,1809,1.0
0109,0147,0.4
0109,0706,0.8
0109,1354,0.6
0109,1902,0.9
0110,0243,0.5
0110,0754,0.8
0110,1502,0.5
0110,2008,0.9
0111,0358,0.5
0111,0906,0.8
0111,1615,0.5
0111,2213,0.9
0112,0506,0.5
0112,1106,0.8
0112,1721,0.4
0112,2347,0.9
0113,0602,0.5
0113,1153,0.9
0113,1813,0.3
0114,0045,1.0
0114,0651,0.5
0114,1230,0.9
0114,1858,0.2
0115,0128,1.0
0115,0728,0.5
0115,1300,1.0
0115,1939,0.2
0116,0206,1.1
0116,0806,0.4
0116,1336,1.0
0116,2015,0.1
0117,0245,1.1
0117,0843,0.4
0117,1408,1.1
0117,2056,0.1
0118,0317,1.2
0118,0915,0.4
0118,1447,1.1
0118,2134,0.1
0119,0354,1.1
0119,0954,0.4
0119,1523,1.1
0119,2209,0.1
0120,0424,1.1
0120,1030,0.4
0120,1600,1.1
0120,2254,0.1
0121,0500,1.1
0121,1104,0.4
0121,1643,1.1
0121,2334,0.2
0122,0534,1.0
0122,1147,0.4
0122,1724,1.1
0123,0013,0.2
0123,0608,1.0
0123,1226,0.4
0123,1806,1.0
0124,0102,0.3
0124,0656,0.9
0124,1317,0.5
0124,1900,1.0
0125,0204,0.4
0125,0758,0.8
0125,1430,0.5
0125,2026,0.9
0126,0332,0.5
0126,0947,0.8
0126,1556,0.5
0126,2300,0.9
0127,0502,0.5
0127,1128,0.8
0127,1709,0.4
0128,0023,1.0
0128,0617,0.5
0128,1215,0.9
0128,1813,0.2
0129,0121,1.1
0129,0719,0.4
0129,1300,0.9
0129,1909,0.1
0130,0208,1.2
0130,0808,0.4
0130,1338,1.0
0130,2002,0.0
0131,0251,1.2
0131,0851,0.4
0131,1411,1.1
0131,2053,0.1
0201,0326,1.2
0201,0926,0.4
0201,1451,1.1
0201,2138,0.1
0202,0400,1.2
0202,1002,0.4
0202,1523,1.2
0202,2219,0.1
0203,0426,1.1
0203,1038,0.4
0203,1556,1.2
0203,2300,0.0
0204,0454,1.1
0204,1106,0.4
0204,1630,1.2
0204,2341,0.1
0205,0511,1.0
0205,1138,0.4
0205,1702,1.1
0206,0013,0.3
0206,0536,0.9
0206,1204,0.4
0206,1741,1.1
0207,0051,0.4
0207,0556,0.9
0207,1239,0.5
0207,1819,1.0
0208,0123,0.5
0208,0624,0.8
0208,1338,0.5
0208,1911,0.9
0209,0223,0.6
0209,0708,0.8
0209,1513,0.5
0209,2102,0.8
0210,0421,0.6
0210,0849,0.7
0210,1649,0.5
0210,2358,0.9
0211,0554,0.6
0211,1134,0.8
0211,1756,0.4
0212,0053,1.0
0212,0649,0.6
0212,1215,0.9
0212,1845,0.3
0213,0128,1.0
0213,0726,0.5
0213,1253,0.9
0213,1923,0.2
0214,0200,1.1
0214,0758,0.4
0214,1326,1.0
0214,2002,0.1
0215,0234,1.2
0215,0830,0.4
0215,1402,1.1
0215,2039,0.0
0216,0302,1.2
0216,0900,0.3
0216,1439,1.2
0216,2115,0.0
0217,0332,1.2
0217,0934,0.3
0217,1513,1.2
0217,2156,0.0
0218,0400,1.2
0218,1004,0.3
0218,1553,1.2
0218,2232,0.1
0219,0430,1.1
0219,1043,0.3
0219,1628,1.2
0219,2308,0.1
0220,0500,1.1
0220,1113,0.3
0220,1702,1.2
0220,2354,0.2
0221,0532,1.0
0221,1156,0.3
0221,1745,1.1
0222,0041,0.3
0222,0600,0.9
0222,1243,0.4
0222,1830,1.0
0223,0138,0.5
0223,0632,0.8
0223,1353,0.4
0223,2000,0.9
0224,0309,0.6
0224,0749,0.7
0224,1526,0.4
0224,2339,0.9
0225,0508,0.6
0225,1121,0.7
0225,1702,0.4
0226,0047,1.0
0226,0643,0.5
0226,1213,0.8
0226,1811,0.2
0227,0126,1.1
0227,0726,0.5
0227,1256,0.9
0227,1906,0.1
0228,0200,1.2
0228,0800,0.4
0228,1328,1.0
0228,1954,0.0
0301,0230,1.2
0301,0832,0.3
0301,1400,1.1
0301,2038,0.1
0302,0258,1.2
0302,0900,0.3
0302,1434,1.2
0302,2115,0.1
0303,0323,1.2
0303,0934,0.3
0303,1504,1.3
0303,2156,0.0
0304,0349,1.2
0304,1002,0.2
0304,1536,1.3
0304,2232,0.1
0305,0406,1.1
0305,1032,0.2
0305,1604,1.2
0305,2302,0.2
0306,0428,1.0
0306,1058,0.3
0306,1639,1.2
0306,2334,0.3
0307,0449,1.0
0307,1124,0.3
0307,1709,1.1
0307,2358,0.4
0308,0509,0.9
0308,1149,0.4
0308,1749,1.0
0309,0028,0.5
0309,0528,0.9
0309,1228,0.4
0309,1839,0.9
0310,0109,0.6
0310,0554,0.8
0310,1406,0.5
0310,2019,0.8
0311,0317,0.7
0311,0615,0.7
0311,1602,0.5
0312,0002,0.9
0312,0609,0.7
0312,1023,0.7
0312,1728,0.4
0313,0041,1.0
0313,0647,0.6
0313,1156,0.8
0313,1819,0.3
0314,0108,1.1
0314,0711,0.5
0314,1236,0.9
0314,1902,0.2
0315,0139,1.1
0315,0739,0.4
0315,1309,1.0
0315,1939,0.1
0316,0204,1.2
0316,0804,0.3
0316,1347,1.2
0316,2013,0.0
0317,0234,1.2
0317,0836,0.2
0317,1421,1.2
0317,2054,0.0
0318,0300,1.2
0318,0904,0.2
0318,1458,1.3
0318,2130,0.0
0319,0328,1.2
0319,0941,0.2
0319,1534,1.3
0319,2206,0.1
0320,0358,1.1
0320,1011,0.2
0320,1606,1.3
0320,2251,0.2
0321,0426,1.1
0321,1054,0.2
0321,1647,1.2
0321,2330,0.3
0322,0454,1.0
0322,1132,0.2
0322,1724,1.1
0323,0013,0.4
0323,0513,0.9
0323,1217,0.3
0323,1809,1.0
0324,0115,0.6
0324,0523,0.8
0324,1334,0.4
0324,2219,0.9
0325,0308,0.7
0325,0538,0.7
0325,1511,0.4
0325,2356,1.0
0326,0704,0.6
0326,1102,0.7
0326,1654,0.3
0327,0039,1.1
0327,0641,0.6
0327,1158,0.8
0327,1800,0.2
0328,0108,1.1
0328,0704,0.5
0328,1236,1.0
0328,1853,0.1
0329,0132,1.2
0329,0732,0.4
0329,1306,1.1
0329,1934,0.0
0330,0158,1.2
0330,0800,0.3
0330,1341,1.2
0330,2011,0.0
0331,0219,1.2
0331,0830,0.2
0331,1409,1.2
0331,2051,0.0
0401,0245,1.2
0401,0900,0.2
0401,1441,1.3
0401,2123,0.1
0402,0304,1.1
0402,0930,0.2
0402,1509,1.3
0402,2158,0.2
0403,0326,1.1
0403,0958,0.2
0403,1543,1.2
0403,2226,0.3
0404,0351,1.1
0404,1028,0.2
0404,1613,1.2
0404,2254,0.4
0405,0411,1.0
0405,1056,0.3
0405,1651,1.1
0405,2321,0.5
0406,0432,1.0
0406,1126,0.3
0406,1728,1.0
0406,2351,0.6
0407,0454,0.9
0407,1153,0.4
0407,1819,0.9
0408,0049,0.7
0408,0511,0.8
0408,1319,0.4
0408,2008,0.8
0409,0224,0.7
0409,0541,0.8
0409,1504,0.5
0409,2328,0.9
0410,0524,0.7
0410,0858,0.7
0410,1643,0.4
0411,0006,1.0
0411,0613,0.6
0411,1113,0.8
0411,1747,0.3
0412,0038,1.1
0412,0638,0.5
0412,1204,0.9
0412,1832,0.2
0413,0102,1.1
0413,0702,0.4
0413,1247,1.1
0413,1908,0.1
0414,0130,1.2
0414,0732,0.3
0414,1323,1.2
0414,1951,0.0
0415,0158,1.2
0415,0802,0.2
0415,1400,1.3
0415,2024,0.0
0416,0226,1.2
0416,0839,0.1
0416,1439,1.3
0416,2104,0.1
0417,0258,1.2
0417,0911,0.1
0417,1513,1.3
0417,2149,0.1
0418,0326,1.1
0418,0954,0.1
0418,1554,1.3
0418,2226,0.3
0419,0356,1.0
0419,1034,0.1
0419,1638,1.2
0419,2311,0.4
0420,0421,1.0
0420,1115,0.2
0420,1719,1.1
0421,0004,0.5
0421,0438,0.9
0421,1211,0.2
0421,1834,0.9
0422,0115,0.7
0422,0456,0.8
0422,1328,0.3
0422,2224,0.9
0423,0302,0.7
0423,0509,0.8
0423,1500,0.3
0423,2336,1.0
0424,0449,0.7
0424,1008,0.7
0424,1628,0.3
0425,0009,1.0
0425,0547,0.6
0425,1117,0.9
0425,1738,0.2
0426,0032,1.1
0426,0621,0.5
0426,1202,1.0
0426,1824,0.2
0427,0056,1.1
0427,0654,0.4
0427,1241,1.1
0427,1906,0.1
0428,0115,1.1
0428,0724,0.3
0428,1311,1.2
0428,1947,0.1
0429,0141,1.1
0429,0756,0.2
0429,1347,1.2
0429,2019,0.2
0430,0202,1.1
0430,0828,0.2
0430,1417,1.2
0430,2054,0.2
0501,0226,1.1
0501,0900,0.1
0501,1453,1.2
0501,2123,0.3
0502,0253,1.1
0502,0936,0.1
0502,1524,1.2
0502,2156,0.4
0503,0315,1.1
