data,hora,mare
2022-01-01,0208,1.3
2022-01-01,0841,0.3
2022-01-01,1351,1.1
2022-01-01,2041,0.0
2022-01-02,0249,1.3
2022-01-02,0930,0.3
2022-01-02,1423,1.1
2022-01-02,2130,0.0
2022-01-03,0324,1.3
2022-01-03,1017,0.4
2022-01-03,1500,1.2
2022-01-03,2219,0.0
2022-01-04,0402,1.3
2022-01-04,1104,0.4
2022-01-04,1539,1.2
2022-01-04,2308,0.0
2022-01-05,0439,1.2
2022-01-05,1153,0.5
2022-01-05,1615,1.2
2022-01-05,2358,0.1
2022-01-06,0513,1.1
2022-01-06,1238,0.6
2022-01-06,1658,1.2
2022-01-07,0049,0.2
2022-01-07,0554,1.1
2022-01-07,1319,0.6
2022-01-07,1743,1.2
2022-01-08,0139,0.3
2022-01-08,0630,1.0
2022-01-08,1143,0.7
2022-01-08,1404,0.7
2022-01-08,1828,1.1
2022-01-09,0234,0.4
2022-01-09,0711,0.9
2022-01-09,1106,0.7
2022-01-09,1251,0.7
2022-01-09,1458,0.7
2022-01-09,1921,1.0
2022-01-10,0334,0.5
2022-01-10,0800,0.9
2022-01-10,1206,0.7
2022-01-10,1558,0.6
2022-01-10,2026,1.0
2022-01-11,0436,0.5
2022-01-11,0900,0.9
2022-01-11,1658,0.6
2022-01-11,2153,1.0
2022-01-12,0536,0.5
2022-01-12,1008,0.9
2022-01-12,1754,0.5
2022-01-12,2324,1.0
2022-01-13,0626,0.5
2022-01-13,1121,0.9
2022-01-13,1843,0.4
2022-01-14,0039,1.0
2022-01-14,0711,0.5
2022-01-14,1221,1.0
2022-01-14,1926,0.3
2022-01-15,0128,1.1
2022-01-15,0756,0.5
2022-01-15,1309,1.1
2022-01-15,2008,0.2
2022-01-16,0209,1.2
2022-01-16,0836,0.4
2022-01-16,1353,1.1
2022-01-16,2047,0.1
2022-01-17,0247,1.2
2022-01-17,0911,0.4
2022-01-17,1426,1.2
2022-01-17,2123,0.1
2022-01-18,0319,1.3
2022-01-18,0951,0.4
2022-01-18,1502,1.2
2022-01-18,2158,0.1
2022-01-19,0354,1.3
2022-01-19,1024,0.4
2022-01-19,1538,1.2
2022-01-19,2234,0.1
2022-01-20,0426,1.3
2022-01-20,1058,0.4
2022-01-20,1608,1.2
2022-01-20,2311,0.1
2022-01-21,0500,1.2
2022-01-21,1136,0.5
2022-01-21,1647,1.2
2022-01-21,2353,0.2
2022-01-22,0534,1.2
2022-01-22,1215,0.5
2022-01-22,1721,1.2
2022-01-23,0043,0.3
2022-01-23,0606,1.1
2022-01-23,1304,0.5
2022-01-23,1802,1.2
2022-01-24,0147,0.4
2022-01-24,0649,1.0
2022-01-24,1406,0.5
2022-01-24,1854,1.1
2022-01-25,0300,0.4
2022-01-25,0734,0.9
2022-01-25,1519,0.5
2022-01-25,1956,1.0
2022-01-26,0417,0.5
2022-01-26,0836,0.8
2022-01-26,1636,0.5
2022-01-26,2132,1.0
2022-01-26,2315,0.9
2022-01-27,0538,0.5
2022-01-27,1245,0.8
2022-01-27,1745,0.4
2022-01-28,0126,1.1
2022-01-28,0647,0.4
2022-01-28,1308,0.9
2022-01-28,1847,0.2
2022-01-29,0204,1.2
2022-01-29,0745,0.4
2022-01-29,1323,1.0
2022-01-29,1943,0.1
2022-01-30,0234,1.3
2022-01-30,0834,0.4
2022-01-30,1347,1.1
2022-01-30,2034,0.0
2022-01-31,0258,1.3
2022-01-31,0917,0.4
2022-01-31,1417,1.2
2022-01-31,2119,0.1
2022-02-01,0321,1.3
2022-02-01,1000,0.4
2022-02-01,1454,1.3
2022-02-01,2204,0.1
2022-02-02,0349,1.3
2022-02-02,1041,0.4
2022-02-02,1526,1.3
2022-02-02,2249,0.0
2022-02-03,0413,1.3
2022-02-03,1115,0.4
2022-02-03,1604,1.3
2022-02-03,2330,0.1
2022-02-04,0447,1.2
2022-02-04,1149,0.5
2022-02-04,1643,1.3
2022-02-05,0008,0.2
2022-02-05,0515,1.1
2022-02-05,1209,0.5
2022-02-05,1719,1.3
2022-02-06,0045,0.3
2022-02-06,0551,1.1
2022-02-06,1030,0.5
2022-02-06,1800,1.2
2022-02-07,0124,0.5
2022-02-07,0619,1.0
2022-02-07,1053,0.5
2022-02-07,1845,1.1
2022-02-08,0053,0.6
