data,hora,mare
0101,0141,1.2
0101,0854,0.3
0101,1334,1.1
0101,2056,0.0
0102,0230,1.3
0102,0945,0.3
0102,1411,1.1
0102,2149,0.0
0103,0313,1.3
0103,1036,0.3
0103,1454,1.1
0103,2239,0.0
0104,0354,1.3
0104,1123,0.4
0104,1536,1.2
0104,2332,0.0
0105,0428,1.2
0105,1211,0.5
0105,1613,1.2
0106,0021,0.1
0106,0506,1.2
0106,0949,0.8
0106,1302,0.6
0106,1700,1.2
0107,0109,0.2
0107,0549,1.1
0107,0921,0.7
0107,1121,0.8
0107,1358,0.6
0107,1751,1.1
0108,0200,0.3
0108,0624,1.0
0108,1002,0.6
0108,1236,0.7
0108,1454,0.7
0108,1841,1.1
0109,0256,0.4
0109,0708,1.0
0109,1051,0.6
0109,1323,0.7
0109,1553,0.6
0109,1939,1.0
0110,0054,0.6
0110,0353,0.5
0110,0800,0.9
0110,1141,0.6
0110,1400,0.7
0110,1649,0.6
0110,2045,1.0
0111,0453,0.5
0111,0900,0.9
0111,1253,0.7
0111,1406,0.7
0111,1738,0.5
0111,2158,0.9
0112,0551,0.5
0112,1004,0.9
0112,1819,0.4
0112,2317,1.0
0113,0643,0.5
0113,1115,0.9
0113,1900,0.3
0114,0034,1.0
0114,0726,0.5
0114,1219,1.0
0114,1939,0.2
0115,0130,1.1
0115,0808,0.5
0115,1308,1.1
0115,2015,0.2
0116,0211,1.2
0116,0851,0.4
0116,1351,1.1
0116,2054,0.1
0117,0249,1.3
0117,0926,0.4
0117,1423,1.2
0117,2136,0.1
0118,0317,1.3
0118,1002,0.4
0118,1458,1.2
0118,2215,0.1
0119,0353,1.3
0119,1038,0.4
0119,1532,1.3
0119,2256,0.1
0120,0421,1.3
0120,1108,0.5
0120,1604,1.3
0120,2339,0.2
0121,0456,1.2
0121,1139,0.5
0121,1643,1.3
0122,0021,0.2
0122,0526,1.1
0122,1213,0.5
0122,1717,1.2
0123,0104,0.3
0123,0602,1.0
0123,1256,0.6
0123,1800,1.1
0124,0200,0.4
0124,0643,0.9
0124,1053,0.6
0124,1215,0.6
0124,1417,0.6
0124,1854,1.1
0125,0311,0.5
0125,0728,0.9
0125,1102,0.7
0125,1258,0.7
0125,1547,0.6
0125,2000,1.0
0126,0441,0.5
0126,0836,0.8
0126,1115,0.7
0126,1319,0.7
0126,1700,0.5
0126,2124,0.9
0127,0004,0.9
0127,0123,0.9
0127,0558,0.5
0127,1009,0.8
0127,1147,0.8
0127,1341,0.8
0127,1804,0.3
0128,0202,1.0
0128,0702,0.4
0128,1336,0.8
0128,1900,0.2
0129,0232,1.1
0129,0758,0.4
0129,1317,0.9
0129,1954,0.1
0130,0239,1.2
0130,0849,0.3
0130,1343,1.0
0130,2045,0.0
0131,0251,1.3
0131,0932,0.3
0131,1415,1.1
0131,2134,0.1
0201,0311,1.3
0201,1013,0.3
0201,1454,1.2
0201,2219,0.1
0202,0341,1.3
0202,1058,0.4
0202,1528,1.3
0202,2306,0.0
0203,0409,1.3
0203,1139,0.4
0203,1606,1.3
0203,2354,0.1
0204,0447,1.2
0204,1213,0.5
0204,1649,1.3
0205,0038,0.2
0205,0515,1.2
0205,0928,0.5
0205,1251,0.6
0205,1726,1.3
0206,0119,0.4
0206,0554,1.1
0206,1000,0.5
0206,1809,1.2
0206,2253,0.5
0207,0039,0.5
0207,0206,0.5
0207,0630,1.1
0207,1036,0.4
0207,1449,0.6
0207,1900,1.1
0207,2311,0.6
0208,0126,0.6
0208,0306,0.6
0208,0708,1.0
0208,1111,0.5
0208,1402,0.6
0208,1558,0.6
0208,1958,1.0
0208,2345,0.7
0209,0158,0.7
0209,0417,0.6
0209,0758,0.9
0209,1158,0.6
0209,1408,0.6
0209,1658,0.5
0209,2106,0.9
0210,0006,0.8
0210,0202,0.8
0210,0523,0.6
0210,0858,0.9
0210,1349,0.7
0210,1751,0.4
0210,2317,0.9
0211,0621,0.6
0211,1026,0.8
0211,1836,0.3
0212,0123,1.0
0212,0711,0.5
0212,1215,0.9
0212,1915,0.2
0213,0143,1.1
0213,0756,0.4
0213,1308,1.0
0213,1956,0.2
0214,0208,1.2
0214,0834,0.4
0214,1345,1.1
0214,2036,0.1
0215,0234,1.3
0215,0906,0.3
0215,1413,1.2
0215,2113,0.1
0216,0302,1.3
0216,0941,0.3
0216,1447,1.3
0216,2153,0.0
0217,0330,1.4
0217,1009,0.3
0217,1515,1.4
0217,2232,0.0
0218,0400,1.3
0218,1039,0.4
0218,1551,1.4
0218,2311,0.1
0219,0430,1.3
