data,hora,mare
2022-01-01,0204,1.3
2022-01-01,0819,0.3
2022-01-01,1400,1.1
2022-01-01,2028,0.0
2022-01-02,0256,1.3
2022-01-02,0906,0.3
2022-01-02,1443,1.1
2022-01-02,2115,0.0
2022-01-03,0343,1.3
2022-01-03,0954,0.4
2022-01-03,1519,1.2
2022-01-03,2202,0.1
2022-01-04,0424,1.3
2022-01-04,1038,0.4
2022-01-04,1558,1.2
2022-01-04,2253,0.0
2022-01-05,0508,1.2
2022-01-05,1115,0.4
2022-01-05,1638,1.2
2022-01-05,2339,0.0
2022-01-06,0553,1.1
2022-01-06,1200,0.5
2022-01-06,1713,1.1
2022-01-07,0023,0.1
2022-01-07,0632,1.0
2022-01-07,1247,0.5
2022-01-07,1753,1.1
2022-01-08,0109,0.3
2022-01-08,0709,0.9
2022-01-08,1330,0.5
2022-01-08,1839,1.0
2022-01-09,0202,0.4
2022-01-09,0758,0.9
2022-01-09,1424,0.6
2022-01-09,1939,0.9
2022-01-10,0306,0.5
2022-01-10,0911,0.9
2022-01-10,1536,0.6
2022-01-10,2136,0.9
2022-01-11,0423,0.5
2022-01-11,1038,0.9
2022-01-11,1654,0.5
2022-01-11,2321,0.9
2022-01-12,0539,0.5
2022-01-12,1136,0.9
2022-01-12,1758,0.4
2022-01-13,0019,1.0
2022-01-13,0636,0.5
2022-01-13,1219,1.0
2022-01-13,1851,0.3
2022-01-14,0106,1.1
2022-01-14,0719,0.5
2022-01-14,1258,1.0
2022-01-14,1932,0.3
2022-01-15,0149,1.1
2022-01-15,0800,0.4
2022-01-15,1334,1.1
2022-01-15,2008,0.2
2022-01-16,0223,1.2
2022-01-16,0838,0.4
2022-01-16,1406,1.1
2022-01-16,2047,0.1
2022-01-17,0300,1.2
2022-01-17,0908,0.4
2022-01-17,1441,1.2
2022-01-17,2117,0.1
2022-01-18,0332,1.2
2022-01-18,0943,0.4
2022-01-18,1511,1.2
2022-01-18,2154,0.0
2022-01-19,0404,1.2
2022-01-19,1011,0.4
2022-01-19,1547,1.2
2022-01-19,2226,0.0
2022-01-20,0439,1.2
2022-01-20,1049,0.4
2022-01-20,1617,1.2
2022-01-20,2302,0.1
2022-01-21,0509,1.2
2022-01-21,1123,0.4
2022-01-21,1653,1.2
2022-01-21,2345,0.1
2022-01-22,0549,1.1
2022-01-22,1200,0.4
2022-01-22,1728,1.2
2022-01-23,0026,0.2
2022-01-23,0623,1.0
2022-01-23,1249,0.5
2022-01-23,1809,1.1
2022-01-24,0113,0.3
2022-01-24,0706,1.0
2022-01-24,1338,0.5
2022-01-24,1904,1.0
2022-01-25,0213,0.4
2022-01-25,0802,0.9
2022-01-25,1441,0.5
2022-01-25,2032,1.0
2022-01-26,0336,0.5
2022-01-26,0934,0.8
2022-01-26,1600,0.5
2022-01-26,2249,1.0
2022-01-27,0506,0.5
2022-01-27,1113,0.9
2022-01-27,1723,0.4
2022-01-28,0017,1.1
2022-01-28,0621,0.5
