data,hora,mare
2022-01-01,0104,1.1
2022-01-01,0900,0.3
2022-01-01,1334,0.9
2022-01-01,2013,0.1
2022-01-02,0156,1.2
2022-01-02,1008,0.4
2022-01-02,1419,1.0
2022-01-02,2106,0.0
2022-01-03,0245,1.2
2022-01-03,1123,0.4
2022-01-03,1504,1.0
2022-01-03,2158,0.1
2022-01-04,0326,1.1
2022-01-04,0653,0.7
2022-01-04,0902,0.8
2022-01-04,1228,0.5
2022-01-04,1551,1.0
2022-01-04,2243,0.1
2022-01-05,0404,1.1
2022-01-05,0721,0.6
2022-01-05,1017,0.9
2022-01-05,1326,0.6
2022-01-05,1632,1.0
2022-01-05,2323,0.2
2022-01-06,0449,1.0
2022-01-06,0802,0.5
2022-01-06,1124,1.0
2022-01-06,1423,0.7
2022-01-06,1711,1.0
2022-01-06,2145,0.3
2022-01-07,0521,1.0
2022-01-07,0849,0.4
2022-01-07,1226,1.0
2022-01-07,1519,0.7
2022-01-07,1800,0.9
2022-01-07,2208,0.3
2022-01-08,0149,0.4
2022-01-08,0600,0.9
2022-01-08,0928,0.3
2022-01-08,1317,1.0
2022-01-08,1609,0.7
2022-01-08,1854,0.9
2022-01-08,2241,0.4
2022-01-09,0102,0.5
2022-01-09,0258,0.4
2022-01-09,0643,0.9
2022-01-09,1015,0.3
2022-01-09,1402,0.9
2022-01-09,1700,0.6
2022-01-09,1949,0.9
2022-01-09,2315,0.5
2022-01-10,0138,0.6
2022-01-10,0356,0.5
2022-01-10,0724,0.8
2022-01-10,1108,0.4
2022-01-10,1445,0.8
2022-01-10,1739,0.5
2022-01-10,2047,0.9
2022-01-11,0009,0.6
2022-01-11,0200,0.6
2022-01-11,0454,0.5
2022-01-11,0819,0.8
2022-01-11,1206,0.5
2022-01-11,1509,0.7
2022-01-11,1808,0.4
2022-01-11,2154,0.9
2022-01-12,0547,0.5
2022-01-12,0917,0.8
2022-01-12,1328,0.5
2022-01-12,1532,0.6
2022-01-12,1839,0.4
2022-01-12,2304,0.9
2022-01-13,0626,0.5
2022-01-13,1017,0.8
2022-01-13,1856,0.3
2022-01-14,0002,1.0
2022-01-14,0706,0.4
2022-01-14,1119,0.9
2022-01-14,1906,0.2
2022-01-15,0054,1.1
2022-01-15,0747,0.4
2022-01-15,1221,0.9
2022-01-15,1932,0.1
2022-01-16,0139,1.2
2022-01-16,0806,0.4
2022-01-16,1313,1.0
2022-01-16,2006,0.1
2022-01-17,0223,1.2
2022-01-17,0804,0.4
2022-01-17,1400,1.1
2022-01-17,2053,0.1
2022-01-18,0304,1.2
2022-01-18,0802,0.4
2022-01-18,1449,1.1
2022-01-18,2138,0.1
2022-01-19,0349,1.2
2022-01-19,0830,0.4
2022-01-19,1528,1.1
2022-01-19,2221,0.1
2022-01-20,0419,1.2
2022-01-20,0906,0.4
2022-01-20,1606,1.1
2022-01-20,2308,0.2
2022-01-21,0451,1.1
2022-01-21,0941,0.4
2022-01-21,1653,1.1
2022-01-21,2115,0.2
2022-01-21,2256,0.3
2022-01-22,0011,0.2
2022-01-22,0519,1.1
2022-01-22,1011,0.5
2022-01-22,1728,1.0
2022-01-22,2143,0.3
2022-01-22,2353,0.4
2022-01-23,0138,0.3
2022-01-23,0558,1.0
2022-01-23,1017,0.5
2022-01-23,1806,0.9
2022-01-23,2206,0.3
2022-01-24,0024,0.5
2022-01-24,0251,0.4
2022-01-24,0645,1.0
2022-01-24,1023,0.6
2022-01-24,1853,0.9
2022-01-24,2238,0.5
2022-01-25,0100,0.6
2022-01-25,0356,0.4
2022-01-25,0736,0.9
2022-01-25,1058,0.6
2022-01-25,1315,0.7
2022-01-25,1604,0.5
2022-01-25,1941,0.9
2022-01-25,2300,0.6
2022-01-26,0124,0.7
2022-01-26,0458,0.3
2022-01-26,0839,0.8
2022-01-26,1145,0.6
2022-01-26,1343,0.7
2022-01-26,1658,0.4
2022-01-26,2034,0.9
2022-01-26,2315,0.7
2022-01-27,0143,0.8
2022-01-27,0600,0.3
2022-01-27,0951,0.8
2022-01-27,1351,0.7
2022-01-27,1745,0.3
2022-01-27,2147,0.9
2022-01-27,2315,0.9
2022-01-28,0145,0.9
2022-01-28,0700,0.3
2022-01-28,1109,0.8
2022-01-28,1826,0.1
2022-01-29,0132,1.0
2022-01-29,0756,0.3
2022-01-29,1236,0.9
2022-01-29,1913,0.0
2022-01-30,0141,1.1
2022-01-30,0851,0.3
2022-01-30,1334,0.9
2022-01-30,2002,0.0
2022-01-31,0204,1.2
2022-01-31,0949,0.4
2022-01-31,1415,1.0
2022-01-31,2053,0.1
2022-02-01,0241,1.2
2022-02-01,1051,0.5
2022-02-01,1458,1.1
2022-02-01,2136,0.1
2022-02-02,0313,1.2
2022-02-02,0700,0.6
2022-02-02,0858,0.7
2022-02-02,1149,0.5
2022-02-02,1538,1.1
2022-02-02,2208,0.0
2022-02-03,0354,1.1
2022-02-03,0724,0.5
2022-02-03,1021,0.7
2022-02-03,1243,0.6
2022-02-03,1609,1.2
2022-02-03,2234,0.1
2022-02-04,0426,1.1
2022-02-04,0802,0.3
2022-02-04,1130,0.8
2022-02-04,1336,0.7
2022-02-04,1654,1.1
2022-02-04,2211,0.2
2022-02-05,0500,1.1
2022-02-05,0845,0.2
2022-02-05,1224,0.8
2022-02-05,1432,0.7
2022-02-05,1736,1.1
2022-02-05,2156,0.3
2022-02-06,0539,1.0
2022-02-06,0919,0.2
2022-02-06,1309,0.8
2022-02-06,1526,0.7
2022-02-06,1817,1.0
2022-02-06,2208,0.4
2022-02-07,0104,0.5
2022-02-07,0232,0.5
2022-02-07,0609,0.9
2022-02-07,1002,0.2
2022-02-07,1354,0.8
2022-02-07,1617,0.6
2022-02-07,1908,0.9
2022-02-07,2238,0.5
2022-02-08,0121,0.7
2022-02-08,0343,0.6
2022-02-08,0653,0.9
2022-02-08,1043,0.3
2022-02-08,1417,0.8
2022-02-08,1702,0.5
2022-02-08,2004,0.8
2022-02-08,2306,0.6
2022-02-09,0154,0.7
2022-02-09,0443,0.6
2022-02-09,0739,0.8
2022-02-09,1119,0.4
2022-02-09,1443,0.7
2022-02-09,1739,0.4
2022-02-09,2111,0.8
2022-02-09,2358,0.7
2022-02-10,0213,0.8
2022-02-10,0534,0.5
2022-02-10,0834,0.8
2022-02-10,1204,0.5
2022-02-10,1441,0.6
2022-02-10,1800,0.3
2022-02-10,2300,0.9
2022-02-11,0615,0.5
2022-02-11,0938,0.8
2022-02-11,1817,0.3
2022-02-12,0006,1.0
2022-02-12,0658,0.4
2022-02-12,1045,0.8
2022-02-12,1847,0.2
2022-02-13,0056,1.1
2022-02-13,0732,0.4
2022-02-13,1202,0.9
2022-02-13,1915,0.1
2022-02-14,0138,1.2
2022-02-14,0756,0.4
2022-02-14,1304,1.0
2022-02-14,1958,0.0
2022-02-15,0215,1.2
2022-02-15,0758,0.4
2022-02-15,1356,1.1
2022-02-15,2047,0.0
2022-02-16,0256,1.3
2022-02-16,0806,0.3
2022-02-16,1441,1.2
2022-02-16,2130,0.0
2022-02-17,0332,1.2
2022-02-17,0830,0.3
2022-02-17,1515,1.2
2022-02-17,2211,0.0
2022-02-18,0400,1.2
2022-02-18,0900,0.3
2022-02-18,1556,1.2
2022-02-18,2300,0.1
2022-02-19,0430,1.2
2022-02-19,0924,0.3
2022-02-19,1628,1.2
2022-02-19,2100,0.2
2022-02-19,2247,0.3
2022-02-20,0000,0.3
2022-02-20,0500,1.1
2022-02-20,0932,0.4
2022-02-20,1658,1.1
2022-02-20,2111,0.3
2022-02-20,2347,0.4
2022-02-21,0130,0.4
2022-02-21,0538,1.0
2022-02-21,0934,0.4
2022-02-21,1734,1.0
2022-02-21,2136,0.4
2022-02-22,0015,0.6
2022-02-22,0251,0.4
2022-02-22,0613,0.9
2022-02-22,0956,0.4
2022-02-22,1811,1.0
2022-02-22,2156,0.4
2022-02-23,0054,0.7
2022-02-23,0356,0.4
2022-02-23,0702,0.8
2022-02-23,1023,0.4
2022-02-23,1319,0.6
2022-02-23,1539,0.5
2022-02-23,1902,0.9
2022-02-23,2206,0.6
2022-02-24,0117,0.9
2022-02-24,0500,0.4
2022-02-24,0802,0.7
2022-02-24,1102,0.5
2022-02-24,1347,0.6
2022-02-24,1641,0.4
2022-02-24,2000,0.8
2022-02-24,2223,0.7
2022-02-25,0149,1.0
2022-02-25,0602,0.3
2022-02-25,0919,0.7
2022-02-25,1153,0.6
2022-02-25,1400,0.7
2022-02-25,1726,0.2
2022-02-25,2113,0.8
2022-02-25,2232,0.8
2022-02-26,0208,1.1
2022-02-26,0658,0.3
2022-02-26,1109,0.7
2022-02-26,1809,0.1
2022-02-27,0215,1.1
2022-02-27,0747,0.3
2022-02-27,1239,0.8
2022-02-27,1858,0.0
2022-02-28,0149,1.1
2022-02-28,0830,0.3
2022-02-28,1323,1.0
2022-02-28,1945,0.1
2022-03-01,0153,1.1
2022-03-01,0913,0.4
2022-03-01,1402,1.1
2022-03-01,2023,0.1
2022-03-02,0213,1.2
2022-03-02,1002,0.5
2022-03-02,1441,1.2
2022-03-02,2100,0.1
2022-03-03,0253,1.2
2022-03-03,0649,0.5
2022-03-03,0923,0.6
2022-03-03,1053,0.6
2022-03-03,1511,1.3
2022-03-03,2132,0.0
2022-03-04,0324,1.2
2022-03-04,0713,0.3
2022-03-04,1145,0.6
2022-03-04,1553,1.3
2022-03-04,2147,0.1
2022-03-05,0400,1.1
2022-03-05,0754,0.2
2022-03-05,1624,1.2
2022-03-05,2124,0.2
2022-03-06,0438,1.1
2022-03-06,0828,0.1
2022-03-06,1704,1.2
2022-03-06,2119,0.3
2022-03-07,0504,1.0
2022-03-07,0904,0.2
2022-03-07,1309,0.7
2022-03-07,1419,0.7
2022-03-07,1753,1.1
2022-03-07,2138,0.4
2022-03-08,0056,0.6
2022-03-08,0209,0.6
2022-03-08,0543,0.9
2022-03-08,0939,0.2
2022-03-08,1347,0.7
2022-03-08,1515,0.6
2022-03-08,1838,0.9
2022-03-08,2200,0.5
2022-03-09,0102,0.7
2022-03-09,0323,0.6
2022-03-09,0613,0.9
2022-03-09,1008,0.3
2022-03-09,1402,0.6
2022-03-09,1604,0.6
2022-03-09,1924,0.9
2022-03-09,2228,0.6
2022-03-10,0126,0.8
2022-03-10,0419,0.6
2022-03-10,0702,0.8
2022-03-10,1043,0.4
2022-03-10,1400,0.6
2022-03-10,1643,0.5
2022-03-10,2028,0.8
2022-03-10,2258,0.7
2022-03-11,0151,0.8
2022-03-11,0509,0.5
2022-03-11,0800,0.8
2022-03-11,1117,0.5
2022-03-11,1353,0.6
2022-03-11,1704,0.4
2022-03-12,0006,0.9
2022-03-12,0558,0.4
2022-03-12,0906,0.8
2022-03-12,1213,0.6
2022-03-12,1343,0.6
2022-03-12,1739,0.3
2022-03-13,0013,1.0
2022-03-13,0636,0.4
2022-03-13,1019,0.8
2022-03-13,1811,0.1
2022-03-14,0053,1.1
2022-03-14,0700,0.3
2022-03-14,1141,0.9
2022-03-14,1856,0.1
2022-03-15,0124,1.2
2022-03-15,0719,0.3
2022-03-15,1249,1.0
2022-03-15,1943,0.0
2022-03-16,0200,1.3
2022-03-16,0730,0.3
2022-03-16,1339,1.1
2022-03-16,2028,0.0
2022-03-17,0234,1.3
2022-03-17,0749,0.2
2022-03-17,1419,1.2
2022-03-17,2113,0.0
2022-03-18,0300,1.3
2022-03-18,0815,0.2
2022-03-18,1500,1.3
2022-03-18,2200,0.1
2022-03-19,0332,1.2
2022-03-19,0843,0.3
2022-03-19,1536,1.3
2022-03-19,2253,0.2
2022-03-20,0402,1.2
2022-03-20,0856,0.3
2022-03-20,1602,1.2
2022-03-20,2024,0.3
2022-03-20,2209,0.4
2022-03-21,0000,0.3
2022-03-21,0439,1.1
2022-03-21,0853,0.3
2022-03-21,1636,1.2
2022-03-21,2043,0.4
2022-03-21,2311,0.6
2022-03-22,0138,0.4
2022-03-22,0511,1.0
2022-03-22,0902,0.3
2022-03-22,1708,1.1
2022-03-22,2058,0.4
2022-03-22,2358,0.8
2022-03-23,0256,0.5
2022-03-23,0558,0.9
2022-03-23,0923,0.3
2022-03-23,1347,0.5
