data,hora,mare
0101,0439,0.8
0101,1113,0.2
0101,1624,0.5
0101,2238,0.0
0102,0504,0.8
0102,1200,0.3
0102,1611,0.6
0102,2317,0.0
0103,0528,0.8
0103,1241,0.3
0103,1626,0.6
0104,0000,0.1
0104,0556,0.7
0104,1317,0.4
0104,1656,0.6
0105,0047,0.0
0105,0619,0.7
0105,1358,0.5
0105,1724,0.7
0106,0134,0.0
0106,0645,0.6
0106,0947,0.5
0106,1224,0.6
0106,1430,0.5
0106,1800,0.7
0107,0221,0.1
0107,0706,0.5
0107,1009,0.4
0107,1839,0.7
0108,0315,0.2
0108,0734,0.5
0108,1049,0.4
0108,1919,0.6
0109,0009,0.4
0109,0417,0.3
0109,0802,0.4
0109,1123,0.3
0109,2011,0.6
0110,0019,0.4
0110,0213,0.4
0110,0539,0.3
0110,0841,0.4
0110,1200,0.3
0110,1654,0.5
0110,1843,0.5
0110,2158,0.5
0111,0045,0.5
0111,0304,0.5
0111,0700,0.4
0111,0938,0.4
0111,1239,0.4
0111,1617,0.4
0111,1949,0.4
0112,0334,0.6
0112,0811,0.4
0112,1209,0.4
0112,2026,0.3
0113,0254,0.6
0113,0902,0.3
0113,1404,0.5
0113,2058,0.2
0114,0308,0.7
0114,0947,0.3
0114,1438,0.5
0114,2128,0.1
0115,0339,0.7
0115,1021,0.3
0115,1509,0.6
0115,2200,0.1
0116,0413,0.8
0116,1058,0.3
0116,1545,0.6
0116,2236,0.0
0117,0454,0.8
0117,1132,0.3
0117,1613,0.7
0117,2311,0.0
0118,0532,0.8
0118,1204,0.3
0118,1647,0.7
0118,2354,0.0
0119,0609,0.8
0119,1238,0.3
0119,1713,0.7
0120,0038,0.0
0120,0649,0.7
0120,1309,0.3
0120,1749,0.7
0121,0123,0.1
0121,0721,0.7
0121,1349,0.4
0121,1817,0.7
0122,0213,0.1
0122,0751,0.6
0122,1432,0.4
0122,1856,0.6
0123,0315,0.2
0123,0811,0.5
0123,1000,0.5
0123,1136,0.5
0123,1526,0.4
0123,1938,0.6
0124,0432,0.3
0124,0836,0.4
0124,0956,0.4
0124,1304,0.5
0124,1636,0.4
0124,2036,0.5
0124,2349,0.5
0125,0154,0.5
0125,0600,0.3
0125,0909,0.4
0125,1402,0.5
0125,1751,0.4
0126,0251,0.6
0126,0734,0.3
0126,1449,0.5
0126,1858,0.3
0127,0334,0.7
0127,0856,0.3
0127,1521,0.5
0127,1956,0.2
0128,0411,0.7
0128,0947,0.3
0128,1553,0.5
0128,2047,0.1
0129,0445,0.8
0129,1026,0.3
0129,1606,0.5
0129,2132,0.0
0130,0511,0.8
0130,1106,0.3
0130,1539,0.5
0130,2215,0.0
0131,0519,0.8
0131,1145,0.3
0131,1543,0.6
0131,2300,0.1
0201,0523,0.7
0201,1217,0.4
0201,1608,0.6
0201,2347,0.1
0202,0538,0.7
0202,1253,0.4
0202,1645,0.7
0203,0030,0.0
0203,0556,0.6
0203,1317,0.4
0203,1717,0.7
0204,0113,0.0
0204,0613,0.6
0204,1000,0.4
0204,1200,0.5
0204,1336,0.5
0204,1758,0.7
0205,0200,0.1
0205,0638,0.5
0205,1024,0.4
0205,1841,0.7
0206,0253,0.2
0206,0700,0.5
0206,1102,0.3
0206,1923,0.6
0207,0056,0.4
0207,0349,0.3
0207,0723,0.5
0207,1141,0.3
0207,2017,0.6
0208,0004,0.4
0208,0215,0.5
0208,0458,0.4
0208,0756,0.5
0208,1221,0.3
0208,2153,0.5
0209,0015,0.5
0209,0308,0.5
0209,0621,0.5
0209,0834,0.5
0209,1311,0.3
0209,1500,0.3
0209,1749,0.3
0210,0339,0.6
0210,0758,0.4
0210,0949,0.5
0210,1923,0.3
0211,0308,0.6
0211,0853,0.4
0211,1247,0.5
0211,2013,0.2
0212,0300,0.7
0212,0928,0.4
0212,1413,0.5
0212,2054,0.1
0213,0330,0.7
0213,1004,0.3
0213,1454,0.6
0213,2134,0.1
0214,0404,0.8
0214,1041,0.3
0214,1526,0.6
0214,2213,0.0
0215,0443,0.8
0215,1111,0.3
0215,1600,0.6
0215,2256,0.0
0216,0521,0.8
0216,1147,0.3
0216,1632,0.7
0216,2339,0.0
0217,0558,0.8
0217,1215,0.3
0217,1704,0.7
0218,0023,0.0
0218,0632,0.7
0218,1251,0.3
0218,1738,0.7
0219,0111,0.1
0219,0700,0.7
0219,1324,0.3
0219,1809,0.7
0220,0204,0.1
0220,0711,0.6
0220,1404,0.3
0220,1853,0.7
0221,0304,0.2
0221,0721,0.5
0221,1456,0.3
0221,1936,0.6
0222,0417,0.3
0222,0739,0.4
0222,1021,0.4
0222,1239,0.4
0222,1556,0.3
0222,2030,0.6
0222,2311,0.5
0223,0151,0.6
0223,0554,0.4
0223,0758,0.4
0223,1054,0.3
0223,1343,0.4
0223,1702,0.3
0224,0251,0.6
0224,1119,0.3
0224,1426,0.4
0224,1811,0.2
0225,0339,0.7
0225,1149,0.3
0225,1502,0.4
0225,1919,0.2
0226,0419,0.8
0226,1000,0.3
0226,1534,0.4
0226,2019,0.1
0227,0456,0.8
0227,1021,0.3
0227,1539,0.5
0227,2109,0.0
0228,0526,0.8
0228,1054,0.3
0228,1504,0.5
0228,2200,0.0
0301,0530,0.7
0301,1121,0.4
0301,1521,0.6
0301,2247,0.1
0302,0511,0.7
0302,1154,0.4
0302,1558,0.7
0302,2330,0.0
0303,0513,0.7
0303,1219,0.4
0303,1638,0.7
0304,0011,0.0
0304,0526,0.6
0304,1243,0.4
0304,1713,0.7
0305,0058,0.1
0305,0547,0.6
0305,1243,0.3
0305,1756,0.7
0306,0141,0.2
0306,0604,0.6
0306,1119,0.3
0306,1839,0.7
0307,0221,0.3
0307,0628,0.6
0307,1139,0.3
0307,1921,0.6
0308,0049,0.4
0308,0304,0.4
0308,0656,0.6
0308,1219,0.3
0308,2011,0.6
0308,2358,0.5
0309,0221,0.5
0309,0400,0.5
0309,0719,0.6
0309,1324,0.3
0309,2136,0.5
0310,0006,0.5
0310,0313,0.5
0310,0534,0.5
0310,0754,0.5
0310,1638,0.3
0311,0336,0.6
0311,0719,0.5
0311,1813,0.2
0312,0247,0.6
0312,0841,0.4
0312,1051,0.5
0312,1926,0.2
0313,0249,0.7
0313,0913,0.4
0313,1353,0.5
0313,2023,0.1
0314,0319,0.7
0314,0951,0.3
0314,1441,0.5
0314,2109,0.1
0315,0356,0.8
0315,1019,0.3
0315,1515,0.6
0315,2156,0.0
0316,0434,0.8
0316,1053,0.3
0316,1551,0.6
0316,2241,0.0
0317,0509,0.8
0317,1121,0.2
0317,1621,0.7
0317,2326,0.0
0318,0547,0.8
0318,1154,0.2
0318,1656,0.7
0319,0011,0.0
0319,0615,0.7
0319,1224,0.2
0319,1730,0.7
0320,0102,0.1
0320,0630,0.6
0320,1300,0.2
0320,1806,0.7
0321,0158,0.2
0321,0634,0.6
0321,1343,0.2
0321,1849,0.7
0322,0258,0.3
0322,0645,0.5
0322,1428,0.2
0322,1930,0.6
0322,2300,0.5
0323,0011,0.5
0323,0404,0.4
0323,0658,0.5
0323,1156,0.3
0323,1523,0.2
0323,2023,0.6
0323,2251,0.5
0324,0147,0.6
0324,0543,0.5
0324,0704,0.5
0324,1108,0.3
0324,1308,0.3
0324,1628,0.2
0325,0249,0.7
0325,1147,0.3
0325,1402,0.3
0325,1743,0.2
0326,0339,0.7
0326,1215,0.3
0326,1447,0.4
0326,1854,0.1
0327,0421,0.8
0327,1254,0.4
0327,1511,0.4
0327,1958,0.1
0328,0500,0.8
0328,1009,0.4
0328,1517,0.5
0328,2056,0.0
0329,0530,0.7
0329,1032,0.4
0329,1436,0.5
0329,2147,0.0
0330,0528,0.7
0330,1058,0.4
0330,1509,0.6
0330,2232,0.0
0331,0441,0.6
0331,1123,0.3
0331,1553,0.7
0331,2313,0.0
0401,0443,0.6
0401,1149,0.3
0401,1630,0.7
0401,2358,0.1
0402,0458,0.6
0402,1206,0.3
0402,1709,0.8
0403,0039,0.2
0403,0515,0.6
0403,1219,0.2
0403,1754,0.7
0404,0115,0.3
0404,0541,0.6
0404,1228,0.2
0404,1834,0.7
0405,0153,0.3
0405,0604,0.6
0405,1251,0.2
0405,1915,0.7
0406,0223,0.4
0406,0632,0.6
0406,1336,0.2
0406,2004,0.6
0407,0000,0.5
0407,0700,0.6
0407,1441,0.2
0407,2109,0.5
0408,0011,0.5
0408,0730,0.6
0408,1602,0.2
0409,0308,0.5
0409,0621,0.5
0409,0758,0.5
0409,1728,0.2
0410,0217,0.6
0410,1851,0.2
0411,0236,0.7
0411,0900,0.4
0411,1341,0.5
0411,1956,0.2
0412,0308,0.7
0412,0928,0.3
0412,1434,0.5
0412,2051,0.1
0413,0347,0.8
0413,0958,0.3
0413,1509,0.6
0413,2141,0.0
0414,0423,0.8
0414,1026,0.3
0414,1541,0.7
0414,2228,0.0
0415,0500,0.8
0415,1056,0.2
0415,1613,0.7
0415,2315,0.0
0416,0532,0.7
0416,1128,0.2
0416,1651,0.7
0417,0004,0.1
0417,0553,0.7
0417,1200,0.2
0417,1724,0.8
0418,0056,0.1
0418,0558,0.6
0418,1239,0.1
0418,1804,0.8
0419,0149,0.2
0419,0600,0.5
0419,1317,0.1
0419,1845,0.7
0420,0247,0.3
0420,0608,0.5
0420,1404,0.1
0420,1924,0.7
0420,2223,0.6
0421,0004,0.6
0421,0353,0.4
0421,0626,0.5
0421,1458,0.1
0421,2011,0.6
0421,2215,0.6
0422,0139,0.7
0422,0511,0.5
0422,0641,0.5
0422,1600,0.1
0422,2119,0.5
0423,0247,0.7
0423,1158,0.3
0423,1339,0.3
0423,1709,0.2
0424,0339,0.7
0424,1226,0.3
0424,1423,0.4
0424,1824,0.1
0425,0421,0.7
0425,1302,0.4
0425,1458,0.4
0425,1939,0.1
0426,0458,0.7
0426,0949,0.4
0426,1509,0.5
0426,2039,0.1
0427,0519,0.7
0427,1004,0.4
0427,1426,0.6
0427,2130,0.1
0428,0500,0.6
0428,1028,0.3
0428,1506,0.6
0428,2215,0.1
0429,0406,0.6
0429,1054,0.3
0429,1547,0.7
0429,2300,0.1
0430,0408,0.6
0430,1113,0.2
0430,1624,0.7
0430,2342,0.2
0501,0426,0.6
0501,1138,0.2
0501,1704,0.8
0502,0015,0.2
0502,0453,0.6
0502,1158,0.1
0502,1747,0.8
0503,0054,0.3
0503,0515,0.7
0503,1224,0.1
0503,1824,0.7
0504,0123,0.4
0504,0547,0.7
0504,1256,0.1
0504,1906,0.7
0505,0143,0.4
0505,0611,0.7
0505,1339,0.1
0505,1953,0.6
0506,0038,0.5
0506,0645,0.6
0506,1432,0.2
0506,2047,0.6
0507,0053,0.5
0507,0709,0.6
0507,1541,0.2
0507,2347,0.5
0508,0456,0.5
0508,0745,0.5
0508,1658,0.2
0509,0143,0.6
0509,0711,0.5
0509,1813,0.2
0510,0219,0.6
0510,0824,0.4
0510,1408,0.5
0510,1930,0.2
0511,0300,0.7
0511,0858,0.4
0511,1441,0.5
0511,2034,0.1
0512,0338,0.7
0512,0926,0.3
0512,1511,0.6
0512,2128,0.1
0513,0413,0.7
0513,0956,0.2
0513,1539,0.7
0513,2219,0.1
0514,0449,0.7
0514,1026,0.2
0514,1613,0.7
0514,2308,0.1
0515,0515,0.7
0515,1102,0.1
0515,1649,0.8
0515,2358,0.1
0516,0524,0.6
0516,1139,0.1
0516,1723,0.8
0517,0049,0.2
0517,0519,0.6
0517,1215,0.0
0517,1800,0.8
0518,0138,0.3
0518,0524,0.6
0518,1300,0.0
0518,1838,0.7
0519,0226,0.4
0519,0547,0.6
0519,1349,0.0
0519,1913,0.7
0519,2158,0.6
0519,2358,0.6
0520,0323,0.5
0520,0604,0.6
0520,1441,0.1
0520,1956,0.6
0520,2200,0.5
0521,0132,0.7
0521,0439,0.6
0521,0626,0.6
0521,1541,0.1
0521,2038,0.5
0521,2209,0.5
0522,0245,0.7
0522,1202,0.3
0522,1304,0.3
0522,1651,0.2
0523,0339,0.7
0523,1224,0.4
0523,1406,0.4
0523,1802,0.2
0524,0419,0.7
0524,1258,0.4
0524,1454,0.4
0524,1917,0.2
0525,0453,0.6
0525,0909,0.4
0525,1519,0.5
0525,2023,0.2
0526,0500,0.6
0526,0932,0.4
0526,1439,0.6
0526,2117,0.2
0527,0413,0.5
0527,0956,0.3
0527,1506,0.6
0527,2202,0.2
0528,0324,0.5
0528,1021,0.2
0528,1543,0.7
0528,2247,0.2
0529,0338,0.6
0529,1045,0.2
0529,1617,0.8
0529,2321,0.2
0530,0402,0.6
0530,1109,0.1
0530,1658,0.8
0530,2358,0.3
0531,0428,0.7
0531,1139,0.1
0531,1738,0.8
0601,0030,0.3
0601,0500,0.7
0601,1209,0.1
0601,1813,0.7
0602,0058,0.4
0602,0528,0.7
0602,1247,0.1
0602,1856,0.7
0603,0123,0.4
0603,0600,0.7
0603,1328,0.1
0603,1936,0.6
0604,0141,0.4
0604,0628,0.6
0604,1417,0.1
0604,2021,0.6
0605,0226,0.5
0605,0700,0.6
0605,1515,0.2
0605,2149,0.5
0606,0353,0.5
0606,0736,0.6
0606,1630,0.2
0607,0109,0.6
0607,0538,0.5
0607,0821,0.5
0607,1754,0.2
0608,0204,0.6
0608,0709,0.4
0608,1023,0.5
0608,1208,0.5
0608,1419,0.5
0608,1911,0.2
0609,0251,0.6
0609,0806,0.4
0609,1454,0.5
0609,2023,0.2
0610,0326,0.7
0610,0847,0.3
0610,1524,0.6
0610,2121,0.1
0611,0402,0.7
0611,0921,0.2
0611,1549,0.7
0611,2213,0.1
0612,0434,0.6
0612,0958,0.1
0612,1619,0.8
0612,2302,0.1
0613,0453,0.6
0613,1038,0.1
0613,1651,0.8
0613,2353,0.2
0614,0449,0.6
0614,1115,0.0
0614,1723,0.8
0615,0038,0.3
0615,0449,0.6
0615,1158,0.0
0615,1758,0.8
0616,0119,0.3
0616,0502,0.6
0616,1245,0.0
0616,1826,0.7
0617,0204,0.4
0617,0523,0.6
0617,1330,0.0
0617,1900,0.6
0617,2141,0.6
0617,2349,0.6
0618,0254,0.5
0618,0556,0.6
0618,1419,0.0
0618,1924,0.6
0618,2154,0.5
0619,0121,0.6
0619,0347,0.6
0619,0623,0.6
0619,1517,0.1
0619,1958,0.5
0619,2215,0.4
0620,0245,0.6
0620,0453,0.6
0620,0658,0.6
0620,1247,0.3
0620,1623,0.2
0620,2026,0.4
0620,2251,0.4
0621,0341,0.6
0621,0611,0.6
0621,0739,0.6
0621,1211,0.4
0621,1400,0.4
0621,1741,0.3
0621,2108,0.4
0621,2317,0.4
0622,0417,0.6
0622,0745,0.5
0622,0902,0.5
0622,1241,0.4
0622,1456,0.5
0622,1900,0.3
0622,2219,0.4
0623,0439,0.5
0623,0819,0.4
0623,1532,0.5
0623,2009,0.3
0624,0428,0.5
0624,0854,0.3
0624,1536,0.6
0624,2106,0.3
0625,0308,0.5
0625,0921,0.3
0625,1511,0.6
0625,2153,0.3
0626,0245,0.5
0626,0949,0.2
0626,1538,0.7
0626,2228,0.3
0627,0308,0.6
0627,1015,0.1
0627,1609,0.8
0627,2302,0.3
0628,0339,0.6
0628,1047,0.1
0628,1649,0.8
0628,2339,0.3
0629,0409,0.7
0629,1117,0.0
0629,1724,0.8
0630,0008,0.3
0630,0445,0.7
0630,1154,0.0
0630,1802,0.8
0701,0038,0.3
0701,0513,0.7
0701,1234,0.0
0701,1841,0.7
0702,0104,0.4
0702,0549,0.7
0702,1313,0.1
0702,1917,0.7
0703,0136,0.4
0703,0617,0.7
0703,1402,0.1
0703,1956,0.6
0704,0215,0.4
0704,0653,0.6
0704,1500,0.2
0704,2036,0.5
0705,0315,0.4
0705,0728,0.6
0705,1608,0.2
0706,0047,0.5
0706,0436,0.4
0706,0817,0.5
0706,1217,0.4
0706,1734,0.3
0707,0151,0.5
0707,0558,0.4
0707,0958,0.5
0707,1154,0.5
0707,1423,0.5
0707,1902,0.3
0708,0236,0.6
0708,0706,0.3
0708,1504,0.6
0708,2019,0.2
0709,0311,0.6
0709,0802,0.3
0709,1539,0.7
0709,2121,0.2
0710,0351,0.6
0710,0849,0.2
0710,1609,0.7
0710,2211,0.2
0711,0415,0.6
0711,0932,0.1
0711,1634,0.8
0711,2258,0.2
0712,0428,0.5
0712,1013,0.0
0712,1702,0.8
0712,2341,0.3
0713,0411,0.6
0713,1058,0.1
0713,1726,0.8
0714,0019,0.3
0714,0417,0.6
0714,1143,0.1
0714,1753,0.8
0715,0100,0.4
0715,0445,0.6
0715,1226,0.1
0715,1811,0.7
0716,0139,0.4
