data,hora,mare
2022-01-01,0051,1.1
2022-01-01,0906,0.3
2022-01-01,1325,0.9
2022-01-01,2014,0.0
2022-01-02,0142,1.1
2022-01-02,1002,0.3
2022-01-02,1404,0.9
2022-01-02,2104,0.0
2022-01-03,0227,1.2
2022-01-03,0757,0.7
2022-01-03,1057,0.4
2022-01-03,1447,0.9
2022-01-03,2157,0.0
2022-01-04,0312,1.1
2022-01-04,0704,0.6
2022-01-04,0902,0.7
2022-01-04,1157,0.5
2022-01-04,1527,1.0
2022-01-04,2244,0.0
2022-01-05,0401,1.1
2022-01-05,0751,0.5
2022-01-05,1010,0.7
2022-01-05,1259,0.6
2022-01-05,1608,1.0
2022-01-05,2321,0.1
2022-01-06,0444,1.0
2022-01-06,0825,0.5
2022-01-06,1121,0.8
2022-01-06,1402,0.6
2022-01-06,1701,0.9
2022-01-07,0004,0.2
2022-01-07,0519,0.9
2022-01-07,0904,0.4
2022-01-07,1231,0.8
2022-01-07,1502,0.7
2022-01-07,1749,0.9
2022-01-07,2214,0.3
2022-01-08,0601,0.9
2022-01-08,0949,0.4
2022-01-08,1319,0.8
2022-01-08,1601,0.7
2022-01-08,1836,0.8
2022-01-08,2257,0.4
2022-01-09,0149,0.4
2022-01-09,0644,0.8
2022-01-09,1025,0.4
2022-01-09,1402,0.8
2022-01-09,1651,0.6
2022-01-09,1921,0.8
2022-01-09,2329,0.4
2022-01-10,0131,0.5
2022-01-10,0312,0.5
2022-01-10,0723,0.7
2022-01-10,1106,0.4
2022-01-10,1440,0.7
2022-01-10,1725,0.6
2022-01-10,2027,0.8
2022-01-11,0029,0.5
2022-01-11,0210,0.5
2022-01-11,0423,0.5
2022-01-11,0810,0.7
2022-01-11,1159,0.5
2022-01-11,1502,0.6
2022-01-11,1801,0.5
2022-01-11,2144,0.8
2022-01-12,0521,0.5
2022-01-12,0916,0.7
2022-01-12,1302,0.5
2022-01-12,1455,0.6
2022-01-12,1819,0.4
2022-01-12,2259,0.8
2022-01-13,0610,0.5
2022-01-13,1046,0.7
2022-01-13,1849,0.3
2022-01-14,0001,0.9
2022-01-14,0646,0.5
2022-01-14,1153,0.8
2022-01-14,1914,0.3
2022-01-15,0051,1.0
2022-01-15,0712,0.4
2022-01-15,1244,0.8
2022-01-15,1949,0.2
2022-01-16,0136,1.1
2022-01-16,0708,0.4
2022-01-16,1321,0.9
2022-01-16,2017,0.1
2022-01-17,0214,1.1
2022-01-17,0716,0.4
2022-01-17,1402,1.0
2022-01-17,2036,0.1
2022-01-18,0259,1.1
2022-01-18,0746,0.4
2022-01-18,1446,1.0
2022-01-18,2112,0.1
2022-01-19,0334,1.1
2022-01-19,0814,0.4
2022-01-19,1521,1.0
2022-01-19,2127,0.1
2022-01-20,0410,1.1
2022-01-20,0846,0.4
2022-01-20,1601,1.0
2022-01-20,2223,0.2
2022-01-21,0453,1.0
2022-01-21,0914,0.4
2022-01-21,1636,1.0
2022-01-21,2327,0.2
2022-01-22,0525,1.0
2022-01-22,0949,0.5
2022-01-22,1712,1.0
2022-01-23,0040,0.3
2022-01-23,0604,0.9
2022-01-23,1021,0.5
2022-01-23,1759,0.9
2022-01-23,2353,0.4
2022-01-24,0151,0.4
2022-01-24,0653,0.8
2022-01-24,1157,0.6
2022-01-24,1417,0.5
2022-01-24,1847,0.9
2022-01-24,2310,0.5
2022-01-25,0006,0.5
2022-01-25,0329,0.4
2022-01-25,0753,0.7
2022-01-25,1531,0.5
2022-01-25,1947,0.8
