data,hora,mare
2022-01-01,0209,1.7
2022-01-01,0615,0.7
2022-01-01,0824,0.9
2022-01-01,1128,0.4
2022-01-01,1513,1.5
2022-01-01,2013,0.1
2022-01-02,0308,1.7
2022-01-02,0706,0.7
2022-01-02,0945,1.0
2022-01-02,1238,0.5
2022-01-02,1608,1.5
2022-01-02,2054,0.1
2022-01-03,0402,1.7
2022-01-03,0758,0.5
2022-01-03,1056,1.1
2022-01-03,1347,0.6
2022-01-03,1704,1.4
2022-01-03,2134,0.0
2022-01-04,0456,1.7
2022-01-04,0845,0.4
2022-01-04,1158,1.3
2022-01-04,1454,0.7
2022-01-04,1800,1.4
2022-01-04,2211,0.1
2022-01-05,0545,1.6
2022-01-05,0926,0.3
2022-01-05,1254,1.4
2022-01-05,1554,0.7
2022-01-05,1856,1.4
2022-01-05,2256,0.1
2022-01-06,0626,1.5
2022-01-06,1008,0.2
2022-01-06,1345,1.5
2022-01-06,1653,0.7
2022-01-06,1951,1.3
2022-01-06,2338,0.2
2022-01-07,0709,1.4
2022-01-07,1054,0.2
2022-01-07,1428,1.5
2022-01-07,1743,0.6
2022-01-07,2045,1.3
2022-01-08,0021,0.4
2022-01-08,0758,1.3
2022-01-08,1139,0.3
2022-01-08,1511,1.4
2022-01-08,1826,0.6
2022-01-08,2139,1.2
2022-01-09,0111,0.5
2022-01-09,0851,1.2
2022-01-09,1224,0.4
2022-01-09,1558,1.2
2022-01-09,1906,0.6
2022-01-09,2232,1.3
2022-01-10,0209,0.6
2022-01-10,0513,0.8
2022-01-10,0608,0.8
2022-01-10,0951,1.1
2022-01-10,1323,0.6
2022-01-10,1639,1.0
2022-01-10,1943,0.6
2022-01-10,2319,1.3
2022-01-11,0315,0.6
2022-01-11,1056,1.1
2022-01-11,1456,0.6
2022-01-11,1711,0.8
2022-01-11,1958,0.6
2022-01-12,0006,1.4
2022-01-12,0424,0.6
2022-01-12,1158,1.2
2022-01-12,1939,0.5
2022-01-13,0053,1.5
2022-01-13,0536,0.5
2022-01-13,1253,1.3
2022-01-13,1834,0.4
2022-01-14,0134,1.6
2022-01-14,0632,0.5
2022-01-14,1338,1.3
2022-01-14,1906,0.2
2022-01-15,0215,1.6
2022-01-15,0713,0.4
2022-01-15,1417,1.4
2022-01-15,1938,0.1
2022-01-16,0300,1.7
2022-01-16,0753,0.3
2022-01-16,1502,1.4
2022-01-16,2006,0.1
2022-01-17,0347,1.7
2022-01-17,0821,0.3
2022-01-17,1547,1.4
2022-01-17,2039,0.0
2022-01-18,0424,1.7
2022-01-18,0856,0.3
2022-01-18,1628,1.4
2022-01-18,2108,0.0
2022-01-19,0504,1.7
2022-01-19,0923,0.2
2022-01-19,1706,1.4
2022-01-19,2141,0.1
2022-01-20,0545,1.7
2022-01-20,0958,0.2
2022-01-20,1413,1.1
2022-01-20,1456,1.1
2022-01-20,1751,1.3
2022-01-20,2209,0.1
2022-01-21,0621,1.6
2022-01-21,1028,0.3
2022-01-21,1553,1.1
2022-01-21,1828,1.3
2022-01-21,2247,0.2
2022-01-22,0251,0.6
2022-01-22,0704,1.5
2022-01-22,1104,0.3
2022-01-22,1500,1.1
2022-01-22,1632,1.0
2022-01-22,1909,1.2
2022-01-22,2313,0.4
2022-01-23,0211,0.7
2022-01-23,0402,0.6
2022-01-23,0756,1.4
2022-01-23,1147,0.5
2022-01-23,1519,1.0
2022-01-23,1702,0.9
2022-01-23,2000,1.2
2022-01-23,2356,0.5
2022-01-24,0241,0.8
2022-01-24,0509,0.6
2022-01-24,0856,1.2
2022-01-24,1236,0.6
2022-01-24,1545,0.9
2022-01-24,1741,0.8
2022-01-24,2102,1.2
2022-01-25,0039,0.7
2022-01-25,0306,0.9
2022-01-25,0619,0.5
2022-01-25,1006,1.2
2022-01-25,1349,0.7
2022-01-25,1554,0.8
2022-01-25,1809,0.7
2022-01-25,2206,1.2
2022-01-26,0132,0.8
2022-01-26,0347,1.0
2022-01-26,0723,0.4
2022-01-26,1123,1.2
2022-01-26,1849,0.5
2022-01-26,2311,1.3
2022-01-27,0241,1.0
2022-01-27,0421,1.0
2022-01-27,0823,0.3
2022-01-27,1232,1.3
2022-01-27,1921,0.3
2022-01-28,0015,1.5
2022-01-28,0402,1.0
2022-01-28,0500,1.0
