data,hora,mare
0101,0256,2.1
0101,0908,0.3
0101,1509,2.1
0101,2134,0.0
0102,0347,2.1
0102,0956,0.2
0102,1556,2.2
0102,2219,0.0
0103,0436,2.1
0103,1039,0.2
0103,1643,2.2
0103,2304,0.0
0104,0523,2.1
0104,1121,0.2
0104,1728,2.2
0104,2351,0.0
0105,0608,2.0
0105,1204,0.3
0105,1815,2.1
0106,0036,0.1
0106,0654,1.9
0106,1251,0.4
0106,1902,2.0
0107,0121,0.3
0107,0741,1.8
0107,1338,0.5
0107,1953,1.9
0108,0209,0.4
0108,0830,1.7
0108,1426,0.6
0108,2047,1.8
0109,0304,0.5
0109,0924,1.7
0109,1526,0.7
0109,2147,1.7
0110,0408,0.7
0110,1024,1.6
0110,1639,0.7
0110,2254,1.6
0111,0519,0.7
0111,1128,1.6
0111,1754,0.7
0112,0004,1.6
0112,0626,0.7
0112,1232,1.6
0112,1900,0.6
0113,0109,1.6
0113,0724,0.7
0113,1330,1.7
0113,1954,0.6
0114,0206,1.7
0114,0811,0.6
0114,1417,1.7
0114,2039,0.5
0115,0253,1.7
0115,0856,0.6
0115,1500,1.8
0115,2117,0.4
0116,0332,1.8
0116,0934,0.5
0116,1536,1.9
0116,2156,0.3
0117,0408,1.8
0117,1008,0.4
0117,1609,1.9
0117,2230,0.3
0118,0441,1.9
0118,1045,0.4
0118,1641,2.0
0118,2304,0.2
0119,0511,1.9
0119,1115,0.4
0119,1713,2.0
0119,2339,0.2
0120,0547,1.9
0120,1153,0.4
0120,1751,2.0
0121,0013,0.2
0121,0621,1.9
0121,1226,0.4
0121,1828,2.0
0122,0054,0.3
0122,0700,1.9
0122,1306,0.4
0122,1909,2.0
0123,0136,0.3
0123,0745,1.8
0123,1353,0.5
0123,2000,1.9
0124,0223,0.4
0124,0838,1.8
0124,1445,0.5
0124,2100,1.8
0125,0323,0.5
0125,0938,1.7
0125,1553,0.6
0125,2208,1.8
0126,0438,0.6
0126,1045,1.7
0126,1711,0.6
0126,2326,1.8
0127,0558,0.6
0127,1158,1.7
0127,1834,0.5
