data,hora,mare
0101,0219,2.1
0101,0830,0.3
0101,1439,2.2
0101,2054,0.1
0102,0309,2.2
0102,0917,0.2
0102,1526,2.2
0102,2145,0.0
0103,0402,2.2
0103,1006,0.2
0103,1615,2.3
0103,2236,0.0
0104,0453,2.2
0104,1056,0.2
0104,1704,2.3
0104,2324,0.0
0105,0541,2.1
0105,1143,0.3
0105,1753,2.2
0106,0013,0.1
0106,0628,2.0
0106,1230,0.4
0106,1841,2.1
0107,0102,0.3
0107,0717,1.9
0107,1319,0.5
0107,1930,2.0
0108,0156,0.4
0108,0809,1.8
0108,1411,0.6
0108,2024,1.8
0109,0253,0.6
0109,0909,1.7
0109,1513,0.7
0109,2128,1.7
0110,0358,0.7
0110,1015,1.6
0110,1624,0.8
0110,2241,1.6
0111,0504,0.7
0111,1121,1.6
0111,1734,0.7
0111,2351,1.6
0112,0604,0.7
0112,1217,1.6
0112,1832,0.7
0113,0045,1.7
0113,0654,0.7
0113,1302,1.7
0113,1917,0.6
0114,0130,1.7
0114,0734,0.6
0114,1343,1.8
0114,1958,0.5
0115,0208,1.8
0115,0811,0.6
0115,1419,1.9
0115,2038,0.4
0116,0249,1.9
0116,0849,0.5
0116,1456,2.0
0116,2113,0.4
0117,0324,1.9
0117,0924,0.5
0117,1534,2.0
0117,2153,0.3
0118,0402,1.9
0118,1002,0.4
0118,1609,2.1
0118,2228,0.3
0119,0441,2.0
0119,1039,0.4
0119,1649,2.1
0119,2306,0.3
0120,0515,2.0
0120,1115,0.4
0120,1723,2.1
0120,2345,0.3
0121,0554,1.9
0121,1153,0.5
0121,1800,2.0
0122,0021,0.3
0122,0632,1.9
0122,1228,0.5
0122,1841,2.0
0123,0102,0.4
0123,0711,1.8
0123,1311,0.6
0123,1924,1.9
0124,0151,0.5
0124,0802,1.7
0124,1404,0.7
0124,2023,1.8
0125,0251,0.6
0125,0906,1.6
0125,1513,0.7
0125,2139,1.7
0126,0406,0.7
0126,1024,1.6
0126,1639,0.7
0126,2304,1.7
0127,0526,0.7
0127,1143,1.7
0127,1758,0.6
0128,0021,1.8
0128,0636,0.6
0128,1247,1.8
0128,1904,0.4
0129,0123,1.9
0129,0734,0.5
0129,1341,2.0
0129,2000,0.3
0130,0215,2.1
0130,0823,0.3
0130,1430,2.1
0130,2051,0.1
0131,0304,2.2
0131,0909,0.3
0131,1517,2.2
0131,2138,0.0
0201,0353,2.2
0201,0956,0.2
0201,1602,2.3
0201,2221,0.0
0202,0436,2.2
0202,1039,0.2
0202,1649,2.3
0202,2306,0.0
0203,0517,2.2
0203,1119,0.2
0203,1730,2.3
0203,2349,0.1
0204,0600,2.1
0204,1200,0.3
0204,1809,2.2
0205,0030,0.2
0205,0639,2.0
0205,1241,0.4
0205,1853,2.0
0206,0109,0.4
0206,0719,1.8
0206,1323,0.5
0206,1936,1.9
0207,0154,0.6
0207,0804,1.7
0207,1409,0.7
0207,2024,1.7
0208,0245,0.7
0208,0858,1.6
0208,1511,0.8
0208,2134,1.5
0209,0354,0.9
0209,1011,1.5
0209,1638,0.8
0209,2302,1.5
0210,0517,0.9
0210,1136,1.5
0210,1800,0.8
0211,0023,1.5
0211,0628,0.8
0211,1239,1.6
0211,1900,0.7
0212,0117,1.6
0212,0717,0.7
0212,1326,1.7
0212,1945,0.6
0213,0158,1.7
0213,0758,0.6
0213,1404,1.8
0213,2023,0.4
0214,0236,1.8
0214,0834,0.5
0214,1441,2.0
0214,2058,0.3
0215,0309,1.9
0215,0908,0.4
0215,1515,2.1
0215,2134,0.2
0216,0345,2.0
0216,0945,0.4
0216,1553,2.1
0216,2208,0.2
0217,0419,2.1
0217,1019,0.3
0217,1626,2.2
0217,2245,0.1
0218,0454,2.1
0218,1054,0.3
0218,1702,2.2
0218,2319,0.2
0219,0528,2.1
0219,1130,0.3
0219,1739,2.2
0219,2356,0.2
0220,0604,2.0
0220,1206,0.4
0220,1817,2.1
0221,0036,0.3
0221,0643,1.9
0221,1247,0.4
0221,1902,2.0
0222,0119,0.5
0222,0728,1.8
0222,1336,0.6
0222,1956,1.8
0223,0215,0.6
0223,0826,1.6
0223,1445,0.7
0223,2111,1.7
0224,0338,0.8
0224,0953,1.6
0224,1619,0.7
0224,2254,1.6
0225,0513,0.8
0225,1126,1.6
0225,1754,0.6
0226,0021,1.7
0226,0634,0.7
0226,1241,1.8
0226,1902,0.4
0227,0123,1.9
0227,0728,0.5
0227,1336,2.0
0227,1956,0.3
0228,0211,2.0
0228,0815,0.4
0228,1421,2.1
0228,2041,0.1
0301,0256,2.1
0301,0858,0.3
0301,1504,2.3
0301,2121,0.0
0302,0336,2.2
0302,0938,0.2
0302,1545,2.3
0302,2202,0.0
0303,0411,2.2
0303,1015,0.1
0303,1624,2.3
0303,2241,0.0
0304,0451,2.2
0304,1054,0.2
0304,1702,2.3
0304,2317,0.1
0305,0524,2.1
0305,1128,0.2
0305,1739,2.2
0305,2354,0.2
0306,0600,2.0
0306,1204,0.3
0306,1815,2.1
0307,0026,0.4
0307,0634,1.9
0307,1241,0.5
0307,1854,1.9
0308,0102,0.6
0308,0708,1.8
0308,1319,0.6
0308,1934,1.7
0309,0143,0.7
0309,0753,1.6
0309,1409,0.8
0309,2030,1.5
0310,0239,0.9
0310,0856,1.5
0310,1534,0.9
0310,2208,1.4
0311,0419,1.0
0311,1043,1.4
0311,1726,0.9
0311,2358,1.4
0312,0602,0.9
0312,1209,1.5
0312,1841,0.7
0313,0100,1.6
0313,0658,0.8
0313,1302,1.7
0313,1923,0.6
0314,0139,1.7
0314,0738,0.7
0314,1343,1.8
0314,2000,0.4
0315,0211,1.8
0315,0809,0.5
0315,1415,2.0
0315,2034,0.3
0316,0245,2.0
0316,0845,0.4
0316,1451,2.1
0316,2106,0.2
0317,0315,2.1
0317,0917,0.3
0317,1524,2.2
0317,2141,0.1
0318,0353,2.1
0318,0954,0.2
0318,1602,2.3
0318,2217,0.1
0319,0426,2.2
0319,1028,0.2
0319,1639,2.3
0319,2254,0.1
0320,0502,2.2
0320,1106,0.2
0320,1717,2.2
0320,2332,0.2
0321,0539,2.1
0321,1147,0.2
0321,1800,2.1
0322,0011,0.3
0322,0619,2.0
0322,1228,0.4
0322,1847,2.0
0323,0058,0.5
0323,0706,1.8
0323,1321,0.5
0323,1943,1.8
0324,0158,0.7
0324,0808,1.7
0324,1434,0.6
0324,2106,1.6
0325,0324,0.8
0325,0939,1.6
0325,1615,0.7
0325,2256,1.6
0326,0509,0.8
0326,1119,1.6
0326,1751,0.6
0327,0019,1.7
0327,0626,0.7
0327,1232,1.8
0327,1856,0.4
0328,0115,1.9
0328,0717,0.5
0328,1323,2.0
0328,1943,0.3
0329,0158,2.0
0329,0800,0.4
0329,1406,2.1
0329,2023,0.1
0330,0238,2.1
0330,0838,0.3
0330,1445,2.2
0330,2100,0.1
0331,0309,2.2
0331,0913,0.2
0331,1521,2.3
0331,2138,0.1
0401,0345,2.2
0401,0949,0.1
0401,1558,2.3
0401,2209,0.1
0402,0417,2.2
0402,1023,0.2
0402,1634,2.2
0402,2245,0.2
0403,0451,2.1
0403,1058,0.2
0403,1708,2.1
0403,2317,0.3
0404,0523,2.0
0404,1132,0.3
0404,1743,2.0
0404,2351,0.4
0405,0556,1.9
0405,1206,0.4
0405,1819,1.9
0406,0023,0.6
0406,0628,1.8
0406,1247,0.6
0406,1858,1.7
0407,0100,0.7
0407,0708,1.6
0407,1332,0.7
0407,1951,1.5
0408,0151,0.9
0408,0804,1.5
0408,1447,0.8
0408,2119,1.4
0409,0321,1.0
0409,0943,1.4
0409,1638,0.9
0409,2315,1.4
0410,0517,1.0
0410,1124,1.5
0410,1800,0.8
0411,0023,1.5
0411,0621,0.8
0411,1224,1.6
0411,1849,0.6
0412,0104,1.7
0412,0702,0.7
0412,1306,1.8
0412,1924,0.4
0413,0138,1.8
0413,0738,0.5
0413,1343,2.0
0413,1958,0.3
0414,0209,2.0
0414,0811,0.4
0414,1417,2.1
0414,2034,0.2
0415,0245,2.1
0415,0849,0.2
0415,1456,2.2
0415,2109,0.1
0416,0319,2.2
0416,0924,0.2
0416,1536,2.3
0416,2151,0.1
0417,0358,2.2
0417,1004,0.1
0417,1615,2.3
0417,2230,0.1
0418,0438,2.2
0418,1047,0.1
0418,1700,2.2
0418,2311,0.2
0419,0519,2.1
0419,1130,0.2
0419,1747,2.1
0419,2358,0.3
0420,0604,2.0
0420,1219,0.3
0420,1839,2.0
0421,0049,0.5
0421,0656,1.9
0421,1317,0.4
0421,1943,1.8
0422,0153,0.7
0422,0802,1.7
0422,1434,0.6
0422,2108,1.7
0423,0317,0.8
0423,0932,1.7
0423,1608,0.6
0423,2247,1.7
0424,0454,0.8
0424,1102,1.7
0424,1734,0.5
0425,0002,1.8
0425,0604,0.7
0425,1209,1.8
0425,1836,0.4
0426,0054,1.9
0426,0656,0.5
0426,1302,2.0
0426,1919,0.3
0427,0136,2.0
0427,0738,0.4
0427,1343,2.1
0427,1958,0.2
0428,0209,2.0
0428,0811,0.3
0428,1419,2.1
0428,2034,0.2
0429,0243,2.1
0429,0847,0.2
0429,1456,2.2
0429,2106,0.2
0430,0313,2.1
0430,0919,0.2
0430,1530,2.2
0430,2139,0.2
0501,0347,2.1
0501,0956,0.2
0501,1606,2.1
0501,2211,0.3
0502,0419,2.1
0502,1030,0.2
0502,1643,2.0
0502,2247,0.4
0503,0454,2.0
0503,1106,0.3
0503,1717,1.9
0503,2321,0.5
0504,0526,1.9
0504,1145,0.4
0504,1756,1.8
0504,2356,0.6
0505,0602,1.8
0505,1224,0.5
0505,1838,1.7
0506,0036,0.7
