data,hora,mare
0101,0143,1.4
0101,0900,0.4
0101,1445,1.2
0101,2004,0.0
0102,0228,1.5
0102,0926,0.4
0102,1517,1.2
0102,2053,0.1
0103,0309,1.5
0103,0941,0.5
0103,1543,1.2
0103,2138,0.1
0104,0347,1.4
0104,0956,0.6
0104,1621,1.1
0104,2223,0.1
0105,0423,1.4
0105,1013,0.6
0105,1626,1.1
0105,2311,0.0
0106,0500,1.3
0106,1023,0.7
0106,1604,1.1
0107,0000,0.1
0107,0536,1.2
0107,1026,0.7
0107,1611,1.0
0108,0049,0.2
0108,0609,1.0
0108,1034,0.7
0108,1649,1.0
0108,1853,0.9
0108,2036,1.0
0109,0141,0.4
0109,0649,0.9
0109,1053,0.7
0109,2147,1.0
0110,0234,0.5
0110,0726,0.9
0110,1113,0.7
0110,2300,1.0
0111,0336,0.6
0111,0854,0.8
0111,1726,0.7
0112,0009,1.0
0112,0445,0.6
0112,1200,0.9
0112,1800,0.5
0113,0104,1.1
0113,0553,0.6
0113,1236,1.0
0113,1830,0.4
0114,0143,1.2
0114,0647,0.5
0114,1306,1.1
0114,1902,0.3
0115,0213,1.2
0115,0728,0.5
0115,1332,1.2
0115,1938,0.2
0116,0236,1.3
0116,0808,0.4
0116,1358,1.2
0116,2017,0.1
0117,0308,1.4
0117,0841,0.3
0117,1424,1.3
0117,2058,0.1
0118,0338,1.4
0118,0913,0.3
0118,1458,1.3
0118,2141,0.1
0119,0413,1.4
0119,0951,0.3
0119,1534,1.3
0119,2223,0.1
0120,0443,1.4
0120,1023,0.3
0120,1609,1.3
0120,2304,0.1
0121,0517,1.3
0121,1104,0.4
0121,1653,1.2
0121,2345,0.2
0122,0547,1.2
0122,1153,0.4
0122,1736,1.2
0123,0024,0.3
0123,0623,1.1
0123,1251,0.5
0123,1828,1.1
0124,0104,0.4
0124,0719,0.9
0124,1404,0.6
0124,1938,1.1
0125,0156,0.6
0125,1111,0.9
0125,1523,0.6
0125,2058,1.0
0126,0643,0.6
0126,1219,1.0
0126,1632,0.5
0126,2223,1.1
0127,0743,0.5
0127,1302,1.0
0127,1728,0.3
0127,2356,1.1
0128,0815,0.5
0128,1341,1.1
0128,1819,0.2
0129,0113,1.2
0129,0849,0.4
0129,1409,1.2
0129,1909,0.1
0130,0158,1.3
0130,0908,0.4
0130,1441,1.2
0130,1956,0.1
0131,0234,1.4
0131,0923,0.5
0131,1511,1.3
0131,2041,0.1
0201,0304,1.4
0201,0932,0.5
0201,1541,1.3
0201,2123,0.2
0202,0334,1.4
0202,0943,0.5
0202,1613,1.3
0202,2206,0.1
0203,0404,1.4
0203,0958,0.5
0203,1630,1.3
0203,2245,0.0
0204,0434,1.3
0204,1009,0.5
0204,1628,1.2
0204,2324,0.1
0205,0502,1.2
0205,1019,0.5
0205,1645,1.2
0206,0004,0.2
0206,0526,1.1
0206,1034,0.5
0206,1715,1.1
0207,0047,0.4
0207,0545,1.0
0207,1053,0.5
0207,1806,1.0
0208,0134,0.6
0208,0554,0.9
0208,1109,0.6
0208,2017,0.9
0209,0236,0.7
0209,0600,0.9
0209,1106,0.7
0209,1447,0.7
0210,0015,0.9
0210,0402,0.8
0210,0609,0.8
0210,0934,0.7
0210,1239,0.8
0210,1738,0.6
0211,0115,1.0
0211,0736,0.7
0211,1256,0.9
0211,1826,0.5
0212,0151,1.1
0212,0711,0.6
0212,1317,1.0
0212,1900,0.3
0213,0213,1.2
0213,0736,0.5
0213,1336,1.1
0213,1936,0.2
0214,0238,1.3
0214,0802,0.4
0214,1354,1.2
0214,2013,0.1
0215,0300,1.4
0215,0828,0.3
0215,1419,1.3
0215,2051,0.0
0216,0330,1.5
0216,0858,0.2
0216,1451,1.4
0216,2130,0.0
0217,0356,1.5
0217,0928,0.2
0217,1523,1.4
0217,2206,0.0
0218,0424,1.4
0218,1004,0.2
0218,1558,1.4
0218,2241,0.1
0219,0445,1.4
0219,1041,0.2
0219,1636,1.4
0219,2313,0.2
0220,0508,1.2
0220,1121,0.3
0220,1711,1.3
0220,2338,0.3
0221,0526,1.1
0221,1211,0.4
0221,1754,1.2
0222,0000,0.5
0222,0538,0.9
0222,1321,0.5
0222,1847,1.1
0223,0019,0.6
0223,0443,0.8
0223,0809,0.7
0223,1102,0.8
0223,1449,0.5
0223,1958,1.0
0224,0041,0.8
0224,0332,0.9
0224,0756,0.6
0224,1209,0.9
0224,1604,0.5
0224,2153,1.0
0225,0806,0.5
0225,1254,1.0
0225,1709,0.4
0226,0134,1.1
0226,0826,0.5
0226,1324,1.1
0226,1808,0.2
0227,0154,1.2
0227,0847,0.5
0227,1356,1.2
0227,1858,0.1
0228,0211,1.3
0228,0856,0.5
0228,1424,1.3
0228,1943,0.0
0301,0226,1.4
0301,0858,0.4
0301,1453,1.4
0301,2024,0.1
0302,0243,1.4
0302,0902,0.4
0302,1523,1.4
0302,2102,0.2
0303,0308,1.4
0303,0915,0.4
0303,1541,1.4
0303,2139,0.1
0304,0336,1.4
0304,0928,0.3
0304,1554,1.4
0304,2213,0.0
0305,0402,1.4
0305,0945,0.3
0305,1611,1.3
0305,2251,0.1
0306,0424,1.3
0306,1002,0.3
0306,1632,1.3
0306,2323,0.3
0307,0445,1.2
0307,1019,0.4
0307,1704,1.2
0307,2358,0.4
0308,0454,1.1
0308,1041,0.4
0308,1743,1.1
0309,0036,0.6
0309,0502,1.0
0309,1056,0.5
0309,1845,0.9
0310,0123,0.8
0310,0508,0.9
0310,1017,0.6
