data,hora,mare
0101,0215,1.2
0101,0824,0.3
0101,1434,0.9
0101,2015,0.0
0102,0304,1.2
0102,0904,0.3
0102,1417,0.9
0102,2104,0.0
0103,0358,1.2
0103,0951,0.4
0103,1438,0.9
0103,2153,0.1
0104,0453,1.1
0104,1036,0.4
0104,1506,0.9
0104,2238,0.1
0105,0419,1.0
0105,1113,0.5
0105,1528,1.0
0105,2323,0.0
0106,0423,0.9
0106,1149,0.5
0106,1604,1.0
0107,0009,0.1
0107,0456,0.9
0107,1213,0.5
0107,1654,1.0
0108,0100,0.2
0108,0523,0.8
0108,1256,0.5
0108,1753,0.9
0109,0149,0.3
0109,0600,0.8
0109,1345,0.5
0109,1900,0.9
0110,0232,0.4
0110,0645,0.8
0110,1447,0.5
0110,2036,0.8
0111,0317,0.4
0111,0747,0.8
0111,1019,0.7
0111,1617,0.5
0111,2223,0.8
0112,0417,0.5
0112,0902,0.8
0112,1153,0.7
0112,1753,0.4
0113,0004,0.9
0113,0526,0.5
0113,1041,0.8
0113,1851,0.3
0114,0104,0.9
0114,0636,0.4
0114,1154,0.9
0114,1932,0.2
0115,0156,1.0
0115,0732,0.4
0115,1245,0.9
0115,2002,0.1
0116,0238,1.0
0116,0815,0.4
0116,1321,1.0
0116,2041,0.1
0117,0245,1.1
0117,0845,0.3
0117,1347,1.0
0117,2117,0.0
0118,0306,1.1
0118,0913,0.3
0118,1417,1.1
0118,2158,0.0
0119,0330,1.1
0119,0951,0.3
0119,1458,1.1
0119,2234,0.0
0120,0338,1.0
0120,1028,0.4
0120,1536,1.1
0120,2302,0.1
0121,0404,1.0
0121,1106,0.4
0121,1604,1.0
0121,2339,0.1
0122,0441,0.9
0122,1143,0.4
0122,1632,1.0
0123,0023,0.2
0123,0523,0.9
0123,1226,0.5
0123,1709,1.0
0124,0111,0.3
0124,0611,0.8
0124,1324,0.5
0124,1804,0.9
0125,0208,0.3
0125,1049,0.7
0125,1434,0.5
0125,1924,0.8
0125,2054,0.8
0125,2249,0.8
0126,0313,0.4
0126,1143,0.8
0126,1549,0.4
0126,2356,1.0
0127,0445,0.5
0127,1226,0.8
0127,1700,0.3
0128,0053,1.1
0128,0658,0.4
0128,1309,0.8
0128,1806,0.2
0129,0141,1.1
0129,0753,0.4
0129,1356,0.9
0129,1908,0.1
0130,0223,1.2
0130,0826,0.4
0130,1434,0.9
0130,2002,0.0
0131,0306,1.2
0131,0858,0.4
0131,1430,0.9
0131,2053,0.1
0201,0354,1.2
0201,0936,0.4
0201,1445,1.0
0201,2136,0.1
0202,0432,1.1
0202,1011,0.4
0202,1517,1.0
0202,2215,0.1
0203,0347,1.0
0203,1049,0.4
0203,1538,1.1
0203,2300,0.1
0204,0404,1.0
0204,1109,0.4
0204,1606,1.1
0204,2345,0.0
0205,0426,1.0
0205,1138,0.4
0205,1645,1.1
0206,0019,0.2
0206,0451,0.9
0206,1206,0.4
0206,1726,1.0
0207,0045,0.3
0207,0517,0.9
0207,1247,0.4
0207,1813,0.9
0208,0113,0.4
0208,0558,0.9
0208,1319,0.5
0208,1919,0.8
0209,0204,0.5
0209,0647,0.8
0209,1423,0.5
0209,2202,0.8
0210,0313,0.6
0210,0751,0.7
0210,1111,0.6
0210,1715,0.5
0211,0006,0.8
0211,0456,0.6
0211,1000,0.7
0211,1832,0.4
0212,0102,0.9
0212,0632,0.5
0212,1153,0.8
0212,1911,0.2
0213,0153,1.0
0213,0732,0.4
0213,1245,0.9
0213,1949,0.1
0214,0226,1.1
0214,0811,0.4
0214,1321,1.0
0214,2023,0.0
0215,0243,1.1
0215,0841,0.3
0215,1347,1.1
0215,2100,0.0
0216,0302,1.1
0216,0904,0.3
0216,1413,1.1
0216,2141,0.0
0217,0330,1.1
0217,0936,0.3
0217,1453,1.2
0217,2209,0.0
0218,0334,1.1
0218,1009,0.3
0218,1526,1.2
0218,2241,0.0
0219,0349,1.0
0219,1045,0.3
0219,1554,1.1
0219,2313,0.1
0220,0415,1.0
0220,1115,0.4
0220,1617,1.1
0220,2358,0.2
0221,0445,0.9
0221,1200,0.4
0221,1656,1.0
